,IMPORTER.TIN,IMPORTER.TIN_act
701,IMPO18498,7
702,IMP344527,7
703,IMPO13214,7
704,IMPO10540,7
705,IMPO10900,6
706,IMP592790,6
707,IMPO12510,6
708,IMPO17677,6
709,IMP321260,6
710,IMP200652,6
711,IMPO14233,6
712,IMPO14168,6
713,IMP589386,6
714,IMPO15656,6
715,IMP312374,6
716,IMPO11732,6
717,IMPO17188,6
718,IMP484746,6
719,IMPO14531,6
720,IMPO15322,6
721,IMPO10967,6
722,IMP646215,6
723,IMPO12423,6
724,IMPO12610,6
725,IMPO10716,6
726,IMP690457,6
727,IMPO18298,6
728,IMP396712,6
729,IMP915889,6
730,IMPO14080,6
731,IMP901000,6
732,IMPO17961,6
733,IMP732447,6
734,IMP709322,6
735,IMPO17287,6
736,IMP716770,6
737,IMPO18333,6
738,IMP284668,6
739,IMPO10815,6
740,IMPO10638,6
741,IMPO15841,6
742,IMPO13850,6
743,IMPO10143,6
744,IMPO17143,6
745,IMPO13233,6
746,IMPO19006,6
747,IMPO12966,6
748,IMP846617,6
749,IMPO15474,6
750,IMP847759,6
751,IMPO10205,6
752,IMPO14047,6
753,IMPO16579,6
754,IMPO17554,6
755,IMP328939,6
756,IMP450812,6
757,IMPO10686,6
758,IMP468728,6
759,IMPO18276,6
760,IMPO12357,6
761,IMPO14861,6
762,IMP256992,6
763,IMPO12643,6
764,IMPO14647,6
765,IMPO16840,6
766,IMPO13794,6
767,IMPO11479,6
768,IMPO10526,6
769,IMPO18973,6
770,IMP140113,6
771,IMP332095,6
772,IMPO19118,6
773,IMP446321,6
774,IMP809433,6
775,IMPO10399,6
776,IMPO12768,6
777,IMPO11973,6
778,IMP374546,6
779,IMPO12067,6
780,IMPO13238,6
781,IMPO15631,6
782,IMP175445,6
783,IMPO18509,6
784,IMPO16328,6
785,IMPO15579,6
786,IMP665319,6
787,IMPO14799,6
788,IMPO13017,6
789,IMP741011,6
790,IMPO11261,6
791,IMP509522,6
792,IMPO12004,6
793,IMP745669,6
794,IMPO18462,6
795,IMPO11612,6
796,IMP862832,6
797,IMPO13467,6
798,IMPO18747,6
799,IMPO12020,6
800,IMPO18758,6
801,IMPO13538,6
802,IMPO19246,6
803,IMP526545,6
804,IMP686056,6
805,IMP225876,6
806,IMP629110,6
807,IMPO10316,6
808,IMPO13589,6
809,IMP318513,6
810,IMP646887,6
811,IMPO19910,6
812,IMP914319,6
813,IMPO11193,6
814,IMPO12203,5
815,IMP865057,5
816,IMPO19610,5
817,IMPO19905,5
818,IMPO15548,5
819,IMPO14595,5
820,IMPO10805,5
821,IMPO15850,5
822,IMP740252,5
823,IMPO12525,5
824,IMP150306,5
825,IMPO16575,5
826,IMPO15576,5
827,IMPO17321,5
828,IMP826726,5
829,IMPO15198,5
830,IMP410822,5
831,IMP187780,5
832,IMP868025,5
833,IMPO18986,5
834,IMPO14530,5
835,IMP866215,5
836,IMP371643,5
837,IMP219374,5
838,IMPO15620,5
839,IMP505062,5
840,IMPO19867,5
841,IMPO10302,5
842,IMPO10521,5
843,IMPO15248,5
844,IMPO17144,5
845,IMP750032,5
846,IMP384311,5
847,IMP487839,5
848,IMP296569,5
849,IMPO12110,5
850,IMPO10920,5
851,IMPO18843,5
852,IMPO15582,5
853,IMP394257,5
854,IMPO19774,5
855,IMP959224,5
856,IMPO15423,5
857,IMPO17249,5
858,IMPO13133,5
859,IMPO19663,5
860,IMPO16210,5
861,IMPO12176,5
862,IMPO16613,5
863,IMPO18689,5
864,IMP712219,5
865,IMPO13009,5
866,IMPO17116,5
867,IMP770963,5
868,IMPO17739,5
869,IMPO13381,5
870,IMP336033,5
871,IMPO13005,5
872,IMPO15541,5
873,IMPO12601,5
874,IMPO14973,5
875,IMP236505,5
876,IMPO14335,5
877,IMP559457,5
878,IMPO19536,5
879,IMPO10983,5
880,IMPO11688,5
881,IMP223477,5
882,IMPO10231,5
883,IMP346407,5
884,IMP845278,5
885,IMP659390,5
886,IMP532955,5
887,IMP150787,5
888,IMP535548,5
889,IMP531814,5
890,IMPO18034,5
891,IMP987726,5
892,IMP147114,5
893,IMP434367,5
894,IMP882715,5
895,IMPO11396,5
896,IMP818754,5
897,IMP667381,5
898,IMPO12500,5
899,IMP656984,5
900,IMPO13456,5
901,IMP832851,5
902,IMPO12575,5
903,IMP150295,5
904,IMPO17710,5
905,IMPO11586,5
906,IMPO15066,5
907,IMPO18846,5
908,IMP694837,5
909,IMPO12865,5
910,IMPO18749,5
911,IMPO12798,5
912,IMP397877,5
913,IMP775098,5
914,IMPO18343,5
915,IMP823322,5
916,IMP306414,5
917,IMPO19318,5
918,IMP601072,5
919,IMPO12598,5
920,IMPO16138,5
921,IMPO19560,5
922,IMPO10707,5
923,IMPO15878,5
924,IMPO10903,5
925,IMPO17120,5
926,IMP537680,5
927,IMP793732,5
928,IMPO15781,5
929,IMPO14017,5
930,IMPO18529,5
931,IMPO11354,5
932,IMP763156,5
933,IMP420693,5
934,IMPO11647,5
935,IMPO19504,5
936,IMPO15048,5
937,IMP684986,5
938,IMP984512,5
939,IMP345456,5
940,IMP605931,5
941,IMPO12854,5
942,IMPO17099,5
943,IMPO15328,5
944,IMPO18807,5
945,IMPO18445,5
946,IMPO13347,5
947,IMPO19840,5
948,IMPO12754,5
949,IMP201133,5
950,IMPO12155,5
951,IMPO13210,5
952,IMPO19646,5
953,IMP864971,5
954,IMPO15088,5
955,IMP533210,5
956,IMP397514,5
957,IMPO17959,5
958,IMPO19231,5
959,IMP864528,5
960,IMP980894,5
961,IMP588364,5
962,IMP787271,5
963,IMPO12363,5
964,IMPO12080,5
965,IMP278851,5
966,IMPO19040,5
967,IMP415401,5
968,IMPO10482,5
969,IMP370581,5
970,IMPO12636,5
971,IMPO15692,5
972,IMPO18111,5
973,IMPO12682,5
974,IMPO18193,5
975,IMP982600,5
976,IMPO10877,5
977,IMPO19031,5
978,IMP864177,5
979,IMPO14751,5
980,IMPO11761,5
981,IMPO13893,5
982,IMPO10437,5
983,IMPO15168,5
984,IMPO14321,5
985,IMP972985,5
986,IMP625406,5
987,IMPO17557,5
988,IMP103000,5
989,IMP367618,5
990,IMP771082,5
991,IMPO14259,5
992,IMP677851,5
993,IMPO12124,5
994,IMPO19085,5
995,IMPO16216,4
996,IMP599277,4
997,IMPO19220,4
998,IMP811494,4
999,IMPO18304,4
1000,IMP172368,4
1001,IMPO12998,4
1002,IMPO16096,4
1003,IMPO19540,4
1004,IMPO19256,4
1005,IMPO14750,4
1006,IMPO11464,4
1007,IMP316409,4
1008,IMPO15825,4
1009,IMP186758,4
1010,IMPO17527,4
1011,IMP289855,4
1012,IMPO19984,4
1013,IMP554693,4
1014,IMP588189,4
1015,IMPO10185,4
1016,IMP863899,4
1017,IMP739415,4
1018,IMP701523,4
1019,IMPO16554,4
1020,IMPO13775,4
1021,IMPO10510,4
1022,IMPO14819,4
1023,IMPO18297,4
1024,IMP939499,4
1025,IMP552686,4
1026,IMP766250,4
1027,IMP791730,4
1028,IMPO18569,4
1029,IMP897460,4
1030,IMP587142,4
1031,IMPO17623,4
1032,IMP806769,4
1033,IMPO19516,4
1034,IMPO13939,4
1035,IMP486728,4
1036,IMPO10915,4
1037,IMPO17967,4
1038,IMPO16638,4
1039,IMP108897,4
1040,IMP795395,4
1041,IMPO14768,4
1042,IMP348091,4
1043,IMPO12051,4
1044,IMPO16546,4
1045,IMPO10552,4
1046,IMPO10298,4
1047,IMPO18730,4
1048,IMP132197,4
1049,IMPO18420,4
1050,IMPO11072,4
1051,IMPO16034,4
1052,IMPO13876,4
1053,IMPO10063,4
1054,IMP318595,4
1055,IMPO18386,4
1056,IMP602071,4
1057,IMPO19534,4
1058,IMPO10145,4
1059,IMP380288,4
1060,IMPO17224,4
1061,IMP359656,4
1062,IMP483894,4
1063,IMPO18574,4
1064,IMP478116,4
1065,IMPO13937,4
1066,IMPO13883,4
1067,IMPO16762,4
1068,IMPO12301,4
1069,IMP949990,4
1070,IMPO10592,4
1071,IMP150206,4
1072,IMP215429,4
1073,IMP962728,4
1074,IMPO14915,4
1075,IMP127093,4
1076,IMP589731,4
1077,IMP447964,4
1078,IMP434443,4
1079,IMPO11629,4
1080,IMPO11983,4
1081,IMPO17010,4
1082,IMPO16409,4
1083,IMP905084,4
1084,IMPO17455,4
1085,IMPO11609,4
1086,IMPO14954,4
1087,IMPO18709,4
1088,IMPO11128,4
1089,IMPO13199,4
1090,IMP635379,4
1091,IMPO17091,4
1092,IMPO17156,4
1093,IMP947319,4
1094,IMP651050,4
1095,IMP320812,4
1096,IMP460892,4
1097,IMP265496,4
1098,IMP286739,4
1099,IMPO12945,4
1100,IMPO12558,4
1101,IMPO10029,4
1102,IMPO10037,4
1103,IMPO15319,4
1104,IMP538161,4
1105,IMP348115,4
1106,IMPO16526,4
1107,IMPO12760,4
1108,IMP802164,4
1109,IMP353099,4
1110,IMPO12908,4
1111,IMP761766,4
1112,IMP982777,4
1113,IMPO19263,4
1114,IMPO13179,4
1115,IMPO17950,4
1116,IMPO13049,4
1117,IMPO18924,4
1118,IMPO13007,4
1119,IMP636954,4
1120,IMP714180,4
1121,IMP729355,4
1122,IMP235398,4
1123,IMP747754,4
1124,IMPO13919,4
1125,IMPO14550,4
1126,IMPO17741,4
1127,IMPO13269,4
1128,IMPO11350,4
1129,IMPO17631,4
1130,IMPO14354,4
1131,IMPO19137,4
1132,IMPO18432,4
1133,IMPO11245,4
1134,IMPO18582,4
1135,IMP666390,4
1136,IMPO19653,4
1137,IMPO10550,4
1138,IMPO18490,4
1139,IMPO12420,4
1140,IMP435108,4
1141,IMP753264,4
1142,IMP308132,4
1143,IMPO16829,4
1144,IMP211980,4
1145,IMP187870,4
1146,IMP448737,4
1147,IMPO16982,4
1148,IMP664290,4
1149,IMP900740,4
1150,IMPO15968,4
1151,IMP562576,4
1152,IMPO13368,4
1153,IMPO13156,4
1154,IMPO17421,4
1155,IMPO13891,4
1156,IMP405570,4
1157,IMPO12977,4
1158,IMPO19611,4
1159,IMPO10506,4
1160,IMPO16937,4
1161,IMPO18199,4
1162,IMPO17440,4
1163,IMP408914,4
1164,IMP611623,4
1165,IMP144015,4
1166,IMPO14151,4
1167,IMPO12751,4
1168,IMP257336,4
1169,IMP869697,4
1170,IMP681252,4
1171,IMPO13742,4
1172,IMP801300,4
1173,IMPO10796,4
1174,IMPO12844,4
1175,IMPO17452,4
1176,IMPO10946,4
1177,IMPO15737,4
1178,IMP254926,4
1179,IMPO10959,4
1180,IMPO15681,4
1181,IMP504245,4
1182,IMPO11988,4
1183,IMPO16548,4
1184,IMPO10412,4
1185,IMPO13749,4
1186,IMP207075,4
1187,IMPO17824,4
1188,IMPO18720,4
1189,IMPO11533,4
1190,IMPO13268,4
1191,IMPO12899,4
1192,IMPO12518,4
1193,IMPO19284,4
1194,IMP871673,4
1195,IMPO12291,4
1196,IMPO13784,4
1197,IMPO17145,4
1198,IMP663934,4
1199,IMPO12138,4
1200,IMP576525,4
1201,IMPO18943,4
1202,IMP661867,4
1203,IMP907197,4
1204,IMP821397,4
1205,IMP825350,4
1206,IMP689372,4
1207,IMPO13512,4
1208,IMPO12353,4
1209,IMP986826,4
1210,IMPO13506,4
1211,IMPO16149,4
1212,IMPO11927,4
1213,IMPO18104,4
1214,IMP790356,4
1215,IMPO16849,4
1216,IMPO13827,4
1217,IMP259619,4
1218,IMP786141,4
1219,IMPO19372,4
1220,IMP366360,4
1221,IMP934897,4
1222,IMPO11110,4
1223,IMPO10061,4
1224,IMPO17635,4
1225,IMP647160,4
1226,IMPO15697,4
1227,IMPO15731,4
1228,IMPO16118,4
1229,IMPO12442,4
1230,IMPO16733,4
1231,IMPO10706,4
1232,IMP786126,4
1233,IMPO10150,4
1234,IMPO14747,4
1235,IMPO13854,4
1236,IMP243864,4
1237,IMPO12587,4
1238,IMP990136,4
1239,IMP746629,4
1240,IMPO12212,4
1241,IMPO15427,4
1242,IMPO14164,4
1243,IMPO11904,4
1244,IMP638144,4
1245,IMPO19360,4
1246,IMPO17254,4
1247,IMPO12514,4
1248,IMP727398,4
1249,IMP279248,4
1250,IMP932338,4
1251,IMP497452,4
1252,IMPO19920,4
1253,IMPO18303,4
1254,IMPO15115,4
1255,IMPO14949,4
1256,IMP929565,4
1257,IMP924728,4
1258,IMPO13380,4
1259,IMP160547,4
1260,IMPO19501,4
1261,IMPO16282,4
1262,IMP204526,4
1263,IMPO14123,4
1264,IMPO17601,4
1265,IMPO18082,4
1266,IMPO15054,4
1267,IMPO10366,4
1268,IMPO11512,4
1269,IMPO13071,4
1270,IMP618304,4
1271,IMPO12074,4
1272,IMPO18576,3
1273,IMPO13374,3
1274,IMPO13510,3
1275,IMP114177,3
1276,IMP978668,3
1277,IMP583434,3
1278,IMPO16444,3
1279,IMP505166,3
1280,IMP887829,3
1281,IMP615516,3
1282,IMPO19306,3
1283,IMPO17185,3
1284,IMP949668,3
1285,IMPO11640,3
1286,IMPO19744,3
1287,IMPO15760,3
1288,IMPO11852,3
1289,IMPO18783,3
1290,IMPO16853,3
1291,IMPO13632,3
1292,IMP186355,3
1293,IMPO19010,3
