,TARIFF.CODE&&ORIGIN.CODE,TARIFF.CODE&&ORIGIN.CODE_illicit_Qsum,TARIFF.CODE&&ORIGIN.CODE_illicit_Qrate
91,8704322000&&CNTRY680,2,1
92,8703210011&&CNTRY615,0,1
93,8703231221&&CNTRY264,0,0
94,4901999000&&CNTRY615,0,0
95,8302410000&&CNTRY680,0,0
96,8517180000&&CNTRY277,1,2
97,8703321220&&CNTRY759,2,2
98,8702902099&&CNTRY555,0,2
99,8703231221&&CNTRY759,1,2
100,8703232926&&CNTRY615,2,2
101,8703232926&&CNTRY277,1,2
102,8703241128&&CNTRY713,0,0
103,8703321922&&CNTRY680,2,1
104,3004900000&&CNTRY376,1,2
105,5204190000&&CNTRY680,1,2
106,8517180000&&CNTRY615,2,2
107,8703241128&&CNTRY376,2,1
108,8703241136&&CNTRY859,0,0
109,8702902099&&CNTRY376,0,0
110,8703321220&&CNTRY874,0,2
111,8703332100&&CNTRY311,0,0
112,8703900000&&CNTRY884,2,2
113,4802570000&&CNTRY759,1,2
114,8466200000&&CNTRY429,0,0
115,8704322000&&CNTRY317,0,2
116,808100000&&CNTRY680,1,2
117,5511300000&&CNTRY473,0,0
118,8703232225&&CNTRY759,1,2
119,8703222900&&CNTRY562,1,2
120,7007110000&&CNTRY321,0,0
121,7208390000&&CNTRY139,0,0
122,9207900000&&CNTRY680,0,0
123,2002902000&&CNTRY975,0,0
124,3902100000&&CNTRY680,0,2
125,2204210000&&CNTRY376,0,0
126,8702102029&&CNTRY830,0,0
127,8703232926&&CNTRY317,0,0
128,8703331928&&CNTRY376,1,2
129,8703331226&&CNTRY562,1,2
130,5801900000&&CNTRY376,1,2
131,8703231119&&CNTRY825,0,0
132,8703332100&&CNTRY680,2,2
133,8703231119&&CNTRY759,2,2
134,3920100000&&CNTRY819,0,0
135,8484200000&&CNTRY321,0,0
136,8716398090&&CNTRY825,0,0
137,6406909099&&CNTRY652,0,0
138,3926909229&&CNTRY184,0,0
139,8409990009&&CNTRY976,0,0
140,9032108900&&CNTRY615,0,0
141,5806200000&&CNTRY825,0,0
142,8516108091&&CNTRY316,0,0
143,3005100002&&CNTRY764,0,2
144,3004900019&&CNTRY994,0,0
145,6205200009&&CNTRY376,0,0
146,3809105000&&CNTRY364,0,0
147,5807109010&&CNTRY994,0,0
148,7009100001&&CNTRY123,0,0
149,8536901099&&CNTRY994,0,0
150,4821901000&&CNTRY881,0,0
151,5309119000&&CNTRY680,0,0
152,8517120010&&CNTRY846,0,0
153,8541100000&&CNTRY994,0,0
154,7326909889&&CNTRY277,0,0
155,5911100010&&CNTRY454,0,2
156,8708299009&&CNTRY687,0,0
157,9804000000&&CNTRY376,0,0
158,8703239095&&CNTRY759,0,2
159,4407279900&&CNTRY975,0,2
160,3809910000&&CNTRY376,0,0
161,7308905900&&CNTRY747,0,0
162,6406209000&&CNTRY376,0,0
163,8536908599&&CNTRY976,0,0
164,4411149002&&CNTRY438,0,0
165,5508101001&&CNTRY825,0,0
166,4821101000&&CNTRY825,0,0
167,8716398090&&CNTRY994,0,0
168,8609009090&&CNTRY994,0,0
169,8547200000&&CNTRY976,1,2
170,3922900002&&CNTRY376,0,0
171,8708299009&&CNTRY376,0,0
172,4010120009&&CNTRY713,0,2
173,3102309000&&CNTRY994,0,0
174,8708939002&&CNTRY994,0,2
175,4821109000&&CNTRY376,0,0
176,8714104000&&CNTRY994,0,0
177,2933199000&&CNTRY376,0,0
178,8703321961&&CNTRY454,0,0
179,5209520000&&CNTRY123,0,0
180,3917320009&&CNTRY376,0,0
181,4821109000&&CNTRY994,1,1
182,4819100000&&CNTRY825,0,0
183,8205400000&&CNTRY915,0,0
184,8203400000&&CNTRY652,0,0
185,7314140000&&CNTRY994,0,0
186,8544429092&&CNTRY884,0,0
187,8536908591&&CNTRY994,0,0
188,8448390090&&CNTRY884,0,0
189,9613100000&&CNTRY615,0,0
190,8703219030&&CNTRY652,0,0
191,8481900090&&CNTRY652,0,0
192,6110209909&&CNTRY454,0,0
193,3919108000&&CNTRY123,0,0
194,8716400009&&CNTRY263,0,0
195,5808900098&&CNTRY393,0,0
196,8533210000&&CNTRY994,0,1
197,7326909889&&CNTRY454,0,0
198,3404900009&&CNTRY884,0,0
199,8479908000&&CNTRY317,0,0
200,8421310000&&CNTRY994,0,0
201,3004200010&&CNTRY846,0,0
202,4819100000&&CNTRY994,0,0
203,8538909109&&CNTRY976,0,2
204,8703321961&&CNTRY994,0,0
205,406909209&&CNTRY171,0,2
206,8424200000&&CNTRY994,0,0
207,7806008090&&CNTRY748,0,2
208,3814009009&&CNTRY454,0,0
209,7216509900&&CNTRY976,0,0
210,9606100010&&CNTRY335,0,2
211,8467119009&&CNTRY409,0,2
212,6217900003&&CNTRY825,0,2
213,6205200009&&CNTRY994,0,0
214,8703319090&&CNTRY825,0,0
215,6205200009&&CNTRY846,0,0
216,9606100010&&CNTRY994,0,0
217,8716400009&&CNTRY376,0,0
218,7407211000&&CNTRY846,0,2
219,6004100000&&CNTRY209,0,0
220,9606100010&&CNTRY407,0,0
221,8547900003&&CNTRY123,0,0
222,4821909000&&CNTRY976,1,1
223,1702409010&&CNTRY843,0,2
224,9607110000&&CNTRY976,0,0
225,8704322000&&CNTRY562,0,2
226,8704232000&&CNTRY113,0,0
227,8431310000&&CNTRY277,0,0
228,8704322000&&CNTRY454,0,0
229,8703242100&&CNTRY615,0,1
230,8421210022&&CNTRY234,0,2
231,8703241128&&CNTRY891,0,0
232,8703332900&&CNTRY759,1,2
233,8517180000&&CNTRY321,0,0
234,8703232225&&CNTRY376,1,1
235,8703241128&&CNTRY884,2,2
236,8703221113&&CNTRY576,0,2
237,4011400000&&CNTRY311,0,0
238,5801900000&&CNTRY759,1,2
239,8704212025&&CNTRY615,1,2
240,8702101319&&CNTRY759,2,1
241,8703232926&&CNTRY264,0,0
242,8704322000&&CNTRY376,1,1
243,7323100000&&CNTRY473,0,0
244,8703242100&&CNTRY140,0,0
245,8703242100&&CNTRY378,0,0
246,3004900000&&CNTRY680,1,2
247,8703321922&&CNTRY454,1,1
248,8203200000&&CNTRY920,0,2
249,3920490044&&CNTRY276,0,2
250,2707300000&&CNTRY819,0,0
251,8704212025&&CNTRY429,0,2
252,2836300000&&CNTRY615,0,0
253,8704212025&&CNTRY759,2,2
254,8517180000&&CNTRY881,0,2
255,8516790000&&CNTRY234,0,0
256,8703231119&&CNTRY321,0,2
257,8702101319&&CNTRY884,1,1
258,3924902000&&CNTRY680,0,0
259,8703232926&&CNTRY881,1,2
260,8703242900&&CNTRY376,1,1
261,3405900000&&CNTRY713,0,0
262,8430610000&&CNTRY454,0,0
263,8703232225&&CNTRY884,0,2
264,8703900000&&CNTRY376,2,2
265,8708700000&&CNTRY884,0,2
266,7308300000&&CNTRY764,0,0
267,8430500000&&CNTRY527,0,2
268,8703210011&&CNTRY277,1,2
269,8703232225&&CNTRY713,0,2
270,8703231119&&CNTRY376,2,2
271,8703321220&&CNTRY644,0,0
272,2401100000&&CNTRY891,0,2
273,8702101319&&CNTRY709,0,0
274,8703241128&&CNTRY576,1,2
275,9405400000&&CNTRY915,0,2
276,9018110000&&CNTRY644,0,0
277,8704212025&&CNTRY376,1,2
278,8536500000&&CNTRY709,0,0
279,8703231221&&CNTRY680,2,1
280,5801900000&&CNTRY891,0,0
281,5801900000&&CNTRY615,0,2
282,8703241128&&CNTRY153,0,0
283,7318290000&&CNTRY680,0,0
284,8703241128&&CNTRY830,0,2
285,8703900000&&CNTRY615,1,1
286,8517180000&&CNTRY652,0,0
287,2909430000&&CNTRY618,0,0
288,8483100000&&CNTRY759,0,2
289,2207209000&&CNTRY863,0,0
290,808100000&&CNTRY376,0,0
291,2820000000&&CNTRY680,0,0
292,8703232225&&CNTRY264,0,0
293,8704232000&&CNTRY680,0,0
294,1604150000&&CNTRY171,0,0
295,2905120000&&CNTRY323,0,2
296,8703231221&&CNTRY277,1,2
297,7315190011&&CNTRY554,0,2
298,8703231119&&CNTRY615,1,2
299,8517180000&&CNTRY376,2,2
300,4819400000&&CNTRY454,0,0
301,7320100000&&CNTRY168,0,2
302,8703241128&&CNTRY994,0,2
303,8703321922&&CNTRY364,0,0
304,8703222100&&CNTRY454,0,0
305,8703900000&&CNTRY284,1,2
306,8703232926&&CNTRY920,0,2
307,4009110000&&CNTRY389,0,0
308,6907900000&&CNTRY759,0,2
309,8471300039&&CNTRY409,0,2
310,8703321220&&CNTRY680,1,1
311,7606129000&&CNTRY480,0,0
312,7308300000&&CNTRY680,0,0
313,7323940000&&CNTRY859,0,0
314,8703241128&&CNTRY184,0,0
315,3915300000&&CNTRY830,0,0
316,8703232926&&CNTRY884,2,2
317,8703321220&&CNTRY884,0,2
318,8481800000&&CNTRY376,0,0
319,3808920000&&CNTRY317,0,0
320,8702102029&&CNTRY759,0,2
321,2106909091&&CNTRY680,0,0
322,2906110000&&CNTRY316,0,0
323,7307920000&&CNTRY454,0,0
324,8703321220&&CNTRY819,0,2
325,7307920000&&CNTRY846,0,0
326,8483200000&&CNTRY125,0,0
327,8703210011&&CNTRY759,1,1
328,8609009090&&CNTRY376,0,0
329,7326909889&&CNTRY994,0,0
330,8536908599&&CNTRY825,0,0
331,6217900009&&CNTRY615,0,0
332,4811900089&&CNTRY825,0,0
333,3926909799&&CNTRY264,0,2
334,8533401009&&CNTRY652,1,2
335,8708999799&&CNTRY376,0,0
336,5402330000&&CNTRY994,0,1
337,8421310000&&CNTRY376,1,2
338,8421392000&&CNTRY615,0,2
339,3003900019&&CNTRY881,0,0
340,4114200001&&CNTRY756,0,0
341,7326909889&&CNTRY376,0,0
342,8609009090&&CNTRY656,0,0
343,8703229050&&CNTRY994,1,1
344,9503003019&&CNTRY656,0,0
345,2106909810&&CNTRY653,0,0
346,6309000002&&CNTRY123,0,0
347,3811900009&&CNTRY976,0,0
348,5807101010&&CNTRY376,0,0
349,5807101010&&CNTRY994,0,0
350,9032102000&&CNTRY652,0,2
351,5512999001&&CNTRY674,0,0
352,8504409090&&CNTRY123,0,2
353,8452900009&&CNTRY994,0,0
354,4113200000&&CNTRY334,0,2
355,5004009000&&CNTRY846,0,0
356,8609009090&&CNTRY825,0,0
357,4819100000&&CNTRY376,0,0
358,8538909902&&CNTRY376,0,0
359,9018908439&&CNTRY917,0,2
360,8609009090&&CNTRY562,0,0
361,3923409000&&CNTRY376,0,0
362,8538909902&&CNTRY994,1,0
363,7616999099&&CNTRY376,0,0
364,6406909099&&CNTRY994,0,0
365,5806200000&&CNTRY376,0,0
366,2921599000&&CNTRY689,0,2
367,8716400009&&CNTRY825,0,0
368,8409990009&&CNTRY123,0,1
369,3926909799&&CNTRY994,0,0
370,8542399090&&CNTRY680,1,2
371,8703329091&&CNTRY825,1,1
372,9607110000&&CNTRY123,0,2
373,3926909229&&CNTRY825,0,0
374,6217900009&&CNTRY825,0,0
375,8411990000&&CNTRY976,0,0
376,5209420000&&CNTRY994,0,1
377,4911109092&&CNTRY976,0,0
378,9606100010&&CNTRY825,0,0
379,6309000002&&CNTRY825,0,2
380,8452900009&&CNTRY825,0,0
381,8453900000&&CNTRY674,0,0
382,8538909909&&CNTRY994,0,1
383,4011209020&&CNTRY975,0,0
384,8536700090&&CNTRY652,0,0
385,5209390000&&CNTRY825,0,0
386,8479908000&&CNTRY846,0,0
387,8419500000&&CNTRY415,0,0
388,8479908000&&CNTRY825,0,0
389,3926909229&&CNTRY994,1,1
390,4821909000&&CNTRY376,0,0
391,8413810042&&CNTRY846,0,0
392,4821909000&&CNTRY825,0,0
393,8703229050&&CNTRY277,0,0
394,4011100090&&CNTRY759,0,0
395,9801000000&&CNTRY825,0,1
396,8538909902&&CNTRY652,0,0
397,5807101010&&CNTRY652,0,0
398,1701910002&&CNTRY771,0,2
399,8703329091&&CNTRY976,0,0
400,8716398090&&CNTRY976,0,1
401,6304990009&&CNTRY415,0,2
402,9801000000&&CNTRY123,0,0
403,8533210000&&CNTRY625,0,0
404,8609009090&&CNTRY215,0,0
405,8544492000&&CNTRY276,0,0
406,8716400009&&CNTRY994,0,0
407,8547200000&&CNTRY994,0,0
408,5513490009&&CNTRY680,0,0
409,8609009090&&CNTRY123,0,0
410,4821909000&&CNTRY994,0,0
411,4819100000&&CNTRY976,0,1
412,3001902009&&CNTRY843,0,0
413,5903209000&&CNTRY825,0,0
414,6211490084&&CNTRY276,0,2
415,406908100&&CNTRY994,0,0
416,8504409090&&CNTRY756,0,0
417,9032102000&&CNTRY825,0,0
418,8703229030&&CNTRY994,0,0
419,9607110000&&CNTRY994,0,0
420,3923299080&&CNTRY994,0,0
421,4819100000&&CNTRY215,0,2
422,9001402000&&CNTRY713,0,2
423,4806401000&&CNTRY166,0,2
424,7326909889&&CNTRY123,0,0
425,5402330000&&CNTRY376,0,0
426,8501310001&&CNTRY994,0,1
427,5514420000&&CNTRY554,0,0
428,7211190000&&CNTRY454,0,0
429,3913900009&&CNTRY881,0,2
430,6204399099&&CNTRY615,0,0
431,8704219941&&CNTRY153,0,0
432,2915704000&&CNTRY994,0,0
433,8452300000&&CNTRY994,0,0
434,8481809998&&CNTRY376,0,0
435,4011100010&&CNTRY863,0,0
436,4415202001&&CNTRY994,0,2
437,8533290000&&CNTRY994,0,0
438,3926909799&&CNTRY825,0,0
439,2710124591&&CNTRY123,0,2
440,6302939009&&CNTRY615,0,0
441,5209320000&&CNTRY994,0,1
442,8516720000&&CNTRY323,0,2
443,3926909779&&CNTRY376,0,0
444,9030310000&&CNTRY994,0,0
445,8479908000&&CNTRY994,0,1
446,8704219941&&CNTRY759,0,0
447,8708309103&&CNTRY994,0,0
448,4821101000&&CNTRY994,0,0
449,4016920000&&CNTRY756,0,0
450,8538909909&&CNTRY376,0,0
451,8708999792&&CNTRY846,0,0
452,5209290000&&CNTRY216,0,0
453,3926909799&&CNTRY680,0,0
454,8207909900&&CNTRY994,0,0
455,8536901099&&CNTRY139,0,0
456,8311100000&&CNTRY364,0,0
457,3901109000&&CNTRY652,0,0
458,8704219941&&CNTRY376,0,0
459,7326909889&&CNTRY825,0,0
460,4016995709&&CNTRY920,0,0
461,2909490000&&CNTRY825,0,0
462,8703231226&&CNTRY873,0,0
463,8703241932&&CNTRY759,0,2
464,8703241128&&CNTRY480,0,2
465,8484100000&&CNTRY680,0,0
466,9019200000&&CNTRY785,0,0
467,6001920000&&CNTRY759,0,0
468,8504210000&&CNTRY376,0,0
469,305490000&&CNTRY278,0,0
470,6908900000&&CNTRY378,0,0
471,8702902099&&CNTRY615,0,2
472,3808930000&&CNTRY825,0,0
473,8545110000&&CNTRY385,0,0
474,3302100000&&CNTRY680,0,2
475,9018900000&&CNTRY263,0,0
476,8703232926&&CNTRY150,0,0
477,8422190000&&CNTRY701,0,0
478,8703321922&&CNTRY653,1,2
479,4911100000&&CNTRY759,0,0
480,3004900000&&CNTRY615,0,2
481,8417900000&&CNTRY994,0,0
482,8703900000&&CNTRY528,0,0
483,8471410043&&CNTRY884,0,0
484,8703331226&&CNTRY615,1,2
485,8703222900&&CNTRY819,0,0
486,808100000&&CNTRY759,1,2
487,6704900000&&CNTRY680,0,0
488,8703210011&&CNTRY825,0,0
489,8466940000&&CNTRY351,0,0
490,8703210011&&CNTRY376,2,2
491,8413919000&&CNTRY379,0,0
492,3004900000&&CNTRY454,0,0
493,7010901200&&CNTRY528,0,0
494,8703221920&&CNTRY759,0,0
495,8704231122&&CNTRY759,1,2
496,7010902122&&CNTRY680,0,0
497,9305990000&&CNTRY759,0,0
498,5901900000&&CNTRY713,0,0
499,8703242900&&CNTRY713,0,2
500,7323100000&&CNTRY454,0,0
501,8703321922&&CNTRY825,0,2
502,8212100000&&CNTRY376,0,0
503,1517100000&&CNTRY759,0,2
504,303790000&&CNTRY759,1,2
505,8702102029&&CNTRY884,0,2
506,5503200000&&CNTRY323,0,0
507,3004900000&&CNTRY759,1,2
508,8703232225&&CNTRY277,1,2
509,303740000&&CNTRY454,0,0
510,6207220000&&CNTRY317,0,0
511,6903200000&&CNTRY415,0,2
512,8716909000&&CNTRY376,0,2
513,8703232926&&CNTRY713,0,0
514,8708990000&&CNTRY343,0,0
515,8703242900&&CNTRY615,1,2
516,8703241128&&CNTRY881,1,2
517,8702902099&&CNTRY680,2,2
518,8703231221&&CNTRY376,1,2
519,8408900000&&CNTRY454,0,0
520,8703900000&&CNTRY830,0,0
521,4009420000&&CNTRY759,0,2
522,4901999000&&CNTRY454,0,0
523,808100000&&CNTRY317,0,2
524,8703242900&&CNTRY830,0,2
525,8703321220&&CNTRY615,0,2
526,7323100000&&CNTRY759,1,2
527,2918290000&&CNTRY385,0,0
528,8703321922&&CNTRY747,0,2
529,6912001000&&CNTRY680,0,0
530,8703242100&&CNTRY994,0,2
531,8703322100&&CNTRY759,0,0
532,3901200000&&CNTRY680,0,2
533,1806901000&&CNTRY680,0,2
534,6406100000&&CNTRY759,0,2
535,5204200000&&CNTRY680,1,2
536,2401200000&&CNTRY680,0,0
537,8703241128&&CNTRY859,0,2
538,3909400000&&CNTRY680,0,0
539,8704231924&&CNTRY884,0,0
540,4011200000&&CNTRY680,0,0
541,4810920092&&CNTRY759,0,0
542,8703900000&&CNTRY713,0,2
543,8702901396&&CNTRY680,0,2
544,8421230000&&CNTRY322,0,0
545,2005510000&&CNTRY615,0,0
546,9405400000&&CNTRY680,0,0
547,5007200000&&CNTRY759,1,2
548,9507900000&&CNTRY277,1,2
549,8703222900&&CNTRY454,1,2
550,8703331226&&CNTRY376,0,0
551,8703321922&&CNTRY615,2,2
552,7202419000&&CNTRY528,0,0
553,3104205000&&CNTRY825,0,0
554,101210001&&CNTRY884,0,0
555,3506100000&&CNTRY153,0,0
556,4810220010&&CNTRY713,0,2
557,2901290009&&CNTRY276,0,0
558,9607190000&&CNTRY976,0,0
559,8409990009&&CNTRY376,0,0
560,8703239091&&CNTRY881,0,0
561,8609009090&&CNTRY652,0,0
562,8536508020&&CNTRY846,0,0
563,4821101000&&CNTRY376,0,0
564,8512301000&&CNTRY825,0,2
565,4011100010&&CNTRY680,0,0
566,6004100000&&CNTRY994,0,0
567,8538909902&&CNTRY825,0,0
568,3923299080&&CNTRY825,0,1
569,5806200000&&CNTRY994,0,0
570,4821109000&&CNTRY976,0,0
571,3004900019&&CNTRY454,0,2
572,8467298504&&CNTRY825,0,2
573,7326909889&&CNTRY976,0,0
574,7616999099&&CNTRY994,1,2
575,8504409090&&CNTRY764,0,0
576,8537101000&&CNTRY747,0,2
577,2922498500&&CNTRY480,0,0
578,8513100090&&CNTRY994,0,0
579,2710124591&&CNTRY825,0,1
580,7320909000&&CNTRY454,0,0
581,7307998000&&CNTRY825,0,0
582,8536508096&&CNTRY846,0,0
583,3303001099&&CNTRY994,0,2
584,7010909921&&CNTRY376,0,0
585,2933599500&&CNTRY284,0,0
586,3926909799&&CNTRY652,0,0
587,6217900009&&CNTRY376,0,0
588,6309000002&&CNTRY994,0,1
589,8409990009&&CNTRY994,1,1
590,3003900019&&CNTRY770,0,0
591,7616999099&&CNTRY846,0,0
592,2811210000&&CNTRY680,0,0
593,8528594009&&CNTRY709,0,0
594,5209390000&&CNTRY920,0,0
595,5807109010&&CNTRY825,0,0
596,8536908599&&CNTRY994,0,0
597,8482109000&&CNTRY976,0,0
598,2849100000&&CNTRY759,0,0
599,6104420001&&CNTRY429,0,0
600,3505105000&&CNTRY654,0,0
601,8609009090&&CNTRY976,0,0
602,8484100000&&CNTRY920,0,0
603,8428909099&&CNTRY959,0,2
604,6110309903&&CNTRY323,0,0
605,2710124591&&CNTRY994,0,0
606,9013809099&&CNTRY652,0,0
607,2803000001&&CNTRY576,0,2
608,5603139010&&CNTRY689,0,0
609,8308200001&&CNTRY123,0,0
610,5811000030&&CNTRY994,0,0
611,8536901099&&CNTRY976,0,0
612,9606100010&&CNTRY652,0,2
613,8703229050&&CNTRY376,0,1
614,2915705000&&CNTRY994,0,0
615,206909900&&CNTRY846,0,2
616,8703232926&&CNTRY994,1,2
617,8527910000&&CNTRY873,0,2
618,2713200000&&CNTRY376,0,0
619,8703210011&&CNTRY654,0,2
620,5801900000&&CNTRY168,0,0
621,8703231119&&CNTRY576,0,2
622,8703231221&&CNTRY884,1,2
623,8517180000&&CNTRY884,2,2
624,3901100000&&CNTRY680,1,2
625,2939420000&&CNTRY385,0,0
626,8703242100&&CNTRY976,0,2
627,8448200000&&CNTRY881,0,0
628,8447900000&&CNTRY680,0,0
629,3207200000&&CNTRY759,0,0
630,7312109000&&CNTRY562,0,2
631,8704231924&&CNTRY874,0,0
632,8711201000&&CNTRY680,0,2
633,3202100000&&CNTRY994,0,0
634,8473300000&&CNTRY709,0,2
635,2922190000&&CNTRY407,0,2
636,8704231924&&CNTRY846,0,0
637,8408900000&&CNTRY748,0,0
638,2710193900&&CNTRY759,0,0
639,6907100000&&CNTRY759,0,0
640,8501320000&&CNTRY618,0,0
641,8704212025&&CNTRY884,1,2
642,8517180000&&CNTRY562,0,2
643,1901900091&&CNTRY656,0,0
644,7601100000&&CNTRY378,0,2
645,5010000000&&CNTRY139,0,0
646,5007200000&&CNTRY680,1,2
647,8438900000&&CNTRY576,0,2
648,5204200000&&CNTRY554,0,0
649,8706001300&&CNTRY615,0,0
650,7212100000&&CNTRY825,0,0
651,8703232926&&CNTRY756,0,0
652,8703231119&&CNTRY656,0,2
653,8214900000&&CNTRY764,0,2
654,6304930097&&CNTRY215,0,0
655,5607900000&&CNTRY528,0,2
656,8702101319&&CNTRY618,0,0
657,8703232124&&CNTRY884,0,0
658,8412900000&&CNTRY988,0,2
659,3902100000&&CNTRY615,0,2
660,8517180000&&CNTRY454,0,0
661,2208700000&&CNTRY825,0,0
662,4000000000&&CNTRY171,0,0
663,904110000&&CNTRY311,0,0
664,6805200000&&CNTRY884,0,0
665,8703232124&&CNTRY680,1,1
666,7308909000&&CNTRY615,0,0
667,6907900000&&CNTRY264,0,2
668,8211920000&&CNTRY615,0,2
669,8443390000&&CNTRY759,0,0
670,8703900000&&CNTRY881,0,0
671,8703321922&&CNTRY959,0,0
672,2710124591&&CNTRY284,0,0
673,8421392000&&CNTRY376,0,0
674,9801000000&&CNTRY994,1,1
675,8414598090&&CNTRY236,0,0
676,8542399090&&CNTRY994,0,0
677,2203000903&&CNTRY351,0,0
678,4107911011&&CNTRY994,1,2
679,9606100010&&CNTRY123,0,2
680,7318220000&&CNTRY994,0,0
681,8538909909&&CNTRY825,0,1
682,8536908599&&CNTRY376,0,0
683,8544119090&&CNTRY709,0,2
684,8414592010&&CNTRY866,0,0
685,8421990020&&CNTRY994,0,1
686,6217900009&&CNTRY153,0,0
687,8207509000&&CNTRY846,0,0
688,3208201000&&CNTRY123,0,2
689,6217900009&&CNTRY994,0,0
690,8536901020&&CNTRY994,0,1
691,3923299030&&CNTRY701,0,0
692,8708999799&&CNTRY994,0,0
693,6203423103&&CNTRY825,0,0
694,8421392000&&CNTRY994,0,1
695,9503009909&&CNTRY376,0,0
696,8536908591&&CNTRY123,0,0
697,8421392000&&CNTRY825,0,0
698,8301401900&&CNTRY843,0,2
699,105119901&&CNTRY994,0,0
700,4911101000&&CNTRY994,0,0
701,9801000000&&CNTRY376,0,0
702,8544300090&&CNTRY376,0,0
703,2003102000&&CNTRY277,0,2
704,8480200000&&CNTRY785,0,0
705,2501009991&&CNTRY321,0,0
706,8704219941&&CNTRY123,0,2
707,2710124591&&CNTRY976,0,0
708,8302490009&&CNTRY976,0,0
709,2710124591&&CNTRY376,0,0
710,6004100000&&CNTRY680,0,2
711,4016930000&&CNTRY994,0,0
712,8538909902&&CNTRY277,0,0
713,9804000000&&CNTRY825,0,1
714,3920930000&&CNTRY263,0,0
715,8542399090&&CNTRY139,0,0
716,7315119090&&CNTRY975,0,0
717,9032102000&&CNTRY920,0,0
718,5806200000&&CNTRY123,0,0
719,3923299080&&CNTRY454,0,2
720,5211320000&&CNTRY456,0,0
721,3307410000&&CNTRY994,0,0
722,6006420000&&CNTRY994,1,2
723,2832300000&&CNTRY454,0,2
724,1806903100&&CNTRY976,0,0
725,5807109010&&CNTRY376,0,0
726,8205598009&&CNTRY994,0,0
727,3915901100&&CNTRY558,0,0
