,IMPORTER.TIN,IMPORTER.TIN_illicit_Qsum,IMPORTER.TIN_illicit_Qrate
288,IMP202854,0,0
289,IMP297730,0,3
290,IMP170599,0,0
291,IMP326914,0,0
292,IMP381305,0,0
293,IMP264163,0,2
294,IMP643137,0,3
295,IMP414024,3,3
296,IMP122694,2,1
297,IMP759377,3,3
298,IMP211637,0,0
299,IMP992026,1,2
300,IMP907559,0,3
301,IMP766474,1,2
302,IMP341307,3,2
303,IMP170000,0,0
304,IMP187612,2,1
305,IMP781428,0,3
306,IMP678037,1,3
307,IMP904574,3,3
308,IMP880497,0,0
309,IMP249306,0,2
310,IMP503241,1,3
311,IMP829675,2,2
312,IMP987751,0,0
313,IMP488624,0,3
314,IMP648653,3,2
315,IMP229911,0,0
316,IMP203905,2,2
317,IMP646215,1,3
318,IMP239127,1,3
319,IMP111951,0,3
320,IMP359032,0,3
321,IMP809423,3,3
322,IMP855449,3,2
323,IMP870242,1,1
324,IMP533993,0,0
325,IMP555305,2,1
326,IMP322276,0,1
327,IMP566004,0,0
328,IMP380484,1,3
329,IMP589573,3,2
330,IMP190354,0,0
331,IMP183301,0,0
332,IMP271556,0,1
333,IMP674837,1,3
334,IMP816831,1,3
335,IMP513550,0,3
336,IMP788254,0,3
337,IMP891508,0,0
338,IMP565314,3,2
339,IMP938680,2,1
340,IMP803166,0,3
341,IMP397513,1,2
342,IMP864528,0,0
343,IMP850913,0,3
344,IMP554100,3,2
345,IMP849369,1,3
346,IMP962728,0,0
347,IMP601203,2,3
348,IMP585281,1,1
349,IMP136716,0,0
350,IMP772361,0,3
351,IMP183611,0,3
352,IMP458839,1,2
353,IMP142564,2,2
354,IMP559457,1,3
355,IMP147114,1,3
356,IMP774515,0,3
357,IMP765281,3,2
358,IMP394006,2,2
359,IMP328855,1,3
360,IMP181410,0,0
361,IMP818754,0,0
362,IMP327939,1,1
363,IMP653688,0,3
364,IMP757191,0,0
365,IMP659233,0,3
366,IMP322409,0,3
367,IMP354522,2,3
368,IMP138552,3,2
369,IMP530401,1,3
370,IMP447299,3,2
371,IMP178690,3,3
372,IMP920460,0,3
373,IMP651050,1,3
374,IMP727169,1,1
375,IMP589386,1,3
376,IMP792271,3,3
377,IMP267369,2,2
378,IMP426343,0,3
379,IMP901000,1,3
380,IMP380288,0,0
381,IMP143460,1,2
382,IMP407066,0,0
383,IMP178626,1,2
384,IMP787271,0,2
385,IMP942665,0,3
386,IMP959242,1,3
387,IMP716770,0,0
388,IMP437782,0,0
389,IMP327159,3,2
390,IMPO15533,3,1
391,IMPO15988,3,2
392,IMPO11601,1,3
393,IMPO19655,0,0
394,IMPO18489,0,3
395,IMPO13975,1,0
396,IMPO10477,2,1
397,IMPO12155,1,3
398,IMPO12398,0,0
399,IMPO14334,1,0
400,IMPO11732,2,3
401,IMPO13754,1,0
402,IMPO13618,3,2
403,IMPO16622,2,1
404,IMPO14354,1,3
405,IMPO18208,1,2
406,IMPO13685,0,1
407,IMPO13761,0,0
408,IMPO13181,1,0
409,IMPO17792,1,3
410,IMPO11469,1,0
411,IMPO11444,1,1
412,IMPO19256,1,3
413,IMPO18475,2,1
414,IMPO10462,2,1
415,IMPO12524,0,3
416,IMPO17112,1,3
417,IMPO19613,2,1
418,IMPO17115,1,1
419,IMPO19747,2,2
420,IMPO17470,1,3
421,IMPO18361,1,1
422,IMPO10254,0,0
423,IMPO13495,2,1
424,IMPO15276,0,0
425,IMPO11284,1,0
426,IMPO19420,3,0
427,IMPO19945,1,3
428,IMPO18400,1,1
429,IMPO11528,0,0
430,IMPO15767,1,0
431,IMPO19927,0,0
432,IMPO17368,1,1
433,IMPO15955,1,0
434,IMPO17476,0,3
435,IMPO10845,3,2
436,IMPO16803,0,0
437,IMPO12207,2,1
438,IMPO18778,2,1
439,IMPO12228,3,2
440,IMPO14368,0,3
441,IMPO10166,0,0
442,IMPO17253,1,0
443,IMPO14301,1,1
444,IMPO16269,0,3
445,IMPO10005,1,0
446,IMPO13981,0,3
447,IMPO12219,3,2
448,IMPO12102,1,3
449,IMPO16873,3,2
450,IMPO15705,0,0
451,IMPO17244,0,3
452,IMPO19949,1,3
453,IMPO15338,0,0
454,IMPO11356,1,3
455,IMPO17093,1,3
456,IMPO16524,1,1
457,IMPO11277,0,0
458,IMPO15707,0,0
459,IMPO17964,3,2
460,IMPO19502,1,3
461,IMPO10700,1,1
462,IMPO13095,1,1
463,IMPO10723,2,1
464,IMPO14011,1,3
465,IMPO19013,1,1
466,IMPO18194,2,1
467,IMPO17088,0,0
468,IMPO12183,1,1
469,IMPO15626,3,2
470,IMPO14713,2,1
471,IMPO10344,3,2
472,IMPO14527,1,3
473,IMPO19789,0,3
474,IMPO14414,2,1
475,IMPO17356,1,1
476,IMPO14759,0,3
477,IMPO11430,1,3
478,IMPO10541,2,1
479,IMPO13005,1,3
480,IMPO19338,1,3
481,IMPO18212,3,2
482,IMPO12200,3,3
483,IMPO15916,0,0
484,IMPO13784,1,3
485,IMPO12066,2,2
486,IMPO18238,1,1
487,IMPO15737,0,0
488,IMPO19818,2,2
489,IMPO18173,0,3
490,IMPO17757,0,0
491,IMPO12833,1,3
492,IMPO15283,1,1
493,IMPO15051,0,0
494,IMPO16338,0,0
495,IMPO16347,1,2
496,IMPO15661,1,0
497,IMPO15100,1,3
498,IMPO17156,0,0
499,IMPO18764,2,2
500,IMPO19159,1,0
501,IMPO19263,0,0
502,IMP803789,0,3
503,IMP359750,0,0
504,IMP355376,3,2
505,IMP478176,1,2
506,IMP370421,0,1
507,IMP361374,3,2
508,IMP412417,2,2
509,IMP100143,0,3
510,IMP409600,0,0
511,IMP445164,3,2
512,IMP591216,3,2
513,IMP195096,2,3
514,IMP946034,0,0
515,IMP325362,0,3
516,IMP154351,1,2
517,IMP434684,0,2
518,IMP691078,1,2
519,IMP294555,0,0
520,IMP752126,0,0
521,IMP863463,1,0
522,IMP404197,1,3
523,IMP795744,1,3
524,IMP677211,2,2
525,IMP987414,3,3
526,IMP456549,1,1
527,IMP310321,3,3
528,IMP464187,0,0
529,IMP268981,0,3
530,IMP722809,0,3
531,IMP922219,2,2
532,IMP494993,0,0
533,IMP488686,0,0
534,IMP243487,3,3
535,IMP294853,1,1
536,IMP822166,0,0
537,IMP610620,0,0
538,IMP341752,0,0
539,IMP845208,2,3
540,IMP402491,0,0
541,IMP705447,0,0
542,IMP579050,0,0
543,IMP932066,0,0
544,IMP447237,0,3
545,IMP108297,0,0
546,IMP546397,0,0
547,IMP884593,0,0
548,IMP377749,0,0
549,IMP112688,2,2
550,IMP675495,0,3
551,IMP480388,0,0
552,IMP680100,0,0
553,IMP917839,0,3
554,IMP944455,3,3
555,IMP488219,2,3
556,IMP826145,3,3
557,IMP368114,0,3
558,IMP307828,2,1
559,IMP665827,0,0
560,IMP208220,0,3
561,IMP444962,1,3
562,IMP309416,0,3
563,IMP785954,0,0
564,IMP244709,2,3
565,IMP226111,1,2
566,IMP110489,3,3
567,IMP616173,3,2
568,IMP428962,2,3
569,IMP805968,1,2
570,IMP199358,1,3
571,IMP324025,0,0
572,IMP860577,0,0
573,IMP880869,0,3
574,IMP184197,0,0
575,IMP530357,1,3
576,IMP655954,0,3
577,IMP878846,2,3
578,IMP602902,0,3
579,IMP171493,0,3
580,IMP435108,2,3
581,IMP286665,3,2
582,IMP259858,0,3
583,IMP671861,1,2
584,IMP397350,0,0
585,IMP293794,0,3
586,IMP396712,1,3
587,IMP165827,3,2
588,IMP306129,1,3
589,IMP766914,1,3
590,IMP528057,0,0
591,IMP818040,0,0
592,IMP602882,0,0
593,IMP829690,0,3
594,IMP781588,3,2
595,IMP551855,0,0
596,IMP832851,0,0
597,IMP326043,3,3
598,IMPO14947,1,3
599,IMPO11016,2,1
600,IMPO18902,0,0
601,IMPO13921,0,3
602,IMPO17010,0,3
603,IMPO15520,2,2
604,IMPO17462,1,0
605,IMPO15253,1,1
606,IMPO15501,1,3
607,IMPO18350,1,3
608,IMPO11075,1,1
609,IMPO15272,0,3
610,IMPO18472,0,0
611,IMPO13548,1,1
612,IMPO16786,0,0
613,IMPO16042,0,3
614,IMPO12146,0,0
615,IMPO12355,0,3
616,IMPO18782,0,3
617,IMPO18898,3,3
618,IMPO13238,0,2
619,IMPO18364,0,0
620,IMPO14757,0,3
621,IMPO13927,0,3
622,IMPO15403,2,3
623,IMPO17725,0,0
624,IMPO16428,2,2
625,IMPO12616,2,3
626,IMPO16887,2,1
627,IMPO12931,0,0
628,IMPO12551,1,3
629,IMPO18158,1,3
630,IMPO12657,0,0
631,IMPO19255,0,0
632,IMPO13696,0,0
633,IMPO13208,0,0
634,IMPO16620,1,3
635,IMPO12721,1,3
636,IMPO16166,0,3
637,IMPO17769,0,0
638,IMPO12986,1,3
639,IMPO13482,0,2
640,IMPO14627,3,2
641,IMPO11483,0,0
642,IMPO13849,0,3
643,IMPO12743,0,0
644,IMPO12081,0,0
645,IMPO14035,1,1
646,IMPO10210,2,1
647,IMPO12054,0,0
648,IMPO17483,2,1
649,IMPO11762,0,3
650,IMP812435,1,3
651,IMP135970,2,2
652,IMP765832,1,2
653,IMP346186,0,0
654,IMP156950,2,2
655,IMP691536,0,0
656,IMP364620,0,3
657,IMP369394,1,3
658,IMP781895,0,1
659,IMP787442,1,3
660,IMP866356,0,0
661,IMP236573,2,3
662,IMP202790,0,0
663,IMP106237,3,2
664,IMP745344,0,3
665,IMP111521,0,0
666,IMP264139,0,0
667,IMP239374,0,3
668,IMP144148,0,3
669,IMP193943,0,0
670,IMP734391,1,2
671,IMP700544,0,3
672,IMP957444,0,3
673,IMP638175,3,2
674,IMP467914,1,3
675,IMP594435,0,0
676,IMP908451,0,0
677,IMP763548,3,2
678,IMP601072,0,0
679,IMP132197,0,3
680,IMP326208,0,0
681,IMP506682,0,0
682,IMP358094,3,2
683,IMP678358,1,3
684,IMP511760,1,3
685,IMP739001,0,3
686,IMP306185,0,0
687,IMP247978,0,0
688,IMP775048,1,3
689,IMP596580,3,3
690,IMP656803,1,3
691,IMP910380,0,3
692,IMP703936,3,2
693,IMP416045,2,3
694,IMP366793,1,3
695,IMP944318,0,3
696,IMP428055,0,3
697,IMP709341,0,3
698,IMP839527,0,0
699,IMP849511,1,2
700,IMP609024,1,3
701,IMP793732,2,3
702,IMP150306,1,3
703,IMP705831,0,0
704,IMP280849,0,0
705,IMP961792,0,0
706,IMP806541,1,3
707,IMP129139,0,0
708,IMP741358,0,0
709,IMP928025,0,3
710,IMP633501,2,1
711,IMP109033,0,3
712,IMP731588,0,0
713,IMP360066,0,3
714,IMP620150,0,0
715,IMP638491,0,3
716,IMPO11104,1,3
717,IMPO16794,2,1
718,IMPO19132,2,2
719,IMPO18570,0,3
720,IMPO12519,2,2
721,IMPO11454,1,0
722,IMPO12639,0,3
723,IMPO18334,0,0
724,IMPO17812,0,0
725,IMPO11829,1,3
726,IMPO18716,0,0
727,IMPO16337,1,3
728,IMPO15485,0,0
729,IMPO11200,0,0
730,IMPO17728,0,2
731,IMPO17334,1,3
732,IMPO10156,2,2
733,IMPO12807,0,3
734,IMPO13987,0,3
735,IMPO18703,2,1
736,IMPO16637,0,3
737,IMPO13153,1,0
738,IMPO19182,2,1
739,IMPO15506,1,1
740,IMPO19363,2,1
741,IMPO10097,2,2
742,IMPO17996,0,0
743,IMPO16058,0,0
744,IMPO15487,0,0
745,IMPO10899,2,3
746,IMPO12692,1,3
747,IMPO17707,1,3
748,IMPO16784,1,1
749,IMPO15477,0,3
750,IMPO16523,1,1
751,IMPO12343,1,0
752,IMPO13534,0,0
753,IMPO15445,0,3
754,IMPO17134,1,3
755,IMPO13071,0,3
756,IMPO11353,2,1
757,IMPO10094,1,3
758,IMPO16756,0,3
759,IMPO13301,0,3
760,IMPO19250,1,1
761,IMPO17834,0,3
762,IMPO15880,1,1
763,IMPO18353,1,3
764,IMPO19778,0,0
765,IMPO19229,0,0
766,IMPO13815,0,3
767,IMPO17977,1,3
768,IMPO10310,0,0
769,IMPO13097,2,2
770,IMPO19894,1,3
771,IMPO16093,0,0
772,IMPO18960,1,1
773,IMPO10686,1,3
774,IMPO18640,0,0
775,IMPO19646,0,3
776,IMPO16550,1,3
777,IMP257336,0,3
778,IMP646220,0,0
779,IMP480452,0,0
780,IMP412513,1,2
781,IMP114823,0,3
782,IMP859491,0,0
783,IMP142727,0,3
784,IMP253890,0,0
785,IMP597213,3,3
786,IMP983885,0,3
787,IMP492174,0,3
788,IMP873935,3,2
789,IMP207855,0,0
790,IMP305416,1,3
791,IMP306780,0,3
792,IMP593987,0,3
793,IMP694837,1,3
794,IMP824142,0,0
795,IMP811925,1,2
796,IMP838051,0,3
797,IMP942956,0,0
798,IMP529575,0,0
799,IMP775098,0,2
800,IMP336761,0,0
801,IMP901579,0,0
802,IMP355877,1,1
803,IMP434783,0,0
804,IMP485905,1,3
805,IMP336033,2,3
806,IMP387528,0,3
807,IMP788182,0,0
808,IMP422513,0,0
809,IMP131933,2,3
810,IMP686056,0,0
811,IMP882078,1,3
812,IMP399261,1,3
813,IMP443453,1,3
814,IMP838573,0,2
815,IMP621539,0,0
816,IMP188186,3,1
817,IMP673892,0,3
818,IMP442440,2,3
819,IMP841357,1,3
820,IMP850646,1,3
821,IMP200652,1,3
822,IMP745880,0,3
823,IMP862832,0,2
824,IMP855788,0,0
825,IMP510684,0,0
826,IMP390231,0,3
827,IMP117406,1,2
828,IMP595796,1,1
829,IMP438117,0,3
830,IMP785027,0,3
831,IMP775888,2,3
832,IMP308967,0,3
833,IMP983084,0,3
834,IMP801300,2,3
835,IMP299362,1,3
836,IMP458807,0,0
837,IMP159915,0,0
838,IMP422899,0,3
839,IMP412616,0,0
840,IMP221266,0,0
841,IMP693403,2,3
842,IMP612779,0,3
843,IMP679230,0,3
844,IMPO10248,1,3
845,IMPO12909,3,2
846,IMPO18597,2,2
847,IMPO12395,1,3
848,IMPO14511,0,3
849,IMPO18915,0,0
850,IMPO13133,1,3
851,IMPO18139,1,2
852,IMPO15608,0,0
853,IMPO18106,2,2
854,IMPO10763,2,1
855,IMPO10037,2,3
856,IMPO18763,0,3
857,IMPO12558,1,3
858,IMPO16666,0,0
859,IMPO19644,0,0
860,IMPO17080,1,3
861,IMPO10448,0,0
862,IMPO10369,1,3
863,IMPO10622,0,0
864,IMPO13340,0,0
865,IMPO13948,0,3
866,IMPO14546,1,3
867,IMPO10599,1,3
868,IMPO11883,0,0
869,IMPO13381,1,3
870,IMPO10444,1,3
871,IMPO12718,0,0
872,IMPO11394,3,2
873,IMPO10284,0,3
874,IMPO16733,1,3
875,IMPO19295,0,0
876,IMPO17140,2,3
877,IMPO15279,1,1
878,IMPO18876,1,3
879,IMPO15557,0,0
880,IMPO10228,2,1
881,IMPO14700,0,2
882,IMPO11301,0,0
883,IMPO16351,0,0
884,IMPO19708,0,0
885,IMPO16467,0,0
886,IMPO15423,2,3
887,IMPO17535,0,0
888,IMPO15165,2,1
889,IMP433915,0,3
890,IMP115712,0,0
891,IMP726222,1,2
892,IMP637931,0,0
893,IMP639617,0,3
894,IMP627060,0,3
895,IMP384538,1,3
896,IMP642971,0,0
897,IMP734460,0,0
898,IMP665756,0,0
899,IMP729355,0,1
900,IMP581888,0,3
901,IMP960315,0,1
902,IMP135798,0,3
903,IMP956681,0,0
904,IMP419507,1,1
905,IMP537680,0,3
906,IMP929565,1,3
907,IMP448737,1,3
908,IMP376308,0,0
909,IMP400010,0,0
910,IMP314610,0,3
911,IMP150295,0,0
912,IMP841863,0,3
913,IMP370800,1,3
914,IMP904748,3,2
915,IMP486770,0,0
916,IMP670276,0,0
917,IMP810832,2,3
918,IMP471741,0,0
919,IMP157957,0,3
920,IMP773454,2,3
921,IMP179843,0,3
922,IMP157353,3,3
923,IMP592777,1,3
924,IMP386064,0,3
925,IMP655696,0,3
926,IMP593257,0,0
927,IMP812769,0,0
928,IMP872565,3,2
929,IMP872620,1,2
930,IMP252249,3,2
931,IMP532955,1,3
932,IMP906719,1,3
933,IMP626385,0,0
934,IMP885608,0,3
935,IMP138935,0,0
936,IMP349927,0,1
937,IMP340353,0,3
938,IMP733335,0,0
939,IMP260504,1,3
940,IMP328939,0,3
941,IMP181390,1,2
942,IMP183639,0,0
943,IMP392333,0,0
944,IMP318513,1,3
945,IMP632761,0,0
946,IMP182790,0,0
947,IMPO10583,1,3
948,IMPO17538,1,0
949,IMPO16598,0,0
950,IMPO15135,1,0
951,IMPO12754,1,3
952,IMPO10423,3,2
953,IMPO10676,0,0
954,IMPO16448,0,0
955,IMPO12067,0,0
956,IMPO14698,2,2
957,IMPO11886,1,3
958,IMPO19590,1,1
959,IMPO10281,2,3
960,IMPO11647,1,3
961,IMPO13917,0,0
962,IMPO18854,1,3
963,IMPO12520,3,3
964,IMPO19541,0,3
965,IMPO13562,1,3
966,IMPO11245,1,3
967,IMPO18986,1,3
968,IMPO16045,0,0
969,IMPO16354,0,0
970,IMPO10318,1,3
971,IMPO19898,2,1
972,IMPO13226,0,3
973,IMPO17389,0,0
974,IMPO14789,0,3
975,IMPO15838,0,0
976,IMPO16432,1,3
977,IMPO19558,0,0
978,IMPO18456,0,0
979,IMPO17497,0,0
980,IMPO19498,1,3
981,IMPO14581,0,0
982,IMPO14751,1,3
983,IMPO14839,0,0
984,IMP930110,0,0
985,IMP118631,0,3
986,IMP831689,0,0
987,IMP770963,1,3
988,IMP643069,0,0
989,IMP512831,0,3
990,IMP787957,0,0
991,IMP746633,0,3
992,IMP107241,0,0
993,IMP197572,0,3
994,IMP618304,0,0
995,IMP634131,0,3
996,IMP743155,0,3
997,IMP175383,0,0
998,IMP312374,0,2
999,IMP650915,0,0
1000,IMP963491,1,3
1001,IMP781475,0,0
1002,IMP932251,1,3
1003,IMP338376,1,3
1004,IMP753399,0,0
1005,IMP186355,0,3
1006,IMP146605,0,3
1007,IMP727635,0,3
1008,IMP442977,0,0
1009,IMP527840,1,3
1010,IMP750131,1,3
1011,IMP354561,0,3
1012,IMP588364,0,0
1013,IMP120345,0,3
1014,IMP500955,0,0
1015,IMP681369,1,3
1016,IMP686852,0,3
1017,IMP178153,0,0
1018,IMP826726,1,3
1019,IMP484557,0,3
1020,IMP756628,0,3
1021,IMP361687,1,3
1022,IMP951666,0,0
1023,IMP611623,0,0
1024,IMP284668,1,3
1025,IMP919582,0,0
1026,IMP764530,2,2
1027,IMP182858,1,2
1028,IMP697865,0,3
1029,IMP900740,1,3
1030,IMP150787,0,0
1031,IMP871673,0,0
1032,IMP368573,1,3
1033,IMP654755,0,3
1034,IMP815838,0,0
1035,IMPO16729,0,3
1036,IMPO10879,0,0
1037,IMPO17265,0,3
1038,IMPO11630,1,3
1039,IMPO13240,2,3
1040,IMPO14093,0,3
1041,IMPO19635,0,0
1042,IMPO10674,0,0
1043,IMPO16230,0,0
1044,IMPO15632,1,3
1045,IMPO14455,3,2
1046,IMPO11651,0,0
1047,IMPO10425,0,0
1048,IMPO17906,1,3
1049,IMPO11750,1,3
1050,IMPO14695,1,3
1051,IMPO12243,0,0
1052,IMPO12936,0,0
1053,IMPO12840,1,3
1054,IMPO16763,1,3
1055,IMPO11738,1,3
1056,IMPO17997,1,3
1057,IMPO10143,0,3
1058,IMPO18928,1,3
1059,IMPO14126,0,0
1060,IMPO19206,1,3
1061,IMPO15319,0,0
1062,IMPO14200,0,2
1063,IMPO10241,0,3
1064,IMPO15943,1,3
1065,IMPO11027,2,3
1066,IMPO15094,0,0
1067,IMPO17099,0,3
1068,IMPO19031,0,3
1069,IMP818367,0,3
1070,IMP102239,0,3
1071,IMP999565,1,3
1072,IMP931613,0,3
1073,IMP110861,0,0
1074,IMP392428,0,0
1075,IMP567117,1,3
1076,IMP113079,0,3
1077,IMP191492,0,0
1078,IMP382299,0,3
1079,IMP407540,0,0
1080,IMP964158,0,0
1081,IMP334127,0,3
1082,IMP635053,1,3
1083,IMP112918,1,3
1084,IMP766250,0,0
1085,IMP975819,1,1
1086,IMP542309,1,3
1087,IMP563087,0,0
1088,IMP939638,1,2
1089,IMP418797,0,3
1090,IMP179618,2,2
1091,IMP413683,0,0
1092,IMP399111,1,3
1093,IMP100326,0,0
1094,IMP397304,0,0
1095,IMP522023,1,3
1096,IMP771217,0,3
1097,IMP363925,0,3
1098,IMP351896,0,3
1099,IMP286739,1,3
1100,IMP126864,1,3
1101,IMP409629,0,2
1102,IMP896694,1,3
1103,IMP188178,0,3
1104,IMP231262,1,3
1105,IMP144221,0,3
1106,IMP959224,0,3
1107,IMP901468,0,3
1108,IMP140954,1,2
1109,IMP239073,1,3
1110,IMP276704,0,0
1111,IMP643863,0,0
