,IMPORTER.TIN&&ORIGIN.CODE,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qsum,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qrate
111,IMP783432&&CNTRY376,0,0
112,IMP440223&&CNTRY680,1,1
113,IMP818665&&CNTRY680,0,0
114,IMP502913&&CNTRY759,0,0
115,IMP715456&&CNTRY277,0,0
116,IMP557327&&CNTRY680,0,0
117,IMP530144&&CNTRY764,0,1
118,IMP545640&&CNTRY125,0,0
119,IMP389795&&CNTRY491,0,0
120,IMP660556&&CNTRY830,0,0
121,IMP152015&&CNTRY615,0,0
122,IMP704075&&CNTRY680,0,0
123,IMP439370&&CNTRY680,0,0
124,IMP897252&&CNTRY323,0,1
125,IMP824798&&CNTRY680,1,1
126,IMP444534&&CNTRY759,0,0
127,IMP339215&&CNTRY713,0,0
128,IMP278851&&CNTRY680,0,0
129,IMP894296&&CNTRY615,1,1
130,IMP393792&&CNTRY264,0,0
131,IMP475311&&CNTRY615,0,1
132,IMP237401&&CNTRY759,0,1
133,IMP638434&&CNTRY680,0,0
134,IMP720986&&CNTRY680,0,0
135,IMP560489&&CNTRY680,0,1
136,IMP921040&&CNTRY277,0,0
137,IMP288464&&CNTRY759,0,0
138,IMP798907&&CNTRY759,0,0
139,IMP674947&&CNTRY759,0,1
140,IMP806682&&CNTRY555,0,0
141,IMP233628&&CNTRY680,0,0
142,IMP446948&&CNTRY759,0,1
143,IMP207129&&CNTRY615,0,0
144,IMP329077&&CNTRY277,0,0
145,IMP674511&&CNTRY830,0,0
146,IMP804413&&CNTRY713,0,0
147,IMP151873&&CNTRY680,0,0
148,IMP720986&&CNTRY759,0,1
149,IMP179534&&CNTRY759,1,1
150,IMP951496&&CNTRY759,0,0
151,IMP385327&&CNTRY376,1,1
152,IMP837081&&CNTRY454,0,0
153,IMP302697&&CNTRY615,0,0
154,IMP413288&&CNTRY376,0,0
155,IMP413429&&CNTRY759,0,0
156,IMP480296&&CNTRY859,0,0
157,IMP446948&&CNTRY376,0,0
158,IMP995522&&CNTRY680,1,1
159,IMP142940&&CNTRY874,0,0
160,IMP522479&&CNTRY311,0,0
161,IMP900492&&CNTRY680,0,0
162,IMP844837&&CNTRY759,0,0
163,IMP555103&&CNTRY680,1,1
164,IMP450852&&CNTRY884,0,0
165,IMP223477&&CNTRY759,0,0
166,IMP447222&&CNTRY429,0,0
167,IMP151367&&CNTRY317,0,1
168,IMP381347&&CNTRY680,0,1
169,IMP732143&&CNTRY473,0,0
170,IMP397091&&CNTRY759,0,0
171,IMP439866&&CNTRY680,1,1
172,IMP447222&&CNTRY562,0,0
173,IMP822061&&CNTRY321,0,0
174,IMP624912&&CNTRY139,0,0
175,IMP163708&&CNTRY759,0,0
176,IMP352883&&CNTRY680,0,1
177,IMP397390&&CNTRY680,0,0
178,IMP606875&&CNTRY975,0,0
179,IMP392040&&CNTRY376,0,0
180,IMP307848&&CNTRY680,1,1
181,IMP831109&&CNTRY680,0,1
182,IMP916902&&CNTRY759,0,0
183,IMP368858&&CNTRY830,0,0
184,IMP271968&&CNTRY680,0,1
185,IMP287020&&CNTRY680,1,1
186,IMP496378&&CNTRY680,1,1
187,IMP747754&&CNTRY317,0,0
188,IMP916498&&CNTRY376,0,0
189,IMP221718&&CNTRY562,0,0
190,IMP965305&&CNTRY376,0,0
191,IMP818665&&CNTRY825,0,0
192,IMP643203&&CNTRY680,0,0
193,IMP934273&&CNTRY680,0,0
194,IMP924304&&CNTRY759,0,0
195,IMP995597&&CNTRY680,0,0
196,IMP832758&&CNTRY680,1,1
197,IMP745669&&CNTRY819,0,0
198,IMPO14576&&CNTRY321,0,0
199,IMPO18200&&CNTRY825,0,1
200,IMPO19245&&CNTRY652,0,0
201,IMPO16184&&CNTRY184,0,0
202,IMPO19578&&CNTRY976,0,1
203,IMPO14029&&CNTRY615,0,0
204,IMPO16400&&CNTRY825,0,0
205,IMPO19601&&CNTRY316,0,0
206,IMPO10407&&CNTRY764,0,1
207,IMPO11025&&CNTRY994,0,0
208,IMPO18767&&CNTRY376,0,0
209,IMPO19253&&CNTRY364,0,0
210,IMPO17282&&CNTRY994,0,0
211,IMPO14494&&CNTRY123,0,0
212,IMPO11316&&CNTRY994,0,0
213,IMPO19080&&CNTRY881,0,0
214,IMPO17403&&CNTRY680,0,0
215,IMPO15928&&CNTRY846,0,0
216,IMPO13631&&CNTRY994,1,1
217,IMPO19604&&CNTRY277,0,0
218,IMPO13889&&CNTRY454,0,1
219,IMPO15783&&CNTRY687,0,0
220,IMPO13867&&CNTRY376,0,0
221,IMPO15844&&CNTRY759,0,1
222,IMPO18253&&CNTRY975,0,1
223,IMPO19832&&CNTRY376,0,0
224,IMPO16612&&CNTRY747,0,0
225,IMPO17426&&CNTRY376,0,0
226,IMPO18788&&CNTRY976,0,0
227,IMPO11033&&CNTRY438,0,0
228,IMPO12945&&CNTRY825,0,0
229,IMPO19604&&CNTRY376,0,0
230,IMPO11563&&CNTRY825,0,0
231,IMPO10976&&CNTRY994,0,0
232,IMPO12985&&CNTRY994,0,0
233,IMPO14670&&CNTRY976,0,0
234,IMPO12669&&CNTRY376,0,0
235,IMPO16510&&CNTRY376,0,0
236,IMPO11058&&CNTRY713,0,1
237,IMPO12643&&CNTRY994,0,0
238,IMPO10711&&CNTRY994,0,1
239,IMPO14890&&CNTRY376,0,0
240,IMPO18973&&CNTRY994,0,0
241,IMPO11938&&CNTRY376,0,0
242,IMPO12250&&CNTRY994,0,0
243,IMPO16593&&CNTRY454,0,0
244,IMPO12265&&CNTRY123,0,0
245,IMPO15052&&CNTRY376,0,0
246,IMPO16658&&CNTRY994,0,1
247,IMPO15765&&CNTRY825,0,0
248,IMPO10638&&CNTRY915,0,0
249,IMPO17781&&CNTRY652,0,0
250,IMPO18445&&CNTRY994,0,0
251,IMPO11135&&CNTRY884,0,0
252,IMPO18189&&CNTRY994,0,0
253,IMPO10956&&CNTRY884,0,0
254,IMPO17282&&CNTRY615,0,0
255,IMPO18968&&CNTRY652,0,0
256,IMPO11265&&CNTRY652,0,0
257,IMPO12485&&CNTRY376,0,0
258,IMPO12610&&CNTRY454,0,0
259,IMPO16995&&CNTRY123,0,0
260,IMPO13165&&CNTRY263,0,0
261,IMPO17958&&CNTRY393,0,0
262,IMPO15859&&CNTRY994,0,0
263,IMPO16865&&CNTRY454,0,0
264,IMPO19879&&CNTRY994,0,0
265,IMPO13403&&CNTRY884,0,0
266,IMPO19924&&CNTRY317,0,0
267,IMPO19390&&CNTRY994,1,0
268,IMPO10302&&CNTRY846,0,0
269,IMPO17391&&CNTRY994,0,0
270,IMPO16400&&CNTRY976,0,1
271,IMPO12514&&CNTRY994,0,0
272,IMPO12124&&CNTRY171,0,1
273,IMPO12598&&CNTRY994,0,0
274,IMPO19547&&CNTRY748,0,1
275,IMPO12835&&CNTRY454,0,0
276,IMPO18432&&CNTRY976,0,0
277,IMPO10684&&CNTRY335,0,1
278,IMPO14863&&CNTRY409,0,1
279,IMPO18806&&CNTRY825,0,0
280,IMPO11779&&CNTRY994,0,0
281,IMPO15198&&CNTRY825,0,0
282,IMPO14394&&CNTRY846,0,0
283,IMPO10267&&CNTRY994,0,0
284,IMPO11063&&CNTRY376,0,0
285,IMPO12950&&CNTRY846,0,1
286,IMPO11509&&CNTRY209,0,0
287,IMPO16157&&CNTRY407,0,0
288,IMPO18333&&CNTRY123,0,0
289,IMPO19469&&CNTRY976,0,0
290,IMPO14386&&CNTRY843,0,1
291,IMP474316&&CNTRY562,0,0
292,IMP439370&&CNTRY759,0,0
293,IMP280692&&CNTRY113,0,0
294,IMP776989&&CNTRY680,0,0
295,IMP435297&&CNTRY277,0,0
296,IMP522479&&CNTRY454,0,0
297,IMP206242&&CNTRY759,1,1
298,IMP965305&&CNTRY680,0,0
299,IMP678988&&CNTRY615,0,0
300,IMP511342&&CNTRY680,0,0
301,IMP172475&&CNTRY234,0,1
302,IMP660556&&CNTRY680,0,1
303,IMP934643&&CNTRY891,0,0
304,IMP440223&&CNTRY759,0,1
305,IMP909394&&CNTRY321,0,0
306,IMP142940&&CNTRY376,0,0
307,IMP172368&&CNTRY680,0,0
308,IMP344527&&CNTRY680,0,1
309,IMP179534&&CNTRY884,0,0
310,IMP594770&&CNTRY615,0,1
311,IMP717735&&CNTRY576,0,1
312,IMP280132&&CNTRY562,0,0
313,IMP107102&&CNTRY311,0,0
314,IMP980531&&CNTRY680,0,0
315,IMP317314&&CNTRY759,1,1
316,IMP824798&&CNTRY615,0,0
317,IMP229787&&CNTRY759,0,0
318,IMP810695&&CNTRY264,0,0
319,IMP302697&&CNTRY680,0,1
320,IMP915889&&CNTRY473,0,0
321,IMP317314&&CNTRY680,0,0
322,IMP383391&&CNTRY140,0,0
323,IMP300514&&CNTRY378,0,0
324,IMP712264&&CNTRY680,1,1
325,IMP216660&&CNTRY454,0,0
326,IMP909911&&CNTRY920,0,1
327,IMP115734&&CNTRY276,0,1
328,IMP980531&&CNTRY277,0,1
329,IMP954081&&CNTRY819,0,0
330,IMP546339&&CNTRY759,0,0
331,IMP352125&&CNTRY680,1,1
332,IMP386453&&CNTRY759,0,1
333,IMP657028&&CNTRY680,0,0
334,IMP629453&&CNTRY680,0,0
335,IMP576016&&CNTRY429,0,1
336,IMP202854&&CNTRY615,0,0
337,IMP280692&&CNTRY680,0,0
338,IMP297730&&CNTRY759,0,0
339,IMP124597&&CNTRY881,0,0
340,IMP170599&&CNTRY234,0,0
341,IMP326914&&CNTRY376,0,0
342,IMP381305&&CNTRY759,0,0
343,IMP243951&&CNTRY321,0,0
344,IMP358915&&CNTRY884,0,1
345,IMP264163&&CNTRY376,0,0
346,IMP643137&&CNTRY881,0,0
347,IMP414024&&CNTRY680,1,1
348,IMP451441&&CNTRY680,0,0
349,IMP122694&&CNTRY376,1,1
350,IMP392040&&CNTRY680,0,0
351,IMP759377&&CNTRY680,1,1
352,IMP216660&&CNTRY376,0,0
353,IMP211637&&CNTRY713,0,0
354,IMP120631&&CNTRY759,1,1
355,IMP992026&&CNTRY454,0,0
356,IMP907559&&CNTRY680,0,0
357,IMP766474&&CNTRY680,0,0
358,IMP142940&&CNTRY884,0,0
359,IMP341307&&CNTRY759,1,1
360,IMP170000&&CNTRY680,0,0
361,IMP187612&&CNTRY759,0,0
362,IMP781428&&CNTRY680,0,0
363,IMP643203&&CNTRY759,0,0
364,IMP678037&&CNTRY376,0,0
365,IMP904574&&CNTRY680,0,1
366,IMP482566&&CNTRY680,0,0
367,IMP764499&&CNTRY680,0,0
368,IMP413429&&CNTRY376,0,0
369,IMP880497&&CNTRY680,0,0
370,IMP960205&&CNTRY277,0,0
371,IMP249306&&CNTRY759,0,0
372,IMP503241&&CNTRY376,0,0
373,IMP829675&&CNTRY884,0,1
374,IMP987751&&CNTRY764,0,0
375,IMP488624&&CNTRY527,0,1
376,IMP439866&&CNTRY277,0,1
377,IMP648653&&CNTRY680,1,1
378,IMP546339&&CNTRY376,1,1
379,IMP229911&&CNTRY680,0,0
380,IMP243951&&CNTRY759,1,1
381,IMP717735&&CNTRY713,0,0
382,IMP203905&&CNTRY680,1,1
383,IMP646215&&CNTRY680,0,0
384,IMP351195&&CNTRY376,0,1
385,IMP239127&&CNTRY644,0,0
386,IMP111951&&CNTRY891,0,1
387,IMP359032&&CNTRY759,0,0
388,IMP440223&&CNTRY884,0,0
389,IMP809423&&CNTRY709,0,0
390,IMP855449&&CNTRY759,0,1
391,IMP870242&&CNTRY759,0,0
392,IMP533993&&CNTRY680,0,0
393,IMP555305&&CNTRY759,0,0
394,IMP322276&&CNTRY680,0,0
395,IMP566004&&CNTRY680,0,1
396,IMP911330&&CNTRY576,0,0
397,IMP380484&&CNTRY915,0,1
398,IMP589573&&CNTRY376,0,0
399,IMP190354&&CNTRY644,0,0
400,IMP183301&&CNTRY376,0,0
401,IMP271556&&CNTRY759,0,0
402,IMP674837&&CNTRY759,0,0
403,IMP816831&&CNTRY376,0,0
404,IMP124597&&CNTRY680,1,0
405,IMP513550&&CNTRY759,0,0
406,IMP788254&&CNTRY709,0,0
407,IMP422356&&CNTRY759,1,1
408,IMP891508&&CNTRY891,0,0
409,IMP565314&&CNTRY615,0,1
410,IMP238427&&CNTRY759,1,1
411,IMP938680&&CNTRY153,0,0
412,IMP803166&&CNTRY680,0,0
413,IMP894296&&CNTRY680,1,1
414,IMP546339&&CNTRY680,0,0
415,IMP152015&&CNTRY830,0,0
416,IMP853002&&CNTRY615,0,0
417,IMP397513&&CNTRY759,0,0
418,IMP294703&&CNTRY652,0,0
419,IMP496378&&CNTRY618,0,0
420,IMP864528&&CNTRY759,0,0
421,IMP850913&&CNTRY863,0,0
422,IMP554100&&CNTRY376,0,1
423,IMP849369&&CNTRY680,0,0
424,IMP962728&&CNTRY759,0,0
425,IMP601203&&CNTRY680,0,0
426,IMP522051&&CNTRY264,0,0
427,IMP585281&&CNTRY759,0,0
428,IMP152015&&CNTRY680,1,1
429,IMP136716&&CNTRY171,0,0
430,IMP514650&&CNTRY680,0,0
431,IMP772361&&CNTRY323,0,1
432,IMP183611&&CNTRY680,0,0
433,IMP458839&&CNTRY884,0,0
434,IMP447222&&CNTRY680,1,1
435,IMP938680&&CNTRY680,0,1
436,IMP592970&&CNTRY615,0,0
437,IMP142564&&CNTRY277,0,0
438,IMP392040&&CNTRY759,0,0
439,IMP559457&&CNTRY554,0,1
440,IMP697425&&CNTRY615,1,1
441,IMP717735&&CNTRY376,0,1
442,IMP147114&&CNTRY454,0,0
443,IMP774515&&CNTRY168,0,1
444,IMP122694&&CNTRY680,0,0
445,IMP554100&&CNTRY680,0,0
446,IMP765281&&CNTRY680,1,1
447,IMP450852&&CNTRY454,0,1
448,IMP394006&&CNTRY680,1,1
449,IMP328855&&CNTRY994,0,0
450,IMP181410&&CNTRY364,0,0
451,IMP818754&&CNTRY454,0,0
452,IMP327939&&CNTRY284,0,1
453,IMP653688&&CNTRY920,0,0
454,IMP757191&&CNTRY389,0,0
455,IMP826164&&CNTRY759,1,1
456,IMP659233&&CNTRY409,0,1
457,IMP322409&&CNTRY680,0,0
458,IMP900492&&CNTRY376,1,1
459,IMP354522&&CNTRY680,0,1
460,IMP818754&&CNTRY480,0,0
461,IMP853002&&CNTRY680,0,0
462,IMP444534&&CNTRY680,0,1
463,IMP138552&&CNTRY859,0,0
464,IMP530401&&CNTRY759,0,0
465,IMP447299&&CNTRY184,0,0
466,IMP142940&&CNTRY830,0,0
467,IMP178690&&CNTRY884,0,1
468,IMP920460&&CNTRY680,0,0
469,IMP651050&&CNTRY884,0,0
470,IMP727169&&CNTRY376,0,0
471,IMP589386&&CNTRY317,0,0
472,IMP792271&&CNTRY680,1,1
473,IMP267369&&CNTRY680,0,1
474,IMP302697&&CNTRY759,0,0
475,IMP426343&&CNTRY615,0,0
476,IMP901000&&CNTRY759,0,0
477,IMP380288&&CNTRY680,0,0
478,IMP143460&&CNTRY759,0,0
479,IMP407066&&CNTRY316,0,0
480,IMP178626&&CNTRY680,0,1
481,IMP787271&&CNTRY454,0,0
482,IMP413429&&CNTRY680,0,0
483,IMP942665&&CNTRY819,0,0
484,IMP163708&&CNTRY680,0,0
485,IMP300514&&CNTRY376,0,0
486,IMP959242&&CNTRY846,0,0
487,IMP555305&&CNTRY376,0,0
488,IMP243951&&CNTRY454,0,0
489,IMP716770&&CNTRY376,0,0
490,IMP437782&&CNTRY125,0,0
491,IMP327159&&CNTRY759,0,1
492,IMPO15533&&CNTRY376,0,1
493,IMPO14670&&CNTRY994,0,0
494,IMPO15988&&CNTRY825,1,1
495,IMPO11601&&CNTRY615,0,0
496,IMPO19655&&CNTRY825,0,0
497,IMPO18489&&CNTRY264,0,1
498,IMPO11063&&CNTRY652,0,1
499,IMPO13975&&CNTRY376,0,0
500,IMPO10477&&CNTRY994,0,0
501,IMPO12155&&CNTRY376,0,1
502,IMPO12398&&CNTRY615,0,0
503,IMPO14334&&CNTRY994,0,0
504,IMPO11732&&CNTRY881,0,0
505,IMPO13754&&CNTRY756,0,0
506,IMPO13618&&CNTRY376,0,0
507,IMPO11025&&CNTRY376,0,0
508,IMPO13165&&CNTRY656,0,0
509,IMPO16622&&CNTRY994,0,0
510,IMPO15783&&CNTRY994,0,0
511,IMPO14354&&CNTRY656,0,0
512,IMPO18208&&CNTRY994,0,0
513,IMPO13685&&CNTRY653,0,0
514,IMPO13761&&CNTRY123,0,0
515,IMPO13181&&CNTRY376,0,0
516,IMPO17792&&CNTRY976,0,0
517,IMPO11469&&CNTRY376,0,0
518,IMPO11444&&CNTRY994,0,0
519,IMPO16622&&CNTRY652,0,0
520,IMPO19256&&CNTRY674,0,0
521,IMPO18475&&CNTRY123,0,1
522,IMPO10462&&CNTRY994,0,0
523,IMPO12524&&CNTRY334,0,1
524,IMPO17112&&CNTRY846,0,0
525,IMPO19613&&CNTRY825,0,0
526,IMPO17115&&CNTRY994,0,0
527,IMPO19469&&CNTRY376,0,0
528,IMPO19747&&CNTRY376,0,0
529,IMPO17470&&CNTRY917,0,1
530,IMPO18361&&CNTRY562,0,0
531,IMPO10254&&CNTRY376,0,0
532,IMPO13495&&CNTRY994,1,1
533,IMPO15276&&CNTRY376,0,0
534,IMPO11284&&CNTRY994,0,0
535,IMPO19420&&CNTRY376,0,0
536,IMPO19945&&CNTRY689,0,1
537,IMPO18400&&CNTRY976,0,0
538,IMPO11528&&CNTRY825,0,0
539,IMPO16184&&CNTRY123,0,0
540,IMPO15767&&CNTRY994,0,0
541,IMPO19927&&CNTRY680,0,0
542,IMPO15533&&CNTRY825,0,1
543,IMPO17368&&CNTRY123,0,0
544,IMPO18189&&CNTRY825,0,0
545,IMPO15955&&CNTRY825,0,0
546,IMPO17476&&CNTRY976,0,0
547,IMPO11444&&CNTRY454,0,0
548,IMPO10845&&CNTRY994,0,0
549,IMPO16803&&CNTRY976,0,0
550,IMPO12207&&CNTRY825,0,0
551,IMPO18778&&CNTRY825,0,1
552,IMPO12228&&CNTRY674,0,0
553,IMPO13165&&CNTRY994,0,0
554,IMPO14368&&CNTRY975,0,0
555,IMPO10166&&CNTRY652,0,0
556,IMPO19469&&CNTRY825,0,0
557,IMPO17253&&CNTRY994,0,0
558,IMPO14301&&CNTRY846,0,1
559,IMPO16269&&CNTRY415,0,0
560,IMPO19253&&CNTRY825,0,0
561,IMPO10005&&CNTRY994,0,0
562,IMPO13981&&CNTRY825,0,0
563,IMPO12219&&CNTRY376,0,0
564,IMPO12102&&CNTRY846,0,0
565,IMPO10462&&CNTRY825,0,0
566,IMPO19578&&CNTRY994,0,0
567,IMPO16873&&CNTRY825,0,1
568,IMPO19879&&CNTRY277,0,0
569,IMPO15705&&CNTRY759,0,0
570,IMPO12207&&CNTRY376,0,0
571,IMPO19080&&CNTRY825,0,0
572,IMPO13618&&CNTRY652,0,0
573,IMPO17244&&CNTRY652,0,0
574,IMPO19949&&CNTRY771,0,1
575,IMPO15767&&CNTRY976,0,0
576,IMPO12398&&CNTRY976,0,0
577,IMPO15338&&CNTRY994,0,0
578,IMPO14334&&CNTRY825,0,0
579,IMPO11356&&CNTRY415,0,1
580,IMPO14334&&CNTRY123,0,0
581,IMPO17093&&CNTRY625,0,0
582,IMPO16524&&CNTRY215,0,1
583,IMPO11277&&CNTRY276,0,0
584,IMPO15707&&CNTRY994,0,0
585,IMPO17964&&CNTRY994,0,0
586,IMPO19502&&CNTRY680,0,0
587,IMPO10700&&CNTRY123,0,0
588,IMPO18200&&CNTRY976,0,0
589,IMPO13095&&CNTRY376,0,1
590,IMPO10723&&CNTRY825,0,0
591,IMPO14011&&CNTRY843,0,0
592,IMPO19013&&CNTRY825,0,0
593,IMPO13495&&CNTRY276,0,1
594,IMPO16873&&CNTRY994,0,0
595,IMPO18194&&CNTRY994,0,0
596,IMPO17088&&CNTRY376,0,0
597,IMPO11284&&CNTRY756,0,0
598,IMPO15783&&CNTRY825,0,0
599,IMPO12183&&CNTRY994,0,0
600,IMPO18806&&CNTRY994,0,0
601,IMPO15626&&CNTRY994,0,0
602,IMPO14713&&CNTRY994,0,0
603,IMPO10344&&CNTRY994,1,1
604,IMPO19253&&CNTRY215,0,0
605,IMPO14527&&CNTRY713,0,1
606,IMPO19789&&CNTRY166,0,1
607,IMPO18778&&CNTRY994,0,0
608,IMPO10344&&CNTRY123,0,0
609,IMPO13495&&CNTRY376,0,0
610,IMPO14414&&CNTRY994,0,0
611,IMPO17356&&CNTRY994,0,0
612,IMPO14759&&CNTRY554,0,0
613,IMPO11430&&CNTRY454,0,0
614,IMPO10541&&CNTRY825,0,0
615,IMPO13005&&CNTRY881,0,1
616,IMPO16865&&CNTRY123,0,1
617,IMPO19338&&CNTRY615,0,0
618,IMPO18212&&CNTRY153,0,0
619,IMPO12200&&CNTRY994,0,1
620,IMPO16865&&CNTRY994,0,0
621,IMPO15955&&CNTRY994,0,0
622,IMPO15916&&CNTRY376,0,0
623,IMPO13784&&CNTRY863,0,0
624,IMPO12066&&CNTRY994,0,1
625,IMPO18238&&CNTRY994,0,1
626,IMPO15626&&CNTRY825,0,1
627,IMPO13495&&CNTRY123,0,0
628,IMPO15737&&CNTRY615,0,0
629,IMPO19818&&CNTRY994,1,1
630,IMPO18173&&CNTRY323,0,1
631,IMPO17757&&CNTRY376,0,0
632,IMPO12833&&CNTRY994,0,0
633,IMPO15283&&CNTRY376,0,1
634,IMPO17253&&CNTRY759,0,0
635,IMPO18767&&CNTRY994,0,0
636,IMPO15051&&CNTRY994,0,0
637,IMPO19469&&CNTRY994,0,0
638,IMPO16338&&CNTRY756,0,0
639,IMPO11284&&CNTRY376,0,0
640,IMPO16347&&CNTRY846,0,0
641,IMPO18208&&CNTRY216,0,0
642,IMPO16865&&CNTRY680,0,0
643,IMPO15661&&CNTRY994,0,1
644,IMPO15100&&CNTRY139,0,0
645,IMPO18212&&CNTRY994,0,0
646,IMPO17156&&CNTRY364,0,0
647,IMPO19420&&CNTRY994,0,0
648,IMPO18764&&CNTRY652,0,0
649,IMPO19159&&CNTRY825,0,0
650,IMPO19263&&CNTRY920,0,0
651,IMP803789&&CNTRY680,0,0
652,IMP359750&&CNTRY825,0,0
653,IMP715456&&CNTRY680,1,1
654,IMP446948&&CNTRY873,0,0
655,IMP355376&&CNTRY680,1,1
656,IMP916902&&CNTRY562,0,0
657,IMP478176&&CNTRY376,0,0
658,IMP870242&&CNTRY376,0,0
659,IMP370421&&CNTRY759,0,0
660,IMP361374&&CNTRY759,1,1
661,IMP412417&&CNTRY680,1,1
662,IMP100143&&CNTRY480,0,0
663,IMP327159&&CNTRY680,1,1
664,IMP409600&&CNTRY680,0,0
665,IMP837219&&CNTRY759,0,0
666,IMP412417&&CNTRY562,0,0
667,IMP445164&&CNTRY680,1,1
668,IMP745669&&CNTRY680,0,1
669,IMP327159&&CNTRY785,0,0
670,IMP960205&&CNTRY759,1,1
671,IMP591216&&CNTRY376,0,1
672,IMP195096&&CNTRY376,0,1
673,IMP946034&&CNTRY278,0,0
674,IMP731188&&CNTRY378,0,0
675,IMP830465&&CNTRY759,0,1
676,IMP325362&&CNTRY759,0,0
677,IMP138552&&CNTRY759,0,1
