OFFICE&&ORIGIN.CODE,OFFICE&&ORIGIN.CODE_illicit_sum,OFFICE&&ORIGIN.CODE_illicit_rate
OFFICE100&&CNTRY555,1,0.09090909090909091
OFFICE100&&CNTRY558,1,0.2
OFFICE100&&CNTRY562,3,0.15
OFFICE100&&CNTRY576,4,0.3076923076923077
OFFICE100&&CNTRY615,2,0.1111111111111111
OFFICE100&&CNTRY618,1,0.125
OFFICE100&&CNTRY625,0,0.0
OFFICE100&&CNTRY627,2,0.5
OFFICE100&&CNTRY644,0,0.0
OFFICE100&&CNTRY652,10,0.045871559633027525
OFFICE100&&CNTRY653,5,0.5
OFFICE100&&CNTRY654,0,0.0
OFFICE100&&CNTRY656,2,0.5
OFFICE100&&CNTRY674,0,0.0
OFFICE100&&CNTRY680,4,0.038834951456310676
OFFICE100&&CNTRY687,1,0.125
OFFICE100&&CNTRY689,0,0.0
OFFICE100&&CNTRY701,1,0.25
OFFICE100&&CNTRY709,0,0.0
OFFICE100&&CNTRY713,0,0.0
OFFICE100&&CNTRY716,0,0.0
OFFICE100&&CNTRY747,1,0.125
OFFICE100&&CNTRY748,0,0.0
OFFICE100&&CNTRY756,0,0.0
OFFICE100&&CNTRY759,0,0.0
OFFICE100&&CNTRY764,1,0.1
OFFICE100&&CNTRY765,3,0.42857142857142855
OFFICE100&&CNTRY770,1,0.25
OFFICE100&&CNTRY771,2,0.3333333333333333
OFFICE100&&CNTRY785,3,0.23076923076923078
OFFICE100&&CNTRY795,1,0.2
OFFICE100&&CNTRY819,0,0.0
OFFICE100&&CNTRY825,11,0.05472636815920398
OFFICE100&&CNTRY830,0,0.0
OFFICE100&&CNTRY837,2,0.2
OFFICE100&&CNTRY843,2,0.5
OFFICE100&&CNTRY846,4,0.041237113402061855
OFFICE100&&CNTRY859,0,0.0
OFFICE100&&CNTRY863,0,0.0
OFFICE100&&CNTRY866,0,0.0
OFFICE100&&CNTRY874,1,0.25
OFFICE100&&CNTRY881,0,0.0
OFFICE100&&CNTRY884,1,0.08333333333333333
OFFICE100&&CNTRY915,1,0.25
OFFICE100&&CNTRY917,3,0.375
OFFICE100&&CNTRY920,3,0.14285714285714285
OFFICE100&&CNTRY930,0,0.0
OFFICE100&&CNTRY959,2,0.2
OFFICE100&&CNTRY962,1,0.2
OFFICE100&&CNTRY975,0,0.0
OFFICE100&&CNTRY976,7,0.036458333333333336
OFFICE100&&CNTRY980,2,0.2222222222222222
OFFICE100&&CNTRY994,12,0.030612244897959183
OFFICE100&&CNTRY995,1,0.25
OFFICE101&&CNTRY113,0,0.0
OFFICE101&&CNTRY123,2,0.15384615384615385
OFFICE101&&CNTRY138,0,0.0
OFFICE101&&CNTRY139,0,0.0
OFFICE101&&CNTRY140,0,0.0
OFFICE101&&CNTRY153,1,0.3333333333333333
OFFICE101&&CNTRY166,0,0.0
OFFICE101&&CNTRY171,0,0.0
OFFICE101&&CNTRY184,1,0.5
OFFICE101&&CNTRY209,0,0.0
OFFICE101&&CNTRY215,0,0.0
OFFICE101&&CNTRY252,2,0.6666666666666666
OFFICE101&&CNTRY263,1,1.0
OFFICE101&&CNTRY264,0,0.0
OFFICE101&&CNTRY276,1,1.0
OFFICE101&&CNTRY277,0,0.0
OFFICE101&&CNTRY284,1,1.0
OFFICE101&&CNTRY317,0,0.0
OFFICE101&&CNTRY321,1,0.3333333333333333
OFFICE101&&CNTRY322,1,1.0
OFFICE101&&CNTRY323,2,1.0
OFFICE101&&CNTRY334,1,1.0
OFFICE101&&CNTRY351,0,0.0
OFFICE101&&CNTRY364,1,1.0
OFFICE101&&CNTRY376,1,0.058823529411764705
OFFICE101&&CNTRY389,0,0.0
OFFICE101&&CNTRY390,1,1.0
OFFICE101&&CNTRY393,1,1.0
OFFICE101&&CNTRY415,0,0.0
OFFICE101&&CNTRY429,0,0.0
OFFICE101&&CNTRY438,0,0.0
OFFICE101&&CNTRY445,0,0.0
OFFICE101&&CNTRY454,0,0.0
OFFICE101&&CNTRY456,0,0.0
OFFICE101&&CNTRY485,1,0.5
OFFICE101&&CNTRY527,2,1.0
OFFICE101&&CNTRY554,1,1.0
OFFICE101&&CNTRY555,1,0.5
OFFICE101&&CNTRY558,0,0.0
OFFICE101&&CNTRY562,1,0.5
OFFICE101&&CNTRY576,0,0.0
OFFICE101&&CNTRY615,3,0.6
OFFICE101&&CNTRY618,1,0.3333333333333333
OFFICE101&&CNTRY625,0,0.0
OFFICE101&&CNTRY627,1,0.5
OFFICE101&&CNTRY652,1,0.125
OFFICE101&&CNTRY654,2,1.0
OFFICE101&&CNTRY680,0,0.0
OFFICE101&&CNTRY687,0,0.0
OFFICE101&&CNTRY713,0,0.0
OFFICE101&&CNTRY716,2,1.0
OFFICE101&&CNTRY747,0,0.0
OFFICE101&&CNTRY748,0,0.0
OFFICE101&&CNTRY759,1,0.16666666666666666
OFFICE101&&CNTRY764,0,0.0
OFFICE101&&CNTRY765,1,1.0
OFFICE101&&CNTRY771,0,0.0
OFFICE101&&CNTRY785,0,0.0
OFFICE101&&CNTRY819,1,0.5
OFFICE101&&CNTRY825,0,0.0
OFFICE101&&CNTRY830,0,0.0
OFFICE101&&CNTRY837,0,0.0
OFFICE101&&CNTRY843,1,1.0
OFFICE101&&CNTRY846,2,0.5
OFFICE101&&CNTRY859,1,0.5
OFFICE101&&CNTRY863,0,0.0
OFFICE101&&CNTRY866,0,0.0
OFFICE101&&CNTRY881,1,0.5
OFFICE101&&CNTRY884,0,0.0
OFFICE101&&CNTRY917,1,1.0
OFFICE101&&CNTRY920,1,1.0
OFFICE101&&CNTRY959,0,0.0
OFFICE101&&CNTRY962,1,0.5
OFFICE101&&CNTRY975,0,0.0
OFFICE101&&CNTRY976,0,0.0
OFFICE101&&CNTRY980,1,0.5
OFFICE101&&CNTRY994,0,0.0
OFFICE105&&CNTRY113,1,1.0
OFFICE105&&CNTRY123,1,0.07142857142857142
OFFICE105&&CNTRY138,1,0.5
OFFICE105&&CNTRY139,0,0.0
OFFICE105&&CNTRY140,1,1.0
OFFICE105&&CNTRY166,0,0.0
OFFICE105&&CNTRY171,1,1.0
OFFICE105&&CNTRY184,1,0.5
OFFICE105&&CNTRY209,0,0.0
OFFICE105&&CNTRY215,1,0.5
OFFICE105&&CNTRY216,2,0.5
OFFICE105&&CNTRY234,0,0.0
OFFICE105&&CNTRY236,2,0.5
OFFICE105&&CNTRY252,1,1.0
OFFICE105&&CNTRY277,2,0.6666666666666666
OFFICE105&&CNTRY284,1,1.0
OFFICE105&&CNTRY317,0,0.0
OFFICE105&&CNTRY321,0,0.0
OFFICE105&&CNTRY323,1,0.5
OFFICE105&&CNTRY334,2,0.6666666666666666
OFFICE105&&CNTRY335,1,1.0
OFFICE105&&CNTRY364,0,0.0
OFFICE105&&CNTRY376,0,0.0
OFFICE105&&CNTRY379,1,1.0
OFFICE105&&CNTRY389,1,0.5
OFFICE105&&CNTRY390,1,0.3333333333333333
OFFICE105&&CNTRY393,0,0.0
OFFICE105&&CNTRY407,0,0.0
OFFICE105&&CNTRY409,1,1.0
OFFICE105&&CNTRY415,1,0.3333333333333333
OFFICE105&&CNTRY438,1,0.3333333333333333
OFFICE105&&CNTRY445,1,0.3333333333333333
OFFICE105&&CNTRY454,0,0.0
OFFICE105&&CNTRY456,1,0.5
OFFICE105&&CNTRY480,0,0.0
OFFICE105&&CNTRY485,0,0.0
OFFICE105&&CNTRY527,0,0.0
OFFICE105&&CNTRY528,2,1.0
OFFICE105&&CNTRY554,1,1.0
OFFICE105&&CNTRY555,0,0.0
OFFICE105&&CNTRY558,1,0.3333333333333333
OFFICE105&&CNTRY562,2,0.6666666666666666
OFFICE105&&CNTRY615,3,0.375
OFFICE105&&CNTRY618,0,0.0
OFFICE105&&CNTRY627,1,1.0
OFFICE105&&CNTRY652,1,0.09090909090909091
OFFICE105&&CNTRY653,0,0.0
OFFICE105&&CNTRY654,1,0.5
OFFICE105&&CNTRY674,0,0.0
OFFICE105&&CNTRY680,0,0.0
OFFICE105&&CNTRY687,0,0.0
OFFICE105&&CNTRY689,0,0.0
OFFICE105&&CNTRY713,0,0.0
OFFICE105&&CNTRY747,1,0.5
OFFICE105&&CNTRY748,0,0.0
OFFICE105&&CNTRY756,1,1.0
OFFICE105&&CNTRY764,0,0.0
OFFICE105&&CNTRY765,1,0.3333333333333333
OFFICE105&&CNTRY770,0,0.0
OFFICE105&&CNTRY771,1,0.5
OFFICE105&&CNTRY785,1,1.0
OFFICE105&&CNTRY819,0,0.0
OFFICE105&&CNTRY825,1,0.25
OFFICE105&&CNTRY830,0,0.0
OFFICE105&&CNTRY837,0,0.0
OFFICE105&&CNTRY846,0,0.0
OFFICE105&&CNTRY859,1,0.5
OFFICE105&&CNTRY866,0,0.0
OFFICE105&&CNTRY874,1,0.5
OFFICE105&&CNTRY881,3,0.6
OFFICE105&&CNTRY884,0,0.0
OFFICE105&&CNTRY915,1,0.3333333333333333
OFFICE105&&CNTRY917,1,0.5
OFFICE105&&CNTRY920,1,0.3333333333333333
OFFICE105&&CNTRY975,1,0.25
OFFICE105&&CNTRY976,0,0.0
OFFICE105&&CNTRY994,4,0.21052631578947367
OFFICE105&&CNTRY995,0,0.0
OFFICE109&&CNTRY113,1,0.3333333333333333
OFFICE109&&CNTRY123,4,0.032
OFFICE109&&CNTRY125,2,0.2
OFFICE109&&CNTRY138,1,0.25
OFFICE109&&CNTRY139,0,0.0
OFFICE109&&CNTRY140,3,0.2727272727272727
OFFICE109&&CNTRY153,0,0.0
OFFICE109&&CNTRY166,2,0.2222222222222222
OFFICE109&&CNTRY171,1,0.2
OFFICE109&&CNTRY184,3,0.3333333333333333
OFFICE109&&CNTRY209,0,0.0
OFFICE109&&CNTRY215,2,0.3333333333333333
OFFICE109&&CNTRY216,1,0.25
OFFICE109&&CNTRY234,0,0.0
OFFICE109&&CNTRY236,2,0.15384615384615385
OFFICE109&&CNTRY252,1,0.16666666666666666
OFFICE109&&CNTRY263,2,0.4
OFFICE109&&CNTRY264,0,0.0
OFFICE109&&CNTRY276,1,0.3333333333333333
OFFICE109&&CNTRY277,2,0.15384615384615385
OFFICE109&&CNTRY284,1,0.0625
OFFICE109&&CNTRY316,1,0.25
OFFICE109&&CNTRY317,0,0.0
OFFICE109&&CNTRY321,0,0.0
OFFICE109&&CNTRY322,0,0.0
OFFICE109&&CNTRY323,0,0.0
OFFICE109&&CNTRY334,3,0.75
OFFICE109&&CNTRY335,0,0.0
OFFICE109&&CNTRY351,1,0.5
OFFICE109&&CNTRY364,3,0.2727272727272727
OFFICE109&&CNTRY376,8,0.030418250950570342
OFFICE109&&CNTRY379,0,0.0
OFFICE109&&CNTRY389,3,0.75
OFFICE109&&CNTRY390,0,0.0
OFFICE109&&CNTRY393,2,0.18181818181818182
OFFICE109&&CNTRY407,2,0.2222222222222222
OFFICE109&&CNTRY409,2,0.5
OFFICE109&&CNTRY415,0,0.0
OFFICE109&&CNTRY429,2,0.25
OFFICE109&&CNTRY438,2,0.5
OFFICE109&&CNTRY445,1,0.5
OFFICE109&&CNTRY454,2,0.05714285714285714
OFFICE109&&CNTRY456,2,0.3333333333333333
OFFICE109&&CNTRY480,0,0.0
OFFICE109&&CNTRY485,3,0.1111111111111111
OFFICE109&&CNTRY527,2,0.6666666666666666
OFFICE109&&CNTRY528,2,0.2222222222222222
OFFICE109&&CNTRY554,1,0.25
OFFICE109&&CNTRY555,2,0.4
OFFICE109&&CNTRY558,3,0.3333333333333333
OFFICE109&&CNTRY562,1,0.1111111111111111
OFFICE109&&CNTRY576,2,0.2857142857142857
OFFICE109&&CNTRY615,3,0.07317073170731707
OFFICE109&&CNTRY618,1,0.14285714285714285
OFFICE109&&CNTRY625,0,0.0
OFFICE109&&CNTRY627,1,0.2
OFFICE109&&CNTRY644,1,0.16666666666666666
OFFICE109&&CNTRY652,8,0.07407407407407407
OFFICE109&&CNTRY653,1,0.2
OFFICE109&&CNTRY654,0,0.0
OFFICE109&&CNTRY656,0,0.0
OFFICE109&&CNTRY674,3,0.75
OFFICE109&&CNTRY680,11,0.088
OFFICE109&&CNTRY687,1,0.14285714285714285
OFFICE109&&CNTRY689,2,0.3333333333333333
OFFICE109&&CNTRY701,2,0.4
OFFICE109&&CNTRY709,1,0.5
OFFICE109&&CNTRY713,2,0.25
OFFICE109&&CNTRY716,3,0.375
OFFICE109&&CNTRY747,0,0.0
OFFICE109&&CNTRY748,3,0.42857142857142855
OFFICE109&&CNTRY756,3,0.375
OFFICE109&&CNTRY759,2,0.25
OFFICE109&&CNTRY764,0,0.0
OFFICE109&&CNTRY765,1,0.14285714285714285
OFFICE109&&CNTRY770,1,0.25
OFFICE109&&CNTRY771,0,0.0
OFFICE109&&CNTRY785,2,0.25
OFFICE109&&CNTRY819,0,0.0
OFFICE109&&CNTRY825,7,0.019553072625698324
OFFICE109&&CNTRY830,1,0.2
OFFICE109&&CNTRY837,1,0.3333333333333333
OFFICE109&&CNTRY843,0,0.0
OFFICE109&&CNTRY846,6,0.05714285714285714
OFFICE109&&CNTRY859,1,0.3333333333333333
OFFICE109&&CNTRY863,1,0.25
OFFICE109&&CNTRY866,0,0.0
OFFICE109&&CNTRY874,1,0.3333333333333333
OFFICE109&&CNTRY881,3,0.09090909090909091
OFFICE109&&CNTRY884,3,0.375
OFFICE109&&CNTRY915,1,0.125
OFFICE109&&CNTRY917,0,0.0
OFFICE109&&CNTRY920,2,0.125
OFFICE109&&CNTRY930,0,0.0
OFFICE109&&CNTRY959,0,0.0
OFFICE109&&CNTRY962,1,0.2
OFFICE109&&CNTRY975,0,0.0
OFFICE109&&CNTRY976,12,0.07142857142857142
OFFICE109&&CNTRY980,0,0.0
OFFICE109&&CNTRY994,10,0.019120458891013385
OFFICE109&&CNTRY995,1,0.5
OFFICE111&&CNTRY113,3,1.0
OFFICE111&&CNTRY123,2,0.3333333333333333
OFFICE111&&CNTRY125,0,0.0
OFFICE111&&CNTRY138,2,0.6666666666666666
OFFICE111&&CNTRY139,0,0.0
OFFICE111&&CNTRY140,2,0.4
OFFICE111&&CNTRY153,1,0.3333333333333333
OFFICE111&&CNTRY166,3,0.75
OFFICE111&&CNTRY171,0,0.0
OFFICE111&&CNTRY184,1,1.0
OFFICE111&&CNTRY209,0,0.0
OFFICE111&&CNTRY215,2,1.0
OFFICE111&&CNTRY216,0,0.0
OFFICE111&&CNTRY234,0,0.0
OFFICE111&&CNTRY252,0,0.0
OFFICE111&&CNTRY264,0,0.0
OFFICE111&&CNTRY276,1,1.0
OFFICE111&&CNTRY277,0,0.0
OFFICE111&&CNTRY316,0,0.0
OFFICE111&&CNTRY317,3,0.75
OFFICE111&&CNTRY321,0,0.0
OFFICE111&&CNTRY334,1,0.5
OFFICE111&&CNTRY335,0,0.0
OFFICE111&&CNTRY364,1,0.5
OFFICE111&&CNTRY376,0,0.0
OFFICE111&&CNTRY379,0,0.0
OFFICE111&&CNTRY389,1,0.25
OFFICE111&&CNTRY390,0,0.0
OFFICE111&&CNTRY393,0,0.0
OFFICE111&&CNTRY409,0,0.0
OFFICE111&&CNTRY415,0,0.0
OFFICE111&&CNTRY429,1,0.3333333333333333
OFFICE111&&CNTRY438,0,0.0
OFFICE111&&CNTRY445,1,1.0
OFFICE111&&CNTRY454,0,0.0
OFFICE111&&CNTRY480,0,0.0
OFFICE111&&CNTRY485,1,0.3333333333333333
OFFICE111&&CNTRY527,0,0.0
OFFICE111&&CNTRY528,0,0.0
OFFICE111&&CNTRY554,1,1.0
OFFICE111&&CNTRY555,1,0.5
OFFICE111&&CNTRY558,0,0.0
OFFICE111&&CNTRY562,1,0.25
OFFICE111&&CNTRY576,0,0.0
OFFICE111&&CNTRY615,1,0.25
OFFICE111&&CNTRY627,1,0.5
OFFICE111&&CNTRY652,1,0.16666666666666666
OFFICE111&&CNTRY653,0,0.0
OFFICE111&&CNTRY680,1,0.14285714285714285
OFFICE111&&CNTRY701,0,0.0
OFFICE111&&CNTRY713,0,0.0
OFFICE111&&CNTRY756,1,0.3333333333333333
OFFICE111&&CNTRY759,3,0.75
OFFICE111&&CNTRY764,0,0.0
OFFICE111&&CNTRY765,1,0.5
OFFICE111&&CNTRY770,0,0.0
OFFICE111&&CNTRY771,1,1.0
OFFICE111&&CNTRY795,0,0.0
OFFICE111&&CNTRY825,2,0.15384615384615385
OFFICE111&&CNTRY830,0,0.0
OFFICE111&&CNTRY837,0,0.0
OFFICE111&&CNTRY843,0,0.0
OFFICE111&&CNTRY846,0,0.0
OFFICE111&&CNTRY859,1,1.0
OFFICE111&&CNTRY863,0,0.0
OFFICE111&&CNTRY866,0,0.0
OFFICE111&&CNTRY874,1,0.5
OFFICE111&&CNTRY881,1,0.3333333333333333
OFFICE111&&CNTRY884,0,0.0
OFFICE111&&CNTRY917,0,0.0
OFFICE111&&CNTRY930,0,0.0
OFFICE111&&CNTRY976,0,0.0
OFFICE111&&CNTRY980,1,0.5
OFFICE111&&CNTRY994,1,0.047619047619047616
OFFICE111&&CNTRY995,0,0.0
OFFICE113&&CNTRY113,0,0.0
OFFICE113&&CNTRY123,4,0.09090909090909091
OFFICE113&&CNTRY138,0,0.0
OFFICE113&&CNTRY139,1,0.16666666666666666
OFFICE113&&CNTRY140,1,0.5
OFFICE113&&CNTRY153,2,0.6666666666666666
OFFICE113&&CNTRY166,0,0.0
OFFICE113&&CNTRY171,2,0.5
OFFICE113&&CNTRY184,2,0.6666666666666666
OFFICE113&&CNTRY215,1,0.25
OFFICE113&&CNTRY234,1,1.0
OFFICE113&&CNTRY236,1,0.3333333333333333
OFFICE113&&CNTRY252,2,0.6666666666666666
OFFICE113&&CNTRY263,0,0.0
OFFICE113&&CNTRY264,1,0.3333333333333333
OFFICE113&&CNTRY276,0,0.0
OFFICE113&&CNTRY277,2,0.6666666666666666
OFFICE113&&CNTRY284,0,0.0
OFFICE113&&CNTRY316,0,0.0
OFFICE113&&CNTRY317,2,0.5
OFFICE113&&CNTRY321,6,0.5
OFFICE113&&CNTRY323,1,1.0
OFFICE113&&CNTRY334,1,0.25
OFFICE113&&CNTRY335,1,0.3333333333333333
OFFICE113&&CNTRY351,1,0.3333333333333333
OFFICE113&&CNTRY364,1,0.5
OFFICE113&&CNTRY376,0,0.0
OFFICE113&&CNTRY379,0,0.0
OFFICE113&&CNTRY389,0,0.0
OFFICE113&&CNTRY390,4,0.8
OFFICE113&&CNTRY393,0,0.0
OFFICE113&&CNTRY407,0,0.0
OFFICE113&&CNTRY409,0,0.0
OFFICE113&&CNTRY415,1,0.25
OFFICE113&&CNTRY429,2,0.6666666666666666
OFFICE113&&CNTRY438,0,0.0
OFFICE113&&CNTRY445,0,0.0
OFFICE113&&CNTRY454,1,0.09090909090909091
OFFICE113&&CNTRY456,1,0.3333333333333333
OFFICE113&&CNTRY480,1,1.0
OFFICE113&&CNTRY485,5,0.38461538461538464
OFFICE113&&CNTRY527,0,0.0
OFFICE113&&CNTRY528,2,0.5
OFFICE113&&CNTRY554,2,0.5
OFFICE113&&CNTRY555,1,0.2
OFFICE113&&CNTRY558,2,0.4
OFFICE113&&CNTRY562,0,0.0
OFFICE113&&CNTRY615,2,0.2222222222222222
OFFICE113&&CNTRY618,1,1.0
OFFICE113&&CNTRY625,2,0.5
OFFICE113&&CNTRY627,0,0.0
OFFICE113&&CNTRY644,4,0.8
OFFICE113&&CNTRY652,3,0.13043478260869565
OFFICE113&&CNTRY653,0,0.0
OFFICE113&&CNTRY654,3,0.75
OFFICE113&&CNTRY656,0,0.0
OFFICE113&&CNTRY674,1,0.25
OFFICE113&&CNTRY680,5,0.22727272727272727
OFFICE113&&CNTRY687,1,1.0
OFFICE113&&CNTRY689,1,0.5
OFFICE113&&CNTRY701,1,0.25
OFFICE113&&CNTRY709,2,0.25
OFFICE113&&CNTRY713,1,0.3333333333333333
OFFICE113&&CNTRY716,1,0.25
OFFICE113&&CNTRY747,1,1.0
OFFICE113&&CNTRY748,1,0.3333333333333333
OFFICE113&&CNTRY756,0,0.0
OFFICE113&&CNTRY759,1,0.08333333333333333
OFFICE113&&CNTRY764,2,0.6666666666666666
OFFICE113&&CNTRY765,0,0.0
OFFICE113&&CNTRY770,2,0.5
OFFICE113&&CNTRY771,0,0.0
OFFICE113&&CNTRY785,3,0.75
OFFICE113&&CNTRY795,2,0.6666666666666666
OFFICE113&&CNTRY819,2,0.6666666666666666
OFFICE113&&CNTRY825,3,0.06382978723404255
OFFICE113&&CNTRY830,0,0.0
OFFICE113&&CNTRY837,3,0.6
OFFICE113&&CNTRY843,0,0.0
OFFICE113&&CNTRY846,1,0.037037037037037035
OFFICE113&&CNTRY859,1,0.25
OFFICE113&&CNTRY863,1,0.25
OFFICE113&&CNTRY866,0,0.0
OFFICE113&&CNTRY874,1,0.5
OFFICE113&&CNTRY881,1,0.0625
OFFICE113&&CNTRY884,2,0.5
OFFICE113&&CNTRY915,0,0.0
OFFICE113&&CNTRY917,0,0.0
OFFICE113&&CNTRY920,0,0.0
OFFICE113&&CNTRY930,2,0.2222222222222222
OFFICE113&&CNTRY959,1,1.0
OFFICE113&&CNTRY962,0,0.0
OFFICE113&&CNTRY975,2,0.5
OFFICE113&&CNTRY976,1,0.043478260869565216
OFFICE113&&CNTRY980,1,0.3333333333333333
OFFICE113&&CNTRY994,4,0.06060606060606061
OFFICE113&&CNTRY995,1,0.3333333333333333
OFFICE117&&CNTRY113,1,0.5
OFFICE117&&CNTRY123,3,0.375
OFFICE117&&CNTRY166,2,1.0
OFFICE117&&CNTRY171,2,1.0
OFFICE117&&CNTRY184,0,0.0
OFFICE117&&CNTRY215,0,0.0
OFFICE117&&CNTRY216,0,0.0
OFFICE117&&CNTRY234,1,0.5
OFFICE117&&CNTRY236,1,1.0
OFFICE117&&CNTRY263,1,0.5
OFFICE117&&CNTRY276,0,0.0
OFFICE117&&CNTRY277,0,0.0
OFFICE117&&CNTRY316,1,1.0
OFFICE117&&CNTRY317,1,0.5
OFFICE117&&CNTRY321,1,0.5
OFFICE117&&CNTRY334,1,1.0
OFFICE117&&CNTRY335,1,0.5
OFFICE117&&CNTRY351,0,0.0
OFFICE117&&CNTRY376,2,0.25
OFFICE117&&CNTRY389,0,0.0
OFFICE117&&CNTRY390,0,0.0
OFFICE117&&CNTRY393,0,0.0
OFFICE117&&CNTRY407,1,1.0
OFFICE117&&CNTRY409,1,0.5
OFFICE117&&CNTRY415,1,1.0
OFFICE117&&CNTRY438,1,1.0
OFFICE117&&CNTRY454,1,0.125
OFFICE117&&CNTRY485,2,0.6666666666666666
OFFICE117&&CNTRY528,1,1.0
OFFICE117&&CNTRY554,0,0.0
OFFICE117&&CNTRY555,0,0.0
OFFICE117&&CNTRY562,0,0.0
OFFICE117&&CNTRY576,1,0.5
OFFICE117&&CNTRY615,1,0.3333333333333333
OFFICE117&&CNTRY618,0,0.0
OFFICE117&&CNTRY625,0,0.0
OFFICE117&&CNTRY627,0,0.0
OFFICE117&&CNTRY644,0,0.0
OFFICE117&&CNTRY652,1,1.0
OFFICE117&&CNTRY653,0,0.0
OFFICE117&&CNTRY654,1,1.0
OFFICE117&&CNTRY656,1,0.5
OFFICE117&&CNTRY680,1,0.25
OFFICE117&&CNTRY689,1,0.25
OFFICE117&&CNTRY701,0,0.0
OFFICE117&&CNTRY709,1,0.3333333333333333
OFFICE117&&CNTRY713,1,0.3333333333333333
OFFICE117&&CNTRY747,0,0.0
OFFICE117&&CNTRY756,0,0.0
OFFICE117&&CNTRY759,0,0.0
OFFICE117&&CNTRY764,1,0.5
OFFICE117&&CNTRY765,1,0.5
OFFICE117&&CNTRY770,1,0.5
OFFICE117&&CNTRY771,2,0.6666666666666666
OFFICE117&&CNTRY785,0,0.0
OFFICE117&&CNTRY795,0,0.0
OFFICE117&&CNTRY819,0,0.0
OFFICE117&&CNTRY825,0,0.0
OFFICE117&&CNTRY830,0,0.0
OFFICE117&&CNTRY846,1,0.14285714285714285
OFFICE117&&CNTRY866,2,1.0
OFFICE117&&CNTRY874,1,1.0
OFFICE117&&CNTRY881,0,0.0
OFFICE117&&CNTRY884,1,1.0
OFFICE117&&CNTRY915,2,0.3333333333333333
OFFICE117&&CNTRY917,0,0.0
OFFICE117&&CNTRY920,1,0.3333333333333333
OFFICE117&&CNTRY930,1,1.0
OFFICE117&&CNTRY959,1,0.5
OFFICE117&&CNTRY962,0,0.0
OFFICE117&&CNTRY976,0,0.0
OFFICE117&&CNTRY980,1,1.0
OFFICE117&&CNTRY994,2,0.13333333333333333
OFFICE122&&CNTRY113,0,0.0
OFFICE122&&CNTRY123,2,0.08333333333333333
OFFICE122&&CNTRY125,1,0.5
OFFICE122&&CNTRY138,2,0.6666666666666666
OFFICE122&&CNTRY139,0,0.0
OFFICE122&&CNTRY140,0,0.0
OFFICE122&&CNTRY153,0,0.0
OFFICE122&&CNTRY166,2,0.4
OFFICE122&&CNTRY171,2,0.6666666666666666
OFFICE122&&CNTRY215,0,0.0
OFFICE122&&CNTRY216,1,0.5
OFFICE122&&CNTRY234,0,0.0
OFFICE122&&CNTRY236,0,0.0
OFFICE122&&CNTRY252,0,0.0
OFFICE122&&CNTRY263,0,0.0
OFFICE122&&CNTRY264,0,0.0
OFFICE122&&CNTRY276,1,0.3333333333333333
OFFICE122&&CNTRY277,2,0.4
OFFICE122&&CNTRY284,0,0.0
OFFICE122&&CNTRY316,0,0.0
OFFICE122&&CNTRY317,1,0.14285714285714285
