,OFFICE&&IMPORTER.TIN,OFFICE&&IMPORTER.TIN_illicit_Qsum,OFFICE&&IMPORTER.TIN_illicit_Qrate
77,OFFICE59&&IMP839288,0,0
78,OFFICE60&&IMP142940,0,0
79,OFFICE24&&IMP152015,0,1
80,OFFICE35&&IMP337218,0,1
81,OFFICE76&&IMP845278,0,0
82,OFFICE51&&IMP152810,1,1
83,OFFICE51&&IMP764499,1,1
84,OFFICE40&&IMP444534,0,0
85,OFFICE59&&IMP112691,0,1
86,OFFICE24&&IMP509522,0,1
87,OFFICE59&&IMP715456,0,1
88,OFFICE60&&IMP130305,0,0
89,OFFICE51&&IMP654182,0,0
90,OFFICE60&&IMP911330,0,1
91,OFFICE51&&IMP965305,1,0
92,OFFICE40&&IMP473850,0,0
93,OFFICE51&&IMP397091,0,0
94,OFFICE40&&IMP365475,0,0
95,OFFICE76&&IMP461608,0,0
96,OFFICE76&&IMP422356,1,1
97,OFFICE59&&IMP132928,0,0
98,OFFICE40&&IMP120631,1,1
99,OFFICE51&&IMP317454,0,0
100,OFFICE76&&IMP446948,0,0
101,OFFICE51&&IMP592970,1,0
102,OFFICE51&&IMP243951,1,0
103,OFFICE59&&IMP830465,1,1
104,OFFICE51&&IMP351195,1,1
105,OFFICE51&&IMP995597,0,1
106,OFFICE92&&IMP943231,0,1
107,OFFICE76&&IMP522051,0,0
108,OFFICE59&&IMP482566,0,0
109,OFFICE59&&IMP715356,0,0
110,OFFICE59&&IMP616856,0,0
111,OFFICE51&&IMP120631,1,0
112,OFFICE51&&IMP783432,0,0
113,OFFICE51&&IMP440223,1,1
114,OFFICE51&&IMP818665,0,0
115,OFFICE51&&IMP502913,0,0
116,OFFICE51&&IMP715456,0,0
117,OFFICE59&&IMP557327,0,1
118,OFFICE88&&IMP530144,0,1
119,OFFICE76&&IMP545640,0,0
120,OFFICE60&&IMP389795,0,0
121,OFFICE76&&IMP660556,0,0
122,OFFICE51&&IMP152015,1,1
123,OFFICE51&&IMP704075,0,0
124,OFFICE59&&IMP439370,0,1
125,OFFICE84&&IMP897252,0,1
126,OFFICE51&&IMP824798,1,1
127,OFFICE59&&IMP444534,0,0
128,OFFICE51&&IMP339215,0,1
129,OFFICE59&&IMP278851,0,0
130,OFFICE51&&IMP894296,1,1
131,OFFICE51&&IMP393792,0,0
132,OFFICE59&&IMP475311,0,1
133,OFFICE92&&IMP194834,0,0
134,OFFICE59&&IMP237401,0,0
135,OFFICE51&&IMP638434,0,0
136,OFFICE51&&IMP720986,1,1
137,OFFICE51&&IMP560489,0,0
138,OFFICE59&&IMP921040,0,0
139,OFFICE59&&IMP288464,0,0
140,OFFICE51&&IMP798907,0,0
141,OFFICE51&&IMP674947,0,0
142,OFFICE59&&IMP806682,0,0
143,OFFICE51&&IMP233628,1,0
144,OFFICE51&&IMP446948,0,0
145,OFFICE76&&IMP207129,0,0
146,OFFICE92&&IMP329077,0,0
147,OFFICE60&&IMP674511,0,0
148,OFFICE92&&IMP804413,0,0
149,OFFICE59&&IMP151873,0,1
150,OFFICE51&&IMP951496,0,0
151,OFFICE59&&IMP385327,1,1
152,OFFICE60&&IMP173637,0,0
153,OFFICE60&&IMP837081,0,1
154,OFFICE76&&IMP302697,1,1
155,OFFICE51&&IMP413288,0,0
156,OFFICE51&&IMP413429,0,0
157,OFFICE18&&IMP480296,0,0
158,OFFICE40&&IMP446948,0,0
159,OFFICE51&&IMP995522,1,1
160,OFFICE59&&IMP142940,0,0
161,OFFICE40&&IMP522479,1,1
162,OFFICE59&&IMP900492,1,1
163,OFFICE59&&IMP844837,0,1
164,OFFICE51&&IMP555103,0,0
165,OFFICE59&&IMP223477,0,1
166,OFFICE40&&IMP447222,1,1
167,OFFICE24&&IMP151367,0,1
168,OFFICE40&&IMP381347,0,0
169,OFFICE23&&IMP732143,0,0
170,OFFICE59&&IMP555103,1,1
171,OFFICE40&&IMP397091,0,0
172,OFFICE59&&IMP439866,1,1
173,OFFICE51&&IMP447222,0,0
174,OFFICE40&&IMP822061,0,1
175,OFFICE59&&IMP243951,0,0
176,OFFICE60&&IMP624912,0,0
177,OFFICE51&&IMP163708,1,1
178,OFFICE51&&IMP352883,1,1
179,OFFICE40&&IMP397390,0,0
180,OFFICE51&&IMP606875,0,0
181,OFFICE51&&IMP381347,0,0
182,OFFICE51&&IMP392040,0,0
183,OFFICE76&&IMP307848,0,0
184,OFFICE51&&IMP831109,1,1
185,OFFICE59&&IMP916902,0,0
186,OFFICE60&&IMP368858,0,0
187,OFFICE40&&IMP271968,0,0
188,OFFICE60&&IMP287020,0,1
189,OFFICE51&&IMP496378,0,0
190,OFFICE23&&IMP747754,0,0
191,OFFICE40&&IMP916498,0,0
192,OFFICE51&&IMP221718,1,1
193,OFFICE51&&IMP643203,0,0
194,OFFICE60&&IMP450852,0,0
195,OFFICE51&&IMP934273,1,0
196,OFFICE51&&IMP924304,0,0
197,OFFICE59&&IMP832758,0,1
198,OFFICE23&&IMP745669,0,0
199,OFFICE296&&IMPO14576,0,0
200,OFFICE298&&IMPO18200,0,0
201,OFFICE168&&IMPO19245,0,0
202,OFFICE298&&IMPO16184,0,0
203,OFFICE187&&IMPO19578,0,0
204,OFFICE233&&IMPO14029,0,0
205,OFFICE187&&IMPO16400,0,0
206,OFFICE243&&IMPO19601,0,0
207,OFFICE113&&IMPO10407,0,1
208,OFFICE298&&IMPO11025,0,0
209,OFFICE168&&IMPO18767,0,0
210,OFFICE204&&IMPO19253,0,0
211,OFFICE296&&IMPO17282,1,1
212,OFFICE185&&IMPO14494,0,0
213,OFFICE168&&IMPO11316,0,0
214,OFFICE162&&IMPO19080,0,0
215,OFFICE299&&IMPO17403,0,0
216,OFFICE237&&IMPO15928,0,1
217,OFFICE298&&IMPO13631,0,0
218,OFFICE237&&IMPO19604,0,1
219,OFFICE186&&IMPO13889,0,1
220,OFFICE214&&IMPO15783,0,0
221,OFFICE187&&IMPO13867,0,0
222,OFFICE109&&IMPO15844,0,1
223,OFFICE174&&IMPO18253,0,1
224,OFFICE214&&IMPO19832,0,0
225,OFFICE214&&IMPO16612,0,0
226,OFFICE168&&IMPO17426,0,0
227,OFFICE186&&IMPO18788,0,0
228,OFFICE243&&IMPO11033,0,0
229,OFFICE186&&IMPO12945,0,0
230,OFFICE100&&IMPO19604,0,0
231,OFFICE167&&IMPO11563,0,0
232,OFFICE237&&IMPO10976,0,0
233,OFFICE296&&IMPO12985,0,0
234,OFFICE141&&IMPO14670,0,0
235,OFFICE187&&IMPO12669,0,0
236,OFFICE204&&IMPO16510,0,0
237,OFFICE178&&IMPO11058,0,1
238,OFFICE180&&IMPO12643,0,0
239,OFFICE237&&IMPO10711,0,1
240,OFFICE134&&IMPO14890,0,0
241,OFFICE134&&IMPO18973,0,0
242,OFFICE109&&IMPO11938,0,0
243,OFFICE298&&IMPO12250,0,0
244,OFFICE186&&IMPO16593,0,0
245,OFFICE109&&IMPO12265,0,0
246,OFFICE168&&IMPO15052,0,0
247,OFFICE127&&IMPO16658,0,1
248,OFFICE237&&IMPO15765,0,0
249,OFFICE105&&IMPO10638,0,0
250,OFFICE134&&IMPO17781,0,0
251,OFFICE185&&IMPO18445,0,0
252,OFFICE296&&IMPO11135,0,0
253,OFFICE187&&IMPO18189,0,0
254,OFFICE126&&IMPO10956,0,0
255,OFFICE222&&IMPO17282,0,1
256,OFFICE168&&IMPO18968,0,0
257,OFFICE296&&IMPO11265,0,1
258,OFFICE197&&IMPO12485,0,0
259,OFFICE187&&IMPO12610,0,0
260,OFFICE214&&IMPO16995,0,0
261,OFFICE185&&IMPO13165,0,0
262,OFFICE204&&IMPO17958,0,0
263,OFFICE168&&IMPO15859,0,0
264,OFFICE186&&IMPO16865,0,1
265,OFFICE100&&IMPO19879,0,0
266,OFFICE187&&IMPO13403,0,0
267,OFFICE204&&IMPO15765,0,0
268,OFFICE162&&IMPO19924,0,0
269,OFFICE168&&IMPO19390,0,0
270,OFFICE134&&IMPO10302,0,0
271,OFFICE296&&IMPO17391,0,0
272,OFFICE162&&IMPO16400,1,1
273,OFFICE134&&IMPO12514,0,0
274,OFFICE204&&IMPO12124,0,1
275,OFFICE292&&IMPO12598,0,0
276,OFFICE298&&IMPO19547,0,1
277,OFFICE127&&IMPO12835,0,0
278,OFFICE204&&IMPO18432,0,0
279,OFFICE204&&IMPO10684,0,1
280,OFFICE288&&IMPO14863,0,1
281,OFFICE187&&IMPO18806,0,0
282,OFFICE127&&IMPO11779,0,0
283,OFFICE127&&IMPO15198,0,0
284,OFFICE298&&IMPO14394,0,0
285,OFFICE109&&IMPO10267,0,0
286,OFFICE186&&IMPO11063,0,0
287,OFFICE297&&IMPO12950,0,1
288,OFFICE186&&IMPO11509,0,0
289,OFFICE237&&IMPO16157,0,0
290,OFFICE222&&IMPO18333,0,0
291,OFFICE204&&IMPO19469,0,0
292,OFFICE296&&IMPO14386,0,1
293,OFFICE168&&IMPO14670,0,0
294,OFFICE24&&IMP474316,0,1
295,OFFICE51&&IMP439370,0,0
296,OFFICE60&&IMP280692,0,1
297,OFFICE51&&IMP776989,0,1
298,OFFICE59&&IMP435297,0,0
299,OFFICE59&&IMP522479,0,0
300,OFFICE59&&IMP206242,0,0
301,OFFICE51&&IMP678988,0,0
302,OFFICE51&&IMP511342,0,0
303,OFFICE41&&IMP172475,1,1
304,OFFICE40&&IMP660556,0,0
305,OFFICE40&&IMP440223,0,1
306,OFFICE24&&IMP909394,0,0
307,OFFICE51&&IMP172368,0,0
308,OFFICE51&&IMP344527,0,0
309,OFFICE51&&IMP594770,0,1
310,OFFICE51&&IMP717735,1,1
311,OFFICE96&&IMP280132,0,0
312,OFFICE59&&IMP107102,0,1
313,OFFICE51&&IMP980531,0,0
314,OFFICE59&&IMP300514,0,0
315,OFFICE51&&IMP317314,1,0
316,OFFICE40&&IMP824798,0,0
317,OFFICE59&&IMP229787,0,0
318,OFFICE59&&IMP810695,0,0
319,OFFICE51&&IMP302697,0,0
320,OFFICE24&&IMP915889,0,0
321,OFFICE92&&IMP317314,0,1
322,OFFICE92&&IMP383391,0,0
323,OFFICE51&&IMP712264,0,0
324,OFFICE51&&IMP216660,0,0
325,OFFICE40&&IMP909911,0,1
326,OFFICE45&&IMP115734,0,1
327,OFFICE81&&IMP954081,0,0
328,OFFICE60&&IMP731188,0,0
329,OFFICE51&&IMP546339,0,0
330,OFFICE51&&IMP352125,0,0
331,OFFICE51&&IMP386453,1,0
332,OFFICE51&&IMP657028,0,0
333,OFFICE59&&IMP629453,0,0
334,OFFICE76&&IMP576016,0,1
335,OFFICE52&&IMP202854,0,0
336,OFFICE59&&IMP280692,1,1
337,OFFICE40&&IMP297730,0,0
338,OFFICE59&&IMP124597,0,0
339,OFFICE51&&IMP697425,1,0
340,OFFICE51&&IMP170599,0,0
341,OFFICE40&&IMP326914,0,0
342,OFFICE51&&IMP381305,0,0
343,OFFICE40&&IMP243951,0,0
344,OFFICE59&&IMP358915,1,1
345,OFFICE45&&IMP264163,0,0
346,OFFICE51&&IMP307848,0,1
347,OFFICE51&&IMP643137,0,0
348,OFFICE59&&IMP414024,0,0
349,OFFICE92&&IMP122694,0,0
350,OFFICE59&&IMP392040,0,0
351,OFFICE59&&IMP759377,0,1
352,OFFICE59&&IMP352883,0,0
353,OFFICE59&&IMP216660,1,1
354,OFFICE59&&IMP211637,0,0
355,OFFICE59&&IMP720986,0,0
356,OFFICE51&&IMP992026,0,0
357,OFFICE51&&IMP907559,0,0
358,OFFICE51&&IMP766474,0,0
359,OFFICE51&&IMP341307,1,0
360,OFFICE60&&IMP170000,0,0
361,OFFICE59&&IMP187612,0,0
362,OFFICE51&&IMP781428,0,0
363,OFFICE59&&IMP643203,0,1
364,OFFICE59&&IMP173637,1,0
365,OFFICE51&&IMP678037,0,1
366,OFFICE40&&IMP904574,0,1
367,OFFICE51&&IMP482566,0,0
368,OFFICE92&&IMP764499,0,1
369,OFFICE59&&IMP413429,0,0
370,OFFICE40&&IMP880497,0,0
371,OFFICE59&&IMP249306,0,0
372,OFFICE51&&IMP503241,0,0
373,OFFICE35&&IMP829675,0,1
374,OFFICE23&&IMP987751,0,0
375,OFFICE78&&IMP488624,0,1
376,OFFICE60&&IMP965305,0,0
377,OFFICE51&&IMP439866,0,0
378,OFFICE76&&IMP648653,0,0
379,OFFICE59&&IMP546339,0,0
380,OFFICE23&&IMP120631,0,0
381,OFFICE51&&IMP229911,0,0
382,OFFICE51&&IMP194834,1,0
383,OFFICE59&&IMP203905,1,1
384,OFFICE51&&IMP206242,0,0
385,OFFICE51&&IMP646215,0,0
386,OFFICE96&&IMP351195,0,0
387,OFFICE51&&IMP239127,0,0
388,OFFICE34&&IMP111951,0,1
389,OFFICE59&&IMP592970,0,0
390,OFFICE96&&IMP359032,0,0
391,OFFICE59&&IMP440223,0,0
392,OFFICE59&&IMP809423,1,1
393,OFFICE51&&IMP855449,0,0
394,OFFICE92&&IMP870242,0,0
395,OFFICE60&&IMP533993,0,0
396,OFFICE59&&IMP555305,0,0
397,OFFICE60&&IMP322276,0,0
398,OFFICE51&&IMP566004,0,0
399,OFFICE51&&IMP911330,0,0
400,OFFICE92&&IMP380484,0,1
401,OFFICE51&&IMP589573,1,1
402,OFFICE96&&IMP190354,0,0
403,OFFICE40&&IMP183301,0,0
404,OFFICE59&&IMP271556,0,0
405,OFFICE60&&IMP674837,0,0
406,OFFICE40&&IMP816831,0,1
407,OFFICE40&&IMP513550,0,0
408,OFFICE51&&IMP788254,0,0
409,OFFICE92&&IMP826164,0,0
410,OFFICE59&&IMP871286,0,1
411,OFFICE51&&IMP422356,0,0
412,OFFICE51&&IMP891508,0,0
413,OFFICE59&&IMP565314,0,1
414,OFFICE59&&IMP238427,1,1
415,OFFICE40&&IMP938680,0,1
416,OFFICE59&&IMP129307,0,0
417,OFFICE24&&IMP803166,0,0
418,OFFICE59&&IMP152015,1,1
419,OFFICE40&&IMP322276,0,0
420,OFFICE92&&IMP397513,0,0
421,OFFICE60&&IMP294703,0,1
422,OFFICE24&&IMP496378,0,0
423,OFFICE51&&IMP864528,0,0
424,OFFICE60&&IMP850913,0,0
425,OFFICE59&&IMP554100,0,0
426,OFFICE40&&IMP414024,0,0
427,OFFICE92&&IMP849369,0,0
428,OFFICE59&&IMP965305,0,0
429,OFFICE40&&IMP962728,0,0
430,OFFICE51&&IMP601203,1,1
431,OFFICE76&&IMP294703,0,1
432,OFFICE60&&IMP585253,0,0
433,OFFICE51&&IMP585281,0,1
434,OFFICE52&&IMP136716,0,0
435,OFFICE59&&IMP514650,0,1
436,OFFICE76&&IMP934643,1,1
437,OFFICE40&&IMP772361,0,1
438,OFFICE76&&IMP183611,0,0
439,OFFICE40&&IMP458839,0,1
440,OFFICE59&&IMP447222,0,0
441,OFFICE59&&IMP824798,0,0
442,OFFICE51&&IMP938680,0,0
443,OFFICE59&&IMP142564,1,1
444,OFFICE81&&IMP559457,0,1
445,OFFICE59&&IMP697425,0,0
446,OFFICE59&&IMP271968,1,1
447,OFFICE40&&IMP717735,0,0
448,OFFICE60&&IMP147114,0,0
449,OFFICE66&&IMP774515,0,1
450,OFFICE51&&IMP122694,0,0
451,OFFICE51&&IMP554100,1,1
452,OFFICE51&&IMP765281,1,1
453,OFFICE40&&IMP394006,0,0
454,OFFICE60&&IMP328855,0,0
455,OFFICE51&&IMP181410,0,0
456,OFFICE51&&IMP818754,0,0
457,OFFICE92&&IMP327939,0,1
458,OFFICE51&&IMP653688,0,0
459,OFFICE92&&IMP173637,0,0
460,OFFICE18&&IMP757191,0,0
461,OFFICE59&&IMP826164,1,0
462,OFFICE34&&IMP659233,0,1
463,OFFICE51&&IMP322409,0,0
464,OFFICE51&&IMP124597,1,0
465,OFFICE51&&IMP900492,1,0
466,OFFICE45&&IMP554100,0,0
467,OFFICE59&&IMP354522,1,1
468,OFFICE18&&IMP818754,0,0
469,OFFICE76&&IMP853002,0,0
470,OFFICE60&&IMP444534,0,1
471,OFFICE51&&IMP138552,1,1
472,OFFICE40&&IMP530401,0,0
473,OFFICE51&&IMP447299,1,1
474,OFFICE92&&IMP142940,0,0
475,OFFICE51&&IMP178690,1,1
476,OFFICE40&&IMP920460,0,0
477,OFFICE24&&IMP651050,0,0
478,OFFICE23&&IMP451441,0,0
479,OFFICE51&&IMP727169,1,1
480,OFFICE51&&IMP589386,0,0
481,OFFICE59&&IMP792271,0,0
482,OFFICE60&&IMP267369,0,0
483,OFFICE59&&IMP302697,0,0
484,OFFICE92&&IMP426343,0,0
485,OFFICE60&&IMP901000,0,0
486,OFFICE51&&IMP380288,0,0
487,OFFICE59&&IMP143460,0,1
488,OFFICE34&&IMP407066,0,0
489,OFFICE59&&IMP178626,0,0
490,OFFICE24&&IMP787271,0,0
491,OFFICE59&&IMP942665,0,0
492,OFFICE40&&IMP163708,0,0
493,OFFICE23&&IMP959242,0,1
494,OFFICE60&&IMP555305,0,0
495,OFFICE92&&IMP716770,0,0
496,OFFICE94&&IMP437782,0,0
497,OFFICE51&&IMP715356,1,1
498,OFFICE51&&IMP327159,1,1
499,OFFICE187&&IMPO15533,0,0
500,OFFICE204&&IMPO14670,0,0
501,OFFICE141&&IMPO15988,0,0
502,OFFICE186&&IMPO11601,0,0
503,OFFICE204&&IMPO19655,0,0
504,OFFICE252&&IMPO18489,0,1
505,OFFICE187&&IMPO11063,1,1
506,OFFICE132&&IMPO13975,0,0
507,OFFICE162&&IMPO10477,0,0
508,OFFICE214&&IMPO12155,0,0
509,OFFICE237&&IMPO12398,0,0
510,OFFICE127&&IMPO14334,0,0
511,OFFICE296&&IMPO11732,0,0
512,OFFICE134&&IMPO13754,0,0
513,OFFICE168&&IMPO13618,0,0
514,OFFICE168&&IMPO11025,0,0
515,OFFICE100&&IMPO13165,0,0
516,OFFICE237&&IMPO16622,0,0
517,OFFICE296&&IMPO15783,0,0
518,OFFICE214&&IMPO14354,0,0
519,OFFICE168&&IMPO18208,0,0
520,OFFICE168&&IMPO13685,0,0
521,OFFICE204&&IMPO13761,0,0
522,OFFICE168&&IMPO13181,0,0
523,OFFICE123&&IMPO17792,0,0
524,OFFICE127&&IMPO11469,0,0
525,OFFICE127&&IMPO11444,0,0
526,OFFICE197&&IMPO16622,1,1
527,OFFICE127&&IMPO19256,0,0
528,OFFICE296&&IMPO18475,0,0
529,OFFICE162&&IMPO10462,0,0
530,OFFICE140&&IMPO12524,0,1
531,OFFICE187&&IMPO17112,0,0
532,OFFICE187&&IMPO19613,1,1
533,OFFICE127&&IMPO17115,0,0
534,OFFICE127&&IMPO19747,0,0
535,OFFICE185&&IMPO17470,0,1
536,OFFICE298&&IMPO18361,0,0
537,OFFICE136&&IMPO10254,0,0
538,OFFICE237&&IMPO13495,0,0
539,OFFICE237&&IMPO15276,0,0
540,OFFICE162&&IMPO11284,0,1
541,OFFICE127&&IMPO19420,0,0
542,OFFICE136&&IMPO19945,0,1
543,OFFICE127&&IMPO18400,0,0
544,OFFICE197&&IMPO11528,0,0
545,OFFICE168&&IMPO16184,0,0
546,OFFICE204&&IMPO15767,0,1
547,OFFICE186&&IMPO19927,0,0
548,OFFICE109&&IMPO10976,0,0
549,OFFICE127&&IMPO15533,0,0
550,OFFICE168&&IMPO17368,0,1
551,OFFICE237&&IMPO18189,0,0
552,OFFICE127&&IMPO15955,0,0
553,OFFICE168&&IMPO17476,0,0
554,OFFICE186&&IMPO11444,0,1
555,OFFICE187&&IMPO10845,0,1
556,OFFICE187&&IMPO19390,0,0
557,OFFICE237&&IMPO16803,0,0
558,OFFICE127&&IMPO12207,0,0
559,OFFICE187&&IMPO18778,0,0
560,OFFICE204&&IMPO12228,0,0
561,OFFICE296&&IMPO13165,0,0
562,OFFICE214&&IMPO14368,0,0
563,OFFICE197&&IMPO10166,0,0
564,OFFICE296&&IMPO19469,0,0
565,OFFICE237&&IMPO17253,0,0
566,OFFICE168&&IMPO14301,0,0
567,OFFICE299&&IMPO16269,0,0
568,OFFICE127&&IMPO19253,0,0
569,OFFICE237&&IMPO10005,0,0
570,OFFICE109&&IMPO13981,0,0
571,OFFICE168&&IMPO12219,1,1
572,OFFICE298&&IMPO12102,0,0
573,OFFICE168&&IMPO10462,0,0
574,OFFICE168&&IMPO19578,0,0
575,OFFICE127&&IMPO16873,0,0
576,OFFICE187&&IMPO19879,0,0
577,OFFICE162&&IMPO15705,0,0
578,OFFICE134&&IMPO19080,0,0
579,OFFICE296&&IMPO13618,0,0
580,OFFICE134&&IMPO17244,0,0
581,OFFICE117&&IMPO19949,0,1
582,OFFICE168&&IMPO15767,0,0
583,OFFICE197&&IMPO12398,0,0
584,OFFICE296&&IMPO15338,0,0
585,OFFICE298&&IMPO14334,0,0
586,OFFICE100&&IMPO11356,0,1
587,OFFICE141&&IMPO14334,0,1
588,OFFICE127&&IMPO15276,0,0
589,OFFICE162&&IMPO17093,0,0
590,OFFICE299&&IMPO16524,0,0
591,OFFICE127&&IMPO13165,0,0
592,OFFICE152&&IMPO11277,0,0
593,OFFICE211&&IMPO15707,0,0
594,OFFICE296&&IMPO17964,0,0
595,OFFICE214&&IMPO19502,0,0
596,OFFICE288&&IMPO10700,0,0
597,OFFICE127&&IMPO11025,0,0
598,OFFICE127&&IMPO13095,1,1
599,OFFICE127&&IMPO10723,0,0
600,OFFICE197&&IMPO14011,0,0
601,OFFICE134&&IMPO19013,0,0
602,OFFICE289&&IMPO13495,0,1
603,OFFICE186&&IMPO15533,0,0
604,OFFICE187&&IMPO16873,0,0
605,OFFICE296&&IMPO18194,0,1
606,OFFICE298&&IMPO10477,0,0
607,OFFICE296&&IMPO17088,0,0
608,OFFICE296&&IMPO11284,0,0
609,OFFICE237&&IMPO15783,0,0
610,OFFICE187&&IMPO12183,0,0
611,OFFICE162&&IMPO18189,0,0
612,OFFICE127&&IMPO18806,0,0
613,OFFICE168&&IMPO15626,0,0
614,OFFICE109&&IMPO14713,0,0
615,OFFICE186&&IMPO10344,0,0
616,OFFICE100&&IMPO19253,0,0
617,OFFICE211&&IMPO14527,0,1
618,OFFICE126&&IMPO19789,0,1
619,OFFICE237&&IMPO18778,0,0
620,OFFICE288&&IMPO10344,0,0
621,OFFICE204&&IMPO13495,0,0
622,OFFICE214&&IMPO14414,0,0
623,OFFICE162&&IMPO17356,0,0
624,OFFICE117&&IMPO14759,0,0
625,OFFICE292&&IMPO11430,0,0
626,OFFICE127&&IMPO10541,0,0
627,OFFICE288&&IMPO13005,0,1
628,OFFICE127&&IMPO16865,0,0
629,OFFICE109&&IMPO19338,0,0
630,OFFICE162&&IMPO18212,0,0
631,OFFICE197&&IMPO12200,0,0
632,OFFICE299&&IMPO16865,0,0
633,OFFICE185&&IMPO15955,0,0
634,OFFICE162&&IMPO15916,0,0
635,OFFICE237&&IMPO13784,0,0
636,OFFICE127&&IMPO12066,0,0
637,OFFICE134&&IMPO18238,0,0
638,OFFICE296&&IMPO15626,0,1
639,OFFICE168&&IMPO13495,0,0
640,OFFICE100&&IMPO15737,0,0
641,OFFICE187&&IMPO19818,0,0
642,OFFICE134&&IMPO18173,0,1
643,OFFICE187&&IMPO17757,0,0
644,OFFICE100&&IMPO12833,0,0
645,OFFICE168&&IMPO15955,0,0
646,OFFICE168&&IMPO15283,0,0
647,OFFICE162&&IMPO17253,0,0
648,OFFICE298&&IMPO18767,0,0
649,OFFICE168&&IMPO15051,0,0
650,OFFICE187&&IMPO19469,0,0
651,OFFICE296&&IMPO16338,0,0
652,OFFICE127&&IMPO11284,0,0
653,OFFICE134&&IMPO16347,0,0
654,OFFICE197&&IMPO18208,0,0
655,OFFICE237&&IMPO15661,0,0
656,OFFICE187&&IMPO15100,0,0
657,OFFICE127&&IMPO18212,0,0
658,OFFICE186&&IMPO17156,0,0
659,OFFICE185&&IMPO19420,0,0
660,OFFICE237&&IMPO18764,0,0
661,OFFICE186&&IMPO19469,0,0
662,OFFICE296&&IMPO19159,0,0
663,OFFICE214&&IMPO19263,0,0
664,OFFICE40&&IMP803789,0,0
665,OFFICE92&&IMP359750,0,0
666,OFFICE40&&IMP715456,0,1
667,OFFICE51&&IMP355376,0,0
668,OFFICE60&&IMP916902,0,0
669,OFFICE51&&IMP478176,0,0
670,OFFICE76&&IMP120631,0,1
671,OFFICE59&&IMP712264,1,1
672,OFFICE24&&IMP870242,0,0
673,OFFICE51&&IMP370421,0,0
674,OFFICE60&&IMP361374,0,1
675,OFFICE59&&IMP412417,0,0
676,OFFICE59&&IMP100143,0,0
677,OFFICE40&&IMP409600,0,0
678,OFFICE40&&IMP830465,0,1
