TARIFF.CODE&&ORIGIN.CODE,TARIFF.CODE&&ORIGIN.CODE_illicit_sum,TARIFF.CODE&&ORIGIN.CODE_illicit_rate
1006306790&&CNTRY376,1,1.0
1006306790&&CNTRY429,1,1.0
1006306790&&CNTRY454,0,0.0
1006306790&&CNTRY689,0,0.0
1006306790&&CNTRY994,0,0.0
1006309410&&CNTRY713,0,0.0
1007900000&&CNTRY277,0,0.0
1008300090&&CNTRY795,0,0.0
1008300090&&CNTRY920,0,0.0
101210001&&CNTRY884,0,0.0
101210009&&CNTRY528,1,1.0
101210009&&CNTRY652,0,0.0
101210009&&CNTRY825,0,0.0
101900000&&CNTRY133,1,1.0
101900000&&CNTRY277,0,0.0
101900000&&CNTRY284,0,0.0
101900000&&CNTRY618,1,1.0
105119100&&CNTRY656,1,1.0
105119901&&CNTRY454,0,0.0
105119901&&CNTRY994,0,0.0
105940000&&CNTRY627,0,0.0
105940000&&CNTRY687,0,0.0
105940000&&CNTRY825,0,0.0
105940000&&CNTRY874,0,0.0
105940000&&CNTRY994,0,0.0
106391010&&CNTRY316,0,0.0
106391010&&CNTRY680,1,1.0
106398010&&CNTRY528,1,1.0
106398010&&CNTRY846,0,0.0
106398010&&CNTRY884,1,1.0
1101001500&&CNTRY485,1,1.0
1101001500&&CNTRY709,0,0.0
1101001500&&CNTRY874,1,1.0
1101001500&&CNTRY976,0,0.0
1101001500&&CNTRY994,0,0.0
1102909000&&CNTRY184,0,0.0
1102909000&&CNTRY277,0,0.0
1102909000&&CNTRY448,0,0.0
1102909000&&CNTRY480,0,0.0
1102909000&&CNTRY759,0,0.0
1103111090&&CNTRY123,1,1.0
1103111090&&CNTRY317,0,0.0
1103111090&&CNTRY376,0,0.0
1103111090&&CNTRY764,0,0.0
1103111090&&CNTRY976,0,0.0
1103111090&&CNTRY994,0,0.0
1104120000&&CNTRY138,0,0.0
1104120000&&CNTRY139,1,1.0
1104120000&&CNTRY321,0,0.0
1104120000&&CNTRY323,0,0.0
1104120000&&CNTRY328,0,0.0
1104120000&&CNTRY615,0,0.0
1104120000&&CNTRY654,0,0.0
1104120000&&CNTRY680,0,0.0
1104120000&&CNTRY713,0,0.0
1104120000&&CNTRY873,0,0.0
1104129000&&CNTRY123,0,0.0
1104129000&&CNTRY562,0,0.0
1104129000&&CNTRY976,0,0.0
1105200000&&CNTRY277,0,0.0
1105200000&&CNTRY364,0,0.0
1105200000&&CNTRY378,0,0.0
1105200000&&CNTRY546,0,0.0
1105200000&&CNTRY555,0,0.0
1105200000&&CNTRY680,0,0.0
1105200000&&CNTRY701,1,1.0
1105200000&&CNTRY759,0,0.0
1105200000&&CNTRY995,1,1.0
1106100000&&CNTRY480,1,1.0
1106100000&&CNTRY618,0,0.0
1106100000&&CNTRY874,0,0.0
1106202000&&CNTRY393,1,1.0
1106202000&&CNTRY825,0,0.0
1107100000&&CNTRY328,0,0.0
1107100000&&CNTRY334,0,0.0
1107100000&&CNTRY376,0,0.0
1107100000&&CNTRY473,0,0.0
1107100000&&CNTRY528,0,0.0
1107100000&&CNTRY654,1,1.0
1107100000&&CNTRY759,0,0.0
1107100000&&CNTRY988,0,0.0
1107109902&&CNTRY994,0,0.0
1107200000&&CNTRY140,1,1.0
1107200000&&CNTRY252,0,0.0
1107200000&&CNTRY364,0,0.0
1107200000&&CNTRY376,0,0.0
1107200000&&CNTRY438,1,1.0
1107200000&&CNTRY881,0,0.0
1108110010&&CNTRY171,0,0.0
1108110010&&CNTRY554,1,1.0
1108110010&&CNTRY884,0,0.0
1108120009&&CNTRY680,0,0.0
1108120009&&CNTRY846,0,0.0
1108120009&&CNTRY884,0,0.0
1108120009&&CNTRY917,0,0.0
1108120012&&CNTRY168,0,0.0
1108120012&&CNTRY252,0,0.0
1108120012&&CNTRY262,0,0.0
1108120012&&CNTRY264,0,0.0
1108120012&&CNTRY284,0,0.0
1108120012&&CNTRY316,0,0.0
1108120012&&CNTRY317,0,0.0
1108120012&&CNTRY334,0,0.0
1108120012&&CNTRY349,1,1.0
1108120012&&CNTRY376,0,0.0
1108120012&&CNTRY398,0,0.0
1108120012&&CNTRY454,0,0.0
1108120012&&CNTRY680,0,0.0
1108120012&&CNTRY701,0,0.0
1108120012&&CNTRY759,0,0.0
1108120012&&CNTRY930,1,1.0
1108130015&&CNTRY618,1,1.0
1108130015&&CNTRY652,0,0.0
1108199010&&CNTRY166,1,1.0
1108199010&&CNTRY994,0,0.0
1200000000&&CNTRY113,1,1.0
1200000000&&CNTRY555,0,0.0
1200000000&&CNTRY576,0,0.0
1201900000&&CNTRY317,0,0.0
1202420000&&CNTRY554,0,0.0
1202420000&&CNTRY644,0,0.0
1202420000&&CNTRY881,0,0.0
1206009100&&CNTRY322,1,1.0
1206009900&&CNTRY123,0,0.0
1206009900&&CNTRY407,1,1.0
1206009900&&CNTRY680,0,0.0
1206009900&&CNTRY747,0,0.0
1206009900&&CNTRY920,1,1.0
1206009900&&CNTRY976,0,0.0
1206009900&&CNTRY994,1,0.3333333333333333
1207209000&&CNTRY216,0,0.0
1207209000&&CNTRY454,1,1.0
1207209000&&CNTRY759,0,0.0
1207409000&&CNTRY764,1,1.0
1209294504&&CNTRY317,1,1.0
1209294504&&CNTRY674,0,0.0
1209294504&&CNTRY748,1,1.0
1209294504&&CNTRY994,0,0.0
1209918099&&CNTRY454,1,1.0
1209918099&&CNTRY576,1,1.0
1209918099&&CNTRY644,0,0.0
1209918099&&CNTRY863,1,1.0
1209918099&&CNTRY920,1,1.0
1209918099&&CNTRY962,0,0.0
1211901000&&CNTRY409,0,0.0
1211901000&&CNTRY558,0,0.0
1211901000&&CNTRY759,0,0.0
1214100000&&CNTRY264,0,0.0
1214100000&&CNTRY576,0,0.0
1302130000&&CNTRY323,0,0.0
1302130000&&CNTRY407,0,0.0
1302130000&&CNTRY527,0,0.0
1302130000&&CNTRY554,0,0.0
1302130000&&CNTRY759,0,0.0
1302190000&&CNTRY113,0,0.0
1302190000&&CNTRY125,1,1.0
1302190000&&CNTRY138,1,1.0
1302190000&&CNTRY139,0,0.0
1302190000&&CNTRY277,0,0.0
1302190000&&CNTRY334,0,0.0
1302190000&&CNTRY376,0,0.0
1302190000&&CNTRY701,1,1.0
1302190000&&CNTRY759,0,0.0
1302190000&&CNTRY917,1,1.0
1302190000&&CNTRY975,0,0.0
1302197003&&CNTRY454,0,0.0
1302197003&&CNTRY652,0,0.0
1302197003&&CNTRY680,0,0.0
1302197003&&CNTRY825,0,0.0
1302197003&&CNTRY881,0,0.0
1302197003&&CNTRY920,0,0.0
1302197003&&CNTRY994,0,0.0
1302197009&&CNTRY376,0,0.0
1302197009&&CNTRY409,1,1.0
1302197009&&CNTRY680,1,1.0
1302197009&&CNTRY770,0,0.0
1302197009&&CNTRY846,1,1.0
1302197009&&CNTRY881,0,0.0
1302200000&&CNTRY378,0,0.0
1302200000&&CNTRY622,0,0.0
1302200000&&CNTRY680,0,0.0
1302200000&&CNTRY881,0,0.0
1302201000&&CNTRY562,0,0.0
1302320000&&CNTRY125,1,1.0
1302320000&&CNTRY680,0,0.0
1302320000&&CNTRY759,0,0.0
1302320000&&CNTRY863,0,0.0
1302390000&&CNTRY139,0,0.0
1302390000&&CNTRY316,0,0.0
1302390000&&CNTRY376,0,0.0
1302390000&&CNTRY389,1,1.0
1302390000&&CNTRY409,0,0.0
1302390000&&CNTRY562,0,0.0
1302390000&&CNTRY759,0,0.0
1302390000&&CNTRY819,0,0.0
1302390000&&CNTRY959,0,0.0
1404900099&&CNTRY994,0,0.0
1500000000&&CNTRY150,0,0.0
1500000000&&CNTRY491,1,1.0
1500000000&&CNTRY747,0,0.0
1500000000&&CNTRY866,0,0.0
1504100000&&CNTRY825,0,0.0
1507109009&&CNTRY652,0,0.0
1507109009&&CNTRY680,0,0.0
1507909009&&CNTRY485,0,0.0
1507909009&&CNTRY652,0,0.0
1507909009&&CNTRY994,0,0.0
1509100019&&CNTRY263,1,1.0
1509100019&&CNTRY389,1,1.0
1509100019&&CNTRY436,0,0.0
1509100019&&CNTRY680,0,0.0
1509100019&&CNTRY701,0,0.0
1509100019&&CNTRY765,0,0.0
1509109021&&CNTRY236,0,0.0
1509109021&&CNTRY454,0,0.0
1509109021&&CNTRY485,0,0.0
1509109021&&CNTRY846,1,1.0
1509109081&&CNTRY429,0,0.0
1509109081&&CNTRY627,0,0.0
1509109081&&CNTRY652,0,0.0
1509109081&&CNTRY825,0,0.0
1509109082&&CNTRY747,0,0.0
1509109082&&CNTRY994,0,0.0
1509909000&&CNTRY216,1,1.0
1509909000&&CNTRY278,1,1.0
1509909000&&CNTRY881,0,0.0
1509909000&&CNTRY917,1,1.0
1509909000&&CNTRY994,1,1.0
1510009081&&CNTRY454,1,1.0
1511101000&&CNTRY284,0,0.0
1511101000&&CNTRY321,1,1.0
1511101000&&CNTRY323,0,0.0
1511101000&&CNTRY448,0,0.0
1511101000&&CNTRY866,0,0.0
1511101000&&CNTRY874,0,0.0
1511101000&&CNTRY881,0,0.0
1511101000&&CNTRY959,1,1.0
1511101000&&CNTRY995,0,0.0
1511909000&&CNTRY140,0,0.0
1511909000&&CNTRY618,1,1.0
1511909000&&CNTRY656,1,1.0
1511909000&&CNTRY680,0,0.0
1511909000&&CNTRY745,1,1.0
1511909000&&CNTRY765,1,1.0
1511909000&&CNTRY866,0,0.0
1511909990&&CNTRY216,0,0.0
1511909990&&CNTRY615,0,0.0
1511909990&&CNTRY652,0,0.0
1511909990&&CNTRY866,1,1.0
1512199001&&CNTRY140,1,1.0
1512199001&&CNTRY234,0,0.0
1512199001&&CNTRY555,1,1.0
1512199001&&CNTRY825,1,0.5
1512199001&&CNTRY881,1,1.0
1512199001&&CNTRY995,0,0.0
1512199002&&CNTRY123,0,0.0
1512199002&&CNTRY562,1,1.0
1512199002&&CNTRY674,0,0.0
1513110000&&CNTRY184,0,0.0
1513110000&&CNTRY263,0,0.0
1513110000&&CNTRY277,0,0.0
1513110000&&CNTRY317,0,0.0
1513110000&&CNTRY454,1,0.5
1513110000&&CNTRY562,0,0.0
1513110000&&CNTRY656,0,0.0
1513110000&&CNTRY884,0,0.0
1513219000&&CNTRY562,1,1.0
1513219000&&CNTRY615,0,0.0
1513219000&&CNTRY618,0,0.0
1513219000&&CNTRY748,0,0.0
1513219000&&CNTRY837,1,1.0
1515219000&&CNTRY123,0,0.0
1515219000&&CNTRY456,1,1.0
1515219000&&CNTRY644,1,1.0
1515219000&&CNTRY795,0,0.0
1515300000&&CNTRY262,0,0.0
1515300000&&CNTRY277,0,0.0
1515300000&&CNTRY398,1,1.0
1515909000&&CNTRY562,1,1.0
1515909000&&CNTRY615,0,0.0
1515909000&&CNTRY846,0,0.0
1515909000&&CNTRY975,0,0.0
1515909000&&CNTRY984,0,0.0
1515909909&&CNTRY881,1,1.0
1516200021&&CNTRY125,0,0.0
1516200021&&CNTRY264,0,0.0
1516200021&&CNTRY277,0,0.0
1516200021&&CNTRY316,0,0.0
1516200021&&CNTRY376,0,0.0
1516200021&&CNTRY398,0,0.0
1516200021&&CNTRY429,0,0.0
1516200021&&CNTRY554,0,0.0
1516200021&&CNTRY615,0,0.0
1516200021&&CNTRY652,0,0.0
1516200021&&CNTRY656,0,0.0
1516200021&&CNTRY680,0,0.0
1516200021&&CNTRY859,0,0.0
1516200021&&CNTRY881,0,0.0
1516200021&&CNTRY884,0,0.0
1516200021&&CNTRY919,1,1.0
1516200021&&CNTRY920,0,0.0
1516200021&&CNTRY930,0,0.0
1516209100&&CNTRY263,0,0.0
1516209600&&CNTRY277,0,0.0
1516209600&&CNTRY653,1,1.0
1516209801&&CNTRY123,0,0.0
1516209801&&CNTRY376,0,0.0
1516209801&&CNTRY881,0,0.0
1517100000&&CNTRY133,1,1.0
1517100000&&CNTRY215,1,1.0
1517100000&&CNTRY473,0,0.0
1517100000&&CNTRY546,0,0.0
1517100000&&CNTRY555,0,0.0
1517100000&&CNTRY576,0,0.0
1517100000&&CNTRY680,0,0.0
1517100000&&CNTRY745,0,0.0
1517100000&&CNTRY759,1,0.16666666666666666
1517100000&&CNTRY984,1,1.0
1517109000&&CNTRY680,1,1.0
1517109000&&CNTRY846,0,0.0
1517109000&&CNTRY994,0,0.0
1517909000&&CNTRY527,0,0.0
1517909000&&CNTRY874,0,0.0
1517909100&&CNTRY866,0,0.0
1517909100&&CNTRY959,1,1.0
1517909100&&CNTRY994,0,0.0
1517909300&&CNTRY284,1,1.0
1517909300&&CNTRY445,1,1.0
1517909300&&CNTRY976,0,0.0
1518003900&&CNTRY527,0,0.0
1521100000&&CNTRY168,0,0.0
1521100000&&CNTRY846,0,0.0
1521100000&&CNTRY874,0,0.0
1521100000&&CNTRY994,1,1.0
1521909101&&CNTRY263,1,1.0
1521909101&&CNTRY316,0,0.0
1521909101&&CNTRY390,1,1.0
1521909101&&CNTRY454,0,0.0
1521909101&&CNTRY485,0,0.0
1521909101&&CNTRY555,0,0.0
1521909101&&CNTRY881,0,0.0
1521909101&&CNTRY920,0,0.0
1521909101&&CNTRY994,0,0.0
1521909901&&CNTRY123,0,0.0
1521909901&&CNTRY376,0,0.0
1521909901&&CNTRY454,1,1.0
1521909901&&CNTRY863,0,0.0
1601009000&&CNTRY407,1,1.0
1601009000&&CNTRY448,0,0.0
1601009000&&CNTRY562,0,0.0
1601009000&&CNTRY644,1,1.0
1601009000&&CNTRY701,1,1.0
1601009100&&CNTRY125,1,1.0
1601009100&&CNTRY994,0,0.0
1602209000&&CNTRY123,0,0.0
1602209000&&CNTRY615,0,0.0
1602209000&&CNTRY625,0,0.0
1602209000&&CNTRY825,0,0.0
1602209000&&CNTRY917,0,0.0
1602311900&&CNTRY680,0,0.0
1602311900&&CNTRY959,1,1.0
1602311900&&CNTRY976,0,0.0
1602491900&&CNTRY123,0,0.0
1602491900&&CNTRY652,0,0.0
1602491900&&CNTRY756,0,0.0
1602491900&&CNTRY881,1,1.0
1604139000&&CNTRY139,0,0.0
1604139000&&CNTRY153,1,1.0
1604139000&&CNTRY328,0,0.0
1604139000&&CNTRY376,0,0.0
1604139000&&CNTRY454,1,0.5
1604139000&&CNTRY546,0,0.0
1604139000&&CNTRY615,1,1.0
1604139000&&CNTRY680,0,0.0
1604139000&&CNTRY759,0,0.0
1604139000&&CNTRY881,0,0.0
1604139000&&CNTRY930,1,1.0
1604141101&&CNTRY625,1,1.0
1604141101&&CNTRY748,0,0.0
1604141101&&CNTRY830,0,0.0
1604141101&&CNTRY881,0,0.0
1604144101&&CNTRY654,0,0.0
1604144101&&CNTRY825,0,0.0
1604144101&&CNTRY846,1,1.0
1604144101&&CNTRY994,0,0.0
1604150000&&CNTRY138,0,0.0
1604150000&&CNTRY171,0,0.0
1604150000&&CNTRY215,0,0.0
1604150000&&CNTRY277,0,0.0
1604150000&&CNTRY284,2,1.0
1604150000&&CNTRY343,0,0.0
1604150000&&CNTRY376,0,0.0
1604150000&&CNTRY615,0,0.0
1604150000&&CNTRY653,0,0.0
1604150000&&CNTRY680,0,0.0
1604150000&&CNTRY884,0,0.0
1604150000&&CNTRY915,0,0.0
1604200500&&CNTRY123,0,0.0
1604200500&&CNTRY390,1,1.0
1604207000&&CNTRY264,0,0.0
1701110000&&CNTRY138,0,0.0
1701110000&&CNTRY184,0,0.0
1701110000&&CNTRY277,0,0.0
1701110000&&CNTRY343,0,0.0
1701110000&&CNTRY379,1,1.0
1701110000&&CNTRY558,0,0.0
1701110000&&CNTRY759,0,0.0
1701110000&&CNTRY874,1,1.0
1701110000&&CNTRY920,1,1.0
1701110000&&CNTRY994,0,0.0
1701910002&&CNTRY759,0,0.0
1701910002&&CNTRY771,1,1.0
1701991009&&CNTRY322,1,1.0
1701991009&&CNTRY615,1,1.0
1701991009&&CNTRY915,1,1.0
1701991009&&CNTRY920,0,0.0
1701991009&&CNTRY994,0,0.0
1701999000&&CNTRY140,1,1.0
1701999000&&CNTRY153,0,0.0
1701999000&&CNTRY316,0,0.0
1701999000&&CNTRY376,0,0.0
1701999000&&CNTRY615,1,1.0
1701999000&&CNTRY644,0,0.0
1701999000&&CNTRY859,1,1.0
1701999000&&CNTRY994,0,0.0
1701999092&&CNTRY171,1,1.0
1701999099&&CNTRY216,0,0.0
1701999099&&CNTRY485,0,0.0
1701999099&&CNTRY874,1,1.0
1701999099&&CNTRY930,1,1.0
1701999099&&CNTRY962,1,1.0
1702110000&&CNTRY262,0,0.0
1702110000&&CNTRY311,0,0.0
1702110000&&CNTRY316,0,0.0
1702110000&&CNTRY389,0,0.0
1702110000&&CNTRY554,0,0.0
1702110000&&CNTRY615,0,0.0
1702110000&&CNTRY859,1,1.0
1702110000&&CNTRY891,1,1.0
1702110091&&CNTRY153,1,1.0
1702110091&&CNTRY680,0,0.0
1702300000&&CNTRY317,0,0.0
1702300000&&CNTRY376,1,0.3333333333333333
1702300000&&CNTRY436,1,1.0
1702300000&&CNTRY454,0,0.0
1702300000&&CNTRY473,0,0.0
1702300000&&CNTRY701,0,0.0
1702300000&&CNTRY759,0,0.0
1702300000&&CNTRY873,0,0.0
1702300000&&CNTRY881,0,0.0
1702300000&&CNTRY884,1,1.0
1702300000&&CNTRY994,0,0.0
1702305010&&CNTRY123,0,0.0
1702305010&&CNTRY765,0,0.0
1702305090&&CNTRY756,1,1.0
1702309099&&CNTRY554,0,0.0
1702309099&&CNTRY976,0,0.0
1702409010&&CNTRY656,0,0.0
1702409010&&CNTRY843,1,1.0
1702409099&&CNTRY236,0,0.0
1702409099&&CNTRY317,0,0.0
1702409099&&CNTRY830,0,0.0
1702409099&&CNTRY846,0,0.0
1702409099&&CNTRY994,0,0.0
1702900000&&CNTRY138,0,0.0
1702900000&&CNTRY252,0,0.0
1702900000&&CNTRY276,0,0.0
1702900000&&CNTRY277,0,0.0
1702900000&&CNTRY349,0,0.0
1702900000&&CNTRY376,0,0.0
1702900000&&CNTRY454,0,0.0
1702900000&&CNTRY546,0,0.0
1702900000&&CNTRY562,1,1.0
1702900000&&CNTRY659,1,1.0
1702900000&&CNTRY680,0,0.0
1702900000&&CNTRY765,0,0.0
1702900000&&CNTRY873,0,0.0
1702900000&&CNTRY988,0,0.0
1702900000&&CNTRY994,0,0.0
1702905091&&CNTRY846,0,0.0
1702909599&&CNTRY652,0,0.0
1703100001&&CNTRY323,0,0.0
1703100001&&CNTRY390,0,0.0
1703100001&&CNTRY680,0,0.0
1703100001&&CNTRY976,0,0.0
1704100000&&CNTRY113,1,1.0
1704100000&&CNTRY138,0,0.0
1704100000&&CNTRY139,0,0.0
1704100000&&CNTRY168,0,0.0
1704100000&&CNTRY184,0,0.0
1704100000&&CNTRY454,0,0.0
1704100000&&CNTRY555,0,0.0
1704100000&&CNTRY558,1,0.5
1704100000&&CNTRY622,1,1.0
1704100000&&CNTRY680,0,0.0
1704100000&&CNTRY748,1,1.0
1704100000&&CNTRY859,0,0.0
1704100000&&CNTRY884,0,0.0
1704100000&&CNTRY984,1,1.0
1704100000&&CNTRY994,0,0.0
1704109001&&CNTRY576,1,1.0
1704109001&&CNTRY652,0,0.0
1704900000&&CNTRY133,0,0.0
1704900000&&CNTRY311,0,0.0
1704900000&&CNTRY364,0,0.0
1704900000&&CNTRY389,0,0.0
1704900000&&CNTRY656,1,1.0
1704900000&&CNTRY756,0,0.0
1704900000&&CNTRY846,1,1.0
1704900000&&CNTRY863,0,0.0
1704900000&&CNTRY884,0,0.0
1704905106&&CNTRY415,0,0.0
1704905109&&CNTRY554,1,1.0
1704905109&&CNTRY785,0,0.0
1704905500&&CNTRY123,0,0.0
1704905500&&CNTRY454,0,0.0
1704905500&&CNTRY976,0,0.0
1704906501&&CNTRY351,0,0.0
1704906501&&CNTRY837,0,0.0
1704906501&&CNTRY994,0,0.0
1704907109&&CNTRY139,0,0.0
1704907109&&CNTRY376,0,0.0
1704907109&&CNTRY454,0,0.0
1704907109&&CNTRY562,0,0.0
1704908100&&CNTRY407,1,1.0
1704908100&&CNTRY615,0,0.0
1704908100&&CNTRY652,1,1.0
1704908100&&CNTRY976,1,1.0
1704909902&&CNTRY379,1,1.0
1704909902&&CNTRY764,0,0.0
1704909903&&CNTRY562,0,0.0
1801000010&&CNTRY171,0,0.0
1801000010&&CNTRY652,0,0.0
1801000010&&CNTRY680,0,0.0
1801000010&&CNTRY881,0,0.0
1801000010&&CNTRY976,0,0.0
1801000010&&CNTRY994,0,0.0
1801002000&&CNTRY351,0,0.0
1801002000&&CNTRY376,0,0.0
1801002000&&CNTRY407,0,0.0
1801002000&&CNTRY920,0,0.0
1805000000&&CNTRY140,0,0.0
1805000000&&CNTRY236,0,0.0
1805000000&&CNTRY334,0,0.0
1805000000&&CNTRY351,1,1.0
1805000000&&CNTRY379,0,0.0
1805000000&&CNTRY652,0,0.0
1806200000&&CNTRY321,0,0.0
1806200000&&CNTRY378,0,0.0
1806200000&&CNTRY659,0,0.0
1806200000&&CNTRY759,0,0.0
1806200000&&CNTRY819,1,1.0
1806310000&&CNTRY123,0,0.0
1806310000&&CNTRY133,0,0.0
1806310000&&CNTRY184,0,0.0
1806310000&&CNTRY376,0,0.0
1806310000&&CNTRY393,0,0.0
1806310000&&CNTRY454,0,0.0
1806310000&&CNTRY485,0,0.0
1806310000&&CNTRY528,1,1.0
1806310000&&CNTRY615,0,0.0
1806310000&&CNTRY644,0,0.0
1806310000&&CNTRY652,0,0.0
1806310000&&CNTRY656,0,0.0
1806310000&&CNTRY680,1,0.25
1806310000&&CNTRY759,0,0.0
1806310000&&CNTRY795,0,0.0
1806310000&&CNTRY837,0,0.0
1806310000&&CNTRY846,1,0.5
1806310000&&CNTRY874,0,0.0
1806310000&&CNTRY891,0,0.0
1806310000&&CNTRY976,0,0.0
1806310000&&CNTRY994,0,0.0
1806320000&&CNTRY284,0,0.0
1806320000&&CNTRY615,0,0.0
1806320000&&CNTRY618,0,0.0
1806320000&&CNTRY653,0,0.0
1806320000&&CNTRY680,0,0.0
1806320000&&CNTRY759,0,0.0
1806320000&&CNTRY764,0,0.0
1806320000&&CNTRY959,0,0.0
1806320000&&CNTRY975,0,0.0
1806321000&&CNTRY123,0,0.0
1806321000&&CNTRY209,0,0.0
1806321000&&CNTRY284,0,0.0
1806321000&&CNTRY322,1,1.0
1806321000&&CNTRY376,0,0.0
1806321000&&CNTRY429,0,0.0
1806321000&&CNTRY454,0,0.0
1806321000&&CNTRY576,0,0.0
1806321000&&CNTRY615,0,0.0
1806321000&&CNTRY652,0,0.0
1806321000&&CNTRY680,1,0.5
1806321000&&CNTRY819,1,1.0
1806321000&&CNTRY825,0,0.0
1806321000&&CNTRY830,0,0.0
1806321000&&CNTRY846,0,0.0
1806321000&&CNTRY881,0,0.0
1806321000&&CNTRY959,0,0.0
1806321000&&CNTRY976,1,0.5
1806321000&&CNTRY994,0,0.0
1806329000&&CNTRY652,0,0.0
1806329000&&CNTRY756,0,0.0
1806329000&&CNTRY830,0,0.0
1806329000&&CNTRY846,0,0.0
1806901000&&CNTRY125,0,0.0
1806901000&&CNTRY322,0,0.0
1806901000&&CNTRY351,0,0.0
1806901000&&CNTRY652,0,0.0
1806901000&&CNTRY680,1,0.3333333333333333
1806901000&&CNTRY701,0,0.0
1806901000&&CNTRY771,0,0.0
1806901900&&CNTRY445,0,0.0
1806901900&&CNTRY652,0,0.0
1806901900&&CNTRY687,0,0.0
1806901900&&CNTRY863,0,0.0
1806903100&&CNTRY976,0,0.0
1806909000&&CNTRY562,0,0.0
1806909000&&CNTRY652,0,0.0
1806909000&&CNTRY680,0,0.0
1806909000&&CNTRY994,0,0.0
1901100000&&CNTRY150,0,0.0
1901100000&&CNTRY263,0,0.0
1901100000&&CNTRY376,0,0.0
1901100000&&CNTRY378,1,1.0
