IMPORTER.TIN,IMPORTER.TIN_illicit_sum,IMPORTER.TIN_illicit_rate
IMP119457,1,0.5
IMP119502,0,0.0
IMP119718,0,0.0
IMP119811,0,0.0
IMP119886,1,0.3333333333333333
IMP120213,0,0.0
IMP120262,0,0.0
IMP120339,0,0.0
IMP120345,1,0.16666666666666666
IMP120456,0,0.0
IMP120631,11,0.020036429872495445
IMP120658,1,0.5
IMP120909,0,0.0
IMP121314,0,0.0
IMP121359,0,0.0
IMP121455,0,0.0
IMP121885,1,1.0
IMP122127,1,0.5
IMP122337,2,0.4
IMP122463,2,0.6666666666666666
IMP122494,0,0.0
IMP122694,5,0.01639344262295082
IMP122845,0,0.0
IMP123227,1,0.5
IMP123315,1,0.25
IMP123397,0,0.0
IMP123430,0,0.0
IMP123461,0,0.0
IMP123568,0,0.0
IMP123569,0,0.0
IMP123575,0,0.0
IMP123602,0,0.0
IMP123682,0,0.0
IMP123760,0,0.0
IMP123906,0,0.0
IMP123970,0,0.0
IMP124043,1,0.5
IMP124103,0,0.0
IMP124151,1,1.0
IMP124228,0,0.0
IMP124454,0,0.0
IMP124483,0,0.0
IMP124495,1,0.5
IMP124557,0,0.0
IMP124597,11,0.018998272884283247
IMP124726,0,0.0
IMP124982,0,0.0
IMP125020,0,0.0
IMP125025,1,0.5
IMP125331,0,0.0
IMP125373,0,0.0
IMP125431,0,0.0
IMP125521,1,0.3333333333333333
IMP125665,3,0.3333333333333333
IMP125708,2,0.5
IMP126236,0,0.0
IMP126434,1,1.0
IMP126499,1,0.5
IMP126554,2,0.6666666666666666
IMP126745,1,0.5
IMP126864,2,0.2
IMP127093,3,0.17647058823529413
IMP127127,0,0.0
IMP127172,0,0.0
IMP127201,2,1.0
IMP127476,0,0.0
IMP127478,0,0.0
IMP127842,0,0.0
IMP127977,0,0.0
IMP128011,0,0.0
IMP128225,0,0.0
IMP128252,1,0.3333333333333333
IMP128282,0,0.0
IMP128326,0,0.0
IMP128378,1,0.2
IMP128576,2,1.0
IMP128795,0,0.0
IMP129136,1,0.5
IMP129139,0,0.0
IMP129307,6,0.018867924528301886
IMP129397,0,0.0
IMP129420,0,0.0
IMP129518,0,0.0
IMP129599,0,0.0
IMP129724,1,0.5
IMP129892,0,0.0
IMP130023,1,1.0
IMP130031,0,0.0
IMP130108,0,0.0
IMP130117,0,0.0
IMP130305,5,0.034013605442176874
IMP130322,1,0.5
IMP130331,0,0.0
IMP130375,2,0.5
IMP130430,2,0.16666666666666666
IMP130515,0,0.0
IMP130970,1,0.25
IMP131252,0,0.0
IMP131392,0,0.0
IMP131540,1,1.0
IMP131619,0,0.0
IMP131629,1,1.0
IMP131677,3,0.375
IMP131696,0,0.0
IMP131908,1,0.25
IMP131927,1,0.3333333333333333
IMP131928,1,0.3333333333333333
IMP131933,5,0.1282051282051282
IMP131938,1,1.0
IMP131956,2,0.5
IMP132094,1,0.5
IMP132197,1,0.07142857142857142
IMP132222,1,0.25
IMP132466,1,0.25
IMP132536,1,1.0
IMP132664,1,1.0
IMP132684,0,0.0
IMP132756,1,0.3333333333333333
IMP132889,0,0.0
IMP132928,0,0.0
IMP132966,0,0.0
IMP132985,0,0.0
IMP133520,0,0.0
IMP133638,0,0.0
IMP133718,1,0.5
IMP133900,1,1.0
IMP134370,0,0.0
IMP134409,1,0.5
IMP134624,0,0.0
IMP134645,0,0.0
IMP134738,0,0.0
IMP135350,0,0.0
IMP135356,0,0.0
IMP135579,0,0.0
IMP135798,1,0.14285714285714285
IMP135849,0,0.0
IMP135970,4,0.03333333333333333
IMP136007,1,0.3333333333333333
IMP136222,0,0.0
IMP136331,0,0.0
IMP136517,0,0.0
IMP136597,1,1.0
IMP136716,0,0.0
IMP136835,1,0.5
IMP136898,0,0.0
IMP137101,1,0.25
IMP137194,1,0.3333333333333333
IMP137216,0,0.0
IMP137380,0,0.0
IMP137419,0,0.0
IMP137572,0,0.0
IMP137616,3,1.0
IMP137827,1,0.14285714285714285
IMP137883,0,0.0
IMP137914,1,1.0
IMP138205,1,0.3333333333333333
IMP138280,0,0.0
IMP138476,1,0.25
IMP138505,0,0.0
IMP138552,7,0.03723404255319149
IMP138576,1,1.0
IMP138658,0,0.0
IMP138836,1,1.0
IMP138935,0,0.0
IMP139044,0,0.0
IMP139159,0,0.0
IMP139464,1,0.3333333333333333
IMP139496,0,0.0
IMP139746,1,1.0
IMP139876,0,0.0
IMP139899,0,0.0
IMP139917,0,0.0
IMP140026,0,0.0
IMP140037,0,0.0
IMP140060,0,0.0
IMP140110,0,0.0
IMP140113,1,0.07692307692307693
IMP140144,0,0.0
IMP140146,0,0.0
IMP140189,1,0.3333333333333333
IMP140397,0,0.0
IMP140416,1,0.2
IMP140420,3,0.5
IMP140548,0,0.0
IMP140571,0,0.0
IMP140954,2,0.02531645569620253
IMP141424,1,0.14285714285714285
IMP141436,0,0.0
IMP141712,1,0.5
IMP142077,0,0.0
IMP142105,0,0.0
IMP142186,0,0.0
IMP142502,0,0.0
IMP142521,0,0.0
IMP142564,5,0.03816793893129771
IMP142643,0,0.0
IMP142727,1,0.14285714285714285
IMP142744,0,0.0
IMP142940,4,0.008869179600886918
IMP143039,0,0.0
IMP143135,1,0.3333333333333333
IMP143240,1,0.3333333333333333
IMP143297,2,0.5
IMP143342,1,0.3333333333333333
IMP143346,1,0.3333333333333333
IMP143385,0,0.0
IMP143386,0,0.0
IMP143440,0,0.0
IMP143458,1,1.0
IMP143460,2,0.03389830508474576
IMP143500,0,0.0
IMP143570,0,0.0
IMP143646,0,0.0
IMP144015,1,0.047619047619047616
IMP144073,1,1.0
IMP144125,0,0.0
IMP144148,1,0.09090909090909091
IMP144149,0,0.0
IMP144221,1,0.16666666666666666
IMP144289,0,0.0
IMP144305,1,1.0
IMP144343,1,0.5
IMP144857,0,0.0
IMP145153,0,0.0
IMP145270,0,0.0
IMP145319,0,0.0
IMP145463,0,0.0
IMP145561,0,0.0
IMP145704,0,0.0
IMP145817,0,0.0
IMP145987,0,0.0
IMP146137,1,1.0
IMP146143,1,1.0
IMP146177,0,0.0
IMP146228,0,0.0
IMP146257,0,0.0
IMP146414,2,0.3333333333333333
IMP146540,1,0.5
IMP146605,1,0.5
IMP146695,1,0.3333333333333333
IMP146720,0,0.0
IMP146835,0,0.0
IMP146918,2,0.25
IMP147099,1,0.3333333333333333
IMP147102,1,0.5
IMP147114,3,0.07142857142857142
IMP147379,0,0.0
IMP147591,0,0.0
IMP147641,0,0.0
IMP147898,0,0.0
IMP148120,0,0.0
IMP148184,1,1.0
IMP148250,0,0.0
IMP148408,0,0.0
IMP148472,0,0.0
IMP148800,1,0.25
IMP148904,0,0.0
IMP149075,0,0.0
IMP149222,2,1.0
IMP149274,1,1.0
IMP149464,1,0.3333333333333333
IMP149560,2,0.2857142857142857
IMP149613,3,0.75
IMP150206,0,0.0
IMP150224,0,0.0
IMP150267,0,0.0
IMP150295,0,0.0
IMP150306,2,0.15384615384615385
IMP150390,1,1.0
IMP150420,0,0.0
IMP150445,0,0.0
IMP150494,1,0.5
IMP150751,0,0.0
IMP150787,0,0.0
IMP150819,0,0.0
IMP151367,1,0.5
IMP151873,1,0.07692307692307693
IMP152015,12,0.022857142857142857
IMP152223,1,0.5
IMP152235,0,0.0
IMP152501,2,0.03076923076923077
IMP152761,1,0.25
IMP152784,0,0.0
IMP152810,8,0.02416918429003021
IMP152817,0,0.0
IMP152843,0,0.0
IMP152864,1,0.5
IMP153134,0,0.0
IMP153226,0,0.0
IMP153336,0,0.0
IMP153417,1,0.5
IMP153462,1,0.3333333333333333
IMP153496,1,0.25
IMP153710,1,0.5
IMP153808,0,0.0
IMP153858,0,0.0
IMP154351,3,0.0379746835443038
IMP154376,0,0.0
IMP154378,0,0.0
IMP154434,1,1.0
IMP154519,0,0.0
IMP154554,0,0.0
IMP154573,2,0.6666666666666666
IMP154692,1,0.3333333333333333
IMP154913,0,0.0
IMP154971,1,1.0
IMP155004,1,0.3333333333333333
IMP155090,0,0.0
IMP155172,1,1.0
IMP155257,0,0.0
IMP155368,1,0.3333333333333333
IMP155550,0,0.0
IMP155553,0,0.0
IMP155718,1,0.2
IMP155819,1,0.5
IMP155821,0,0.0
IMP155855,1,0.2
IMP155958,1,0.5
IMP156042,2,0.4
IMP156259,1,0.5
IMP156263,0,0.0
IMP156392,1,1.0
IMP156567,0,0.0
IMP156650,1,1.0
IMP156909,0,0.0
IMP156950,4,0.020512820512820513
IMP157118,0,0.0
IMP157301,0,0.0
IMP157311,1,0.5
IMP157353,8,0.05517241379310345
IMP157571,1,0.5
IMP157669,0,0.0
IMP157957,1,0.125
IMP157985,0,0.0
IMP158001,0,0.0
IMP158121,1,0.5
IMP158220,6,0.013245033112582781
IMP158232,1,0.5
IMP158300,0,0.0
IMP158441,1,0.3333333333333333
IMP158615,0,0.0
IMP158677,0,0.0
IMP158890,1,1.0
IMP158974,0,0.0
IMP159098,1,1.0
IMP159459,1,0.5
IMP159579,0,0.0
IMP159606,1,0.25
IMP159612,0,0.0
IMP159633,0,0.0
IMP159754,0,0.0
IMP159776,0,0.0
IMP159786,0,0.0
IMP159875,0,0.0
IMP159915,0,0.0
IMP159962,1,0.3333333333333333
IMP159979,1,0.5
IMP160003,0,0.0
IMP160146,1,0.09090909090909091
IMP160326,0,0.0
IMP160458,0,0.0
IMP160547,0,0.0
IMP160725,0,0.0
IMP160836,1,0.3333333333333333
IMP160902,0,0.0
IMP160971,1,1.0
IMP160972,0,0.0
IMP161004,0,0.0
IMP161139,2,0.2222222222222222
IMP161507,1,1.0
IMP161511,3,0.75
IMP161716,1,1.0
IMP161936,0,0.0
IMP161945,0,0.0
IMP162030,0,0.0
IMP162227,0,0.0
IMP162237,1,1.0
IMP162342,2,0.4
IMP162562,1,0.3333333333333333
IMP162713,1,0.3333333333333333
IMP162884,1,0.3333333333333333
IMP162979,1,1.0
IMP163165,0,0.0
IMP163166,0,0.0
IMP163531,0,0.0
IMP163562,0,0.0
IMP163708,4,0.031007751937984496
IMP163776,0,0.0
IMP164224,0,0.0
IMP164293,4,0.023809523809523808
IMP164603,0,0.0
IMP164613,1,0.2
IMP165224,4,0.023121387283236993
IMP165318,0,0.0
IMP165337,1,0.058823529411764705
IMP165687,0,0.0
IMP165827,6,0.02531645569620253
IMP165901,0,0.0
IMP165921,1,1.0
IMP165987,0,0.0
IMP166036,1,1.0
IMP166141,0,0.0
IMP166326,0,0.0
IMP166333,1,1.0
IMP166339,1,0.3333333333333333
IMP166531,0,0.0
IMP166574,0,0.0
IMP166686,0,0.0
IMP166756,1,0.14285714285714285
IMP166768,1,0.5
IMP166888,0,0.0
IMP166955,0,0.0
IMP167062,0,0.0
IMP167128,0,0.0
IMP167154,1,0.5
IMP167197,1,0.1
IMP167268,0,0.0
IMP167332,1,0.5
IMP167344,1,0.3333333333333333
IMP167484,1,0.5
IMP167606,1,0.5
IMP167628,0,0.0
IMP167828,1,1.0
IMP167979,1,1.0
IMP168037,0,0.0
IMP168194,1,1.0
IMP168253,0,0.0
IMP168278,2,0.125
IMP168291,0,0.0
IMP168292,2,0.25
IMP168302,0,0.0
IMP168311,2,0.6666666666666666
IMP168328,0,0.0
IMP168479,0,0.0
IMP168972,0,0.0
IMP169088,1,1.0
IMP169109,2,0.6666666666666666
IMP169137,0,0.0
IMP169492,1,1.0
IMP169553,0,0.0
IMP169643,0,0.0
IMP169768,0,0.0
IMP169812,0,0.0
IMP169891,2,1.0
IMP169967,1,0.2
IMP169969,1,0.3333333333333333
IMP170000,0,0.0
IMP170310,0,0.0
IMP170599,0,0.0
IMP170610,0,0.0
IMP170746,1,0.3333333333333333
IMP170890,0,0.0
IMP170977,0,0.0
IMP171179,0,0.0
IMP171211,0,0.0
IMP171219,1,0.25
IMP171394,1,0.5
IMP171493,1,0.07692307692307693
IMP171604,0,0.0
IMP171643,0,0.0
IMP171801,0,0.0
IMP171805,1,1.0
IMP171884,0,0.0
IMP172041,0,0.0
IMP172069,0,0.0
IMP172070,1,0.5
IMP172233,1,0.5
IMP172330,0,0.0
IMP172368,0,0.0
IMP172475,2,0.6666666666666666
IMP172744,1,1.0
IMP172956,0,0.0
IMP173113,0,0.0
IMP173124,0,0.0
IMP173289,1,1.0
IMP173424,0,0.0
IMP173577,0,0.0
IMP173637,8,0.010165184243964422
IMP173674,0,0.0
IMP174062,3,0.23076923076923078
IMP174098,1,0.125
IMP174142,1,1.0
IMP174406,0,0.0
IMP174495,0,0.0
IMP174601,1,1.0
IMP174735,0,0.0
IMP174832,0,0.0
IMP175087,1,1.0
IMP175097,1,0.07692307692307693
IMP175383,0,0.0
IMP175441,1,0.25
IMP175445,1,0.08333333333333333
IMP175799,0,0.0
IMP175824,1,0.14285714285714285
IMP176382,0,0.0
IMP176390,0,0.0
IMP176413,1,0.5
IMP176491,2,0.5
IMP176493,1,1.0
IMP176528,0,0.0
IMP176539,0,0.0
IMP176645,0,0.0
IMP176688,0,0.0
IMP176790,0,0.0
IMP176836,0,0.0
IMP176892,1,1.0
IMP177205,0,0.0
IMP177207,0,0.0
IMP177246,0,0.0
IMP177314,3,0.42857142857142855
IMP177391,0,0.0
IMP177414,0,0.0
IMP177495,1,0.25
IMP177575,1,1.0
IMP177596,1,0.3333333333333333
IMP177696,0,0.0
IMP177737,0,0.0
IMP177855,1,0.05
IMP177873,0,0.0
IMP177945,1,0.14285714285714285
IMP178153,0,0.0
IMP178212,0,0.0
IMP178247,2,1.0
IMP178281,0,0.0
IMP178309,0,0.0
IMP178369,1,0.5
IMP178466,1,1.0
IMP178569,2,0.5
IMP178600,0,0.0
IMP178626,3,0.037037037037037035
IMP178635,0,0.0
IMP178690,6,0.12244897959183673
IMP178717,0,0.0
IMP178728,2,1.0
IMP178739,1,0.5
IMP178896,1,0.25
IMP179012,0,0.0
IMP179359,1,0.5
IMP179364,0,0.0
IMP179488,0,0.0
IMP179534,11,0.02111324376199616
IMP179618,4,0.03418803418803419
IMP179746,0,0.0
IMP179777,0,0.0
IMP179843,1,0.2
IMP179874,0,0.0
IMP179934,0,0.0
IMP179977,0,0.0
IMP180530,0,0.0
IMP180742,1,0.3333333333333333
IMP181174,1,0.5
IMP181297,0,0.0
IMP181309,2,0.08
IMP181390,3,0.03333333333333333
IMP181410,0,0.0
IMP181489,0,0.0
IMP181720,1,0.16666666666666666
IMP181986,1,0.25
IMP181997,1,0.5
IMP182260,0,0.0
IMP182362,3,0.75
IMP182371,0,0.0
IMP182374,0,0.0
IMP182538,2,0.6666666666666666
IMP182633,1,1.0
IMP182649,1,0.5
IMP182727,0,0.0
IMP182790,0,0.0
IMP182800,0,0.0
IMP182845,0,0.0
IMP182851,0,0.0
IMP182858,3,0.02830188679245283
IMP182971,0,0.0
IMP183301,0,0.0
IMP183408,1,0.5
IMP183611,1,0.16666666666666666
IMP183639,0,0.0
IMP183667,1,0.5
IMP183712,0,0.0
IMP183819,1,0.5
IMP183823,1,0.5
IMP183924,0,0.0
IMP183958,1,0.2
IMP184043,0,0.0
IMP184197,0,0.0
IMP184304,1,0.25
IMP184326,0,0.0
IMP184404,1,1.0
IMP184550,0,0.0
IMP184662,1,0.25
IMP184760,3,0.07894736842105263
IMP185035,0,0.0
IMP185242,0,0.0
IMP185299,1,0.25
IMP185485,0,0.0
IMP185728,2,0.08333333333333333
IMP185808,0,0.0
IMP185855,1,0.5
IMP186280,0,0.0
IMP186295,0,0.0
IMP186338,1,1.0
IMP186355,1,0.3333333333333333
IMP186417,0,0.0
IMP186460,0,0.0
IMP186758,0,0.0
IMP187108,1,0.5
IMP187117,2,0.2222222222222222
IMP187133,1,0.3333333333333333
IMP187612,5,0.016233766233766232
IMP187733,1,0.3333333333333333
IMP187780,0,0.0
IMP187870,0,0.0
IMP187998,0,0.0
IMP188008,2,0.2222222222222222
IMP188045,1,1.0
IMP188095,0,0.0
IMP188166,1,0.25
IMP188175,0,0.0
IMP188178,1,1.0
IMP188186,6,0.013186813186813187
IMP188305,0,0.0
IMP188437,0,0.0
IMP188460,1,0.2
IMP188653,0,0.0
IMP188757,0,0.0
IMP189090,0,0.0
IMP189115,0,0.0
IMP189526,2,1.0
IMP189559,0,0.0
IMP189696,2,1.0
IMP189785,0,0.0
IMP189885,0,0.0
IMP190248,0,0.0
IMP190291,0,0.0
IMP190332,0,0.0
IMP190354,0,0.0
IMP190373,0,0.0
IMP190500,0,0.0
IMP190608,1,0.3333333333333333
IMP190790,0,0.0
IMP190830,1,1.0
IMP190868,0,0.0
IMP191420,0,0.0
IMP191492,0,0.0
IMP191500,0,0.0
IMP191882,1,0.3333333333333333
IMP191885,1,0.16666666666666666
IMP192050,0,0.0
IMP192132,0,0.0
IMP192198,0,0.0
IMP192377,1,0.125
IMP192525,0,0.0
IMP192586,2,1.0
IMP192741,0,0.0
IMP192796,0,0.0
IMP192816,0,0.0
IMP192819,2,0.0392156862745098
IMP192821,1,1.0
IMP192856,0,0.0
IMP192996,0,0.0
IMP193003,1,1.0
IMP193077,1,0.2
IMP193134,1,0.3333333333333333
IMP193150,1,1.0
IMP193210,0,0.0
IMP193323,0,0.0
IMP193431,0,0.0
IMP193698,1,0.3333333333333333
IMP193726,1,0.5
IMP193943,0,0.0
IMP193967,0,0.0
IMP194070,1,0.3333333333333333
IMP194094,0,0.0
IMP194211,1,0.25
IMP194621,1,0.3333333333333333
IMP194834,4,0.015503875968992248
IMP194996,0,0.0
IMP194999,0,0.0
IMP195096,5,0.045454545454545456
IMP195101,0,0.0
IMP195551,0,0.0
IMP195620,0,0.0
IMP195727,1,0.5
IMP195755,0,0.0
IMP195823,0,0.0
IMP195967,0,0.0
IMP196093,0,0.0
IMP196125,0,0.0
IMP196172,1,0.5
IMP196273,0,0.0
IMP196327,3,0.6
IMP196530,1,0.3333333333333333
IMP196705,1,0.5
IMP196711,0,0.0
IMP196741,0,0.0
IMP196874,0,0.0
IMP196973,0,0.0
IMP197138,0,0.0
IMP197215,0,0.0
IMP197383,0,0.0
IMP197395,0,0.0
IMP197439,1,0.25
IMP197558,0,0.0
IMP197561,0,0.0
IMP197572,1,0.3333333333333333
IMP197657,0,0.0
IMP197759,0,0.0
IMP197760,0,0.0
IMP197822,0,0.0
IMP197918,1,0.3333333333333333
IMP197943,0,0.0
IMP198319,0,0.0
IMP198332,0,0.0
IMP198754,0,0.0
IMP199265,0,0.0
IMP199358,2,1.0
IMP199404,0,0.0
IMP199492,1,0.5
IMP199945,0,0.0
IMP200080,1,0.07692307692307693
IMP200107,0,0.0
IMP200423,2,0.1111111111111111
IMP200610,0,0.0
IMP200652,2,0.09523809523809523
IMP200734,1,0.3333333333333333
IMP201133,2,0.25
IMP201200,0,0.0
IMP201201,1,1.0
IMP201340,0,0.0
IMP201488,2,1.0
IMP201553,1,1.0
IMP202182,0,0.0
IMP202373,2,0.6666666666666666
IMP202393,1,0.5
IMP202515,0,0.0
IMP202596,1,0.3333333333333333
IMP202750,0,0.0
IMP202759,1,1.0
IMP202790,0,0.0
IMP202848,0,0.0
IMP202854,0,0.0
IMP202906,0,0.0
IMP202986,0,0.0
IMP203030,2,0.5
IMP203480,0,0.0
IMP203713,1,0.16666666666666666
IMP203899,1,0.5
IMP203905,5,0.02074688796680498
IMP203997,1,0.3333333333333333
IMP204089,0,0.0
IMP204127,0,0.0
IMP204444,2,0.2857142857142857
IMP204466,0,0.0
IMP204526,2,0.2222222222222222
IMP204710,1,1.0
IMP204751,0,0.0
IMP204827,0,0.0
IMP205327,1,1.0
IMP206045,1,0.25
IMP206087,0,0.0
IMP206101,0,0.0
IMP206242,3,0.011764705882352941
IMP206342,0,0.0
IMP206382,1,0.5
IMP206426,0,0.0
IMP206491,1,1.0
IMP206517,2,0.4
IMP206540,0,0.0
IMP206583,0,0.0
IMP206662,1,0.3333333333333333
IMP206730,0,0.0
IMP206845,1,0.5
IMP207026,0,0.0
IMP207075,0,0.0
IMP207129,6,0.03409090909090909
IMP207194,0,0.0
IMP207229,0,0.0
IMP207563,2,0.2857142857142857
IMP207639,0,0.0
IMP207700,1,1.0
IMP207752,0,0.0
IMP207762,1,0.3333333333333333
IMP207807,1,0.2
IMP207817,0,0.0
IMP207821,1,0.037037037037037035
IMP207855,0,0.0
IMP207892,0,0.0
IMP207938,1,0.16666666666666666
IMP208220,1,0.3333333333333333
IMP208323,1,0.5
IMP208413,1,0.3333333333333333
IMP208765,1,0.3333333333333333
IMP208809,0,0.0
IMP208931,0,0.0
IMP208983,0,0.0
IMP209005,1,0.3333333333333333
IMP209056,0,0.0
IMP209162,1,0.25
IMP209195,0,0.0
IMP209323,1,1.0
IMP209462,0,0.0
IMP209580,0,0.0
IMP209622,0,0.0
IMP209670,0,0.0
IMP209769,0,0.0
IMP209877,2,0.2857142857142857
IMP209910,0,0.0
IMP210189,0,0.0
IMP210476,1,1.0
IMP210531,1,0.25
IMP210708,0,0.0
IMP210750,0,0.0
IMP210826,0,0.0
IMP210838,0,0.0
IMP210913,0,0.0
IMP210941,0,0.0
IMP211198,1,0.5
IMP211288,0,0.0
IMP211390,0,0.0
IMP211587,1,1.0
IMP211636,0,0.0
IMP211637,0,0.0
IMP211980,0,0.0
IMP212140,0,0.0
IMP212146,0,0.0
IMP212181,1,0.024390243902439025
IMP212189,1,0.3333333333333333
IMP212193,0,0.0
IMP212283,1,0.5
IMP212321,2,0.5
IMP212428,0,0.0
IMP212505,1,1.0
IMP212670,1,0.25
IMP212735,1,0.3333333333333333
IMP212926,0,0.0
IMP212959,1,0.25
IMP213330,1,0.3333333333333333
IMP213521,0,0.0
IMP213647,1,0.5
IMP213690,1,0.3333333333333333
IMP213836,1,0.5
IMP213863,0,0.0
IMP214069,0,0.0
IMP214101,1,0.2
IMP214223,0,0.0
IMP214234,0,0.0
IMP214292,1,0.3333333333333333
IMP214375,0,0.0
IMP214658,1,1.0
IMP214684,0,0.0
IMP214713,1,0.5
IMP214877,0,0.0
IMP214951,1,1.0
IMP215090,1,0.5
IMP215118,0,0.0
IMP215275,0,0.0
IMP215340,0,0.0
IMP215427,1,1.0
IMP215429,0,0.0
IMP215625,1,0.02857142857142857
IMP215685,0,0.0
IMP215734,0,0.0
IMP216153,2,0.5
IMP216194,0,0.0
IMP216309,1,0.2
IMP216338,0,0.0
IMP216356,1,1.0
IMP216434,0,0.0
IMP216472,0,0.0
IMP216481,0,0.0
IMP216619,1,0.5
IMP216660,4,0.03076923076923077
IMP216668,0,0.0
IMP216718,0,0.0
IMP216802,2,0.4
IMP216868,1,0.5
IMP217139,0,0.0
IMP217253,1,0.3333333333333333
IMP217284,0,0.0
IMP217420,0,0.0
IMP217700,0,0.0
IMP217788,3,0.6
IMP217845,0,0.0
IMP217854,0,0.0
IMP218256,1,1.0
IMP218606,0,0.0
IMP218621,0,0.0
IMP218760,0,0.0
