,OFFICE&&TARIFF.CODE,OFFICE&&TARIFF.CODE_illicit_Qsum,OFFICE&&TARIFF.CODE_illicit_Qrate
172,OFFICE168&&8703219030,0,0
173,OFFICE296&&8481900090,0,0
174,OFFICE197&&4821109000,0,0
175,OFFICE187&&6110209909,0,0
176,OFFICE214&&3919108000,0,0
177,OFFICE185&&8716400009,0,0
178,OFFICE204&&5808900098,0,0
179,OFFICE168&&8533210000,0,0
180,OFFICE186&&7326909889,1,2
181,OFFICE100&&8716398090,0,0
182,OFFICE187&&3404900009,0,2
183,OFFICE204&&4821101000,0,0
184,OFFICE162&&8479908000,0,0
185,OFFICE168&&8421310000,1,2
186,OFFICE134&&3004200010,0,0
187,OFFICE296&&4819100000,0,0
188,OFFICE162&&8538909109,0,2
189,OFFICE134&&8703321961,0,0
190,OFFICE204&&406909209,0,2
191,OFFICE292&&8424200000,0,0
192,OFFICE298&&7806008090,0,2
193,OFFICE127&&3814009009,0,0
194,OFFICE204&&7216509900,0,0
195,OFFICE204&&9606100010,1,2
196,OFFICE288&&8467119009,0,2
197,OFFICE187&&6217900003,0,0
198,OFFICE127&&6205200009,0,0
199,OFFICE127&&8703319090,0,2
200,OFFICE298&&6205200009,0,2
201,OFFICE109&&9606100010,0,2
202,OFFICE186&&8716400009,0,0
203,OFFICE297&&7407211000,0,2
204,OFFICE186&&6004100000,0,0
205,OFFICE237&&9606100010,0,0
206,OFFICE222&&8547900003,0,0
207,OFFICE204&&4821909000,0,0
208,OFFICE296&&1702409010,0,2
209,OFFICE168&&9607110000,1,2
210,OFFICE60&&8704232000,1,2
211,OFFICE59&&8431310000,0,0
212,OFFICE41&&8421210022,0,2
213,OFFICE40&&8703231119,1,1
214,OFFICE40&&8703332900,0,1
215,OFFICE24&&8517180000,1,2
216,OFFICE51&&8703232225,2,2
217,OFFICE51&&8703221113,1,2
218,OFFICE96&&8704212025,1,2
219,OFFICE59&&4011400000,0,0
220,OFFICE51&&8704322000,2,1
221,OFFICE24&&7323100000,1,2
222,OFFICE92&&8703242100,1,2
223,OFFICE76&&8703242100,1,2
224,OFFICE51&&3004900000,1,2
225,OFFICE40&&8203200000,0,2
226,OFFICE45&&3920490044,1,2
227,OFFICE81&&2707300000,0,2
228,OFFICE60&&8703331928,1,2
229,OFFICE59&&8703331226,1,2
230,OFFICE76&&8704212025,1,2
231,OFFICE52&&2836300000,0,2
232,OFFICE51&&8516790000,0,0
233,OFFICE40&&8703241128,1,0
234,OFFICE45&&8703222900,1,2
235,OFFICE51&&3924902000,0,2
236,OFFICE59&&8703232225,1,2
237,OFFICE59&&8703242900,2,2
238,OFFICE59&&3405900000,0,0
239,OFFICE51&&8430610000,0,0
240,OFFICE51&&8703331928,2,2
241,OFFICE40&&8703900000,2,1
242,OFFICE92&&8703242900,1,2
243,OFFICE40&&8703232926,2,1
244,OFFICE35&&8708700000,1,2
245,OFFICE23&&7308300000,0,0
246,OFFICE78&&8430500000,1,2
247,OFFICE60&&5801900000,0,0
248,OFFICE23&&8704231924,0,2
249,OFFICE59&&8703231119,2,2
250,OFFICE96&&8703231119,0,0
251,OFFICE51&&8703321220,1,1
252,OFFICE34&&2401100000,0,2
253,OFFICE96&&8703222900,1,2
254,OFFICE60&&8703332100,1,2
255,OFFICE60&&8517180000,2,2
256,OFFICE92&&9405400000,0,2
257,OFFICE96&&9018110000,0,0
258,OFFICE51&&8536500000,0,2
259,OFFICE92&&8703231221,1,2
260,OFFICE24&&7318290000,0,0
261,OFFICE23&&8703900000,0,0
262,OFFICE24&&2909430000,0,0
263,OFFICE51&&8483100000,0,0
264,OFFICE60&&2207209000,0,0
265,OFFICE59&&808100000,1,2
266,OFFICE92&&2820000000,0,0
267,OFFICE59&&8702102029,0,2
268,OFFICE76&&8703241128,2,2
269,OFFICE60&&808100000,1,2
270,OFFICE59&&8704232000,0,2
271,OFFICE52&&1604150000,0,0
272,OFFICE76&&8703210011,1,1
273,OFFICE40&&2905120000,0,2
274,OFFICE59&&8703231221,1,2
275,OFFICE81&&7315190011,1,2
276,OFFICE40&&8517180000,1,0
277,OFFICE60&&4819400000,0,0
278,OFFICE66&&7320100000,0,2
279,OFFICE51&&8703332900,1,2
280,OFFICE51&&8703222100,0,2
281,OFFICE92&&8703900000,2,2
282,OFFICE18&&4009110000,0,0
283,OFFICE59&&6907900000,1,2
284,OFFICE34&&8471300039,0,2
285,OFFICE45&&8517180000,1,2
286,OFFICE18&&7606129000,0,0
287,OFFICE60&&7308300000,0,0
288,OFFICE51&&7323940000,0,0
289,OFFICE92&&3915300000,0,0
290,OFFICE23&&8702101319,0,0
291,OFFICE51&&8481800000,0,0
292,OFFICE51&&3808920000,0,2
293,OFFICE60&&8703231119,1,2
294,OFFICE51&&2106909091,0,0
295,OFFICE34&&2906110000,0,0
296,OFFICE24&&7307920000,0,0
297,OFFICE40&&8704322000,1,2
298,OFFICE23&&7307920000,0,0
299,OFFICE94&&8483200000,0,0
300,OFFICE187&&8609009090,0,0
301,OFFICE204&&7326909889,0,0
302,OFFICE141&&8536908599,0,0
303,OFFICE186&&6217900009,0,0
304,OFFICE204&&4811900089,0,0
305,OFFICE252&&3926909799,0,2
306,OFFICE187&&8533401009,0,2
307,OFFICE132&&8708999799,0,0
308,OFFICE162&&5402330000,0,0
309,OFFICE214&&8421310000,0,0
310,OFFICE237&&8421392000,0,0
311,OFFICE127&&7326909889,0,0
312,OFFICE296&&3003900019,0,0
313,OFFICE134&&4114200001,0,0
314,OFFICE168&&7326909889,0,0
315,OFFICE168&&8609009090,0,0
316,OFFICE100&&8609009090,0,0
317,OFFICE237&&8703229050,0,1
318,OFFICE214&&9503003019,0,0
319,OFFICE168&&2106909810,0,0
320,OFFICE204&&6309000002,0,2
321,OFFICE123&&3811900009,0,0
322,OFFICE127&&5807101010,0,1
323,OFFICE197&&9032102000,0,0
324,OFFICE127&&5512999001,0,0
325,OFFICE296&&8504409090,0,0
326,OFFICE162&&8452900009,0,2
327,OFFICE140&&4113200000,0,2
328,OFFICE187&&5004009000,0,0
329,OFFICE127&&8609009090,0,0
330,OFFICE204&&4819100000,0,1
331,OFFICE127&&8538909902,0,0
332,OFFICE185&&9018908439,0,2
333,OFFICE298&&8609009090,0,0
334,OFFICE136&&3923409000,0,0
335,OFFICE237&&8538909902,0,1
336,OFFICE237&&7616999099,0,0
337,OFFICE162&&6406909099,0,2
338,OFFICE127&&5806200000,0,0
339,OFFICE136&&2921599000,0,2
340,OFFICE127&&8547200000,0,0
341,OFFICE197&&8716400009,0,0
342,OFFICE168&&8409990009,0,0
343,OFFICE204&&3926909799,0,0
344,OFFICE186&&8542399090,0,0
345,OFFICE109&&4819100000,0,0
346,OFFICE127&&8703329091,0,0
347,OFFICE237&&3926909229,0,1
348,OFFICE127&&6217900009,0,0
349,OFFICE168&&8411990000,0,0
350,OFFICE187&&5209420000,0,0
351,OFFICE187&&3926909799,0,0
352,OFFICE237&&4911109092,0,0
353,OFFICE127&&9606100010,0,0
354,OFFICE127&&6309000002,0,0
355,OFFICE187&&8452900009,0,0
356,OFFICE204&&8453900000,0,0
357,OFFICE296&&8538909909,0,1
358,OFFICE214&&4011209020,0,0
359,OFFICE197&&8536700090,0,0
360,OFFICE296&&5209390000,0,0
361,OFFICE168&&8479908000,0,0
362,OFFICE299&&8419500000,0,0
363,OFFICE127&&8479908000,0,0
364,OFFICE109&&8703319090,0,0
365,OFFICE168&&4821909000,0,0
366,OFFICE298&&8413810042,0,0
367,OFFICE168&&3004900019,0,1
368,OFFICE127&&3926909229,0,0
369,OFFICE187&&8703229050,0,0
370,OFFICE162&&4011100090,0,0
371,OFFICE134&&9801000000,0,2
372,OFFICE296&&8538909902,0,0
373,OFFICE134&&5807101010,0,0
374,OFFICE117&&1701910002,0,2
375,OFFICE168&&8703329091,0,0
376,OFFICE197&&8716398090,0,2
377,OFFICE296&&8452900009,0,0
378,OFFICE298&&8536908599,0,2
379,OFFICE100&&6304990009,0,2
380,OFFICE141&&9801000000,0,0
381,OFFICE162&&8533210000,0,2
382,OFFICE299&&8609009090,0,0
383,OFFICE152&&8544492000,0,0
384,OFFICE211&&8716400009,0,0
385,OFFICE296&&8547200000,0,0
386,OFFICE214&&5513490009,0,0
387,OFFICE288&&8609009090,0,0
388,OFFICE127&&4821909000,1,0
389,OFFICE298&&4819100000,0,0
390,OFFICE127&&9801000000,1,1
391,OFFICE197&&3001902009,0,0
392,OFFICE134&&5903209000,0,0
393,OFFICE289&&6211490084,0,2
394,OFFICE187&&406908100,0,0
395,OFFICE296&&8533210000,0,2
396,OFFICE237&&9032102000,0,1
397,OFFICE187&&4819100000,1,0
398,OFFICE162&&8703229030,0,0
399,OFFICE127&&9607110000,0,2
400,OFFICE168&&3926909229,0,0
401,OFFICE109&&8609009090,0,0
402,OFFICE186&&3923299080,0,0
403,OFFICE100&&4819100000,0,0
404,OFFICE211&&9001402000,0,2
405,OFFICE126&&4806401000,0,2
406,OFFICE237&&4821109000,0,2
407,OFFICE288&&7326909889,0,0
408,OFFICE204&&5402330000,0,0
409,OFFICE214&&8501310001,0,0
410,OFFICE162&&9606100010,0,0
411,OFFICE117&&5514420000,0,0
412,OFFICE292&&7211190000,0,0
413,OFFICE288&&3913900009,0,2
414,OFFICE109&&6204399099,0,0
415,OFFICE162&&8704219941,0,2
416,OFFICE197&&2915704000,0,0
417,OFFICE185&&8452300000,0,0
418,OFFICE162&&8481809998,0,0
419,OFFICE237&&4011100010,0,0
420,OFFICE127&&4415202001,1,2
421,OFFICE134&&8533290000,0,0
422,OFFICE296&&4821909000,0,0
423,OFFICE168&&2710124591,0,0
424,OFFICE100&&6302939009,0,0
425,OFFICE187&&5209320000,0,0
426,OFFICE134&&8516720000,0,2
427,OFFICE187&&3926909779,0,2
428,OFFICE100&&9030310000,0,0
429,OFFICE168&&4819100000,1,0
430,OFFICE237&&8479908000,0,2
431,OFFICE298&&4821109000,0,0
432,OFFICE168&&8708309103,0,0
433,OFFICE187&&4821101000,0,0
434,OFFICE296&&4016920000,0,0
435,OFFICE127&&8538909909,0,0
436,OFFICE134&&8708999792,0,0
437,OFFICE197&&5209290000,0,0
438,OFFICE127&&3926909799,0,0
439,OFFICE237&&8207909900,0,0
440,OFFICE187&&8536901099,0,0
441,OFFICE186&&8311100000,0,0
442,OFFICE185&&4821101000,0,0
443,OFFICE237&&3901109000,0,0
444,OFFICE186&&8704219941,0,0
445,OFFICE296&&7326909889,0,0
446,OFFICE214&&4016995709,0,0
447,OFFICE296&&4821101000,0,0
448,OFFICE92&&2909490000,0,0
449,OFFICE51&&8703231226,0,2
450,OFFICE60&&8704212025,1,2
451,OFFICE60&&8703241932,0,2
452,OFFICE40&&8484100000,0,0
453,OFFICE60&&9019200000,0,0
454,OFFICE76&&6001920000,0,0
455,OFFICE51&&8504210000,0,0
456,OFFICE66&&305490000,0,0
457,OFFICE60&&6908900000,0,0
458,OFFICE51&&808100000,1,2
459,OFFICE92&&8702902099,1,2
460,OFFICE60&&3808930000,0,0
461,OFFICE16&&8545110000,0,0
462,OFFICE59&&3302100000,0,0
463,OFFICE60&&8703900000,2,2
464,OFFICE92&&8703321922,1,1
465,OFFICE52&&9018900000,0,0
466,OFFICE23&&8422190000,0,0
467,OFFICE51&&4911100000,0,0
468,OFFICE40&&3004900000,0,1
469,OFFICE51&&8417900000,0,0
470,OFFICE76&&8471410043,0,0
471,OFFICE51&&6704900000,0,0
472,OFFICE51&&8466940000,0,0
473,OFFICE52&&8413919000,0,0
474,OFFICE40&&7010901200,0,0
475,OFFICE51&&8703221920,0,0
476,OFFICE92&&8704231122,0,2
477,OFFICE59&&7010902122,0,0
478,OFFICE24&&8703210011,1,2
479,OFFICE76&&9305990000,0,0
480,OFFICE92&&5901900000,0,2
481,OFFICE40&&7323100000,1,2
482,OFFICE92&&8704212025,1,2
483,OFFICE51&&8212100000,0,2
484,OFFICE76&&1517100000,0,2
485,OFFICE51&&303790000,1,2
486,OFFICE51&&8702102029,1,2
487,OFFICE59&&5503200000,0,0
488,OFFICE59&&303740000,0,0
489,OFFICE24&&6207220000,0,0
490,OFFICE23&&6903200000,0,2
491,OFFICE60&&8716909000,0,2
492,OFFICE60&&8703242100,1,2
493,OFFICE60&&8702101319,1,1
494,OFFICE96&&8703232926,0,2
495,OFFICE18&&8708990000,0,0
496,OFFICE24&&8703900000,1,2
497,OFFICE51&&8408900000,0,2
498,OFFICE92&&8703231119,1,2
499,OFFICE60&&4009420000,0,2
500,OFFICE60&&4901999000,0,2
501,OFFICE35&&808100000,0,0
502,OFFICE96&&2918290000,0,0
503,OFFICE51&&6912001000,0,0
504,OFFICE24&&8703242100,1,2
505,OFFICE60&&8703322100,0,0
506,OFFICE92&&3901200000,0,0
507,OFFICE66&&1806901000,0,2
508,OFFICE40&&6406100000,0,2
509,OFFICE51&&5204200000,1,2
510,OFFICE51&&2401200000,1,2
511,OFFICE59&&8703332100,1,2
512,OFFICE88&&8703241128,1,2
513,OFFICE59&&3909400000,0,0
514,OFFICE76&&8704231924,0,0
515,OFFICE51&&4011200000,1,2
516,OFFICE51&&4810920092,0,0
517,OFFICE76&&8702901396,0,0
518,OFFICE92&&8421230000,0,0
519,OFFICE76&&2005510000,0,2
520,OFFICE51&&9405400000,0,0
521,OFFICE51&&9507900000,0,2
522,OFFICE76&&8703231221,0,1
523,OFFICE109&&7202419000,0,0
524,OFFICE127&&3104205000,0,0
525,OFFICE234&&101210001,0,0
526,OFFICE296&&3506100000,0,0
527,OFFICE186&&4810220010,0,2
528,OFFICE299&&7326909889,0,0
529,OFFICE234&&2901290009,0,0
530,OFFICE168&&9607190000,0,2
531,OFFICE127&&8409990009,0,0
532,OFFICE186&&8703239091,0,0
533,OFFICE187&&8536508020,0,0
534,OFFICE109&&5806200000,0,2
535,OFFICE237&&4821101000,0,0
536,OFFICE298&&8512301000,0,2
537,OFFICE134&&4011100010,0,0
538,OFFICE100&&6004100000,0,0
539,OFFICE187&&8538909902,0,0
540,OFFICE237&&3923299080,0,2
541,OFFICE185&&5806200000,0,2
542,OFFICE109&&3004900019,0,0
543,OFFICE167&&8467298504,0,2
544,OFFICE296&&4821109000,0,1
545,OFFICE296&&9606100010,0,1
546,OFFICE298&&7326909889,0,0
547,OFFICE134&&8537101000,0,2
548,OFFICE220&&2922498500,0,0
549,OFFICE100&&8703229050,0,2
550,OFFICE204&&8513100090,0,0
551,OFFICE204&&2710124591,0,2
552,OFFICE296&&7320909000,0,0
553,OFFICE168&&7307998000,0,0
554,OFFICE168&&8536508096,0,0
555,OFFICE168&&3303001099,0,2
556,OFFICE204&&7010909921,0,0
557,OFFICE109&&2933599500,0,0
558,OFFICE197&&4819100000,0,0
559,OFFICE162&&3926909799,0,0
560,OFFICE298&&6217900009,0,0
561,OFFICE237&&6309000002,0,2
562,OFFICE186&&8409990009,1,2
563,OFFICE299&&3003900019,0,0
564,OFFICE204&&7616999099,0,2
565,OFFICE298&&2811210000,0,0
566,OFFICE140&&8528594009,0,0
567,OFFICE168&&5209390000,0,0
568,OFFICE222&&5807109010,0,0
569,OFFICE127&&8536908599,0,0
570,OFFICE237&&8482109000,0,2
571,OFFICE237&&2849100000,0,0
572,OFFICE210&&6104420001,0,0
573,OFFICE246&&3505105000,0,0
574,OFFICE187&&8547200000,0,0
575,OFFICE204&&8609009090,0,0
576,OFFICE109&&8547200000,0,0
577,OFFICE134&&8484100000,0,0
578,OFFICE252&&8428909099,0,2
579,OFFICE197&&6110309903,0,0
580,OFFICE136&&2710124591,0,0
581,OFFICE168&&9013809099,0,0
582,OFFICE252&&2803000001,0,2
583,OFFICE299&&5603139010,0,0
584,OFFICE168&&8308200001,0,0
585,OFFICE134&&3004900019,0,0
586,OFFICE168&&5811000030,0,0
587,OFFICE186&&8703229050,0,0
588,OFFICE237&&2915705000,0,0
589,OFFICE174&&206909900,0,2
590,OFFICE59&&8704231924,1,2
591,OFFICE23&&8527910000,0,2
592,OFFICE59&&2713200000,0,0
593,OFFICE24&&8703231221,0,0
594,OFFICE96&&8703900000,1,2
595,OFFICE40&&8703210011,1,2
596,OFFICE96&&8703242100,0,0
597,OFFICE40&&5204200000,0,0
598,OFFICE92&&2939420000,0,0
599,OFFICE18&&8448200000,0,0
600,OFFICE59&&8447900000,0,0
601,OFFICE40&&3207200000,0,0
602,OFFICE40&&8702102029,0,2
603,OFFICE87&&7312109000,0,0
604,OFFICE35&&8703222900,1,2
605,OFFICE51&&8711201000,1,2
606,OFFICE40&&3202100000,0,0
607,OFFICE92&&8473300000,1,2
608,OFFICE35&&2922190000,0,2
609,OFFICE92&&8704231924,0,0
610,OFFICE60&&8408900000,0,0
611,OFFICE45&&2710193900,0,2
612,OFFICE92&&6907100000,0,0
613,OFFICE24&&8501320000,0,0
614,OFFICE51&&1901900091,1,2
615,OFFICE24&&8703241128,1,1
616,OFFICE96&&7601100000,0,2
617,OFFICE24&&8703222900,1,2
618,OFFICE76&&5010000000,0,0
619,OFFICE45&&8438900000,0,2
620,OFFICE59&&5204200000,0,0
621,OFFICE60&&8706001300,0,0
622,OFFICE51&&7212100000,0,0
623,OFFICE76&&8703242900,2,2
624,OFFICE51&&8214900000,0,2
625,OFFICE60&&6304930097,0,0
626,OFFICE60&&5607900000,0,2
627,OFFICE16&&8412900000,0,2
628,OFFICE59&&3902100000,0,2
629,OFFICE51&&2208700000,0,0
630,OFFICE60&&4000000000,0,0
631,OFFICE51&&904110000,0,2
632,OFFICE51&&6805200000,0,0
633,OFFICE24&&8704212025,0,0
634,OFFICE59&&8703232124,1,2
635,OFFICE60&&6907900000,1,2
636,OFFICE60&&8211920000,0,2
637,OFFICE51&&8443390000,0,2
638,OFFICE51&&8702902099,1,1
639,OFFICE109&&2710124591,0,0
640,OFFICE162&&8421392000,0,1
641,OFFICE186&&4819100000,0,0
642,OFFICE187&&9801000000,0,0
643,OFFICE214&&8414598090,0,0
644,OFFICE204&&8542399090,0,1
645,OFFICE196&&2203000903,0,0
646,OFFICE296&&4107911011,0,0
647,OFFICE187&&9606100010,0,0
648,OFFICE134&&7318220000,0,0
649,OFFICE109&&8538909909,0,2
650,OFFICE187&&8536908599,0,0
651,OFFICE152&&8544119090,0,0
652,OFFICE204&&8414592010,0,0
653,OFFICE204&&8421990020,0,2
654,OFFICE299&&6217900009,0,0
655,OFFICE187&&8708999799,0,0
656,OFFICE109&&8207509000,0,0
657,OFFICE214&&3208201000,0,2
658,OFFICE187&&8207909900,0,0
659,OFFICE162&&8536901020,0,0
660,OFFICE298&&3923299030,0,0
661,OFFICE186&&8708999799,0,0
662,OFFICE298&&9804000000,0,0
663,OFFICE109&&8538909902,0,1
664,OFFICE204&&6203423103,0,0
665,OFFICE168&&8421392000,0,0
666,OFFICE122&&9503009909,0,0
667,OFFICE204&&8421392000,0,0
668,OFFICE123&&8301401900,0,2
669,OFFICE168&&105119901,0,0
670,OFFICE186&&4911101000,0,0
671,OFFICE186&&8544300090,0,0
672,OFFICE100&&2003102000,0,2
673,OFFICE185&&8704219941,0,2
674,OFFICE168&&8480200000,0,0
675,OFFICE187&&8703329091,0,0
676,OFFICE162&&6205200009,0,2
677,OFFICE187&&8501310001,0,0
678,OFFICE122&&2501009991,0,0
679,OFFICE141&&8704219941,0,0
680,OFFICE127&&2710124591,0,0
681,OFFICE237&&8703319090,0,0
682,OFFICE237&&8302490009,0,0
683,OFFICE214&&2710124591,0,0
684,OFFICE187&&6004100000,0,0
685,OFFICE187&&4016930000,0,0
686,OFFICE186&&8538909902,0,0
687,OFFICE299&&3920930000,0,0
688,OFFICE100&&8542399090,0,2
689,OFFICE162&&8716398090,0,1
690,OFFICE222&&7315119090,0,0
691,OFFICE292&&9032102000,0,0
692,OFFICE237&&5806200000,0,1
693,OFFICE168&&8501310001,0,0
694,OFFICE187&&4821909000,0,0
695,OFFICE204&&8703229050,0,0
696,OFFICE298&&2710124591,0,0
697,OFFICE187&&7616999099,0,2
698,OFFICE127&&4819100000,0,0
699,OFFICE105&&5211320000,0,0
700,OFFICE237&&3307410000,0,0
701,OFFICE168&&6006420000,0,2
702,OFFICE168&&9606100010,0,0
703,OFFICE252&&2832300000,0,2
704,OFFICE127&&1806903100,0,0
705,OFFICE127&&5807109010,0,0
706,OFFICE186&&8609009090,0,0
707,OFFICE292&&8205598009,0,0
708,OFFICE168&&9801000000,0,0
709,OFFICE197&&4016930000,0,0
710,OFFICE214&&3915901100,0,0
711,OFFICE185&&4821909000,0,0
712,OFFICE287&&9606100010,0,0
713,OFFICE141&&9606100010,0,2
714,OFFICE162&&9032102000,0,0
715,OFFICE100&&5515113000,0,0
716,OFFICE214&&8708939009,0,0
717,OFFICE237&&8609009090,0,0
718,OFFICE214&&7326909889,0,0
719,OFFICE162&&7326909889,0,0
720,OFFICE122&&5107101001,0,2
721,OFFICE162&&5209420000,0,0
722,OFFICE187&&8207709000,0,0
723,OFFICE168&&9804000000,0,0
724,OFFICE109&&4821909000,0,2
725,OFFICE109&&6217900003,0,2
726,OFFICE237&&8205598009,0,2
727,OFFICE296&&4009110019,0,0
728,OFFICE187&&8704219941,0,1
729,OFFICE237&&8501200010,0,0
