,IMPORTER.TIN&&TARIFF.CODE,IMPORTER.TIN&&TARIFF.CODE_illicit_Qsum,IMPORTER.TIN&&TARIFF.CODE_illicit_Qrate
223,IMPO11316&&8536901099,0,0
224,IMPO19080&&4821901000,0,0
225,IMPO17403&&5309119000,0,0
226,IMPO15928&&8517120010,0,0
227,IMPO13631&&8541100000,0,0
228,IMPO19604&&7326909889,0,0
229,IMPO13889&&5911100010,0,0
230,IMPO15783&&8708299009,0,0
231,IMPO13867&&9804000000,0,0
232,IMPO15844&&8703239095,0,0
233,IMPO18253&&4407279900,0,0
234,IMPO19832&&3809910000,0,0
235,IMPO16612&&7308905900,0,0
236,IMPO17426&&6406209000,0,0
237,IMPO18788&&8536908599,0,0
238,IMPO11033&&4411149002,0,0
239,IMPO12945&&5508101001,0,0
240,IMPO19604&&9804000000,0,0
241,IMPO11563&&4821101000,0,0
242,IMPO10976&&8716398090,0,0
243,IMPO12985&&8609009090,0,0
244,IMPO14670&&8547200000,0,0
245,IMPO12669&&3922900002,0,0
246,IMPO16510&&8708299009,0,0
247,IMPO11058&&4010120009,0,0
248,IMPO12643&&3102309000,0,0
249,IMPO10711&&8708939002,0,0
250,IMPO14890&&4821109000,0,0
251,IMPO18973&&8714104000,0,0
252,IMPO11938&&2933199000,0,0
253,IMPO12250&&3004900019,0,0
254,IMPO16593&&8703321961,0,0
255,IMPO12265&&5209520000,0,0
256,IMPO15052&&3917320009,0,0
257,IMPO16658&&4821109000,0,0
258,IMPO15765&&4819100000,0,0
259,IMPO10638&&8205400000,0,0
260,IMPO17781&&8203400000,0,0
261,IMPO18445&&7314140000,0,0
262,IMPO11135&&8544429092,0,0
263,IMPO18189&&8536908591,0,0
264,IMPO10956&&8448390090,0,0
265,IMPO17282&&9613100000,0,0
266,IMPO18968&&8703219030,0,0
267,IMPO11265&&8481900090,0,0
268,IMPO12485&&4821109000,0,0
269,IMPO12610&&6110209909,0,0
270,IMPO16995&&3919108000,0,0
271,IMPO13165&&8716400009,0,0
272,IMPO17958&&5808900098,0,0
273,IMPO15859&&8533210000,0,0
274,IMPO16865&&7326909889,0,0
275,IMPO19879&&8716398090,0,0
276,IMPO13403&&3404900009,0,0
277,IMPO15765&&4821101000,0,0
278,IMPO19924&&8479908000,0,0
279,IMPO19390&&8421310000,0,0
280,IMPO10302&&3004200010,0,0
281,IMPO17391&&4819100000,0,0
282,IMPO16400&&8538909109,0,0
283,IMPO12514&&8703321961,0,0
284,IMPO12124&&406909209,0,0
285,IMPO12598&&8424200000,0,0
286,IMPO19547&&7806008090,0,0
287,IMPO12835&&3814009009,0,0
288,IMPO18432&&7216509900,0,0
289,IMPO10684&&9606100010,0,0
290,IMPO14863&&8467119009,0,0
291,IMPO18806&&6217900003,0,0
292,IMPO11779&&6205200009,0,0
293,IMPO15198&&8703319090,0,0
294,IMPO14394&&6205200009,0,0
295,IMPO10267&&9606100010,0,0
296,IMPO11063&&8716400009,0,0
297,IMPO12950&&7407211000,0,0
298,IMPO11509&&6004100000,0,0
299,IMPO16157&&9606100010,0,0
300,IMPO18333&&8547900003,0,0
301,IMPO19469&&4821909000,0,0
302,IMPO14386&&1702409010,0,0
303,IMPO14670&&9607110000,0,0
304,IMP474316&&8704322000,0,0
305,IMP439370&&8703222900,0,0
306,IMP280692&&8704232000,0,0
307,IMP776989&&8703241128,0,0
308,IMP435297&&8431310000,0,0
309,IMP522479&&8704322000,0,0
310,IMP206242&&8703900000,0,0
311,IMP965305&&8703222900,0,0
312,IMP678988&&8703242100,0,0
313,IMP511342&&8703241128,0,0
314,IMP172475&&8421210022,0,0
315,IMP660556&&8703231119,0,0
316,IMP934643&&8703241128,0,0
317,IMP440223&&8703332900,0,0
318,IMP909394&&8517180000,0,0
319,IMP142940&&8703232225,0,0
320,IMP172368&&8702101319,0,0
321,IMP344527&&8703242900,0,0
322,IMP179534&&8703241128,0,0
323,IMP594770&&8703242100,0,0
324,IMP717735&&8703221113,0,0
325,IMP280132&&8704212025,0,0
326,IMP107102&&4011400000,0,0
327,IMP440223&&8702101319,0,0
328,IMP980531&&8703222900,0,0
329,IMP300514&&8703241128,0,0
330,IMP317314&&5801900000,0,0
331,IMP824798&&8704212025,0,0
332,IMP229787&&8702101319,0,0
333,IMP810695&&8703232926,0,0
334,IMP960205&&8704322000,0,0
335,IMP302697&&8703232926,0,0
336,IMP915889&&7323100000,0,0
337,IMP317314&&8702101319,0,0
338,IMP383391&&8703242100,0,0
339,IMP300514&&8703242100,0,0
340,IMP712264&&8703231119,0,0
341,IMP120631&&3004900000,0,0
342,IMP216660&&8703321922,0,0
343,IMP909911&&8203200000,0,0
344,IMP358915&&8703222900,0,0
345,IMP115734&&3920490044,0,0
346,IMP980531&&8517180000,0,0
347,IMP954081&&2707300000,0,0
348,IMP731188&&8703331928,0,0
349,IMP546339&&8703241128,0,0
350,IMP352125&&8703241128,0,0
351,IMP826164&&8703232926,0,0
352,IMP386453&&8703232926,0,0
353,IMP657028&&5801900000,0,0
354,IMP629453&&8703331226,0,0
355,IMP202854&&2836300000,0,0
356,IMP280692&&8517180000,0,0
357,IMP297730&&8704212025,0,0
358,IMP235251&&8703241128,0,0
359,IMP124597&&8517180000,0,0
360,IMP697425&&8703232926,0,0
361,IMP170599&&8516790000,0,0
362,IMP326914&&8703241128,0,0
363,IMP381305&&8703900000,0,0
364,IMP243951&&8703231119,0,0
365,IMP358915&&8702101319,0,0
366,IMP264163&&8703222900,0,0
367,IMP307848&&3924902000,0,0
368,IMP643137&&8703232926,0,0
369,IMP414024&&8703242100,0,0
370,IMP451441&&8702101319,0,0
371,IMP122694&&8702101319,0,0
372,IMP392040&&8703321922,0,0
373,IMP759377&&8703232225,0,0
374,IMP352883&&8703222900,0,0
375,IMP216660&&8703242900,0,0
376,IMP211637&&3405900000,0,0
377,IMP720986&&8703222900,0,0
378,IMP992026&&8430610000,0,0
379,IMP907559&&8703331928,0,0
380,IMP766474&&8703241128,0,0
381,IMP173637&&8703900000,0,0
382,IMP341307&&8703222900,0,0
383,IMP170000&&8703210011,0,0
384,IMP158220&&8703232926,0,0
385,IMP187612&&8703241128,0,0
386,IMP781428&&5801900000,0,0
387,IMP643203&&8702101319,0,0
388,IMP173637&&8704322000,0,0
389,IMP678037&&8703232225,0,0
390,IMP904574&&8703900000,0,0
391,IMP482566&&8702101319,0,0
392,IMP764499&&8703242900,0,0
393,IMP413429&&8703900000,0,0
394,IMP880497&&8703232926,0,0
395,IMP249306&&8703241128,0,0
396,IMP503241&&8703242900,0,0
397,IMP829675&&8708700000,0,0
398,IMP987751&&7308300000,0,0
399,IMP488624&&8430500000,0,0
400,IMP439866&&8703210011,0,0
401,IMP648653&&8702101319,0,0
402,IMP120631&&8704231924,0,0
403,IMP229911&&8703900000,0,0
404,IMP243951&&8703232225,0,0
405,IMP194834&&8703241128,0,0
406,IMP717735&&8703232225,0,0
407,IMP203905&&8703231119,0,0
408,IMP206242&&8703241128,0,0
409,IMP646215&&8704212025,0,0
410,IMP351195&&8703231119,0,0
411,IMP239127&&8703321220,0,0
412,IMP111951&&2401100000,0,0
413,IMP592970&&8703321922,0,0
414,IMP359032&&8703222900,0,0
415,IMP809423&&8702101319,0,0
416,IMP855449&&8703332100,0,0
417,IMP870242&&8703241128,0,0
418,IMP533993&&8703332100,0,0
419,IMP555305&&8703321922,0,0
420,IMP322276&&8517180000,0,0
421,IMP566004&&8703321922,0,0
422,IMP380484&&9405400000,0,0
423,IMP589573&&8702101319,0,0
424,IMP190354&&9018110000,0,0
425,IMP183301&&8704212025,0,0
426,IMP271556&&8703222900,0,0
427,IMP674837&&8703232926,0,0
428,IMP816831&&8703241128,0,0
429,IMP124597&&8703232926,0,0
430,IMP440223&&8703232926,0,0
431,IMP513550&&8703321922,0,0
432,IMP788254&&8536500000,0,0
433,IMP826164&&8703231221,0,0
434,IMP871286&&8704212025,0,0
435,IMP422356&&8702101319,0,0
436,IMP891508&&5801900000,0,0
437,IMP565314&&5801900000,0,0
438,IMP238427&&8702101319,0,0
439,IMP938680&&8703241128,0,0
440,IMP129307&&8703232926,0,0
441,IMP803166&&7318290000,0,0
442,IMP894296&&8517180000,0,0
443,IMP152015&&8703241128,0,0
444,IMP853002&&8703900000,0,0
445,IMP322276&&8703241128,0,0
446,IMP397513&&8517180000,0,0
447,IMP294703&&8517180000,0,0
448,IMP496378&&2909430000,0,0
449,IMP864528&&8483100000,0,0
450,IMP585253&&8703210011,0,0
451,IMP850913&&2207209000,0,0
452,IMP554100&&808100000,0,0
453,IMP414024&&8703232926,0,0
454,IMP849369&&2820000000,0,0
455,IMP965305&&8702102029,0,0
456,IMP962728&&8703241128,0,0
457,IMP601203&&8517180000,0,0
458,IMP294703&&8703241128,0,0
459,IMP585253&&808100000,0,0
460,IMP522051&&8703232225,0,0
461,IMP585281&&8703222900,0,0
462,IMP152015&&8704232000,0,0
463,IMP136716&&1604150000,0,0
464,IMP514650&&8703241128,0,0
465,IMP934643&&8703210011,0,0
466,IMP772361&&2905120000,0,0
467,IMP776989&&8517180000,0,0
468,IMP183611&&8703232926,0,0
469,IMP458839&&8703241128,0,0
470,IMP447222&&8703242100,0,0
471,IMP643203&&8517180000,0,0
472,IMP450852&&8704212025,0,0
473,IMP592970&&8517180000,0,0
474,IMP142564&&8703231221,0,0
475,IMP392040&&8703232926,0,0
476,IMP559457&&7315190011,0,0
477,IMP697425&&8703231119,0,0
478,IMP271968&&8703222900,0,0
479,IMP717735&&8517180000,0,0
480,IMP147114&&4819400000,0,0
481,IMP774515&&7320100000,0,0
482,IMP122694&&8703241128,0,0
483,IMP554100&&8703242900,0,0
484,IMP392040&&8703332900,0,0
485,IMP765281&&8517180000,0,0
486,IMP555103&&8702101319,0,0
487,IMP394006&&8703900000,0,0
488,IMP328855&&8703241128,0,0
489,IMP181410&&8703321922,0,0
490,IMP818754&&8703222100,0,0
491,IMP327939&&8703900000,0,0
492,IMP653688&&8703232926,0,0
493,IMP757191&&4009110000,0,0
494,IMP826164&&6907900000,0,0
495,IMP659233&&8471300039,0,0
496,IMP322409&&8703231221,0,0
497,IMP124597&&8703321220,0,0
498,IMP900492&&8703241128,0,0
499,IMP554100&&8517180000,0,0
500,IMP354522&&8517180000,0,0
501,IMP818754&&7606129000,0,0
502,IMP853002&&8517180000,0,0
503,IMP444534&&7308300000,0,0
504,IMP138552&&7323940000,0,0
505,IMP530401&&8703232926,0,0
506,IMP447299&&8703241128,0,0
507,IMP142940&&3915300000,0,0
508,IMP178690&&8703232926,0,0
509,IMP920460&&8703231119,0,0
510,IMP651050&&8703321220,0,0
511,IMP727169&&8481800000,0,0
512,IMP589386&&3808920000,0,0
513,IMP792271&&8703321922,0,0
514,IMP267369&&8703231119,0,0
515,IMP302697&&8703241128,0,0
516,IMP426343&&8703242100,0,0
517,IMP901000&&8702102029,0,0
518,IMP380288&&2106909091,0,0
519,IMP143460&&8703241128,0,0
520,IMP965305&&8517180000,0,0
521,IMP407066&&2906110000,0,0
522,IMP178626&&8703241128,0,0
523,IMP787271&&7307920000,0,0
524,IMP942665&&8703321220,0,0
525,IMP163708&&8704322000,0,0
526,IMP300514&&8702101319,0,0
527,IMP959242&&7307920000,0,0
528,IMP555305&&8703241128,0,0
529,IMP152015&&8703232926,0,0
530,IMP243951&&8703321922,0,0
531,IMP716770&&8703331928,0,0
532,IMP437782&&8483200000,0,0
533,IMP715356&&8702101319,0,0
534,IMP327159&&8703210011,0,0
535,IMPO15533&&8609009090,0,0
536,IMPO14670&&7326909889,0,0
537,IMPO15988&&8536908599,0,0
538,IMPO11601&&6217900009,0,0
539,IMPO19655&&4811900089,0,0
540,IMPO18489&&3926909799,0,0
541,IMPO11063&&8533401009,0,0
542,IMPO13975&&8708999799,0,0
543,IMPO10477&&5402330000,0,0
544,IMPO12155&&8421310000,0,0
545,IMPO12398&&8421392000,0,0
546,IMPO14334&&7326909889,0,0
547,IMPO11732&&3003900019,0,0
548,IMPO13754&&4114200001,0,0
549,IMPO13618&&7326909889,0,0
550,IMPO11025&&8609009090,0,0
551,IMPO13165&&8609009090,0,0
552,IMPO16622&&8703229050,0,0
553,IMPO15783&&8609009090,0,0
554,IMPO14354&&9503003019,0,0
555,IMPO18208&&8609009090,0,0
556,IMPO13685&&2106909810,0,0
557,IMPO13761&&6309000002,0,0
558,IMPO13181&&8609009090,0,0
559,IMPO17792&&3811900009,0,0
560,IMPO11469&&5807101010,0,0
561,IMPO11444&&5807101010,0,0
562,IMPO16622&&9032102000,0,0
563,IMPO19256&&5512999001,0,0
564,IMPO18475&&8504409090,0,0
565,IMPO10462&&8452900009,0,0
566,IMPO12524&&4113200000,0,0
567,IMPO17112&&5004009000,0,0
568,IMPO19613&&8609009090,0,0
569,IMPO17115&&8609009090,0,0
570,IMPO19469&&4819100000,0,0
571,IMPO19747&&8538909902,0,0
572,IMPO17470&&9018908439,0,0
573,IMPO18361&&8609009090,0,0
574,IMPO10254&&3923409000,0,0
575,IMPO13495&&8538909902,0,0
576,IMPO15276&&7616999099,0,0
577,IMPO11284&&6406909099,0,0
578,IMPO19420&&5806200000,0,0
579,IMPO19945&&2921599000,0,0
580,IMPO18400&&8547200000,0,0
581,IMPO11528&&8716400009,0,0
582,IMPO16184&&8409990009,0,0
583,IMPO15767&&3926909799,0,0
584,IMPO19927&&8542399090,0,0
585,IMPO10976&&4819100000,0,0
586,IMPO15533&&8703329091,0,0
587,IMPO17368&&9607110000,0,0
588,IMPO18189&&3926909229,0,0
589,IMPO15955&&6217900009,0,0
590,IMPO17476&&8411990000,0,0
591,IMPO11444&&7326909889,0,0
592,IMPO10845&&5209420000,0,0
593,IMPO19390&&3926909799,0,0
594,IMPO16803&&4911109092,0,0
595,IMPO12207&&9606100010,0,0
596,IMPO15955&&6309000002,0,0
597,IMPO18778&&8452900009,0,0
598,IMPO12228&&8453900000,0,0
599,IMPO13165&&8538909909,0,0
600,IMPO14368&&4011209020,0,0
601,IMPO10166&&8536700090,0,0
602,IMPO19469&&5209390000,0,0
603,IMPO17253&&7326909889,0,0
604,IMPO14301&&8479908000,0,0
605,IMPO16269&&8419500000,0,0
606,IMPO19253&&8479908000,0,0
607,IMPO10005&&3926909229,0,0
608,IMPO13981&&8703319090,0,0
609,IMPO12219&&4821909000,0,0
610,IMPO12102&&8413810042,0,0
611,IMPO10462&&4821909000,0,0
612,IMPO19578&&3004900019,0,0
613,IMPO16873&&3926909229,0,0
614,IMPO19879&&8703229050,0,0
615,IMPO15705&&4011100090,0,0
616,IMPO12207&&8609009090,0,0
617,IMPO19080&&9801000000,0,0
618,IMPO13618&&8538909902,0,0
619,IMPO17244&&5807101010,0,0
620,IMPO19949&&1701910002,0,0
621,IMPO15767&&8703329091,0,0
622,IMPO12398&&8716398090,0,0
623,IMPO15338&&8452900009,0,0
624,IMPO14334&&8536908599,0,0
625,IMPO11356&&6304990009,0,0
626,IMPO14334&&9801000000,0,0
627,IMPO15276&&7326909889,0,0
628,IMPO17093&&8533210000,0,0
629,IMPO16524&&8609009090,0,0
630,IMPO13165&&8538909902,0,0
631,IMPO11277&&8544492000,0,0
632,IMPO15707&&8716400009,0,0
633,IMPO17964&&8547200000,0,0
634,IMPO19502&&5513490009,0,0
635,IMPO10700&&8609009090,0,0
636,IMPO11025&&4821909000,0,0
637,IMPO18200&&4819100000,0,0
638,IMPO13095&&5806200000,0,0
639,IMPO10723&&9801000000,0,0
640,IMPO14011&&3001902009,0,0
641,IMPO19013&&5903209000,0,0
642,IMPO13495&&6211490084,0,0
643,IMPO15533&&7326909889,0,0
644,IMPO16873&&406908100,0,0
645,IMPO18194&&8533210000,0,0
646,IMPO10477&&8609009090,0,0
647,IMPO17088&&8538909902,0,0
648,IMPO11284&&8504409090,0,0
649,IMPO15783&&9032102000,0,0
650,IMPO12183&&4819100000,0,0
651,IMPO18189&&8703229030,0,0
652,IMPO18806&&9607110000,0,0
653,IMPO15626&&3926909229,0,0
654,IMPO14713&&8609009090,0,0
655,IMPO10344&&3923299080,0,0
656,IMPO19253&&4819100000,0,0
657,IMPO14527&&9001402000,0,0
658,IMPO19789&&4806401000,0,0
659,IMPO18778&&4821109000,0,0
660,IMPO10344&&7326909889,0,0
661,IMPO13495&&5402330000,0,0
662,IMPO14414&&8501310001,0,0
663,IMPO17356&&9606100010,0,0
664,IMPO14759&&5514420000,0,0
665,IMPO11430&&7211190000,0,0
666,IMPO10541&&4821909000,0,0
667,IMPO13005&&3913900009,0,0
668,IMPO19338&&6204399099,0,0
669,IMPO18212&&8704219941,0,0
670,IMPO12200&&2915704000,0,0
671,IMPO16865&&8609009090,0,0
672,IMPO15955&&8452300000,0,0
673,IMPO15916&&8481809998,0,0
674,IMPO13784&&4011100010,0,0
675,IMPO12066&&4415202001,0,0
676,IMPO18238&&8533290000,0,0
677,IMPO15533&&3926909799,0,0
678,IMPO15626&&4821909000,0,0
679,IMPO13495&&2710124591,0,0
680,IMPO15737&&6302939009,0,0
681,IMPO19818&&5209320000,0,0
682,IMPO18173&&8516720000,0,0
683,IMPO17757&&3926909779,0,0
684,IMPO12833&&9030310000,0,0
685,IMPO15955&&4819100000,0,0
686,IMPO10005&&8479908000,0,0
687,IMPO15283&&4819100000,0,0
688,IMPO17253&&8704219941,0,0
689,IMPO18767&&4821109000,0,0
690,IMPO15051&&8708309103,0,0
691,IMPO19469&&4821101000,0,0
692,IMPO16338&&4016920000,0,0
693,IMPO11284&&8538909909,0,0
694,IMPO16347&&8708999792,0,0
695,IMPO18208&&5209290000,0,0
696,IMPO16865&&3926909799,0,0
697,IMPO15661&&8207909900,0,0
698,IMPO15100&&8536901099,0,0
699,IMPO18212&&8609009090,0,0
700,IMPO17156&&8311100000,0,0
701,IMPO19420&&4821101000,0,0
702,IMPO18764&&3901109000,0,0
703,IMPO19469&&8704219941,0,0
704,IMPO19159&&7326909889,0,0
705,IMPO19263&&4016995709,0,0
706,IMPO17391&&4821101000,0,0
707,IMP803789&&8703900000,0,0
708,IMP359750&&2909490000,0,0
709,IMP446948&&8703231226,0,0
710,IMP355376&&8517180000,0,0
711,IMP916902&&8704212025,0,0
712,IMP478176&&8703222900,0,0
713,IMP120631&&8703232926,0,0
714,IMP124597&&8703241128,0,0
715,IMP712264&&8703241128,0,0
716,IMP381347&&8703222900,0,0
717,IMP870242&&8517180000,0,0
718,IMP370421&&8703232926,0,0
719,IMP361374&&8703241932,0,0
720,IMP412417&&8517180000,0,0
721,IMP100143&&8703241128,0,0
722,IMP409600&&8484100000,0,0
723,IMP830465&&8703321922,0,0
724,IMP837219&&8703231119,0,0
725,IMP965305&&8703232926,0,0
726,IMP412417&&8702101319,0,0
727,IMP445164&&8703210011,0,0
728,IMP745669&&8703232926,0,0
729,IMP327159&&9019200000,0,0
730,IMP960205&&6001920000,0,0
731,IMP591216&&8517180000,0,0
732,IMP195096&&8504210000,0,0
733,IMP946034&&305490000,0,0
734,IMP731188&&6908900000,0,0
735,IMP325362&&8703241128,0,0
736,IMP138552&&8703321220,0,0
737,IMP206242&&8702101319,0,0
738,IMP606875&&8703232926,0,0
739,IMP154351&&8703232926,0,0
740,IMP446948&&8703232926,0,0
741,IMP461608&&808100000,0,0
742,IMP720986&&8703232926,0,0
743,IMP434684&&8703232926,0,0
744,IMP327159&&8703241128,0,0
745,IMP691078&&8703242900,0,0
746,IMP697425&&8703222900,0,0
747,IMP934273&&8702902099,0,0
748,IMP294555&&3808930000,0,0
749,IMP752126&&8545110000,0,0
750,IMP720753&&8703331226,0,0
751,IMP863463&&8703900000,0,0
752,IMP404197&&3302100000,0,0
