IMPORTER.TIN&&TARIFF.CODE,IMPORTER.TIN&&TARIFF.CODE_illicit_sum,IMPORTER.TIN&&TARIFF.CODE_illicit_rate
IMP103505&&8443990000,0,0.0
IMP103505&&8517610000,0,0.0
IMP103505&&8703210011,0,0.0
IMP103505&&8703222900,0,0.0
IMP103505&&8703241230,0,0.0
IMP103505&&8714110000,0,0.0
IMP103515&&8422190000,1,1.0
IMP103712&&3004100000,1,1.0
IMP103712&&8411990000,0,0.0
IMP103712&&8421210023,0,0.0
IMP103793&&8473300000,0,0.0
IMP104261&&8513100000,1,1.0
IMP104291&&5207101000,0,0.0
IMP104291&&7308209000,0,0.0
IMP104291&&7318120000,1,1.0
IMP104291&&8413300000,0,0.0
IMP104291&&8451400000,0,0.0
IMP104291&&8703232225,0,0.0
IMP104291&&8703241128,0,0.0
IMP104457&&2936900000,0,0.0
IMP104457&&8704211122,0,0.0
IMP104513&&8703322900,0,0.0
IMP104514&&1904100000,0,0.0
IMP104514&&8517180000,0,0.0
IMP104514&&8703210011,0,0.0
IMP104521&&9603100000,1,1.0
IMP104558&&8308200000,1,1.0
IMP104936&&3004900000,0,0.0
IMP105011&&3824600000,1,1.0
IMP105011&&5402690000,1,1.0
IMP105011&&8477590000,1,1.0
IMP105011&&8506500000,0,0.0
IMP105011&&8703321218,1,1.0
IMP105011&&9405400000,1,1.0
IMP105110&&5204190000,0,0.0
IMP105110&&7009920000,0,0.0
IMP105110&&8703331124,0,0.0
IMP105158&&6006900000,0,0.0
IMP105313&&4011500000,1,1.0
IMP105313&&4401250000,0,0.0
IMP105313&&8703321922,0,0.0
IMP105423&&3901100000,0,0.0
IMP105423&&8702902099,0,0.0
IMP105445&&2104200000,0,0.0
IMP105445&&8487100000,0,0.0
IMP105445&&8702101319,0,0.0
IMP105664&&4810920092,0,0.0
IMP105664&&7307990000,0,0.0
IMP105664&&8438900000,0,0.0
IMP105664&&8703332200,1,1.0
IMP105664&&8704322000,0,0.0
IMP105879&&7326909099,0,0.0
IMP105879&&8704312000,0,0.0
IMP106124&&8415900099,1,1.0
IMP106205&&7323100000,0,0.0
IMP106205&&8205100000,0,0.0
IMP106205&&8702101319,0,0.0
IMP106205&&8703321922,0,0.0
IMP106237&&1105200000,0,0.0
IMP106237&&2202900091,0,0.0
IMP106237&&2836200000,0,0.0
IMP106237&&2916120000,0,0.0
IMP106237&&3004900000,0,0.0
IMP106237&&303790000,0,0.0
IMP106237&&3206110000,0,0.0
IMP106237&&3402110012,0,0.0
IMP106237&&3901100000,0,0.0
IMP106237&&3912390000,1,1.0
IMP106237&&3925300000,1,1.0
IMP106237&&3926200000,0,0.0
IMP106237&&4011200000,0,0.0
IMP106237&&4802570000,0,0.0
IMP106237&&4810130019,0,0.0
IMP106237&&4901999000,0,0.0
IMP106237&&5801900000,0,0.0
IMP106237&&6403590055,0,0.0
IMP106237&&6807900000,0,0.0
IMP106237&&6810190000,0,0.0
IMP106237&&6905900000,0,0.0
IMP106237&&6907900000,0,0.0
IMP106237&&712900000,0,0.0
IMP106237&&7323100000,0,0.0
IMP106237&&8431430000,1,0.5
IMP106237&&8440900000,1,1.0
IMP106237&&8443320000,0,0.0
IMP106237&&8473300000,0,0.0
IMP106237&&8478900000,0,0.0
IMP106237&&8481100000,1,1.0
IMP106237&&8517180000,0,0.0
IMP106237&&8523590000,0,0.0
IMP106237&&8702101319,0,0.0
IMP106237&&8702102029,0,0.0
IMP106237&&8702902099,0,0.0
IMP106237&&8703210011,0,0.0
IMP106237&&8703222900,0,0.0
IMP106237&&8703231119,0,0.0
IMP106237&&8703231221,0,0.0
IMP106237&&8703232124,0,0.0
IMP106237&&8703232225,0,0.0
IMP106237&&8703232926,0,0.0
IMP106237&&8703241128,1,0.021739130434782608
IMP106237&&8703241932,0,0.0
IMP106237&&8703242100,0,0.0
IMP106237&&8703242200,0,0.0
IMP106237&&8703242900,0,0.0
IMP106237&&8703321220,0,0.0
IMP106237&&8703321922,1,0.043478260869565216
IMP106237&&8703331226,1,0.14285714285714285
IMP106237&&8703331928,0,0.0
IMP106237&&8703332100,0,0.0
IMP106237&&8703332900,0,0.0
IMP106237&&8703900000,0,0.0
IMP106237&&8704212025,0,0.0
IMP106237&&8704221928,0,0.0
IMP106237&&8704321118,0,0.0
IMP106237&&8704322000,0,0.0
IMP106237&&8711201000,0,0.0
IMP106237&&8716909000,0,0.0
IMP106237&&8803900000,0,0.0
IMP106237&&9027800000,0,0.0
IMP106237&&9403900091,1,1.0
IMP106616&&8716802081,0,0.0
IMP106825&&6809110000,0,0.0
IMP107008&&8703321220,1,1.0
IMP107102&&3004900000,0,0.0
IMP107102&&4011400000,0,0.0
IMP107102&&8450110000,1,1.0
IMP107102&&8703210011,0,0.0
IMP107102&&8703232926,0,0.0
IMP107102&&8703332100,0,0.0
IMP107102&&8704212025,0,0.0
IMP107182&&8436100000,1,1.0
IMP107182&&8702902099,0,0.0
IMP107196&&1107100000,0,0.0
IMP107196&&1702300000,1,1.0
IMP107196&&8703321922,0,0.0
IMP107241&&8432300000,0,0.0
IMP107241&&8517180000,0,0.0
IMP107241&&8518290000,0,0.0
IMP107241&&8703231119,0,0.0
IMP107241&&8703242900,0,0.0
IMP107241&&8703900000,0,0.0
IMP107345&&7318160000,0,0.0
IMP107345&&8703321220,0,0.0
IMP107345&&8703331226,0,0.0
IMP107373&&4810290029,1,1.0
IMP107373&&8703210011,0,0.0
IMP107380&&3823110000,0,0.0
IMP107442&&2520200000,0,0.0
IMP107442&&7307910000,1,1.0
IMP107442&&8467210000,0,0.0
IMP107442&&8516600069,1,1.0
IMP107442&&8703241134,0,0.0
IMP107534&&2005400000,0,0.0
IMP107695&&3912310000,0,0.0
IMP107695&&4407260000,0,0.0
IMP107695&&8517180000,0,0.0
IMP107856&&3214101000,1,1.0
IMP107856&&4009310000,0,0.0
IMP107864&&3903200000,0,0.0
IMP107927&&2902900000,0,0.0
IMP107927&&3610000000,1,1.0
IMP107927&&8702102029,0,0.0
IMP108058&&3924909000,1,1.0
IMP108058&&4703210000,0,0.0
IMP108162&&8703241128,0,0.0
IMP108162&&8703331226,0,0.0
IMP108162&&8703900000,1,1.0
IMP108282&&9506910000,0,0.0
IMP108297&&1701999000,0,0.0
IMP108297&&8413919000,0,0.0
IMP108528&&7318290000,1,1.0
IMP108528&&7610900000,0,0.0
IMP108534&&6208910000,0,0.0
IMP108534&&8703900000,0,0.0
IMP108534&&8708300000,0,0.0
IMP108660&&7217200021,1,1.0
IMP108660&&8475900000,1,1.0
IMP108660&&8484100000,0,0.0
IMP108660&&8703241126,0,0.0
IMP108764&&6900000000,0,0.0
IMP108764&&8410130000,0,0.0
IMP108764&&8478900000,1,1.0
IMP108764&&8703210011,0,0.0
IMP108769&&8703222900,0,0.0
IMP108897&&5512991000,0,0.0
IMP108897&&8418690000,0,0.0
IMP108897&&8703241128,0,0.0
IMP108897&&8703331226,0,0.0
IMP108897&&8703332100,0,0.0
IMP108897&&8703900000,0,0.0
IMP108897&&9401900091,0,0.0
IMP108969&&2916190000,1,1.0
IMP108969&&5509350000,1,1.0
IMP108969&&8703222100,0,0.0
IMP108969&&8709190000,0,0.0
IMP109033&&2621900000,0,0.0
IMP109033&&3004900000,0,0.0
IMP109033&&8211920000,1,1.0
IMP109033&&8703222900,0,0.0
IMP109033&&8703321220,0,0.0
IMP109033&&8703321922,0,0.0
IMP109033&&8703900000,0,0.0
IMP109033&&8704322000,0,0.0
IMP109040&&4901999000,1,1.0
IMP109040&&5801900000,0,0.0
IMP109040&&8703222900,0,0.0
IMP109040&&8704212025,0,0.0
IMP109328&&7321111012,0,0.0
IMP109473&&7009920000,0,0.0
IMP109771&&1001900000,0,0.0
IMP109771&&4810130019,0,0.0
IMP109771&&8702101319,1,1.0
IMP109771&&8703232926,0,0.0
IMP109772&&3215190019,0,0.0
IMP109772&&6404110013,0,0.0
IMP109772&&8501310000,0,0.0
IMP109772&&8547100000,0,0.0
IMP109890&&7324100000,1,1.0
IMP109890&&8703232225,0,0.0
IMP109958&&2517490000,0,0.0
IMP110076&&8424100000,0,0.0
IMP110109&&8425420000,0,0.0
IMP110109&&9210000000,0,0.0
IMP110340&&6905900000,1,1.0
IMP110489&&2712900000,0,0.0
IMP110489&&3004900000,0,0.0
IMP110489&&303790000,0,0.0
IMP110489&&305510052,0,0.0
IMP110489&&3811210000,0,0.0
IMP110489&&3921120000,1,1.0
IMP110489&&4011200000,0,0.0
IMP110489&&5501300000,0,0.0
IMP110489&&5603140000,0,0.0
IMP110489&&6603200000,1,1.0
IMP110489&&6805200000,0,0.0
IMP110489&&6907900000,0,0.0
IMP110489&&709590000,0,0.0
IMP110489&&7307910000,0,0.0
IMP110489&&7606129000,0,0.0
IMP110489&&8438900000,0,0.0
IMP110489&&8501400000,0,0.0
IMP110489&&8517180000,1,0.08333333333333333
IMP110489&&8527130000,0,0.0
IMP110489&&8702101319,0,0.0
IMP110489&&8702902097,0,0.0
IMP110489&&8702902099,0,0.0
IMP110489&&8703210011,0,0.0
IMP110489&&8703221917,1,0.5
IMP110489&&8703222900,0,0.0
IMP110489&&8703231119,0,0.0
IMP110489&&8703231221,1,0.3333333333333333
IMP110489&&8703232124,0,0.0
IMP110489&&8703232225,0,0.0
IMP110489&&8703232926,0,0.0
IMP110489&&8703241128,1,0.07692307692307693
IMP110489&&8703241932,0,0.0
IMP110489&&8703242100,0,0.0
IMP110489&&8703242900,0,0.0
IMP110489&&8703321220,0,0.0
IMP110489&&8703321922,0,0.0
IMP110489&&8703331124,0,0.0
IMP110489&&8703331226,0,0.0
IMP110489&&8703900000,0,0.0
IMP110489&&8704212025,0,0.0
IMP110489&&8704322000,0,0.0
IMP110489&&9026800000,1,1.0
IMP110518&&8702101319,0,0.0
IMP110562&&8447900000,0,0.0
IMP110562&&8703232225,0,0.0
IMP110562&&8703241128,0,0.0
IMP110592&&8471490049,0,0.0
IMP110592&&8473300000,1,1.0
IMP110592&&8703242100,0,0.0
IMP110592&&8703332900,0,0.0
IMP110602&&3810000000,0,0.0
IMP110602&&8703332900,0,0.0
IMP110602&&8707901311,0,0.0
IMP110637&&8525800000,0,0.0
IMP110695&&8479900000,0,0.0
IMP110695&&8702101319,0,0.0
IMP110695&&8703242900,0,0.0
IMP110787&&7321900000,1,1.0
IMP110787&&8537200000,0,0.0
IMP110861&&8703222900,0,0.0
IMP110862&&8438900000,0,0.0
IMP110862&&8703321922,0,0.0
IMP110877&&2501009000,1,1.0
IMP110917&&8517180000,1,1.0
IMP111414&&4016940000,1,1.0
IMP111414&&407000000,0,0.0
IMP111414&&7901120000,1,1.0
IMP111414&&8479200000,1,1.0
IMP111414&&8704231924,0,0.0
IMP111420&&8704900099,1,1.0
IMP111441&&7412200000,0,0.0
IMP111441&&8704231122,0,0.0
IMP111521&&2922420043,0,0.0
IMP111521&&8448200000,0,0.0
IMP111521&&8703232926,0,0.0
IMP111521&&8703321922,0,0.0
IMP111528&&5603120000,0,0.0
IMP111528&&7308300000,0,0.0
IMP111528&&8214200000,0,0.0
IMP111528&&8431430000,0,0.0
IMP111528&&8703222900,1,1.0
IMP111528&&8703232225,0,0.0
IMP111528&&8703232926,0,0.0
IMP111528&&8711201000,0,0.0
IMP111588&&8711909000,0,0.0
IMP111712&&6303990000,0,0.0
IMP111712&&6505900000,1,1.0
IMP111744&&2915500000,0,0.0
IMP111744&&3906900000,1,1.0
IMP111744&&8414300000,0,0.0
IMP111744&&8516800000,1,1.0
IMP111744&&8703232926,0,0.0
IMP111744&&8703242100,0,0.0
IMP111744&&8703332100,0,0.0
IMP111751&&8409990000,1,1.0
IMP111951&&2401100000,1,1.0
IMP112053&&5511300000,0,0.0
IMP112111&&3004900000,0,0.0
IMP112187&&3500000000,0,0.0
IMP112187&&7010904100,1,1.0
IMP112187&&8412800000,0,0.0
IMP112187&&8702101319,0,0.0
IMP112187&&8703222200,0,0.0
IMP112307&&9018490000,0,0.0
IMP112394&&8471600069,0,0.0
IMP112394&&8474900000,0,0.0
IMP112686&&3923210000,0,0.0
IMP112686&&8428900000,0,0.0
IMP112686&&8525500000,0,0.0
IMP112686&&8536900000,0,0.0
IMP112686&&8703232926,0,0.0
IMP112686&&8703900000,0,0.0
IMP112686&&8704322000,0,0.0
IMP112688&&2710193900,0,0.0
IMP112688&&3004900000,0,0.0
IMP112688&&303790000,0,0.0
IMP112688&&3302901000,0,0.0
IMP112688&&3812300000,0,0.0
IMP112688&&4805110000,0,0.0
IMP112688&&5801900000,0,0.0
IMP112688&&6210100000,1,1.0
IMP112688&&6802230000,0,0.0
IMP112688&&710100000,0,0.0
IMP112688&&7323100000,1,1.0
IMP112688&&8431430000,0,0.0
IMP112688&&8441100000,0,0.0
IMP112688&&8473300000,0,0.0
IMP112688&&8501610000,0,0.0
IMP112688&&8517180000,0,0.0
IMP112688&&8702101319,0,0.0
IMP112688&&8702901396,0,0.0
IMP112688&&8702902099,0,0.0
IMP112688&&8703210011,1,0.14285714285714285
IMP112688&&8703222900,0,0.0
IMP112688&&8703231119,1,0.16666666666666666
IMP112688&&8703231221,0,0.0
IMP112688&&8703232124,0,0.0
IMP112688&&8703232225,0,0.0
IMP112688&&8703232926,0,0.0
IMP112688&&8703241128,0,0.0
IMP112688&&8703242100,0,0.0
IMP112688&&8703242900,0,0.0
IMP112688&&8703321922,0,0.0
IMP112688&&8703322100,0,0.0
IMP112688&&8703331226,0,0.0
IMP112688&&8703331928,0,0.0
IMP112688&&8703332100,0,0.0
IMP112688&&8703900000,0,0.0
IMP112688&&8704212025,0,0.0
IMP112688&&8704231924,0,0.0
IMP112688&&8704322000,0,0.0
IMP112688&&9026100000,0,0.0
IMP112691&&1001900000,0,0.0
IMP112691&&2710193900,0,0.0
IMP112691&&2909490000,0,0.0
IMP112691&&3004900000,0,0.0
IMP112691&&3925900000,0,0.0
IMP112691&&7216500000,0,0.0
IMP112691&&8205200000,0,0.0
IMP112691&&8425420000,0,0.0
IMP112691&&8440900000,0,0.0
IMP112691&&8473300000,0,0.0
IMP112691&&8513100000,0,0.0
IMP112691&&8517180000,0,0.0
IMP112691&&8529100000,1,1.0
IMP112691&&8538100000,0,0.0
IMP112691&&8702101319,0,0.0
IMP112691&&8702902099,0,0.0
IMP112691&&8703210011,0,0.0
IMP112691&&8703222900,0,0.0
IMP112691&&8703231119,0,0.0
IMP112691&&8703231221,0,0.0
IMP112691&&8703232225,0,0.0
IMP112691&&8703232926,0,0.0
IMP112691&&8703241128,0,0.0
IMP112691&&8703242100,0,0.0
IMP112691&&8703312200,0,0.0
IMP112691&&8703321220,1,1.0
IMP112691&&8703321922,0,0.0
IMP112691&&8703331124,1,0.5
IMP112691&&8703331226,0,0.0
IMP112691&&8703900000,0,0.0
IMP112691&&8704321118,1,1.0
IMP112738&&4011100000,0,0.0
IMP112738&&8403900000,0,0.0
IMP112738&&8703222900,1,1.0
IMP112882&&1302390000,0,0.0
IMP112882&&7005100000,1,1.0
IMP112891&&405900091,0,0.0
IMP112891&&8418690000,0,0.0
IMP112891&&8474310000,1,1.0
IMP112918&&3004900000,0,0.0
IMP112918&&3507900000,1,1.0
IMP112918&&4016990000,0,0.0
IMP112918&&5801900000,0,0.0
IMP112918&&5910000000,0,0.0
IMP112918&&8422900000,0,0.0
IMP112918&&8473300000,0,0.0
IMP112918&&8517180000,0,0.0
IMP112918&&8527130000,0,0.0
IMP112918&&8702101319,0,0.0
IMP112918&&8703210011,0,0.0
IMP112918&&8703222900,0,0.0
IMP112918&&8703231119,0,0.0
IMP112918&&8703232926,0,0.0
IMP112918&&8703241128,0,0.0
IMP112918&&8703242900,0,0.0
IMP112918&&8703321922,0,0.0
IMP112918&&8703331928,0,0.0
IMP112918&&8703900000,1,0.25
IMP112918&&8704212025,0,0.0
IMP112918&&8704231122,0,0.0
IMP112918&&8704322000,0,0.0
IMP112918&&9405500000,0,0.0
IMP113079&&3926200000,0,0.0
IMP113079&&5804290000,1,1.0
IMP113079&&7323100000,0,0.0
IMP113079&&8703241932,0,0.0
IMP113121&&7007210000,1,1.0
IMP113131&&4011200029,0,0.0
IMP113131&&7307210000,0,0.0
IMP113131&&7320100000,0,0.0
IMP113413&&305510052,1,1.0
IMP113413&&8526100000,0,0.0
IMP113413&&8703232124,0,0.0
IMP113413&&8703321922,0,0.0
IMP113522&&4901999000,1,1.0
IMP113522&&6908900000,0,0.0
IMP113522&&8702101319,0,0.0
IMP113522&&8703231119,0,0.0
IMP113522&&8703232225,0,0.0
IMP113522&&8703232926,0,0.0
IMP113522&&8703241128,0,0.0
IMP113815&&3923300000,1,1.0
IMP113851&&7228500000,0,0.0
IMP113851&&8473400000,0,0.0
IMP113851&&8703241128,0,0.0
IMP113888&&2828100000,1,1.0
IMP113888&&8473300000,0,0.0
IMP113888&&8714190000,0,0.0
IMP114013&&4803000011,0,0.0
IMP114177&&3924909000,0,0.0
IMP114177&&8415100011,1,1.0
IMP114177&&8501310000,0,0.0
IMP114177&&8703321922,0,0.0
IMP114177&&8703900000,0,0.0
IMP114215&&1901900091,0,0.0
IMP114251&&6802930000,0,0.0
IMP114251&&6900000000,1,1.0
IMP114251&&8703232926,0,0.0
IMP114251&&8704231924,0,0.0
IMP114262&&7321900000,0,0.0
IMP114262&&7324290000,0,0.0
IMP114262&&8409910000,0,0.0
IMP114267&&303790000,0,0.0
IMP114267&&3919100000,0,0.0
IMP114267&&4009210000,0,0.0
IMP114267&&5310100000,0,0.0
IMP114267&&5501300000,0,0.0
IMP114267&&5509310000,0,0.0
IMP114267&&8436290000,1,1.0
IMP114267&&8703321922,0,0.0
IMP114305&&4805240000,1,1.0
IMP114349&&8471300031,1,1.0
IMP114372&&8518500000,0,0.0
IMP114372&&8703231119,0,0.0
IMP114372&&8704221928,1,1.0
IMP114480&&5801900000,0,0.0
IMP114581&&7005210000,0,0.0
IMP114581&&8703222900,0,0.0
IMP114639&&3901200000,1,1.0
IMP114639&&8502120015,0,0.0
IMP114639&&8703232225,0,0.0
IMP114639&&8703232926,0,0.0
IMP114639&&8703242900,0,0.0
IMP114754&&4819500000,0,0.0
IMP114754&&8703232225,0,0.0
IMP114823&&1511909000,0,0.0
IMP114823&&4106220000,1,1.0
IMP114857&&804100000,1,1.0
IMP114857&&8704232000,0,0.0
IMP114858&&8517180000,0,0.0
IMP114988&&8703231221,1,1.0
IMP115035&&7321900000,1,1.0
IMP115044&&2905320000,0,0.0
IMP115079&&3403990000,0,0.0
IMP115079&&7326190000,1,1.0
IMP115117&&8702902097,0,0.0
IMP115117&&8703242900,0,0.0
IMP115292&&2833220000,0,0.0
IMP115292&&3901100000,1,1.0
IMP115292&&7019900000,1,1.0
IMP115292&&8703331124,0,0.0
IMP115340&&8703241128,0,0.0
IMP115355&&4821900000,0,0.0
IMP115355&&8702901293,0,0.0
IMP115355&&8708930000,1,1.0
IMP115394&&2924190000,1,1.0
IMP115605&&7209270000,0,0.0
IMP115605&&7308400000,0,0.0
IMP115605&&8703241128,0,0.0
IMP115624&&4902900000,0,0.0
IMP115642&&8537200000,1,1.0
IMP115642&&8704311915,1,1.0
IMP115642&&8716909000,0,0.0
IMP115712&&1517100000,0,0.0
IMP115712&&3004900000,0,0.0
IMP115712&&3300000000,0,0.0
IMP115712&&4011200000,0,0.0
IMP115712&&6907100000,0,0.0
IMP115712&&7323100000,0,0.0
IMP115712&&7407210000,0,0.0
IMP115712&&7604210000,0,0.0
IMP115712&&8483100000,0,0.0
IMP115712&&8517180000,0,0.0
IMP115712&&8702101319,0,0.0
IMP115712&&8702102029,0,0.0
IMP115712&&8703210011,0,0.0
IMP115712&&8703222900,0,0.0
IMP115712&&8703231119,0,0.0
IMP115712&&8703232225,0,0.0
IMP115712&&8703232926,0,0.0
IMP115712&&8703241128,0,0.0
IMP115712&&8703241932,0,0.0
IMP115712&&8703242100,0,0.0
IMP115712&&8703242900,0,0.0
IMP115712&&8703321220,0,0.0
IMP115712&&8703331226,0,0.0
IMP115712&&8703332100,0,0.0
IMP115712&&8703332900,0,0.0
IMP115712&&8703900000,0,0.0
IMP115712&&8704212025,0,0.0
IMP115712&&8704231924,0,0.0
IMP115712&&8704322000,0,0.0
IMP115712&&8716909000,0,0.0
IMP115734&&3920490044,1,1.0
IMP115734&&8610000000,0,0.0
IMP115928&&6907900000,0,0.0
IMP115928&&8518300000,1,1.0
IMP116006&&7013280000,0,0.0
IMP116006&&8703222900,0,0.0
IMP116006&&8703232124,0,0.0
IMP116006&&8703321922,0,0.0
IMP116006&&8703331226,0,0.0
IMP116006&&8711901000,0,0.0
IMP116006&&9026900000,0,0.0
IMP116038&&8474310000,0,0.0
IMP116231&&3004310000,0,0.0
IMP116541&&8703242100,0,0.0
IMP116640&&305510052,0,0.0
IMP116640&&8472900000,0,0.0
IMP116670&&2903120000,0,0.0
IMP116670&&8409910000,0,0.0
IMP116670&&8703210010,0,0.0
IMP116670&&8703222900,0,0.0
IMP116670&&8703332100,0,0.0
IMP117192&&4503900000,0,0.0
IMP117287&&8714190000,0,0.0
IMP117342&&2905440000,0,0.0
IMP117342&&8703232926,0,0.0
IMP117406&&2932290000,1,1.0
IMP117406&&3915300000,0,0.0
IMP117406&&5801900000,0,0.0
IMP117406&&7323100000,0,0.0
IMP117406&&8421220029,0,0.0
IMP117406&&8438900000,0,0.0
IMP117406&&8483400000,0,0.0
IMP117406&&8502130019,0,0.0
IMP117406&&8516600069,0,0.0
IMP117406&&8517180000,0,0.0
IMP117406&&8528710000,0,0.0
IMP117406&&8702101319,0,0.0
IMP117406&&8703210011,0,0.0
IMP117406&&8703222900,0,0.0
IMP117406&&8703231119,0,0.0
IMP117406&&8703231221,0,0.0
IMP117406&&8703232124,0,0.0
IMP117406&&8703232225,0,0.0
IMP117406&&8703232926,1,0.1
IMP117406&&8703241128,0,0.0
IMP117406&&8703242100,0,0.0
IMP117406&&8703242900,0,0.0
IMP117406&&8703321220,0,0.0
IMP117406&&8703321922,0,0.0
IMP117406&&8703331226,0,0.0
IMP117406&&8703332100,0,0.0
IMP117406&&8703332200,0,0.0
IMP117406&&8703332900,0,0.0
IMP117406&&8703900000,0,0.0
IMP117406&&8704212025,0,0.0
IMP117406&&8704322000,0,0.0
IMP117406&&8705900000,0,0.0
IMP117406&&9032890000,0,0.0
IMP117673&&3915900000,1,1.0
IMP117673&&8703242100,1,1.0
IMP117708&&1108120012,0,0.0
IMP117708&&2520200000,1,1.0
IMP117708&&3808911099,1,1.0
IMP117708&&4818400049,1,1.0
IMP117708&&8501100000,1,1.0
IMP117708&&8502120013,0,0.0
IMP117708&&8703321220,0,0.0
IMP117708&&8704322000,0,0.0
IMP117895&&2818200000,0,0.0
IMP117973&&6406200000,0,0.0
IMP117973&&8703241128,0,0.0
IMP117973&&8703900000,0,0.0
IMP118044&&4412940000,0,0.0
IMP118044&&6904100000,0,0.0
IMP118044&&7323100000,0,0.0
IMP118044&&8703231119,0,0.0
IMP118044&&8703231221,0,0.0
IMP118044&&8703331226,0,0.0
IMP118044&&8706001300,1,1.0
IMP118044&&8720000000,0,0.0
IMP118216&&2836500000,0,0.0
IMP118216&&6907900000,0,0.0
