,OFFICE&&ORIGIN.CODE,OFFICE&&ORIGIN.CODE_illicit_Qsum,OFFICE&&ORIGIN.CODE_illicit_Qrate
48,OFFICE88&&CNTRY764,0,3
49,OFFICE76&&CNTRY125,1,3
50,OFFICE60&&CNTRY491,0,3
51,OFFICE76&&CNTRY830,0,3
52,OFFICE51&&CNTRY615,3,2
53,OFFICE84&&CNTRY323,0,3
54,OFFICE51&&CNTRY264,1,3
55,OFFICE59&&CNTRY277,2,2
56,OFFICE59&&CNTRY555,0,3
57,OFFICE76&&CNTRY615,2,3
58,OFFICE92&&CNTRY277,2,3
59,OFFICE60&&CNTRY830,0,3
60,OFFICE18&&CNTRY859,0,0
61,OFFICE59&&CNTRY874,1,3
62,OFFICE40&&CNTRY311,0,3
63,OFFICE40&&CNTRY429,0,3
64,OFFICE24&&CNTRY317,0,3
65,OFFICE23&&CNTRY473,0,3
66,OFFICE40&&CNTRY321,0,3
67,OFFICE60&&CNTRY139,0,3
68,OFFICE51&&CNTRY975,0,3
69,OFFICE23&&CNTRY317,0,3
70,OFFICE51&&CNTRY825,2,3
71,OFFICE23&&CNTRY819,0,3
72,OFFICE296&&CNTRY321,0,3
73,OFFICE298&&CNTRY825,1,1
74,OFFICE168&&CNTRY652,2,2
75,OFFICE298&&CNTRY184,0,0
76,OFFICE187&&CNTRY976,1,0
77,OFFICE233&&CNTRY615,0,3
78,OFFICE187&&CNTRY825,2,0
79,OFFICE243&&CNTRY316,0,3
80,OFFICE113&&CNTRY764,0,3
81,OFFICE298&&CNTRY994,1,0
82,OFFICE168&&CNTRY376,1,0
83,OFFICE204&&CNTRY364,0,3
84,OFFICE296&&CNTRY994,2,0
85,OFFICE185&&CNTRY123,1,2
86,OFFICE168&&CNTRY994,2,0
87,OFFICE162&&CNTRY881,0,3
88,OFFICE299&&CNTRY680,1,3
89,OFFICE237&&CNTRY846,0,0
90,OFFICE237&&CNTRY277,0,3
91,OFFICE186&&CNTRY454,1,1
92,OFFICE214&&CNTRY687,0,3
93,OFFICE187&&CNTRY376,1,0
94,OFFICE109&&CNTRY759,0,3
95,OFFICE174&&CNTRY975,0,3
96,OFFICE214&&CNTRY376,1,2
97,OFFICE214&&CNTRY747,0,3
98,OFFICE186&&CNTRY976,1,2
99,OFFICE243&&CNTRY438,0,3
100,OFFICE186&&CNTRY825,1,1
101,OFFICE100&&CNTRY376,2,2
102,OFFICE167&&CNTRY825,0,3
103,OFFICE237&&CNTRY994,2,0
104,OFFICE141&&CNTRY976,0,2
105,OFFICE204&&CNTRY376,2,1
106,OFFICE178&&CNTRY713,0,3
107,OFFICE180&&CNTRY994,0,3
108,OFFICE134&&CNTRY376,1,0
109,OFFICE134&&CNTRY994,1,1
110,OFFICE109&&CNTRY376,1,2
111,OFFICE109&&CNTRY123,0,2
112,OFFICE127&&CNTRY994,2,0
113,OFFICE237&&CNTRY825,1,1
114,OFFICE105&&CNTRY915,0,3
115,OFFICE134&&CNTRY652,1,2
116,OFFICE185&&CNTRY994,2,2
117,OFFICE296&&CNTRY884,0,0
118,OFFICE187&&CNTRY994,2,0
119,OFFICE126&&CNTRY884,0,3
120,OFFICE222&&CNTRY615,0,3
121,OFFICE296&&CNTRY652,1,2
122,OFFICE197&&CNTRY376,0,1
123,OFFICE187&&CNTRY454,1,3
124,OFFICE214&&CNTRY123,1,3
125,OFFICE185&&CNTRY263,0,3
126,OFFICE204&&CNTRY393,0,0
127,OFFICE100&&CNTRY994,1,2
128,OFFICE187&&CNTRY884,0,3
129,OFFICE204&&CNTRY825,1,1
130,OFFICE162&&CNTRY317,0,3
131,OFFICE134&&CNTRY846,0,3
132,OFFICE162&&CNTRY976,1,2
133,OFFICE204&&CNTRY171,0,3
134,OFFICE292&&CNTRY994,0,0
135,OFFICE298&&CNTRY748,0,3
136,OFFICE127&&CNTRY454,1,3
137,OFFICE204&&CNTRY976,0,0
138,OFFICE204&&CNTRY335,1,3
139,OFFICE288&&CNTRY409,0,3
140,OFFICE127&&CNTRY825,0,0
141,OFFICE298&&CNTRY846,1,3
142,OFFICE109&&CNTRY994,1,1
143,OFFICE186&&CNTRY376,1,1
144,OFFICE297&&CNTRY846,0,3
145,OFFICE186&&CNTRY209,0,3
146,OFFICE237&&CNTRY407,0,0
147,OFFICE222&&CNTRY123,0,2
148,OFFICE296&&CNTRY843,0,3
149,OFFICE168&&CNTRY976,2,2
150,OFFICE24&&CNTRY562,0,0
151,OFFICE60&&CNTRY113,0,3
152,OFFICE41&&CNTRY234,0,3
153,OFFICE59&&CNTRY891,0,3
154,OFFICE24&&CNTRY321,0,0
155,OFFICE51&&CNTRY576,2,3
156,OFFICE96&&CNTRY562,0,3
157,OFFICE59&&CNTRY311,0,3
158,OFFICE40&&CNTRY615,2,2
159,OFFICE59&&CNTRY264,1,3
160,OFFICE24&&CNTRY473,0,3
161,OFFICE92&&CNTRY140,0,2
162,OFFICE76&&CNTRY378,0,3
163,OFFICE40&&CNTRY920,0,3
164,OFFICE45&&CNTRY276,0,3
165,OFFICE81&&CNTRY819,0,3
166,OFFICE76&&CNTRY429,0,3
167,OFFICE52&&CNTRY615,0,3
168,OFFICE59&&CNTRY881,1,3
169,OFFICE51&&CNTRY234,0,3
170,OFFICE59&&CNTRY884,2,2
171,OFFICE45&&CNTRY376,1,2
172,OFFICE92&&CNTRY376,2,2
173,OFFICE59&&CNTRY713,1,3
174,OFFICE60&&CNTRY884,1,1
175,OFFICE35&&CNTRY884,0,3
176,OFFICE23&&CNTRY764,0,3
177,OFFICE78&&CNTRY527,0,3
178,OFFICE23&&CNTRY680,1,2
179,OFFICE96&&CNTRY376,1,3
180,OFFICE51&&CNTRY644,1,3
181,OFFICE34&&CNTRY891,0,3
182,OFFICE96&&CNTRY759,1,3
183,OFFICE59&&CNTRY709,0,3
184,OFFICE92&&CNTRY915,0,3
185,OFFICE96&&CNTRY644,0,0
186,OFFICE51&&CNTRY709,0,3
187,OFFICE40&&CNTRY153,0,3
188,OFFICE59&&CNTRY830,0,2
189,OFFICE23&&CNTRY615,0,2
190,OFFICE60&&CNTRY652,1,3
191,OFFICE24&&CNTRY618,0,0
192,OFFICE60&&CNTRY863,0,3
193,OFFICE52&&CNTRY171,0,0
194,OFFICE40&&CNTRY323,1,3
195,OFFICE40&&CNTRY884,1,2
196,OFFICE81&&CNTRY554,0,3
197,OFFICE66&&CNTRY168,0,3
198,OFFICE60&&CNTRY994,1,3
199,OFFICE51&&CNTRY364,0,3
200,OFFICE92&&CNTRY284,1,3
201,OFFICE51&&CNTRY920,1,3
202,OFFICE18&&CNTRY389,0,3
203,OFFICE34&&CNTRY409,0,3
204,OFFICE45&&CNTRY680,1,2
205,OFFICE18&&CNTRY480,0,0
206,OFFICE51&&CNTRY859,0,3
207,OFFICE51&&CNTRY184,0,3
208,OFFICE92&&CNTRY830,0,3
209,OFFICE24&&CNTRY884,1,3
210,OFFICE51&&CNTRY317,1,3
211,OFFICE92&&CNTRY615,0,1
212,OFFICE34&&CNTRY316,0,0
213,OFFICE24&&CNTRY454,0,3
214,OFFICE59&&CNTRY819,0,3
215,OFFICE23&&CNTRY846,0,3
216,OFFICE60&&CNTRY376,2,2
217,OFFICE40&&CNTRY454,2,3
218,OFFICE94&&CNTRY125,0,0
219,OFFICE204&&CNTRY994,2,1
220,OFFICE141&&CNTRY825,1,3
221,OFFICE186&&CNTRY615,0,3
222,OFFICE252&&CNTRY264,0,3
223,OFFICE187&&CNTRY652,2,2
224,OFFICE132&&CNTRY376,0,0
225,OFFICE162&&CNTRY994,1,0
226,OFFICE237&&CNTRY615,0,3
227,OFFICE296&&CNTRY881,0,2
228,OFFICE134&&CNTRY756,0,0
229,OFFICE100&&CNTRY656,0,3
230,OFFICE214&&CNTRY656,0,0
231,OFFICE168&&CNTRY653,0,0
232,OFFICE204&&CNTRY123,1,1
233,OFFICE123&&CNTRY976,0,3
234,OFFICE127&&CNTRY376,1,0
235,OFFICE197&&CNTRY652,1,3
236,OFFICE127&&CNTRY674,0,3
237,OFFICE296&&CNTRY123,1,1
238,OFFICE140&&CNTRY334,0,3
239,OFFICE187&&CNTRY846,1,2
240,OFFICE185&&CNTRY917,0,3
241,OFFICE298&&CNTRY562,0,3
242,OFFICE136&&CNTRY376,0,3
243,OFFICE237&&CNTRY376,1,0
244,OFFICE136&&CNTRY689,0,3
245,OFFICE127&&CNTRY976,1,1
246,OFFICE197&&CNTRY825,1,3
247,OFFICE168&&CNTRY123,2,1
248,OFFICE186&&CNTRY680,1,3
249,OFFICE237&&CNTRY976,1,2
250,OFFICE204&&CNTRY674,0,3
251,OFFICE214&&CNTRY975,0,3
252,OFFICE296&&CNTRY825,1,0
253,OFFICE168&&CNTRY846,1,0
254,OFFICE299&&CNTRY415,0,3
255,OFFICE109&&CNTRY825,1,1
256,OFFICE168&&CNTRY825,1,0
257,OFFICE187&&CNTRY277,0,0
258,OFFICE162&&CNTRY759,0,3
259,OFFICE134&&CNTRY825,0,2
260,OFFICE117&&CNTRY771,0,3
261,OFFICE197&&CNTRY976,1,3
262,OFFICE100&&CNTRY415,0,3
263,OFFICE141&&CNTRY123,1,3
264,OFFICE162&&CNTRY625,0,3
265,OFFICE299&&CNTRY215,0,3
266,OFFICE152&&CNTRY276,0,3
267,OFFICE211&&CNTRY994,0,3
268,OFFICE214&&CNTRY680,1,3
269,OFFICE288&&CNTRY123,0,3
270,OFFICE298&&CNTRY976,1,1
271,OFFICE197&&CNTRY843,0,3
272,OFFICE289&&CNTRY276,0,3
273,OFFICE296&&CNTRY376,0,0
274,OFFICE296&&CNTRY756,0,0
275,OFFICE186&&CNTRY994,2,2
276,OFFICE100&&CNTRY215,0,0
277,OFFICE211&&CNTRY713,0,3
278,OFFICE126&&CNTRY166,0,3
279,OFFICE214&&CNTRY994,1,2
280,OFFICE117&&CNTRY554,0,0
281,OFFICE292&&CNTRY454,0,0
282,OFFICE288&&CNTRY881,0,3
283,OFFICE127&&CNTRY123,2,2
284,OFFICE109&&CNTRY615,0,3
285,OFFICE162&&CNTRY153,0,3
286,OFFICE197&&CNTRY994,1,2
287,OFFICE299&&CNTRY994,0,3
288,OFFICE162&&CNTRY376,1,2
289,OFFICE237&&CNTRY863,0,3
290,OFFICE100&&CNTRY615,0,3
291,OFFICE134&&CNTRY323,0,3
292,OFFICE197&&CNTRY216,0,0
293,OFFICE127&&CNTRY680,1,2
294,OFFICE187&&CNTRY139,0,0
295,OFFICE186&&CNTRY364,0,3
296,OFFICE237&&CNTRY652,1,2
297,OFFICE214&&CNTRY920,0,3
298,OFFICE51&&CNTRY873,1,3
299,OFFICE60&&CNTRY562,1,3
300,OFFICE59&&CNTRY480,0,3
301,OFFICE59&&CNTRY562,1,3
302,OFFICE60&&CNTRY785,0,3
303,OFFICE76&&CNTRY759,2,2
304,OFFICE66&&CNTRY278,0,0
305,OFFICE60&&CNTRY378,0,3
306,OFFICE60&&CNTRY825,1,3
307,OFFICE16&&CNTRY385,0,0
308,OFFICE52&&CNTRY263,0,0
309,OFFICE23&&CNTRY701,0,3
310,OFFICE51&&CNTRY653,1,3
311,OFFICE51&&CNTRY528,1,3
312,OFFICE76&&CNTRY884,1,3
313,OFFICE51&&CNTRY819,0,3
314,OFFICE59&&CNTRY825,1,3
315,OFFICE51&&CNTRY351,0,2
316,OFFICE52&&CNTRY379,0,0
317,OFFICE40&&CNTRY528,0,3
318,OFFICE24&&CNTRY759,2,2
319,OFFICE59&&CNTRY323,0,2
320,OFFICE23&&CNTRY415,0,3
321,OFFICE60&&CNTRY615,2,2
322,OFFICE96&&CNTRY713,0,3
323,OFFICE18&&CNTRY343,0,0
324,OFFICE76&&CNTRY881,1,3
325,OFFICE35&&CNTRY317,0,3
326,OFFICE96&&CNTRY385,0,3
327,OFFICE51&&CNTRY747,1,3
328,OFFICE24&&CNTRY994,0,2
329,OFFICE66&&CNTRY680,0,3
330,OFFICE88&&CNTRY859,0,3
331,OFFICE59&&CNTRY920,1,3
332,OFFICE92&&CNTRY322,0,3
333,OFFICE92&&CNTRY884,1,3
334,OFFICE109&&CNTRY528,0,3
335,OFFICE234&&CNTRY884,0,0
336,OFFICE296&&CNTRY153,0,0
337,OFFICE186&&CNTRY713,0,3
338,OFFICE299&&CNTRY123,0,3
339,OFFICE234&&CNTRY276,0,3
340,OFFICE186&&CNTRY881,1,3
341,OFFICE109&&CNTRY652,1,3
342,OFFICE134&&CNTRY680,1,2
343,OFFICE109&&CNTRY454,0,3
344,OFFICE296&&CNTRY764,0,3
345,OFFICE134&&CNTRY747,0,3
346,OFFICE220&&CNTRY480,0,3
347,OFFICE296&&CNTRY454,1,3
348,OFFICE109&&CNTRY284,0,3
349,OFFICE162&&CNTRY652,1,2
350,OFFICE298&&CNTRY376,0,0
351,OFFICE299&&CNTRY770,0,3
352,OFFICE204&&CNTRY846,1,2
353,OFFICE298&&CNTRY680,1,3
354,OFFICE140&&CNTRY709,0,0
355,OFFICE168&&CNTRY920,0,3
356,OFFICE222&&CNTRY825,0,3
357,OFFICE237&&CNTRY759,0,3
358,OFFICE210&&CNTRY429,0,0
359,OFFICE246&&CNTRY654,0,0
360,OFFICE134&&CNTRY920,0,3
361,OFFICE252&&CNTRY959,0,3
362,OFFICE197&&CNTRY323,0,3
363,OFFICE136&&CNTRY994,0,3
364,OFFICE252&&CNTRY576,0,3
365,OFFICE299&&CNTRY689,0,3
366,OFFICE134&&CNTRY454,0,2
367,OFFICE174&&CNTRY846,0,3
368,OFFICE40&&CNTRY994,0,2
369,OFFICE40&&CNTRY576,1,3
370,OFFICE40&&CNTRY654,1,3
371,OFFICE59&&CNTRY168,0,3
372,OFFICE96&&CNTRY680,1,3
373,OFFICE92&&CNTRY385,0,3
374,OFFICE51&&CNTRY976,0,3
375,OFFICE18&&CNTRY881,0,3
376,OFFICE87&&CNTRY562,0,3
377,OFFICE35&&CNTRY680,1,3
378,OFFICE51&&CNTRY874,0,3
379,OFFICE92&&CNTRY709,0,3
380,OFFICE35&&CNTRY407,0,3
381,OFFICE92&&CNTRY846,0,3
382,OFFICE60&&CNTRY748,0,3
383,OFFICE45&&CNTRY759,2,3
384,OFFICE51&&CNTRY656,1,2
385,OFFICE96&&CNTRY378,1,3
386,OFFICE76&&CNTRY139,0,0
387,OFFICE45&&CNTRY576,0,3
388,OFFICE59&&CNTRY554,0,3
389,OFFICE51&&CNTRY756,0,2
390,OFFICE51&&CNTRY764,1,3
391,OFFICE60&&CNTRY215,0,3
392,OFFICE60&&CNTRY528,0,3
393,OFFICE59&&CNTRY618,0,3
394,OFFICE16&&CNTRY988,1,3
395,OFFICE60&&CNTRY171,0,3
396,OFFICE51&&CNTRY311,1,3
397,OFFICE24&&CNTRY615,1,3
398,OFFICE40&&CNTRY959,0,3
399,OFFICE214&&CNTRY236,0,3
400,OFFICE196&&CNTRY351,0,0
401,OFFICE187&&CNTRY123,1,0
402,OFFICE152&&CNTRY709,0,0
403,OFFICE204&&CNTRY866,0,3
404,OFFICE299&&CNTRY153,0,0
405,OFFICE109&&CNTRY846,1,3
406,OFFICE298&&CNTRY701,0,3
407,OFFICE122&&CNTRY376,0,2
408,OFFICE123&&CNTRY843,0,3
409,OFFICE237&&CNTRY123,1,2
410,OFFICE100&&CNTRY277,0,3
411,OFFICE185&&CNTRY376,1,2
412,OFFICE168&&CNTRY785,0,3
413,OFFICE122&&CNTRY321,0,0
414,OFFICE187&&CNTRY680,1,2
415,OFFICE186&&CNTRY277,0,3
416,OFFICE299&&CNTRY263,0,3
417,OFFICE100&&CNTRY139,0,3
418,OFFICE222&&CNTRY975,0,0
419,OFFICE292&&CNTRY920,0,0
420,OFFICE298&&CNTRY123,1,2
421,OFFICE237&&CNTRY454,1,3
422,OFFICE105&&CNTRY456,0,3
423,OFFICE252&&CNTRY454,0,3
424,OFFICE214&&CNTRY558,0,0
425,OFFICE287&&CNTRY456,0,0
426,OFFICE141&&CNTRY994,0,2
427,OFFICE162&&CNTRY825,0,0
428,OFFICE122&&CNTRY277,0,3
429,OFFICE162&&CNTRY123,1,2
430,OFFICE296&&CNTRY680,1,2
431,OFFICE287&&CNTRY680,0,3
432,OFFICE100&&CNTRY123,1,3
433,OFFICE117&&CNTRY123,0,3
434,OFFICE197&&CNTRY276,0,0
435,OFFICE237&&CNTRY830,0,3
436,OFFICE298&&CNTRY652,1,2
437,OFFICE299&&CNTRY625,0,0
438,OFFICE204&&CNTRY819,0,0
439,OFFICE178&&CNTRY994,0,3
440,OFFICE100&&CNTRY976,1,2
441,OFFICE186&&CNTRY485,0,0
442,OFFICE180&&CNTRY485,0,3
443,OFFICE237&&CNTRY680,1,3
444,OFFICE51&&CNTRY748,0,3
445,OFFICE60&&CNTRY653,1,3
446,OFFICE16&&CNTRY140,0,3
447,OFFICE76&&CNTRY364,0,3
448,OFFICE92&&CNTRY917,0,3
449,OFFICE96&&CNTRY153,0,3
450,OFFICE40&&CNTRY277,2,3
451,OFFICE59&&CNTRY150,1,3
452,OFFICE24&&CNTRY554,0,3
453,OFFICE78&&CNTRY133,0,3
454,OFFICE92&&CNTRY454,1,3
455,OFFICE23&&CNTRY188,0,0
456,OFFICE51&&CNTRY168,0,2
457,OFFICE96&&CNTRY407,1,3
458,OFFICE51&&CNTRY930,0,3
459,OFFICE59&&CNTRY393,0,3
460,OFFICE23&&CNTRY576,1,3
461,OFFICE96&&CNTRY884,1,3
462,OFFICE52&&CNTRY168,0,3
463,OFFICE60&&CNTRY881,1,3
464,OFFICE59&&CNTRY994,1,3
465,OFFICE51&&CNTRY284,1,2
466,OFFICE51&&CNTRY138,1,3
467,OFFICE40&&CNTRY846,1,3
468,OFFICE60&&CNTRY184,0,3
469,OFFICE60&&CNTRY959,0,3
470,OFFICE35&&CNTRY376,1,3
471,OFFICE34&&CNTRY654,0,0
472,OFFICE24&&CNTRY656,0,3
473,OFFICE41&&CNTRY622,0,3
474,OFFICE96&&CNTRY747,0,3
475,OFFICE16&&CNTRY184,0,0
476,OFFICE76&&CNTRY994,1,3
477,OFFICE60&&CNTRY546,0,3
478,OFFICE60&&CNTRY988,0,3
479,OFFICE51&&CNTRY915,0,3
480,OFFICE59&&CNTRY653,0,3
481,OFFICE41&&CNTRY113,0,3
482,OFFICE45&&CNTRY713,0,3
483,OFFICE51&&CNTRY554,0,3
484,OFFICE24&&CNTRY389,0,3
485,OFFICE23&&CNTRY277,0,3
486,OFFICE59&&CNTRY349,0,2
487,OFFICE168&&CNTRY680,2,2
488,OFFICE100&&CNTRY652,1,2
489,OFFICE246&&CNTRY376,0,3
490,OFFICE298&&CNTRY765,0,3
491,OFFICE101&&CNTRY825,0,0
492,OFFICE299&&CNTRY654,0,3
493,OFFICE127&&CNTRY785,0,3
494,OFFICE298&&CNTRY454,1,3
495,OFFICE185&&CNTRY438,0,0
496,OFFICE289&&CNTRY618,0,3
497,OFFICE126&&CNTRY263,0,3
498,OFFICE186&&CNTRY846,1,3
499,OFFICE134&&CNTRY866,0,3
500,OFFICE113&&CNTRY323,0,3
501,OFFICE122&&CNTRY764,0,0
502,OFFICE237&&CNTRY166,0,3
503,OFFICE233&&CNTRY376,0,3
504,OFFICE296&&CNTRY962,0,0
505,OFFICE168&&CNTRY454,1,3
506,OFFICE178&&CNTRY764,0,3
507,OFFICE185&&CNTRY859,0,0
508,OFFICE100&&CNTRY680,0,2
509,OFFICE127&&CNTRY652,1,2
510,OFFICE132&&CNTRY881,0,3
511,OFFICE185&&CNTRY713,0,0
512,OFFICE187&&CNTRY881,1,3
513,OFFICE185&&CNTRY652,1,2
514,OFFICE167&&CNTRY429,0,0
515,OFFICE168&&CNTRY765,0,3
516,OFFICE126&&CNTRY994,0,3
517,OFFICE214&&CNTRY771,0,3
518,OFFICE122&&CNTRY994,0,2
519,OFFICE185&&CNTRY140,0,0
520,OFFICE214&&CNTRY846,0,2
521,OFFICE167&&CNTRY837,0,0
522,OFFICE211&&CNTRY236,0,3
523,OFFICE233&&CNTRY139,0,3
524,OFFICE88&&CNTRY216,0,3
525,OFFICE81&&CNTRY546,0,3
526,OFFICE81&&CNTRY920,0,3
527,OFFICE94&&CNTRY680,0,3
528,OFFICE51&&CNTRY389,0,3
529,OFFICE40&&CNTRY554,0,3
530,OFFICE76&&CNTRY376,2,2
531,OFFICE18&&CNTRY680,0,3
532,OFFICE40&&CNTRY364,0,3
533,OFFICE78&&CNTRY637,0,3
534,OFFICE51&&CNTRY379,0,3
535,OFFICE92&&CNTRY398,0,3
536,OFFICE60&&CNTRY713,1,3
537,OFFICE94&&CNTRY284,0,0
538,OFFICE76&&CNTRY562,0,3
539,OFFICE59&&CNTRY351,0,3
540,OFFICE60&&CNTRY311,0,3
541,OFFICE51&&CNTRY846,1,3
542,OFFICE23&&CNTRY884,0,2
543,OFFICE40&&CNTRY398,0,3
544,OFFICE84&&CNTRY680,0,3
545,OFFICE88&&CNTRY884,0,3
546,OFFICE41&&CNTRY764,0,0
547,OFFICE52&&CNTRY994,0,3
548,OFFICE81&&CNTRY759,0,3
549,OFFICE123&&CNTRY759,0,0
550,OFFICE186&&CNTRY562,0,3
551,OFFICE298&&CNTRY527,0,3
552,OFFICE113&&CNTRY930,0,3
553,OFFICE237&&CNTRY881,1,3
554,OFFICE127&&CNTRY389,0,3
555,OFFICE100&&CNTRY825,1,2
556,OFFICE296&&CNTRY415,0,3
557,OFFICE223&&CNTRY558,0,3
558,OFFICE162&&CNTRY485,0,3
559,OFFICE127&&CNTRY846,1,0
560,OFFICE214&&CNTRY316,0,3
561,OFFICE210&&CNTRY884,0,3
562,OFFICE233&&CNTRY480,0,3
563,OFFICE299&&CNTRY825,0,2
564,OFFICE100&&CNTRY562,0,3
565,OFFICE134&&CNTRY917,0,0
566,OFFICE185&&CNTRY846,1,2
567,OFFICE111&&CNTRY874,0,3
568,OFFICE234&&CNTRY747,0,3
569,OFFICE76&&CNTRY398,0,3
570,OFFICE59&&CNTRY764,0,3
571,OFFICE51&&CNTRY917,0,3
572,OFFICE51&&CNTRY546,0,3
573,OFFICE45&&CNTRY188,0,3
574,OFFICE51&&CNTRY771,0,2
575,OFFICE35&&CNTRY785,0,3
576,OFFICE96&&CNTRY454,0,3
577,OFFICE60&&CNTRY622,0,3
578,OFFICE24&&CNTRY349,1,3
579,OFFICE40&&CNTRY785,0,3
580,OFFICE45&&CNTRY653,0,3
581,OFFICE18&&CNTRY188,0,3
582,OFFICE35&&CNTRY759,1,3
583,OFFICE52&&CNTRY311,0,3
584,OFFICE52&&CNTRY527,0,0
585,OFFICE40&&CNTRY168,0,3
586,OFFICE59&&CNTRY846,1,3
587,OFFICE92&&CNTRY653,0,3
588,OFFICE94&&CNTRY393,0,3
589,OFFICE24&&CNTRY328,0,0
590,OFFICE59&&CNTRY216,1,3
591,OFFICE23&&CNTRY376,1,2
592,OFFICE59&&CNTRY139,1,3
593,OFFICE78&&CNTRY837,0,3
594,OFFICE96&&CNTRY975,0,3
595,OFFICE92&&CNTRY215,0,3
596,OFFICE92&&CNTRY939,0,3
597,OFFICE94&&CNTRY188,0,3
598,OFFICE40&&CNTRY263,0,0
599,OFFICE162&&CNTRY263,0,3
600,OFFICE187&&CNTRY171,0,3
601,OFFICE297&&CNTRY837,0,3
602,OFFICE185&&CNTRY759,0,0
603,OFFICE237&&CNTRY554,0,3
604,OFFICE127&&CNTRY759,0,2
605,OFFICE134&&CNTRY764,0,3
606,OFFICE298&&CNTRY713,0,3
607,OFFICE296&&CNTRY976,1,1
608,OFFICE185&&CNTRY976,2,2
609,OFFICE185&&CNTRY962,0,3
610,OFFICE141&&CNTRY376,1,3
611,OFFICE162&&CNTRY555,0,3
612,OFFICE134&&CNTRY759,0,3
613,OFFICE152&&CNTRY316,0,0
614,OFFICE214&&CNTRY415,0,3
615,OFFICE162&&CNTRY528,0,0
616,OFFICE113&&CNTRY376,0,0
617,OFFICE287&&CNTRY236,0,3
618,OFFICE214&&CNTRY113,0,3
619,OFFICE234&&CNTRY139,0,3
620,OFFICE292&&CNTRY846,0,3
621,OFFICE141&&CNTRY652,0,3
622,OFFICE234&&CNTRY920,0,3
623,OFFICE223&&CNTRY825,0,3
624,OFFICE237&&CNTRY713,0,3
625,OFFICE237&&CNTRY764,0,3
626,OFFICE167&&CNTRY884,0,3
627,OFFICE168&&CNTRY615,1,3
628,OFFICE210&&CNTRY234,0,3
629,OFFICE197&&CNTRY819,0,3
630,OFFICE40&&CNTRY653,0,3
631,OFFICE45&&CNTRY652,0,3
632,OFFICE18&&CNTRY278,0,3
633,OFFICE45&&CNTRY454,0,3
634,OFFICE76&&CNTRY747,1,3
635,OFFICE45&&CNTRY884,0,3
636,OFFICE76&&CNTRY321,0,3
637,OFFICE59&&CNTRY140,1,3
638,OFFICE51&&CNTRY654,0,2
639,OFFICE60&&CNTRY216,0,3
640,OFFICE45&&CNTRY113,0,3
641,OFFICE81&&CNTRY343,0,0
642,OFFICE59&&CNTRY576,1,3
643,OFFICE24&&CNTRY527,0,3
644,OFFICE88&&CNTRY454,0,3
645,OFFICE40&&CNTRY216,0,3
646,OFFICE78&&CNTRY284,0,3
647,OFFICE88&&CNTRY234,0,0
648,OFFICE59&&CNTRY321,1,3
649,OFFICE51&&CNTRY558,0,3
650,OFFICE59&&CNTRY756,0,3
651,OFFICE51&&CNTRY263,0,3
652,OFFICE24&&CNTRY652,0,3
653,OFFICE96&&CNTRY637,0,3
654,OFFICE96&&CNTRY125,1,3
655,OFFICE51&&CNTRY491,0,2
656,OFFICE24&&CNTRY825,1,3
657,OFFICE45&&CNTRY785,0,3
658,OFFICE76&&CNTRY825,1,3
