,TARIFF.CODE,TARIFF.CODE_illicit_Qsum,TARIFF.CODE_illicit_Qrate
424,3402909009,0,3
425,4202321009,0,3
426,5402520000,0,3
427,8536901092,0,0
428,7318159050,2,3
429,2103909000,0,0
430,5911321900,0,3
431,3923100000,2,2
432,3921909001,0,0
433,8304000000,0,0
434,8409990002,0,3
435,4805110000,0,0
436,7418190000,1,3
437,1511909000,0,3
438,8703241134,0,3
439,3902900000,0,3
440,2933290000,0,3
441,8704321920,0,3
442,8518100000,0,3
443,2202900091,1,3
444,8448190000,0,3
445,8417200000,0,3
446,9032890000,2,3
447,3812300000,0,3
448,8450110000,0,3
449,2103909091,1,3
450,8507300000,0,3
451,8513100000,1,3
452,3909500000,0,3
453,1500000000,0,3
454,8437900000,0,3
455,3304910000,0,3
456,8429520000,1,3
457,8437800000,1,3
458,3404200000,0,0
459,8803300000,0,3
460,5903100000,0,0
461,8413506900,0,3
462,8212109090,0,3
463,6305339009,0,3
464,7307191000,0,3
465,7318165090,0,3
466,4804398000,0,3
467,5515111000,0,3
468,6805100000,0,3
469,9004901040,0,3
470,6006230000,0,3
471,8708999796,0,3
472,8507800000,1,3
473,6406109099,0,0
474,9403109809,0,3
475,9015101000,0,0
476,8451290090,0,3
477,5807901010,0,3
478,4009210040,0,0
479,9027801100,0,3
480,4010320009,1,3
481,6406201000,0,2
482,8517699010,0,0
483,3924900008,0,2
484,3206497009,0,3
485,7216990000,0,3
486,6109909099,0,0
487,8419190003,0,0
488,8512309009,0,3
489,5401101600,0,3
490,5810929000,0,3
491,6106909009,0,0
492,8421990090,0,2
493,3919900000,1,1
494,7318161090,0,0
495,8501529090,0,3
496,5205260001,0,3
497,8704219190,0,3
498,2526200000,1,3
499,8523520000,0,3
500,8714190000,2,3
501,7003120000,0,0
502,3302909000,1,3
503,8306210000,0,3
504,9015900000,1,3
505,8702902097,1,3
506,401200000,0,3
507,3901900000,0,3
508,8504900000,0,3
509,8301600000,0,3
510,8703232232,0,2
511,7612900091,0,3
512,2915500000,1,3
513,7010000000,0,3
514,8546200000,1,3
515,8703221917,2,3
516,3904220000,0,0
517,8471600069,1,3
518,8471800089,0,3
519,9401900091,0,3
520,7326909099,0,3
521,7314410000,1,3
522,4005910000,0,3
523,3002100000,0,0
524,6217100000,0,3
525,8527130000,0,3
526,6902900000,0,3
527,8311200000,0,3
528,8415900091,0,3
529,7322190000,0,3
530,8481900000,0,3
531,8511100000,0,3
532,2836200000,1,3
533,6104230001,0,3
534,6117900009,0,3
535,8422400009,0,3
536,6210101004,0,0
537,9603909910,0,3
538,4911990099,0,3
539,5505105000,0,3
540,8431100003,0,3
541,910999909,0,3
542,3824909620,0,0
543,8481209000,0,0
544,7214993990,0,3
545,5512991000,0,3
546,3302109000,0,3
547,4810923010,0,0
548,4016995209,0,3
549,5210210001,0,0
550,1902199000,0,0
551,8419110001,0,3
552,8438109010,0,0
553,8415200000,0,0
554,8441901000,0,3
555,8201300031,0,3
556,5607410000,0,3
557,2501002000,0,3
558,7400000000,0,3
559,7604210000,2,3
560,8544190000,0,3
561,3207400000,1,3
562,8709900000,0,3
563,8701900092,0,3
564,8412210000,0,3
565,7901200000,0,3
566,2936900000,0,3
567,3307300000,0,3
568,8419810000,0,3
569,3402900000,0,3
570,8703242200,0,2
571,3907200000,1,3
572,2915330000,0,3
573,4818900000,0,3
574,3912310000,0,2
575,8501400000,0,2
576,8429590000,1,3
577,9504400000,0,3
578,7310290000,0,3
579,8308100000,1,3
580,7318150000,1,3
581,1001900000,0,3
582,7210120000,0,3
583,8512200000,1,3
584,3811290000,1,3
585,8441800000,0,3
586,8431490000,0,2
587,305510052,1,3
588,2009893891,0,3
589,8208100000,0,3
590,8418999020,0,3
591,8481309909,0,3
592,1001990004,0,3
593,8425420090,0,2
594,5903909900,1,3
595,2106909898,0,3
596,6909110090,0,3
597,4012902000,0,3
598,9506620009,0,3
599,6310100010,0,3
600,3918109010,0,0
601,8424100000,0,2
602,3402209002,0,3
603,8483608001,0,0
604,8609001000,0,3
605,8474310020,0,3
606,7604291090,0,3
607,3822000009,1,3
608,8505902009,0,0
609,2820909000,0,0
610,8536699090,0,3
611,8473308000,0,0
612,8534009000,0,3
613,4009310020,0,3
614,8536303000,0,0
615,5208520000,0,0
616,5407699001,0,3
617,7315111000,0,3
618,8443321020,0,2
619,4002390000,0,0
620,2918210000,0,3
621,8419200009,0,0
622,9015800000,0,3
623,3206110000,0,3
624,2917350000,0,3
625,9018190000,0,3
626,2830100000,0,3
627,7228500000,1,3
628,7616999000,0,3
629,2208300000,0,3
630,3925900000,0,3
631,8711101000,1,3
632,8507100000,1,3
633,7315900000,0,3
634,3004400000,2,3
635,8422900000,0,3
636,8702101216,1,3
637,3004310000,0,3
638,2903110000,0,3
639,3403190000,0,3
640,7210610000,0,0
641,8467990000,0,0
642,8423890000,0,3
643,8528410000,0,3
644,6804210000,1,3
645,8506101912,1,3
646,5506300000,0,3
647,8537100000,0,3
648,8214200000,1,3
649,5402480000,1,3
650,7017900000,1,3
651,405100000,0,3
652,8523492510,0,3
653,4010390091,0,0
654,8716800009,1,3
655,5208510000,0,3
656,5511200000,0,0
657,8419190009,0,0
658,3301294110,0,0
659,2712201090,0,0
660,6006240000,0,3
661,604901900,0,3
662,3917109000,0,3
663,6307909809,0,2
664,8426300000,0,0
665,6702900009,0,3
666,6217100003,0,3
667,7324900020,0,3
668,8536105001,0,3
669,3304200000,0,0
670,2905449900,0,3
671,8446300000,0,0
672,8704219969,1,3
673,7019520000,0,3
674,6211390094,0,3
675,2844408001,0,3
676,8542319090,0,3
677,8708309102,0,3
678,8442508092,0,3
679,2710194890,1,3
680,9031908500,1,3
681,5208190000,0,3
682,4016910000,0,3
683,8716809000,0,3
684,8421220029,0,0
685,3004200000,1,3
686,9608200000,0,3
687,7411290000,0,0
688,8409910000,0,2
689,8483400000,0,3
690,2710000000,0,3
691,9022140000,1,3
692,1107200000,0,3
693,8308900000,0,3
694,4800000000,0,3
695,3824400000,0,3
696,3002300000,0,3
697,5604100000,0,3
698,3002200000,0,3
699,8701300000,0,0
700,3402110012,0,3
701,303510000,1,3
702,4707300000,0,3
703,3405100000,0,2
704,2815120000,0,3
705,305590059,0,3
706,8462290000,0,3
707,4418208000,0,0
708,8544700000,0,3
709,2710194790,1,3
710,4901990095,0,3
711,4816900001,0,3
712,3215900094,0,3
713,8529109599,0,0
714,3926100001,0,0
715,3003200010,0,3
716,6202920009,0,3
717,8302411004,0,3
718,8708309904,0,3
719,8467890002,0,0
720,9018120000,0,3
721,4105301000,0,3
722,9004109190,0,3
723,8518309500,0,3
724,9402900011,0,3
725,8504900500,0,3
726,4009320090,0,0
727,2306901900,0,3
728,8466209100,0,3
729,8501100000,0,3
730,3920610000,0,3
731,3815900000,0,3
732,8430490000,1,3
733,8528590000,0,3
734,3210000000,0,0
735,7318160000,0,0
736,6505900000,0,3
737,8436990000,0,3
738,2806100000,1,3
739,3920990000,1,3
740,5609000019,0,3
741,4010310000,0,3
742,8419900000,0,3
743,5501300000,0,0
744,3811210000,0,3
745,2204290000,0,3
746,8473400000,1,3
747,4106220000,0,3
748,2932290000,0,3
749,2202900099,0,3
750,5407200021,1,3
751,9405920000,0,3
752,9506910000,0,3
753,8207600000,0,3
754,8467290000,0,3
755,1904100000,0,3
756,7607110000,0,0
757,8528510000,0,3
758,709590000,0,3
759,4810220023,0,3
760,8421290000,0,3
761,2102300000,0,3
762,6804220000,0,3
763,5806321090,0,3
764,2931200000,0,3
765,6217100009,0,3
766,8203200004,0,1
767,8544429011,2,2
768,8532240000,0,2
769,6203120009,0,3
770,2902500000,0,0
771,3920102802,0,3
772,4009110011,0,3
773,3208209019,0,0
774,8523529019,0,3
775,8512200092,0,3
776,8418690080,0,3
777,4015900000,0,3
778,3923210000,1,3
779,8544429099,0,3
780,8413810090,0,3
781,7419999099,1,2
782,8202998009,0,3
783,3304990009,1,3
784,5407611000,0,3
785,8509400001,0,0
786,6116108000,0,3
787,3923301000,0,3
788,3923509009,0,3
789,8465990009,0,3
790,5402310000,0,3
791,8481801100,0,3
792,2835250001,0,0
793,8466103800,1,3
794,8529909790,0,3
795,9606220000,1,3
796,8517691000,0,3
797,9001504900,0,0
798,1302190000,0,3
799,5604900000,0,3
800,4008211000,0,3
801,8704211121,0,3
802,8402190000,0,3
803,5509690000,0,3
804,8309900099,0,3
805,3001900000,0,3
806,7407290000,0,3
807,7607200029,0,3
808,2920900000,0,0
809,2710119000,0,3
810,2103909099,0,3
811,3301120000,0,0
812,3305900000,0,3
813,5603110000,0,3
814,7321900000,1,3
815,2828100000,0,3
816,3926909099,1,3
817,8471600061,0,0
818,3902300000,1,3
819,8539490000,0,3
820,6208990000,0,0
821,4805400000,0,3
822,4703210000,0,0
823,2811220000,1,3
824,2309909000,0,3
825,3811900000,0,3
826,8540400000,0,0
827,8413912000,0,3
828,8474390000,0,3
829,1905311190,0,0
830,8512200019,0,3
831,2929100000,0,3
832,8704239100,0,3
833,8408101101,0,3
834,8542319020,0,3
835,9027905009,0,3
836,8516808000,0,3
837,6403993300,0,3
838,8204120000,0,3
839,8529902090,0,3
840,8440103000,0,3
841,8480710000,0,3
842,3819000000,0,3
843,8483902000,0,3
844,7304318000,0,3
845,4009220090,0,3
846,8703239092,1,3
847,8432299000,0,3
848,3926200090,0,3
849,4415209000,0,0
850,8480790000,0,3
851,6104530009,0,0
852,3923309000,0,3
853,8208200000,0,0
854,5208330000,0,3
855,7214993910,0,3
856,7009100009,0,3
857,9401800010,0,0
858,6211120029,0,3
859,5408310001,0,0
860,3105100009,0,0
861,3402209009,0,3
862,8209008009,0,0
863,6203499099,0,3
864,7106920090,0,3
865,8539390099,0,3
866,8466937000,0,3
867,8483908900,1,3
868,8471490000,0,3
869,8701200000,1,3
870,8547100000,0,3
871,8479890000,1,3
872,5609000010,0,3
873,8803900000,0,3
874,7307111000,0,3
875,8523290000,0,3
876,8476900000,0,3
877,8720000000,1,3
878,3926200000,0,3
879,4805190000,0,0
880,8708920000,0,3
881,7212400000,0,0
882,8418500059,0,3
883,5509250000,0,3
884,3702100000,0,3
885,8455210000,1,3
886,8471490049,0,3
887,1107100000,0,3
888,9026200000,0,3
889,8414590000,0,3
890,9405100000,1,3
891,3925300000,0,3
892,2908990000,0,3
893,2905140000,0,3
894,8704100019,1,3
895,5205310000,0,0
896,3903300000,1,3
897,8482200000,0,0
898,4016995702,0,3
899,4410119000,0,3
900,4418400000,1,3
901,8420918000,0,0
902,6216000099,0,3
903,8205700000,0,3
904,702000000,0,3
905,8544499590,0,3
906,5209220000,0,3
907,2927000000,0,3
908,9603909100,0,3
909,5205240009,0,3
910,8536699010,0,2
911,4202921110,0,3
912,4819200090,0,3
913,4911910003,0,0
914,6908909999,0,3
915,9403301109,0,0
916,4823400000,0,3
917,3204170000,0,3
918,8518900001,0,3
919,8414808091,0,3
920,8413702990,0,0
921,8708299002,0,2
922,8414801910,0,3
923,8301700090,0,3
924,8407321009,0,3
925,8501522090,0,0
926,3102600000,0,0
927,9503002910,0,0
928,9018908420,0,3
929,8452290000,0,3
930,8477510000,0,3
931,4805250000,0,3
932,6402120013,0,3
933,3823110000,0,3
934,2516900000,0,0
935,7013370000,1,3
936,8711901000,0,3
937,8525800000,0,3
938,2009110012,0,3
939,8479900000,1,3
940,4905990000,0,3
941,8514200000,0,3
942,3215110013,0,3
943,3206420000,0,3
944,8711309000,0,3
945,5911900000,0,3
946,9018500000,0,3
947,2500000000,0,3
948,8716310000,2,3
949,8536501199,0,0
950,1209294504,0,3
951,4814200000,0,3
952,1905319990,0,3
953,3917390009,0,3
954,9027809909,0,0
955,9503003011,0,3
956,8704219961,0,0
957,8504403019,0,3
958,8471705000,1,2
959,2208304101,0,3
960,8203300000,1,3
961,8418910000,0,0
962,8541409009,0,3
963,4811419010,0,3
964,8703319012,0,3
965,5911329000,0,3
966,3005100001,0,3
967,5806329090,0,0
968,2912420000,0,0
969,8467990090,0,3
970,8418509000,0,3
971,5408340000,0,3
972,7404009109,0,3
973,2905490002,0,0
974,8511400009,1,2
975,8426200000,0,0
976,4811419090,0,0
977,8518210090,0,3
978,3215110000,0,3
979,8483402900,0,2
980,1005900000,0,3
981,6203339009,0,3
982,5401101800,0,3
983,8414801110,0,0
984,2827398599,0,3
985,8501320009,0,0
986,8544420000,0,3
987,3919100000,0,3
988,2917320000,0,3
989,8438100000,0,3
990,8215990000,1,3
991,910990000,0,3
992,8424890000,0,3
993,7219310000,1,3
994,8415100019,0,3
995,1701999000,0,3
996,8429200000,1,3
997,4911999099,1,3
998,2915700000,0,3
999,3917390000,0,3
1000,8702101114,1,3
1001,8703241135,0,3
1002,8504220000,0,3
1003,7607190011,0,3
1004,2106909099,0,2
1005,9026202009,0,3
1006,4202221000,0,3
1007,8308900020,0,3
1008,8536619090,0,3
1009,8502120000,0,3
1010,6302600010,0,3
1011,6202131008,0,0
1012,8460409000,0,3
1013,8544421010,0,3
1014,8544499510,0,0
1015,4908900010,0,0
1016,7210128009,0,3
1017,7318169990,0,3
1018,3901209000,0,2
1019,1302197009,0,3
1020,3918900010,0,3
1021,8451500009,0,0
1022,8511400001,0,3
1023,3802100000,1,3
1024,6107210001,0,2
1025,6406905000,0,3
1026,8704311114,0,3
1027,3213100000,0,3
1028,2916120000,1,3
1029,8716399000,0,3
1030,603900000,0,3
1031,9018490000,0,3
1032,9405500000,0,2
1033,5516910000,0,3
1034,6910900000,0,3
1035,2207100000,0,3
1036,2523900000,0,3
1037,8452100000,0,3
1038,8531900000,0,3
1039,9027800000,0,3
1040,3808911099,1,3
1041,8705100000,0,3
1042,7217200021,0,3
1043,8527199000,1,3
1044,8703241126,0,3
1045,8529100000,1,3
1046,8447202009,0,3
1047,2703000009,0,3
1048,6907908091,0,3
1049,3920491000,0,3
1050,8302419004,0,0
1051,8703249090,0,3
1052,2403999005,0,3
1053,7005293509,0,2
1054,8504408200,1,3
1055,3910000090,0,3
1056,8511800009,0,3
1057,8207703701,0,3
1058,7403190000,0,3
1059,7019310000,0,3
1060,8483308009,0,2
1061,9405102100,0,0
1062,8506109100,0,0
1063,4823908591,0,0
1064,5603921000,0,3
1065,7415210000,0,3
1066,5201001009,0,3
1067,5906910000,0,3
1068,9608101090,0,3
1069,2710192593,0,2
1070,8202992009,0,0
1071,8704229195,0,3
1072,8413910009,0,3
1073,9030201000,0,3
1074,2905190099,0,3
1075,8537209902,0,3
1076,4810998099,0,3
1077,810500000,0,0
1078,3005909909,0,0
1079,8906900000,0,3
1080,8703241230,0,3
1081,2903120000,1,3
1082,8704211924,1,3
1083,8704321118,1,3
1084,9210000000,1,3
1085,4011610000,0,0
1086,7308400000,0,3
1087,6905100000,0,3
1088,8416100000,0,0
1089,3700000000,0,3
1090,2915900000,0,3
1091,8414900000,0,3
1092,5901100000,2,3
1093,7307990000,1,3
1094,7005210000,1,3
1095,3502200000,0,3
1096,8708999794,0,2
1097,6104620008,0,3
1098,8512200099,0,0
1099,5112110009,0,3
1100,8483608002,0,0
1101,8529909221,0,0
1102,9018908490,0,3
1103,6307909804,0,3
1104,9403609009,0,0
1105,8479810001,0,3
1106,7318121000,0,0
1107,8424309000,0,3
1108,8511900001,0,3
1109,9024809009,0,0
1110,6204420009,0,3
1111,7208512000,0,3
1112,5801220002,0,0
1113,3809920000,0,3
1114,7320208199,0,2
1115,5601229010,0,3
1116,2710199921,1,3
1117,3923509001,0,3
1118,8424300100,0,0
1119,3307490009,0,3
1120,5403410001,0,3
1121,7307991000,0,3
1122,9015809309,0,3
1123,5208310000,0,2
1124,9026102909,0,3
1125,8515110000,0,3
1126,6307200000,0,3
1127,8302300000,0,3
1128,8482300000,0,3
1129,4902900000,1,3
1130,305590054,1,3
1131,8431430000,1,3
1132,8481100000,0,3
1133,1901200000,0,0
1134,2922420043,0,3
1135,8414300000,1,3
1136,8418100011,0,3
1137,4418200000,0,3
1138,3207100000,0,3
1139,8471500059,0,3
1140,4810130019,0,3
1141,8712000019,0,0
1142,8711909000,1,3
1143,4202110010,0,3
1144,8419191000,0,3
1145,4805240000,1,3
1146,2836500000,1,3
1147,2009490044,0,3
1148,8711209000,0,3
1149,4009310000,0,0
1150,9207100000,0,3
1151,2004100000,0,3
1152,8539100000,0,3
1153,3924909000,0,3
1154,9603401000,0,3
1155,8484900090,0,0
1156,4823904090,0,3
1157,4801000001,0,2
1158,2302309001,0,3
1159,6212109098,0,3
1160,8508600000,0,0
1161,8443999040,2,2
1162,7319400000,0,3
1163,7013990098,0,3
1164,8507102000,0,0
1165,7013379199,0,2
1166,3301299112,0,3
1167,8704219950,1,3
1168,5911909099,0,3
1169,8539299898,0,3
1170,2833240000,0,3
1171,3907911000,0,2
1172,8007008099,0,3
1173,8302419009,0,3
1174,6203431109,0,0
1175,7318155950,0,0
1176,3305100000,1,3
1177,6102909091,0,3
1178,9405990094,0,0
1179,8419818090,0,3
1180,5804109000,1,3
1181,8544429020,0,3
1182,3907209900,0,3
1183,4203291000,0,3
1184,4002910000,0,3
1185,1901100030,0,0
1186,6115950000,0,3
1187,3909300090,0,3
1188,3824909693,0,3
1189,3920202100,1,3
1190,8545200000,0,3
1191,8502110011,0,3
1192,7307290029,0,3
1193,8415100011,0,3
1194,4803000011,0,3
1195,7208900000,0,3
1196,8420910000,0,0
1197,6402990095,0,3
1198,8539390000,0,3
1199,3907400000,0,3
1200,8305900000,0,3
1201,402102900,0,3
1202,1701110000,0,3
1203,7216210000,0,3
1204,4802100000,0,3
1205,6810190000,1,3
1206,2815110000,0,3
1207,401503190,0,0
1208,8514400000,0,0
1209,4410111000,0,3
1210,4107999090,0,3
1211,4810298020,0,0
1212,4205001909,0,3
1213,8311900001,0,3
1214,8484900010,0,2
1215,4114101000,0,0
1216,3824909695,0,3
1217,5205230009,0,3
1218,8462299100,0,3
1219,4805932000,0,0
1220,5205120001,0,3
1221,406902300,0,3
1222,8523519110,0,3
1223,9606210000,0,2
1224,8703329093,0,2
1225,4906000000,0,3
1226,7320208590,0,3
1227,8544429093,0,3
1228,6109902005,0,3
1229,4015190009,0,3
1230,5804299000,0,0
1231,8704219150,0,3
1232,6211321009,0,3
1233,5208420000,0,0
1234,2915210000,0,3
1235,6903209010,0,3
1236,8425390090,0,0
1237,9026108909,0,0
1238,8531908500,0,0
1239,8467295900,0,3
1240,3307200000,0,3
1241,7607111900,0,3
1242,9506620000,1,3
1243,2907220000,0,3
