IMPORTER.TIN&&ORIGIN.CODE,IMPORTER.TIN&&ORIGIN.CODE_illicit_sum,IMPORTER.TIN&&ORIGIN.CODE_illicit_rate
IMP110489&&CNTRY759,3,0.0625
IMP110489&&CNTRY819,0,0.0
IMP110489&&CNTRY825,0,0.0
IMP110489&&CNTRY830,0,0.0
IMP110489&&CNTRY881,0,0.0
IMP110489&&CNTRY884,1,0.125
IMP110489&&CNTRY919,1,1.0
IMP110489&&CNTRY994,0,0.0
IMP110518&&CNTRY376,0,0.0
IMP110562&&CNTRY168,0,0.0
IMP110562&&CNTRY615,0,0.0
IMP110562&&CNTRY859,0,0.0
IMP110592&&CNTRY328,0,0.0
IMP110592&&CNTRY615,1,1.0
IMP110592&&CNTRY759,0,0.0
IMP110602&&CNTRY343,0,0.0
IMP110602&&CNTRY680,0,0.0
IMP110602&&CNTRY765,0,0.0
IMP110637&&CNTRY376,0,0.0
IMP110695&&CNTRY576,0,0.0
IMP110695&&CNTRY759,0,0.0
IMP110787&&CNTRY863,1,1.0
IMP110787&&CNTRY881,0,0.0
IMP110861&&CNTRY454,0,0.0
IMP110862&&CNTRY759,0,0.0
IMP110877&&CNTRY252,1,1.0
IMP110917&&CNTRY576,1,1.0
IMP111414&&CNTRY168,1,1.0
IMP111414&&CNTRY376,0,0.0
IMP111414&&CNTRY759,1,1.0
IMP111414&&CNTRY859,1,1.0
IMP111414&&CNTRY988,0,0.0
IMP111420&&CNTRY276,1,1.0
IMP111441&&CNTRY113,0,0.0
IMP111441&&CNTRY680,0,0.0
IMP111521&&CNTRY680,0,0.0
IMP111521&&CNTRY713,0,0.0
IMP111521&&CNTRY759,0,0.0
IMP111521&&CNTRY881,0,0.0
IMP111528&&CNTRY334,0,0.0
IMP111528&&CNTRY364,0,0.0
IMP111528&&CNTRY615,0,0.0
IMP111528&&CNTRY759,1,1.0
IMP111528&&CNTRY825,0,0.0
IMP111528&&CNTRY884,0,0.0
IMP111528&&CNTRY919,0,0.0
IMP111588&&CNTRY975,0,0.0
IMP111712&&CNTRY770,0,0.0
IMP111712&&CNTRY884,1,1.0
IMP111744&&CNTRY263,1,1.0
IMP111744&&CNTRY277,0,0.0
IMP111744&&CNTRY317,0,0.0
IMP111744&&CNTRY680,0,0.0
IMP111744&&CNTRY759,0,0.0
IMP111744&&CNTRY859,1,1.0
IMP111744&&CNTRY917,0,0.0
IMP111751&&CNTRY785,1,1.0
IMP111951&&CNTRY891,1,1.0
IMP112053&&CNTRY866,0,0.0
IMP112111&&CNTRY759,0,0.0
IMP112187&&CNTRY393,0,0.0
IMP112187&&CNTRY562,1,0.5
IMP112187&&CNTRY615,0,0.0
IMP112187&&CNTRY680,0,0.0
IMP112307&&CNTRY884,0,0.0
IMP112394&&CNTRY168,0,0.0
IMP112394&&CNTRY680,0,0.0
IMP112686&&CNTRY264,0,0.0
IMP112686&&CNTRY278,0,0.0
IMP112686&&CNTRY389,0,0.0
IMP112686&&CNTRY527,0,0.0
IMP112686&&CNTRY615,0,0.0
IMP112686&&CNTRY759,0,0.0
IMP112686&&CNTRY994,0,0.0
IMP112688&&CNTRY138,0,0.0
IMP112688&&CNTRY215,0,0.0
IMP112688&&CNTRY277,0,0.0
IMP112688&&CNTRY321,0,0.0
IMP112688&&CNTRY349,0,0.0
IMP112688&&CNTRY376,0,0.0
IMP112688&&CNTRY407,0,0.0
IMP112688&&CNTRY454,0,0.0
IMP112688&&CNTRY562,0,0.0
IMP112688&&CNTRY615,2,0.2857142857142857
IMP112688&&CNTRY622,0,0.0
IMP112688&&CNTRY680,1,0.017857142857142856
IMP112688&&CNTRY713,0,0.0
IMP112688&&CNTRY745,0,0.0
IMP112688&&CNTRY759,0,0.0
IMP112688&&CNTRY846,0,0.0
IMP112688&&CNTRY859,0,0.0
IMP112688&&CNTRY884,0,0.0
IMP112688&&CNTRY975,1,1.0
IMP112688&&CNTRY994,0,0.0
IMP112691&&CNTRY328,0,0.0
IMP112691&&CNTRY376,0,0.0
IMP112691&&CNTRY409,0,0.0
IMP112691&&CNTRY454,0,0.0
IMP112691&&CNTRY562,1,0.3333333333333333
IMP112691&&CNTRY615,0,0.0
IMP112691&&CNTRY656,1,1.0
IMP112691&&CNTRY680,1,0.045454545454545456
IMP112691&&CNTRY759,0,0.0
IMP112691&&CNTRY825,0,0.0
IMP112691&&CNTRY859,0,0.0
IMP112691&&CNTRY881,1,1.0
IMP112691&&CNTRY884,0,0.0
IMP112691&&CNTRY920,0,0.0
IMP112691&&CNTRY995,0,0.0
IMP112738&&CNTRY334,0,0.0
IMP112738&&CNTRY615,1,1.0
IMP112738&&CNTRY930,0,0.0
IMP112882&&CNTRY316,0,0.0
IMP112882&&CNTRY994,1,1.0
IMP112891&&CNTRY756,0,0.0
IMP112891&&CNTRY874,1,1.0
IMP112891&&CNTRY884,0,0.0
IMP112918&&CNTRY277,0,0.0
IMP112918&&CNTRY376,0,0.0
IMP112918&&CNTRY562,0,0.0
IMP112918&&CNTRY615,0,0.0
IMP112918&&CNTRY656,0,0.0
IMP112918&&CNTRY680,0,0.0
IMP112918&&CNTRY701,0,0.0
IMP112918&&CNTRY759,1,0.1
IMP112918&&CNTRY825,0,0.0
IMP112918&&CNTRY846,1,1.0
IMP112918&&CNTRY884,0,0.0
IMP112918&&CNTRY975,0,0.0
IMP112918&&CNTRY976,0,0.0
IMP112918&&CNTRY994,0,0.0
IMP112918&&CNTRY995,0,0.0
IMP113079&&CNTRY311,0,0.0
IMP113079&&CNTRY480,1,0.5
IMP113079&&CNTRY615,0,0.0
IMP113121&&CNTRY546,1,1.0
IMP113131&&CNTRY389,0,0.0
IMP113131&&CNTRY546,0,0.0
IMP113131&&CNTRY863,0,0.0
IMP113413&&CNTRY153,0,0.0
IMP113413&&CNTRY528,0,0.0
IMP113413&&CNTRY771,0,0.0
IMP113413&&CNTRY830,1,1.0
IMP113522&&CNTRY264,1,1.0
IMP113522&&CNTRY546,0,0.0
IMP113522&&CNTRY680,0,0.0
IMP113522&&CNTRY759,0,0.0
IMP113522&&CNTRY884,0,0.0
IMP113815&&CNTRY184,1,1.0
IMP113851&&CNTRY615,0,0.0
IMP113851&&CNTRY759,0,0.0
IMP113851&&CNTRY830,0,0.0
IMP113888&&CNTRY562,1,1.0
IMP113888&&CNTRY759,0,0.0
IMP113888&&CNTRY994,0,0.0
IMP114013&&CNTRY323,0,0.0
IMP114177&&CNTRY407,0,0.0
IMP114177&&CNTRY415,0,0.0
IMP114177&&CNTRY448,1,1.0
IMP114177&&CNTRY680,0,0.0
IMP114177&&CNTRY759,0,0.0
IMP114177&&CNTRY785,0,0.0
IMP114215&&CNTRY576,0,0.0
IMP114251&&CNTRY376,1,1.0
IMP114251&&CNTRY615,0,0.0
IMP114251&&CNTRY680,0,0.0
IMP114251&&CNTRY759,0,0.0
IMP114262&&CNTRY615,0,0.0
IMP114262&&CNTRY680,0,0.0
IMP114262&&CNTRY959,0,0.0
IMP114267&&CNTRY133,0,0.0
IMP114267&&CNTRY376,1,0.3333333333333333
IMP114267&&CNTRY429,0,0.0
IMP114267&&CNTRY680,0,0.0
IMP114267&&CNTRY713,0,0.0
IMP114267&&CNTRY748,0,0.0
IMP114305&&CNTRY153,1,1.0
IMP114349&&CNTRY398,1,1.0
IMP114372&&CNTRY759,0,0.0
IMP114372&&CNTRY917,1,1.0
IMP114372&&CNTRY976,0,0.0
IMP114480&&CNTRY680,0,0.0
IMP114581&&CNTRY680,0,0.0
IMP114581&&CNTRY830,0,0.0
IMP114639&&CNTRY277,0,0.0
IMP114639&&CNTRY376,0,0.0
IMP114639&&CNTRY759,0,0.0
IMP114639&&CNTRY873,1,1.0
IMP114639&&CNTRY976,0,0.0
IMP114754&&CNTRY139,0,0.0
IMP114754&&CNTRY759,0,0.0
IMP114823&&CNTRY140,0,0.0
IMP114823&&CNTRY680,1,1.0
IMP114857&&CNTRY277,0,0.0
IMP114857&&CNTRY846,1,1.0
IMP114858&&CNTRY376,0,0.0
IMP114988&&CNTRY881,1,1.0
IMP115035&&CNTRY276,1,1.0
IMP115044&&CNTRY873,0,0.0
IMP115079&&CNTRY364,1,1.0
IMP115079&&CNTRY615,0,0.0
IMP115117&&CNTRY385,0,0.0
IMP115117&&CNTRY680,0,0.0
IMP115292&&CNTRY830,0,0.0
IMP115292&&CNTRY881,1,1.0
IMP115292&&CNTRY920,0,0.0
IMP115292&&CNTRY939,1,1.0
IMP115340&&CNTRY409,0,0.0
IMP115355&&CNTRY277,0,0.0
IMP115355&&CNTRY311,1,1.0
IMP115355&&CNTRY376,0,0.0
IMP115394&&CNTRY748,1,1.0
IMP115605&&CNTRY764,0,0.0
IMP115605&&CNTRY917,0,0.0
IMP115605&&CNTRY920,0,0.0
IMP115624&&CNTRY975,0,0.0
IMP115642&&CNTRY316,1,1.0
IMP115642&&CNTRY376,1,1.0
IMP115642&&CNTRY930,0,0.0
IMP115712&&CNTRY113,0,0.0
IMP115712&&CNTRY277,0,0.0
IMP115712&&CNTRY376,0,0.0
IMP115712&&CNTRY454,0,0.0
IMP115712&&CNTRY562,0,0.0
IMP115712&&CNTRY576,0,0.0
IMP115712&&CNTRY653,0,0.0
IMP115712&&CNTRY680,0,0.0
IMP115712&&CNTRY701,0,0.0
IMP115712&&CNTRY759,0,0.0
IMP115712&&CNTRY825,0,0.0
IMP115712&&CNTRY830,0,0.0
IMP115712&&CNTRY846,0,0.0
IMP115734&&CNTRY150,0,0.0
IMP115734&&CNTRY276,1,1.0
IMP115928&&CNTRY171,1,1.0
IMP115928&&CNTRY389,0,0.0
IMP116006&&CNTRY276,0,0.0
IMP116006&&CNTRY277,0,0.0
IMP116006&&CNTRY562,0,0.0
IMP116006&&CNTRY615,0,0.0
IMP116006&&CNTRY680,0,0.0
IMP116006&&CNTRY759,0,0.0
IMP116038&&CNTRY376,0,0.0
IMP116231&&CNTRY959,0,0.0
IMP116541&&CNTRY140,0,0.0
IMP116640&&CNTRY756,0,0.0
IMP116640&&CNTRY759,0,0.0
IMP116670&&CNTRY138,0,0.0
IMP116670&&CNTRY473,0,0.0
IMP116670&&CNTRY554,0,0.0
IMP116670&&CNTRY747,0,0.0
IMP116670&&CNTRY837,0,0.0
IMP117192&&CNTRY262,0,0.0
IMP117287&&CNTRY150,0,0.0
IMP117342&&CNTRY113,0,0.0
IMP117342&&CNTRY215,0,0.0
IMP117406&&CNTRY184,0,0.0
IMP117406&&CNTRY277,0,0.0
IMP117406&&CNTRY284,0,0.0
IMP117406&&CNTRY311,0,0.0
IMP117406&&CNTRY316,0,0.0
IMP117406&&CNTRY321,0,0.0
IMP117406&&CNTRY376,0,0.0
IMP117406&&CNTRY407,0,0.0
IMP117406&&CNTRY454,0,0.0
IMP117406&&CNTRY615,0,0.0
IMP117406&&CNTRY680,1,0.025
IMP117406&&CNTRY759,0,0.0
IMP117406&&CNTRY825,1,1.0
IMP117406&&CNTRY884,0,0.0
IMP117406&&CNTRY988,0,0.0
IMP117673&&CNTRY316,1,1.0
IMP117673&&CNTRY562,1,1.0
IMP117708&&CNTRY153,1,1.0
IMP117708&&CNTRY262,0,0.0
IMP117708&&CNTRY278,0,0.0
IMP117708&&CNTRY284,1,1.0
IMP117708&&CNTRY378,1,1.0
IMP117708&&CNTRY656,0,0.0
IMP117708&&CNTRY680,0,0.0
IMP117708&&CNTRY747,1,1.0
IMP117895&&CNTRY759,0,0.0
IMP117973&&CNTRY615,0,0.0
IMP117973&&CNTRY759,0,0.0
IMP117973&&CNTRY884,0,0.0
IMP118044&&CNTRY278,0,0.0
IMP118044&&CNTRY334,0,0.0
IMP118044&&CNTRY376,0,0.0
IMP118044&&CNTRY393,0,0.0
IMP118044&&CNTRY680,1,0.5
IMP118044&&CNTRY759,0,0.0
IMP118044&&CNTRY881,0,0.0
IMP118216&&CNTRY317,0,0.0
IMP118216&&CNTRY454,0,0.0
IMP118216&&CNTRY562,0,0.0
IMP118216&&CNTRY576,0,0.0
IMP118216&&CNTRY680,0,0.0
IMP118216&&CNTRY713,0,0.0
IMP118216&&CNTRY884,0,0.0
IMP118216&&CNTRY994,0,0.0
IMP118294&&CNTRY376,0,0.0
IMP118294&&CNTRY994,0,0.0
IMP118321&&CNTRY317,1,1.0
IMP118321&&CNTRY819,0,0.0
IMP118321&&CNTRY874,1,1.0
IMP118334&&CNTRY759,1,1.0
IMP118334&&CNTRY881,0,0.0
IMP118491&&CNTRY133,1,1.0
IMP118491&&CNTRY262,0,0.0
IMP118491&&CNTRY376,0,0.0
IMP118491&&CNTRY454,0,0.0
IMP118491&&CNTRY562,0,0.0
IMP118491&&CNTRY759,0,0.0
IMP118500&&CNTRY262,0,0.0
IMP118500&&CNTRY759,0,0.0
IMP118629&&CNTRY713,0,0.0
IMP118631&&CNTRY215,0,0.0
IMP118631&&CNTRY378,0,0.0
IMP118631&&CNTRY398,0,0.0
IMP118631&&CNTRY454,0,0.0
IMP118631&&CNTRY652,1,1.0
IMP118808&&CNTRY150,0,0.0
IMP118992&&CNTRY615,0,0.0
IMP118992&&CNTRY759,0,0.0
IMP118992&&CNTRY959,0,0.0
IMP119037&&CNTRY321,1,1.0
IMP119037&&CNTRY759,0,0.0
IMP119037&&CNTRY959,1,1.0
IMP119202&&CNTRY234,0,0.0
IMP119202&&CNTRY277,1,1.0
IMP119202&&CNTRY554,0,0.0
IMP119202&&CNTRY562,0,0.0
IMP119299&&CNTRY759,0,0.0
IMP119457&&CNTRY747,1,1.0
IMP119457&&CNTRY884,0,0.0
IMP119502&&CNTRY562,0,0.0
IMP119718&&CNTRY376,0,0.0
IMP119811&&CNTRY113,0,0.0
IMP119811&&CNTRY139,0,0.0
IMP119811&&CNTRY881,0,0.0
IMP119886&&CNTRY389,1,1.0
IMP119886&&CNTRY859,0,0.0
IMP119886&&CNTRY920,0,0.0
IMP120213&&CNTRY562,0,0.0
IMP120213&&CNTRY759,0,0.0
IMP120262&&CNTRY680,0,0.0
IMP120339&&CNTRY644,0,0.0
IMP120339&&CNTRY680,0,0.0
IMP120339&&CNTRY765,0,0.0
IMP120345&&CNTRY276,0,0.0
IMP120345&&CNTRY284,1,1.0
IMP120345&&CNTRY448,0,0.0
IMP120345&&CNTRY659,0,0.0
IMP120345&&CNTRY680,0,0.0
IMP120345&&CNTRY747,0,0.0
IMP120456&&CNTRY764,0,0.0
IMP120456&&CNTRY874,0,0.0
IMP120631&&CNTRY171,0,0.0
IMP120631&&CNTRY215,0,0.0
IMP120631&&CNTRY252,0,0.0
IMP120631&&CNTRY263,0,0.0
IMP120631&&CNTRY264,0,0.0
IMP120631&&CNTRY277,0,0.0
IMP120631&&CNTRY284,0,0.0
IMP120631&&CNTRY311,0,0.0
IMP120631&&CNTRY316,1,1.0
IMP120631&&CNTRY317,0,0.0
IMP120631&&CNTRY321,0,0.0
IMP120631&&CNTRY376,2,0.02702702702702703
IMP120631&&CNTRY385,0,0.0
IMP120631&&CNTRY409,0,0.0
IMP120631&&CNTRY438,0,0.0
IMP120631&&CNTRY454,0,0.0
IMP120631&&CNTRY555,0,0.0
IMP120631&&CNTRY562,0,0.0
IMP120631&&CNTRY576,0,0.0
IMP120631&&CNTRY615,0,0.0
IMP120631&&CNTRY656,0,0.0
IMP120631&&CNTRY680,5,0.024752475247524754
IMP120631&&CNTRY713,0,0.0
IMP120631&&CNTRY747,0,0.0
IMP120631&&CNTRY759,2,0.014705882352941176
IMP120631&&CNTRY825,0,0.0
IMP120631&&CNTRY830,0,0.0
IMP120631&&CNTRY846,0,0.0
IMP120631&&CNTRY873,0,0.0
IMP120631&&CNTRY874,0,0.0
IMP120631&&CNTRY881,0,0.0
