OFFICE&&TARIFF.CODE,OFFICE&&TARIFF.CODE_illicit_sum,OFFICE&&TARIFF.CODE_illicit_rate
OFFICE100&&3206190000,0,0.0
OFFICE100&&3206497009,0,0.0
OFFICE100&&3207408501,0,0.0
OFFICE100&&3207408509,1,1.0
OFFICE100&&3208909919,0,0.0
OFFICE100&&3209900090,1,0.5
OFFICE100&&3210009019,0,0.0
OFFICE100&&3212100000,0,0.0
OFFICE100&&3214101091,0,0.0
OFFICE100&&3215110000,0,0.0
OFFICE100&&3215190000,0,0.0
OFFICE100&&3215900094,0,0.0
OFFICE100&&3302101001,0,0.0
OFFICE100&&3302109000,0,0.0
OFFICE100&&3303009092,0,0.0
OFFICE100&&3304200000,0,0.0
OFFICE100&&3304300001,0,0.0
OFFICE100&&3304990009,0,0.0
OFFICE100&&3305300000,0,0.0
OFFICE100&&3305900099,0,0.0
OFFICE100&&3306100000,0,0.0
OFFICE100&&3401110099,1,1.0
OFFICE100&&3401300000,1,1.0
OFFICE100&&3402209009,1,1.0
OFFICE100&&3405400000,0,0.0
OFFICE100&&3406000008,0,0.0
OFFICE100&&3407000021,1,1.0
OFFICE100&&3505109000,1,1.0
OFFICE100&&3506100000,0,0.0
OFFICE100&&3506910000,0,0.0
OFFICE100&&3506990099,0,0.0
OFFICE100&&3808929013,1,1.0
OFFICE100&&3809910000,0,0.0
OFFICE100&&3809920000,0,0.0
OFFICE100&&3810100001,0,0.0
OFFICE100&&3811290000,0,0.0
OFFICE100&&3814009001,1,0.25
OFFICE100&&3815199000,0,0.0
OFFICE100&&3816000000,0,0.0
OFFICE100&&3822000001,1,1.0
OFFICE100&&3822000009,0,0.0
OFFICE100&&3823199009,0,0.0
OFFICE100&&3824905000,0,0.0
OFFICE100&&3901209000,1,0.3333333333333333
OFFICE100&&3901903090,0,0.0
OFFICE100&&3903901090,0,0.0
OFFICE100&&3904220009,0,0.0
OFFICE100&&3905120000,1,1.0
OFFICE100&&3907300000,0,0.0
OFFICE100&&3907919000,0,0.0
OFFICE100&&3908100000,0,0.0
OFFICE100&&3909300090,1,0.5
OFFICE100&&3909501090,1,1.0
OFFICE100&&3915908009,0,0.0
OFFICE100&&3916901009,0,0.0
OFFICE100&&3916909009,0,0.0
OFFICE100&&3917229000,1,1.0
OFFICE100&&3917290000,1,1.0
OFFICE100&&3917320009,0,0.0
OFFICE100&&3917400000,1,0.5
OFFICE100&&3918900010,0,0.0
OFFICE100&&3919101900,2,0.6666666666666666
OFFICE100&&3919108000,1,0.16666666666666666
OFFICE100&&3919900000,0,0.0
OFFICE100&&3920102802,0,0.0
OFFICE100&&3920104008,0,0.0
OFFICE100&&3920202100,0,0.0
OFFICE100&&3920999000,0,0.0
OFFICE100&&3921120000,0,0.0
OFFICE100&&3921131000,0,0.0
OFFICE100&&3921190000,0,0.0
OFFICE100&&3921903000,0,0.0
OFFICE100&&3922900009,0,0.0
OFFICE100&&3923100000,0,0.0
OFFICE100&&3923210000,0,0.0
OFFICE100&&3923299030,0,0.0
OFFICE100&&3923299080,0,0.0
OFFICE100&&3923301000,0,0.0
OFFICE100&&3923509001,1,1.0
OFFICE100&&3923509009,0,0.0
OFFICE100&&3924900008,0,0.0
OFFICE100&&3925100090,0,0.0
OFFICE100&&3926300000,0,0.0
OFFICE100&&3926909229,1,0.0625
OFFICE100&&3926909239,0,0.0
OFFICE100&&3926909720,2,1.0
OFFICE100&&3926909771,0,0.0
OFFICE100&&3926909779,0,0.0
OFFICE100&&3926909780,0,0.0
OFFICE100&&3926909799,0,0.0
OFFICE100&&4002310000,0,0.0
OFFICE100&&4005990000,0,0.0
OFFICE100&&4008110000,0,0.0
OFFICE100&&4009210030,1,1.0
OFFICE100&&4009220090,0,0.0
OFFICE100&&4010320009,1,0.5
OFFICE100&&4010340000,0,0.0
OFFICE100&&4010390099,0,0.0
OFFICE100&&4011400093,0,0.0
OFFICE100&&4011620000,0,0.0
OFFICE100&&4012190000,0,0.0
OFFICE100&&4015190009,0,0.0
OFFICE100&&4015900000,1,0.3333333333333333
OFFICE100&&4016100000,0,0.0
OFFICE100&&4016910000,1,1.0
OFFICE100&&4016930000,0,0.0
OFFICE100&&4016995201,1,1.0
OFFICE100&&4016995209,0,0.0
OFFICE100&&4016995709,1,0.16666666666666666
OFFICE100&&4016999720,0,0.0
OFFICE100&&403109900,0,0.0
OFFICE100&&405101100,0,0.0
OFFICE100&&4107119099,0,0.0
OFFICE100&&4107129190,0,0.0
OFFICE100&&4113200000,0,0.0
OFFICE100&&4114200004,1,1.0
OFFICE100&&4202129909,1,1.0
OFFICE100&&4202321009,1,1.0
OFFICE100&&4202329009,1,1.0
OFFICE100&&4202921190,0,0.0
OFFICE100&&4202929190,0,0.0
OFFICE100&&4202990010,0,0.0
OFFICE100&&4205009099,0,0.0
OFFICE100&&4407109800,1,0.2
OFFICE100&&4407999100,0,0.0
OFFICE100&&4408908580,0,0.0
OFFICE100&&4410115000,1,1.0
OFFICE100&&4415202001,0,0.0
OFFICE100&&4415209000,0,0.0
OFFICE100&&4421909799,0,0.0
OFFICE100&&4707909000,1,0.5
OFFICE100&&4801000001,0,0.0
OFFICE100&&4802552530,0,0.0
OFFICE100&&4805910091,0,0.0
OFFICE100&&4805932000,0,0.0
OFFICE100&&4809901000,0,0.0
OFFICE100&&4810190000,0,0.0
OFFICE100&&4811419010,0,0.0
OFFICE100&&4811590080,0,0.0
OFFICE100&&4819100000,0,0.0
OFFICE100&&4819200090,0,0.0
OFFICE100&&4819500000,1,0.5
OFFICE100&&4820109000,0,0.0
OFFICE100&&4820400000,0,0.0
OFFICE100&&4821101000,0,0.0
OFFICE100&&4821109000,0,0.0
OFFICE100&&4821901000,0,0.0
OFFICE100&&4821909000,0,0.0
OFFICE100&&4822900090,0,0.0
OFFICE100&&4823200009,0,0.0
OFFICE100&&4823908593,0,0.0
OFFICE100&&4823908599,1,0.5
OFFICE100&&4908100020,1,1.0
OFFICE100&&4911101000,0,0.0
OFFICE100&&4911109099,0,0.0
OFFICE100&&4911910003,0,0.0
OFFICE100&&4911990091,0,0.0
OFFICE100&&4911990099,0,0.0
OFFICE100&&5007205910,1,1.0
OFFICE100&&5007206110,0,0.0
OFFICE100&&5111200009,1,1.0
OFFICE100&&5201009009,0,0.0
OFFICE100&&5203000000,0,0.0
OFFICE100&&5204200000,0,0.0
OFFICE100&&5205120001,0,0.0
OFFICE100&&5208190000,0,0.0
OFFICE100&&5208310000,0,0.0
OFFICE100&&5208510000,0,0.0
OFFICE100&&5209110000,0,0.0
OFFICE100&&5209210000,0,0.0
OFFICE100&&5209320000,0,0.0
OFFICE100&&5209390000,0,0.0
OFFICE100&&5209420000,0,0.0
OFFICE100&&5209520000,0,0.0
OFFICE100&&5210310009,0,0.0
OFFICE100&&5210410000,0,0.0
OFFICE100&&5211420000,0,0.0
OFFICE100&&5211590000,0,0.0
OFFICE100&&5401101200,0,0.0
OFFICE100&&5401101400,0,0.0
OFFICE100&&5401101600,0,0.0
OFFICE100&&5401201000,0,0.0
OFFICE100&&5402330000,1,0.07142857142857142
OFFICE100&&5402490000,0,0.0
OFFICE100&&5402520000,0,0.0
OFFICE100&&5403310001,0,0.0
OFFICE100&&5404190000,0,0.0
OFFICE100&&5407410000,0,0.0
OFFICE100&&5407510000,1,0.3333333333333333
OFFICE100&&5508101001,1,0.3333333333333333
OFFICE100&&5508101009,0,0.0
OFFICE100&&5513119000,0,0.0
OFFICE100&&5513210000,1,1.0
OFFICE100&&5513310000,0,0.0
OFFICE100&&5514420000,0,0.0
OFFICE100&&5514490000,0,0.0
OFFICE100&&5515111000,0,0.0
OFFICE100&&5515113000,0,0.0
OFFICE100&&5601300000,0,0.0
OFFICE100&&5602210000,1,1.0
OFFICE100&&5602290009,0,0.0
OFFICE100&&5603921000,0,0.0
OFFICE100&&5603929090,0,0.0
OFFICE100&&5603931000,0,0.0
OFFICE100&&5603949010,1,1.0
OFFICE100&&5604100000,0,0.0
OFFICE100&&5608193000,1,1.0
OFFICE100&&5801100019,0,0.0
OFFICE100&&5801100020,0,0.0
OFFICE100&&5801330009,0,0.0
OFFICE100&&5801909011,1,1.0
OFFICE100&&5804109000,0,0.0
OFFICE100&&5806200000,0,0.0
OFFICE100&&5806310090,0,0.0
OFFICE100&&5806321029,0,0.0
OFFICE100&&5806321090,0,0.0
OFFICE100&&5806329090,0,0.0
OFFICE100&&5807101010,0,0.0
OFFICE100&&5807101090,0,0.0
OFFICE100&&5807109010,0,0.0
OFFICE100&&5807901010,1,1.0
OFFICE100&&5807909010,0,0.0
OFFICE100&&5810929000,0,0.0
OFFICE100&&5811000010,0,0.0
OFFICE100&&5902109000,0,0.0
OFFICE100&&5903109000,0,0.0
OFFICE100&&5903209000,0,0.0
OFFICE100&&5903909900,0,0.0
OFFICE100&&5907000090,0,0.0
OFFICE100&&5911100010,1,0.5
OFFICE100&&5911200000,0,0.0
OFFICE100&&5911400000,0,0.0
OFFICE100&&5911909099,0,0.0
OFFICE100&&6004100000,0,0.0
OFFICE100&&6006220000,0,0.0
OFFICE100&&6006329000,1,0.5
OFFICE100&&6101908098,0,0.0
OFFICE100&&6102901099,1,1.0
OFFICE100&&6104320009,0,0.0
OFFICE100&&6104430009,1,1.0
OFFICE100&&6104520009,0,0.0
OFFICE100&&6104530009,0,0.0
OFFICE100&&6104630008,0,0.0
OFFICE100&&6105100001,0,0.0
OFFICE100&&6105100009,0,0.0
OFFICE100&&6105909099,1,1.0
OFFICE100&&6107190099,0,0.0
OFFICE100&&6107210001,0,0.0
OFFICE100&&6108220003,1,1.0
OFFICE100&&6108310007,0,0.0
OFFICE100&&6109100001,0,0.0
OFFICE100&&6109902006,0,0.0
OFFICE100&&6110111009,0,0.0
OFFICE100&&6110209909,0,0.0
OFFICE100&&6110309902,0,0.0
OFFICE100&&6111209000,0,0.0
OFFICE100&&6115950000,1,1.0
OFFICE100&&6116108000,0,0.0
OFFICE100&&6117100090,0,0.0
OFFICE100&&6117801019,0,0.0
OFFICE100&&6117808099,0,0.0
OFFICE100&&6117900009,0,0.0
OFFICE100&&6201920009,0,0.0
OFFICE100&&6201990099,0,0.0
OFFICE100&&6202990099,0,0.0
OFFICE100&&6203191001,0,0.0
OFFICE100&&6203228001,0,0.0
OFFICE100&&6203329009,0,0.0
OFFICE100&&6203429001,0,0.0
OFFICE100&&6204238009,0,0.0
OFFICE100&&6204391909,0,0.0
OFFICE100&&6204420001,0,0.0
OFFICE100&&6204440001,0,0.0
OFFICE100&&6204520009,0,0.0
OFFICE100&&6204621109,0,0.0
OFFICE100&&6204623901,0,0.0
OFFICE100&&6204623909,0,0.0
OFFICE100&&6204625909,0,0.0
OFFICE100&&6204629009,0,0.0
OFFICE100&&6204631809,0,0.0
OFFICE100&&6205200009,0,0.0
OFFICE100&&6205908098,0,0.0
OFFICE100&&6208190098,1,0.5
OFFICE100&&6208910008,0,0.0
OFFICE100&&6209909090,1,1.0
OFFICE100&&6210101004,0,0.0
OFFICE100&&6211110099,0,0.0
OFFICE100&&6211331003,0,0.0
OFFICE100&&6211339007,0,0.0
OFFICE100&&6211434203,1,1.0
OFFICE100&&6212900092,1,1.0
OFFICE100&&6214900009,0,0.0
OFFICE100&&6217100002,0,0.0
OFFICE100&&6217100003,0,0.0
OFFICE100&&6217100009,1,0.5
OFFICE100&&6217900003,0,0.0
OFFICE100&&6217900009,0,0.0
OFFICE100&&6302939009,0,0.0
OFFICE100&&6304990009,1,1.0
OFFICE100&&6305339009,0,0.0
OFFICE100&&6307109009,0,0.0
OFFICE100&&6307909809,0,0.0
OFFICE100&&6309000002,1,0.058823529411764705
OFFICE100&&6310100010,0,0.0
OFFICE100&&6402190000,0,0.0
OFFICE100&&6402990500,0,0.0
OFFICE100&&6402999600,1,1.0
OFFICE100&&6403911100,0,0.0
OFFICE100&&6403911800,0,0.0
OFFICE100&&6403990500,0,0.0
OFFICE100&&6404199009,1,1.0
OFFICE100&&6405209100,1,1.0
OFFICE100&&6406101002,0,0.0
OFFICE100&&6406201000,0,0.0
OFFICE100&&6406209000,0,0.0
OFFICE100&&6406905000,0,0.0
OFFICE100&&6406909099,0,0.0
OFFICE100&&6506910000,0,0.0
OFFICE100&&6601910090,0,0.0
OFFICE100&&6702900001,0,0.0
OFFICE100&&6802910003,0,0.0
OFFICE100&&6802920000,0,0.0
OFFICE100&&6802999000,0,0.0
OFFICE100&&6804230000,1,1.0
OFFICE100&&6805200000,1,0.5
OFFICE100&&6813810000,0,0.0
OFFICE100&&6815109000,0,0.0
OFFICE100&&6908909999,0,0.0
OFFICE100&&6909190090,0,0.0
OFFICE100&&6912003008,0,0.0
OFFICE100&&7007198000,1,1.0
OFFICE100&&7007212010,0,0.0
OFFICE100&&7009100001,0,0.0
OFFICE100&&7010909999,0,0.0
OFFICE100&&7013379199,0,0.0
OFFICE100&&7013379999,0,0.0
OFFICE100&&7013419009,0,0.0
OFFICE100&&7019320000,0,0.0
OFFICE100&&7019390000,0,0.0
OFFICE100&&7019900000,0,0.0
OFFICE100&&7117190030,1,1.0
OFFICE100&&7117900006,0,0.0
OFFICE100&&7202118000,0,0.0
OFFICE100&&7205210000,0,0.0
OFFICE100&&7209189900,0,0.0
OFFICE100&&7214993100,0,0.0
OFFICE100&&7214993910,0,0.0
OFFICE100&&7216210090,0,0.0
OFFICE100&&7217203010,0,0.0
OFFICE100&&7217203090,0,0.0
OFFICE100&&7304193000,0,0.0
OFFICE100&&7307929000,1,1.0
OFFICE100&&7308200000,0,0.0
OFFICE100&&7318149900,0,0.0
OFFICE100&&7318151090,1,1.0
OFFICE100&&7318154990,0,0.0
OFFICE100&&7318159050,0,0.0
OFFICE100&&7318169990,1,0.5
OFFICE100&&7318210000,0,0.0
OFFICE100&&7318220000,0,0.0
OFFICE100&&7318240000,0,0.0
OFFICE100&&7318290009,0,0.0
OFFICE100&&7320208191,0,0.0
OFFICE100&&7320208199,0,0.0
OFFICE100&&7320208910,0,0.0
OFFICE100&&7320208999,1,1.0
OFFICE100&&7320901000,0,0.0
OFFICE100&&7320909000,0,0.0
OFFICE100&&7321119091,0,0.0
OFFICE100&&7321900030,0,0.0
OFFICE100&&7322190009,0,0.0
OFFICE100&&7324900020,0,0.0
OFFICE100&&7325999009,1,1.0
OFFICE100&&7326199009,0,0.0
OFFICE100&&7326904000,0,0.0
OFFICE100&&7326909449,1,0.5
OFFICE100&&7326909811,0,0.0
OFFICE100&&7326909889,1,0.02
OFFICE100&&7404009900,0,0.0
OFFICE100&&7407100000,1,1.0
OFFICE100&&7407211000,0,0.0
OFFICE100&&7408210000,1,0.5
OFFICE100&&7411211000,0,0.0
OFFICE100&&7411290000,0,0.0
OFFICE100&&7412200000,0,0.0
OFFICE100&&7415330009,1,1.0
OFFICE100&&7419999099,0,0.0
OFFICE100&&7601202000,1,1.0
OFFICE100&&7601208000,0,0.0
OFFICE100&&7604101090,1,1.0
OFFICE100&&7604299000,1,0.5
OFFICE100&&7605290000,1,1.0
OFFICE100&&7606129900,0,0.0
OFFICE100&&7607191010,0,0.0
OFFICE100&&7607209010,0,0.0
OFFICE100&&7615108006,0,0.0
OFFICE100&&7616999099,1,0.07142857142857142
OFFICE100&&8003000010,0,0.0
OFFICE100&&8003000080,1,1.0
OFFICE100&&804100009,0,0.0
OFFICE100&&808108009,0,0.0
OFFICE100&&8202200009,0,0.0
OFFICE100&&8202310009,0,0.0
OFFICE100&&8202998009,0,0.0
OFFICE100&&8203100000,0,0.0
OFFICE100&&8203200003,0,0.0
OFFICE100&&8203200004,0,0.0
OFFICE100&&8203300000,1,1.0
OFFICE100&&8203400000,0,0.0
OFFICE100&&8205598005,0,0.0
OFFICE100&&8205598009,0,0.0
OFFICE100&&8207209000,0,0.0
OFFICE100&&8207309000,0,0.0
OFFICE100&&8207509000,1,0.5
OFFICE100&&8207701000,0,0.0
OFFICE100&&8207709000,0,0.0
OFFICE100&&8207909900,0,0.0
OFFICE100&&8208900090,0,0.0
OFFICE100&&8209002009,0,0.0
OFFICE100&&8210000000,0,0.0
OFFICE100&&8212109090,0,0.0
OFFICE100&&8215991003,0,0.0
OFFICE100&&8301409009,0,0.0
OFFICE100&&8301600009,0,0.0
OFFICE100&&8301700090,0,0.0
OFFICE100&&8302100009,0,0.0
OFFICE100&&8302420004,0,0.0
OFFICE100&&8302420009,1,1.0
OFFICE100&&8302490009,0,0.0
OFFICE100&&8302600000,0,0.0
OFFICE100&&8304000000,0,0.0
OFFICE100&&8307100009,0,0.0
OFFICE100&&8307900009,1,1.0
OFFICE100&&8308200009,0,0.0
OFFICE100&&8308900020,0,0.0
OFFICE100&&8309909030,0,0.0
OFFICE100&&8311200000,1,1.0
OFFICE100&&8311300000,1,1.0
OFFICE100&&8403101092,0,0.0
OFFICE100&&8407219909,0,0.0
OFFICE100&&8408101101,1,0.5
OFFICE100&&8408902710,0,0.0
OFFICE100&&8409910003,0,0.0
OFFICE100&&8409910009,0,0.0
OFFICE100&&8409990001,1,1.0
OFFICE100&&8409990009,1,0.030303030303030304
OFFICE100&&8412310000,1,1.0
OFFICE100&&8413302000,0,0.0
OFFICE100&&8413308010,0,0.0
OFFICE100&&8413308099,1,0.3333333333333333
OFFICE100&&8413702990,0,0.0
OFFICE100&&8413810010,0,0.0
OFFICE100&&8413810090,0,0.0
OFFICE100&&8413910003,1,1.0
OFFICE100&&8413910009,0,0.0
OFFICE100&&8414308900,0,0.0
OFFICE100&&8414594090,0,0.0
OFFICE100&&8414598010,1,0.5
OFFICE100&&8414802220,0,0.0
OFFICE100&&8414808091,1,0.5
OFFICE100&&8416101010,1,1.0
OFFICE100&&8418690020,0,0.0
OFFICE100&&8418690040,1,1.0
OFFICE100&&8418690080,1,1.0
OFFICE100&&8418999039,0,0.0
OFFICE100&&8418999091,1,1.0
OFFICE100&&8419818090,0,0.0
OFFICE100&&8419899899,0,0.0
OFFICE100&&8421230000,0,0.0
OFFICE100&&8421290010,0,0.0
OFFICE100&&8421310000,0,0.0
OFFICE100&&8421392000,2,0.1
OFFICE100&&8421990010,0,0.0
OFFICE100&&8421990020,0,0.0
OFFICE100&&8421990090,0,0.0
OFFICE100&&8422909000,0,0.0
OFFICE100&&8423815009,0,0.0
OFFICE100&&8424100000,0,0.0
OFFICE100&&8424200000,0,0.0
OFFICE100&&8424300100,0,0.0
OFFICE100&&8424890010,0,0.0
OFFICE100&&8426990099,0,0.0
OFFICE100&&8429590000,1,1.0
OFFICE100&&8431430000,0,0.0
OFFICE100&&8436210000,0,0.0
OFFICE100&&8440900000,0,0.0
OFFICE100&&8441107000,0,0.0
OFFICE100&&8441800000,1,1.0
OFFICE100&&8442502099,0,0.0
OFFICE100&&8443197009,0,0.0
OFFICE100&&8443321020,0,0.0
OFFICE100&&8443321090,1,1.0
OFFICE100&&8443919990,0,0.0
OFFICE100&&8443999040,0,0.0
OFFICE100&&8451300000,0,0.0
OFFICE100&&8451500009,0,0.0
OFFICE100&&8452300000,0,0.0
OFFICE100&&8452900009,1,0.05
OFFICE100&&8453200000,0,0.0
OFFICE100&&8460409000,1,1.0
OFFICE100&&8462299800,0,0.0
OFFICE100&&8465960090,0,0.0
OFFICE100&&8466940000,0,0.0
OFFICE100&&8467221000,0,0.0
OFFICE100&&8467223000,0,0.0
OFFICE100&&8467295900,0,0.0
OFFICE100&&8471410000,0,0.0
OFFICE100&&8471607002,0,0.0
OFFICE100&&8471705000,0,0.0
OFFICE100&&8471900009,0,0.0
OFFICE100&&8472907092,0,0.0
OFFICE100&&8473291000,0,0.0
OFFICE100&&8473302009,0,0.0
OFFICE100&&8473308000,0,0.0
OFFICE100&&8473508000,0,0.0
OFFICE100&&8477908000,0,0.0
OFFICE100&&8479810001,0,0.0
OFFICE100&&8479899799,0,0.0
OFFICE100&&8479902000,1,1.0
OFFICE100&&8479908000,0,0.0
OFFICE100&&8480710000,0,0.0
OFFICE100&&8481101920,0,0.0
OFFICE100&&8481201000,0,0.0
OFFICE100&&8481309909,0,0.0
OFFICE100&&8481401000,0,0.0
OFFICE100&&8481409000,0,0.0
OFFICE100&&8481805900,0,0.0
OFFICE100&&8481806990,0,0.0
OFFICE100&&8481808100,1,1.0
OFFICE100&&8481809998,0,0.0
OFFICE100&&8481900090,1,0.5
OFFICE100&&8482101000,0,0.0
OFFICE100&&8482200000,0,0.0
OFFICE100&&8482919000,1,0.5
OFFICE100&&8482990002,0,0.0
OFFICE100&&8483109509,1,0.5
OFFICE100&&8483303800,0,0.0
OFFICE100&&8483308009,1,0.25
OFFICE100&&8483405990,0,0.0
OFFICE100&&8483409009,0,0.0
OFFICE100&&8483502009,0,0.0
OFFICE100&&8483508002,0,0.0
OFFICE100&&8483608002,0,0.0
OFFICE100&&8483902000,1,1.0
OFFICE100&&8483908900,2,0.2857142857142857
OFFICE100&&8484900090,0,0.0
OFFICE100&&8486400010,0,0.0
OFFICE100&&8487909009,0,0.0
OFFICE100&&8501310001,1,0.06666666666666667
OFFICE100&&8501523010,0,0.0
OFFICE100&&8501529010,0,0.0
OFFICE100&&8504318090,0,0.0
OFFICE100&&8504403019,0,0.0
OFFICE100&&8504403080,0,0.0
OFFICE100&&8504408800,0,0.0
OFFICE100&&8504409090,0,0.0
OFFICE100&&8504509509,0,0.0
OFFICE100&&8504901809,0,0.0
OFFICE100&&8505110000,1,1.0
OFFICE100&&8505199000,0,0.0
OFFICE100&&8506109100,0,0.0
OFFICE100&&8507108000,0,0.0
OFFICE100&&8507600000,0,0.0
OFFICE100&&8507800000,1,1.0
OFFICE100&&8508190010,0,0.0
OFFICE100&&8509900009,0,0.0
OFFICE100&&8511100000,1,0.3333333333333333
OFFICE100&&8511400001,1,1.0
OFFICE100&&8511400009,0,0.0
OFFICE100&&8511900009,0,0.0
OFFICE100&&8512200019,0,0.0
OFFICE100&&8512200092,0,0.0
OFFICE100&&8512309009,0,0.0
OFFICE100&&8513100090,0,0.0
OFFICE100&&8515290000,0,0.0
OFFICE100&&8515801009,0,0.0
OFFICE100&&8515900000,0,0.0
OFFICE100&&8516310009,0,0.0
OFFICE100&&8516608000,1,1.0
OFFICE100&&8516900090,0,0.0
OFFICE100&&8517120010,0,0.0
OFFICE100&&8517620022,1,1.0
OFFICE100&&8517709041,1,1.0
OFFICE100&&8518109500,0,0.0
OFFICE100&&8523519900,1,1.0
OFFICE100&&8523521000,1,0.5
OFFICE100&&8523529019,0,0.0
OFFICE100&&8525801990,0,0.0
OFFICE100&&8525809910,1,0.3333333333333333
OFFICE100&&8526920009,0,0.0
OFFICE100&&8528510000,0,0.0
OFFICE100&&8529106909,1,0.5
OFFICE100&&8529909229,0,0.0
OFFICE100&&8531103000,0,0.0
OFFICE100&&8531109500,0,0.0
OFFICE100&&8532100000,0,0.0
OFFICE100&&8532230000,1,1.0
OFFICE100&&8532290009,0,0.0
OFFICE100&&8533210000,1,0.1
OFFICE100&&8534001100,0,0.0
OFFICE100&&8534001900,0,0.0
OFFICE100&&8534009000,0,0.0
OFFICE100&&8535400010,0,0.0
OFFICE100&&8535900099,0,0.0
OFFICE100&&8536101001,0,0.0
OFFICE100&&8536105001,0,0.0
OFFICE100&&8536105009,0,0.0
OFFICE100&&8536301000,0,0.0
OFFICE100&&8536419000,0,0.0
OFFICE100&&8536490010,2,0.5
OFFICE100&&8536500700,0,0.0
OFFICE100&&8536501198,0,0.0
OFFICE100&&8536501991,1,1.0
OFFICE100&&8536501996,0,0.0
OFFICE100&&8536501999,0,0.0
OFFICE100&&8536508096,1,0.14285714285714285
OFFICE100&&8536699010,0,0.0
OFFICE100&&8536699090,0,0.0
OFFICE100&&8536700030,0,0.0
OFFICE100&&8536700090,0,0.0
OFFICE100&&8536901020,1,0.07142857142857142
OFFICE100&&8536901091,1,0.5
OFFICE100&&8536901099,0,0.0
OFFICE100&&8536908591,1,0.125
OFFICE100&&8536908599,0,0.0
OFFICE100&&8537101000,0,0.0
OFFICE100&&8537209902,1,1.0
OFFICE100&&8538100000,0,0.0
OFFICE100&&8538909109,0,0.0
OFFICE100&&8538909902,0,0.0
OFFICE100&&8538909909,0,0.0
OFFICE100&&8539219200,0,0.0
OFFICE100&&8541100000,1,0.3333333333333333
OFFICE100&&8541210000,0,0.0
OFFICE100&&8541290000,0,0.0
OFFICE100&&8541300000,0,0.0
OFFICE100&&8542319090,0,0.0
OFFICE100&&8542399090,1,0.04
OFFICE100&&8544200099,0,0.0
OFFICE100&&8544300090,0,0.0
OFFICE100&&8544421090,1,0.5
OFFICE100&&8544429011,0,0.0
OFFICE100&&8544429019,0,0.0
OFFICE100&&8544499120,0,0.0
OFFICE100&&8544499300,1,0.5
OFFICE100&&8544499530,0,0.0
OFFICE100&&8544609090,0,0.0
OFFICE100&&8545200000,0,0.0
OFFICE100&&8547200000,0,0.0
OFFICE100&&8548909000,0,0.0
OFFICE100&&8609009010,0,0.0
OFFICE100&&8609009090,1,0.008771929824561403
OFFICE100&&8703219030,0,0.0
