OFFICE&&IMPORTER.TIN,OFFICE&&IMPORTER.TIN_illicit_sum,OFFICE&&IMPORTER.TIN_illicit_rate
OFFICE100&&IMPO12167,0,0.0
OFFICE100&&IMPO12168,0,0.0
OFFICE100&&IMPO12176,0,0.0
OFFICE100&&IMPO12178,0,0.0
OFFICE100&&IMPO12180,0,0.0
OFFICE100&&IMPO12183,0,0.0
OFFICE100&&IMPO12186,0,0.0
OFFICE100&&IMPO12200,2,0.3333333333333333
OFFICE100&&IMPO12204,0,0.0
OFFICE100&&IMPO12206,0,0.0
OFFICE100&&IMPO12207,0,0.0
OFFICE100&&IMPO12212,0,0.0
OFFICE100&&IMPO12213,0,0.0
OFFICE100&&IMPO12219,0,0.0
OFFICE100&&IMPO12224,0,0.0
OFFICE100&&IMPO12225,0,0.0
OFFICE100&&IMPO12228,0,0.0
OFFICE100&&IMPO12230,0,0.0
OFFICE100&&IMPO12232,0,0.0
OFFICE100&&IMPO12243,0,0.0
OFFICE100&&IMPO12244,0,0.0
OFFICE100&&IMPO12250,0,0.0
OFFICE100&&IMPO12252,0,0.0
OFFICE100&&IMPO12258,0,0.0
OFFICE100&&IMPO12266,1,1.0
OFFICE100&&IMPO12270,0,0.0
OFFICE100&&IMPO12277,0,0.0
OFFICE100&&IMPO12296,0,0.0
OFFICE100&&IMPO12303,2,0.5
OFFICE100&&IMPO12307,0,0.0
OFFICE100&&IMPO12309,1,1.0
OFFICE100&&IMPO12319,0,0.0
OFFICE100&&IMPO12343,0,0.0
OFFICE100&&IMPO12357,0,0.0
OFFICE100&&IMPO12359,0,0.0
OFFICE100&&IMPO12363,0,0.0
OFFICE100&&IMPO12368,0,0.0
OFFICE100&&IMPO12372,0,0.0
OFFICE100&&IMPO12374,0,0.0
OFFICE100&&IMPO12395,0,0.0
OFFICE100&&IMPO12398,0,0.0
OFFICE100&&IMPO12409,1,1.0
OFFICE100&&IMPO12411,0,0.0
OFFICE100&&IMPO12485,0,0.0
OFFICE100&&IMPO12486,0,0.0
OFFICE100&&IMPO12490,0,0.0
OFFICE100&&IMPO12494,0,0.0
OFFICE100&&IMPO12509,1,1.0
OFFICE100&&IMPO12514,0,0.0
OFFICE100&&IMPO12519,0,0.0
OFFICE100&&IMPO12528,1,1.0
OFFICE100&&IMPO12535,0,0.0
OFFICE100&&IMPO12540,0,0.0
OFFICE100&&IMPO12551,0,0.0
OFFICE100&&IMPO12552,0,0.0
OFFICE100&&IMPO12590,0,0.0
OFFICE100&&IMPO12598,0,0.0
OFFICE100&&IMPO12602,0,0.0
OFFICE100&&IMPO12612,0,0.0
OFFICE100&&IMPO12616,0,0.0
OFFICE100&&IMPO12622,1,1.0
OFFICE100&&IMPO12624,0,0.0
OFFICE100&&IMPO12631,0,0.0
OFFICE100&&IMPO12634,0,0.0
OFFICE100&&IMPO12656,0,0.0
OFFICE100&&IMPO12660,0,0.0
OFFICE100&&IMPO12676,0,0.0
OFFICE100&&IMPO12707,0,0.0
OFFICE100&&IMPO12709,0,0.0
OFFICE100&&IMPO12739,1,1.0
OFFICE100&&IMPO12754,0,0.0
OFFICE100&&IMPO12757,0,0.0
OFFICE100&&IMPO12763,0,0.0
OFFICE100&&IMPO12764,1,1.0
OFFICE100&&IMPO12765,1,1.0
OFFICE100&&IMPO12768,1,0.5
OFFICE100&&IMPO12781,0,0.0
OFFICE100&&IMPO12784,0,0.0
OFFICE100&&IMPO12787,1,1.0
OFFICE100&&IMPO12790,0,0.0
OFFICE100&&IMPO12799,1,1.0
OFFICE100&&IMPO12807,1,1.0
OFFICE100&&IMPO12833,0,0.0
OFFICE100&&IMPO12835,0,0.0
OFFICE100&&IMPO12839,0,0.0
OFFICE100&&IMPO12844,0,0.0
OFFICE100&&IMPO12859,1,1.0
OFFICE100&&IMPO12889,0,0.0
OFFICE100&&IMPO12891,0,0.0
OFFICE100&&IMPO12907,0,0.0
OFFICE100&&IMPO12909,0,0.0
OFFICE100&&IMPO12920,0,0.0
OFFICE100&&IMPO12939,1,0.2
OFFICE100&&IMPO12950,0,0.0
OFFICE100&&IMPO12959,0,0.0
OFFICE100&&IMPO12963,0,0.0
OFFICE100&&IMPO12972,0,0.0
OFFICE100&&IMPO12977,0,0.0
OFFICE100&&IMPO12980,0,0.0
OFFICE100&&IMPO12985,0,0.0
OFFICE100&&IMPO12986,0,0.0
OFFICE100&&IMPO12988,0,0.0
OFFICE100&&IMPO13017,0,0.0
OFFICE100&&IMPO13023,0,0.0
OFFICE100&&IMPO13025,0,0.0
OFFICE100&&IMPO13032,0,0.0
OFFICE100&&IMPO13033,0,0.0
OFFICE100&&IMPO13036,0,0.0
OFFICE100&&IMPO13042,0,0.0
OFFICE100&&IMPO13046,0,0.0
OFFICE100&&IMPO13049,0,0.0
OFFICE100&&IMPO13080,0,0.0
OFFICE100&&IMPO13085,1,1.0
OFFICE100&&IMPO13090,0,0.0
OFFICE100&&IMPO13095,0,0.0
OFFICE100&&IMPO13097,0,0.0
OFFICE100&&IMPO13099,1,0.5
OFFICE100&&IMPO13115,0,0.0
OFFICE100&&IMPO13123,0,0.0
OFFICE100&&IMPO13133,0,0.0
OFFICE100&&IMPO13147,0,0.0
OFFICE100&&IMPO13153,0,0.0
OFFICE100&&IMPO13156,0,0.0
OFFICE100&&IMPO13164,1,1.0
OFFICE100&&IMPO13165,0,0.0
OFFICE100&&IMPO13166,0,0.0
OFFICE100&&IMPO13170,1,1.0
OFFICE100&&IMPO13177,1,1.0
OFFICE100&&IMPO13181,0,0.0
OFFICE100&&IMPO13182,0,0.0
OFFICE100&&IMPO13205,0,0.0
OFFICE100&&IMPO13210,0,0.0
OFFICE100&&IMPO13238,0,0.0
OFFICE100&&IMPO13247,0,0.0
OFFICE100&&IMPO13260,0,0.0
OFFICE100&&IMPO13277,0,0.0
OFFICE100&&IMPO13279,0,0.0
OFFICE100&&IMPO13303,0,0.0
OFFICE100&&IMPO13329,0,0.0
OFFICE100&&IMPO13336,0,0.0
OFFICE100&&IMPO13343,0,0.0
OFFICE100&&IMPO13346,0,0.0
OFFICE100&&IMPO13347,0,0.0
OFFICE100&&IMPO13374,0,0.0
OFFICE100&&IMPO13467,1,0.3333333333333333
OFFICE100&&IMPO13477,1,1.0
OFFICE100&&IMPO13481,0,0.0
OFFICE100&&IMPO13482,0,0.0
OFFICE100&&IMPO13495,0,0.0
OFFICE100&&IMPO13510,0,0.0
OFFICE100&&IMPO13512,0,0.0
OFFICE100&&IMPO13522,1,1.0
OFFICE100&&IMPO13523,0,0.0
OFFICE100&&IMPO13544,0,0.0
OFFICE100&&IMPO13545,0,0.0
OFFICE100&&IMPO13548,0,0.0
OFFICE100&&IMPO13561,0,0.0
OFFICE100&&IMPO13565,0,0.0
OFFICE100&&IMPO13571,0,0.0
OFFICE100&&IMPO13588,0,0.0
OFFICE100&&IMPO13589,0,0.0
OFFICE100&&IMPO13595,0,0.0
OFFICE100&&IMPO13596,0,0.0
OFFICE100&&IMPO13598,0,0.0
OFFICE100&&IMPO13600,1,1.0
OFFICE100&&IMPO13618,1,0.16666666666666666
OFFICE100&&IMPO13622,0,0.0
OFFICE100&&IMPO13631,0,0.0
OFFICE100&&IMPO13644,1,1.0
OFFICE100&&IMPO13669,0,0.0
OFFICE100&&IMPO13672,0,0.0
OFFICE100&&IMPO13677,1,1.0
OFFICE100&&IMPO13685,0,0.0
OFFICE100&&IMPO13690,1,1.0
OFFICE100&&IMPO13705,1,1.0
OFFICE100&&IMPO13754,0,0.0
OFFICE100&&IMPO13773,0,0.0
OFFICE100&&IMPO13783,0,0.0
OFFICE100&&IMPO13784,0,0.0
OFFICE100&&IMPO13804,0,0.0
OFFICE100&&IMPO13808,0,0.0
OFFICE100&&IMPO13823,0,0.0
OFFICE100&&IMPO13831,0,0.0
OFFICE100&&IMPO13842,0,0.0
OFFICE100&&IMPO13850,0,0.0
OFFICE100&&IMPO13851,0,0.0
OFFICE100&&IMPO13852,0,0.0
OFFICE100&&IMPO13854,0,0.0
OFFICE100&&IMPO13856,0,0.0
OFFICE100&&IMPO13867,0,0.0
OFFICE100&&IMPO13877,1,1.0
OFFICE100&&IMPO13879,0,0.0
OFFICE100&&IMPO13881,0,0.0
OFFICE100&&IMPO13893,0,0.0
OFFICE100&&IMPO13910,0,0.0
OFFICE100&&IMPO13916,0,0.0
OFFICE100&&IMPO13936,1,1.0
OFFICE100&&IMPO13938,0,0.0
OFFICE100&&IMPO13952,0,0.0
OFFICE100&&IMPO13954,0,0.0
OFFICE100&&IMPO13968,0,0.0
OFFICE100&&IMPO13975,1,0.125
OFFICE100&&IMPO14005,1,0.5
OFFICE100&&IMPO14012,1,0.5
OFFICE100&&IMPO14022,0,0.0
OFFICE100&&IMPO14028,0,0.0
OFFICE100&&IMPO14033,0,0.0
OFFICE100&&IMPO14035,1,0.16666666666666666
OFFICE100&&IMPO14037,1,1.0
OFFICE100&&IMPO14064,1,1.0
OFFICE100&&IMPO14070,0,0.0
OFFICE100&&IMPO14080,0,0.0
OFFICE100&&IMPO14095,0,0.0
OFFICE100&&IMPO14119,0,0.0
OFFICE100&&IMPO14129,0,0.0
OFFICE100&&IMPO14146,0,0.0
OFFICE100&&IMPO14200,0,0.0
OFFICE100&&IMPO14203,0,0.0
OFFICE100&&IMPO14229,0,0.0
OFFICE100&&IMPO14233,0,0.0
OFFICE100&&IMPO14234,0,0.0
OFFICE100&&IMPO14294,1,1.0
OFFICE100&&IMPO14301,0,0.0
OFFICE100&&IMPO14303,0,0.0
OFFICE100&&IMPO14308,0,0.0
OFFICE100&&IMPO14321,0,0.0
OFFICE100&&IMPO14326,0,0.0
OFFICE100&&IMPO14328,0,0.0
OFFICE100&&IMPO14334,0,0.0
OFFICE100&&IMPO14335,0,0.0
OFFICE100&&IMPO14351,0,0.0
OFFICE100&&IMPO14369,0,0.0
OFFICE100&&IMPO14371,0,0.0
OFFICE100&&IMPO14376,0,0.0
OFFICE100&&IMPO14410,1,1.0
OFFICE100&&IMPO14414,0,0.0
OFFICE100&&IMPO14431,0,0.0
OFFICE100&&IMPO14455,0,0.0
OFFICE100&&IMPO14462,0,0.0
OFFICE100&&IMPO14512,0,0.0
OFFICE100&&IMPO14552,0,0.0
OFFICE100&&IMPO14558,0,0.0
OFFICE100&&IMPO14569,1,1.0
OFFICE100&&IMPO14580,0,0.0
OFFICE100&&IMPO14595,0,0.0
OFFICE100&&IMPO14627,0,0.0
OFFICE100&&IMPO14632,0,0.0
OFFICE100&&IMPO14641,1,1.0
OFFICE100&&IMPO14657,0,0.0
OFFICE100&&IMPO14670,1,0.1111111111111111
OFFICE100&&IMPO14698,0,0.0
OFFICE100&&IMPO14713,0,0.0
OFFICE100&&IMPO14723,0,0.0
OFFICE100&&IMPO14730,0,0.0
OFFICE100&&IMPO14739,0,0.0
OFFICE100&&IMPO14751,0,0.0
OFFICE100&&IMPO14789,0,0.0
OFFICE100&&IMPO14793,0,0.0
OFFICE100&&IMPO14808,1,1.0
OFFICE100&&IMPO14837,0,0.0
OFFICE100&&IMPO14863,0,0.0
OFFICE100&&IMPO14876,0,0.0
OFFICE100&&IMPO14878,0,0.0
OFFICE100&&IMPO14890,1,0.25
OFFICE100&&IMPO14900,0,0.0
OFFICE100&&IMPO14901,0,0.0
OFFICE100&&IMPO14938,0,0.0
OFFICE100&&IMPO14965,0,0.0
OFFICE100&&IMPO14966,1,0.5
OFFICE100&&IMPO14969,1,0.5
OFFICE100&&IMPO14992,0,0.0
OFFICE100&&IMPO14996,0,0.0
OFFICE100&&IMPO15016,0,0.0
OFFICE100&&IMPO15028,0,0.0
OFFICE100&&IMPO15031,1,1.0
OFFICE100&&IMPO15039,1,1.0
OFFICE100&&IMPO15054,1,1.0
OFFICE100&&IMPO15056,0,0.0
OFFICE100&&IMPO15068,0,0.0
OFFICE100&&IMPO15070,0,0.0
OFFICE100&&IMPO15075,0,0.0
OFFICE100&&IMPO15089,1,1.0
OFFICE100&&IMPO15090,0,0.0
OFFICE100&&IMPO15098,1,1.0
OFFICE100&&IMPO15099,0,0.0
OFFICE100&&IMPO15111,0,0.0
OFFICE100&&IMPO15135,0,0.0
OFFICE100&&IMPO15137,0,0.0
OFFICE100&&IMPO15148,0,0.0
OFFICE100&&IMPO15165,0,0.0
OFFICE100&&IMPO15182,0,0.0
OFFICE100&&IMPO15188,1,1.0
OFFICE100&&IMPO15192,0,0.0
OFFICE100&&IMPO15198,0,0.0
OFFICE100&&IMPO15223,0,0.0
OFFICE100&&IMPO15235,0,0.0
OFFICE100&&IMPO15236,0,0.0
OFFICE100&&IMPO15253,0,0.0
OFFICE100&&IMPO15262,0,0.0
OFFICE100&&IMPO15276,0,0.0
OFFICE100&&IMPO15279,0,0.0
OFFICE100&&IMPO15281,0,0.0
OFFICE100&&IMPO15283,0,0.0
OFFICE100&&IMPO15296,1,0.5
OFFICE100&&IMPO15303,1,1.0
OFFICE100&&IMPO15304,0,0.0
OFFICE100&&IMPO15305,0,0.0
OFFICE100&&IMPO15307,0,0.0
OFFICE100&&IMPO15313,0,0.0
OFFICE100&&IMPO15318,0,0.0
OFFICE100&&IMPO15321,0,0.0
OFFICE100&&IMPO15328,0,0.0
OFFICE100&&IMPO15338,1,0.2
OFFICE100&&IMPO15363,0,0.0
OFFICE100&&IMPO15366,1,0.5
OFFICE100&&IMPO15389,1,1.0
OFFICE100&&IMPO15391,0,0.0
OFFICE100&&IMPO15403,0,0.0
OFFICE100&&IMPO15413,0,0.0
OFFICE100&&IMPO15423,0,0.0
OFFICE100&&IMPO15425,0,0.0
OFFICE100&&IMPO15447,0,0.0
OFFICE100&&IMPO15459,0,0.0
OFFICE100&&IMPO15485,0,0.0
OFFICE100&&IMPO15487,0,0.0
OFFICE100&&IMPO15494,1,1.0
OFFICE100&&IMPO15506,0,0.0
OFFICE100&&IMPO15517,0,0.0
OFFICE100&&IMPO15520,0,0.0
OFFICE100&&IMPO15529,0,0.0
OFFICE100&&IMPO15533,0,0.0
OFFICE100&&IMPO15535,0,0.0
OFFICE100&&IMPO15543,0,0.0
OFFICE100&&IMPO15555,0,0.0
OFFICE100&&IMPO15560,0,0.0
OFFICE100&&IMPO15564,0,0.0
OFFICE100&&IMPO15568,0,0.0
OFFICE100&&IMPO15573,1,1.0
OFFICE100&&IMPO15592,1,1.0
OFFICE100&&IMPO15597,0,0.0
OFFICE100&&IMPO15614,0,0.0
OFFICE100&&IMPO15626,0,0.0
OFFICE100&&IMPO15629,0,0.0
OFFICE100&&IMPO15640,0,0.0
OFFICE100&&IMPO15656,0,0.0
OFFICE100&&IMPO15661,1,0.16666666666666666
OFFICE100&&IMPO15666,0,0.0
OFFICE100&&IMPO15684,0,0.0
OFFICE100&&IMPO15689,0,0.0
OFFICE100&&IMPO15700,0,0.0
OFFICE100&&IMPO15707,0,0.0
OFFICE100&&IMPO15732,0,0.0
OFFICE100&&IMPO15737,0,0.0
OFFICE100&&IMPO15739,0,0.0
OFFICE100&&IMPO15765,0,0.0
OFFICE100&&IMPO15767,0,0.0
OFFICE100&&IMPO15772,0,0.0
OFFICE100&&IMPO15783,0,0.0
OFFICE100&&IMPO15794,0,0.0
OFFICE100&&IMPO15806,0,0.0
OFFICE100&&IMPO15816,0,0.0
OFFICE100&&IMPO15817,0,0.0
OFFICE100&&IMPO15821,0,0.0
OFFICE100&&IMPO15826,0,0.0
OFFICE100&&IMPO15831,2,1.0
OFFICE100&&IMPO15852,0,0.0
OFFICE100&&IMPO15859,0,0.0
OFFICE100&&IMPO15871,0,0.0
OFFICE100&&IMPO15878,0,0.0
OFFICE100&&IMPO15880,2,0.25
OFFICE100&&IMPO15883,0,0.0
OFFICE100&&IMPO15913,0,0.0
OFFICE100&&IMPO15916,0,0.0
OFFICE100&&IMPO15928,1,0.14285714285714285
OFFICE100&&IMPO15931,0,0.0
OFFICE100&&IMPO15942,0,0.0
OFFICE100&&IMPO15943,0,0.0
OFFICE100&&IMPO15955,0,0.0
OFFICE100&&IMPO15986,1,1.0
OFFICE100&&IMPO15988,0,0.0
OFFICE100&&IMPO16036,0,0.0
OFFICE100&&IMPO16044,0,0.0
OFFICE100&&IMPO16048,0,0.0
OFFICE100&&IMPO16058,0,0.0
OFFICE100&&IMPO16061,0,0.0
OFFICE100&&IMPO16067,0,0.0
OFFICE100&&IMPO16079,0,0.0
OFFICE100&&IMPO16084,0,0.0
OFFICE100&&IMPO16089,0,0.0
OFFICE100&&IMPO16107,0,0.0
OFFICE100&&IMPO16112,0,0.0
OFFICE100&&IMPO16121,0,0.0
OFFICE100&&IMPO16138,0,0.0
OFFICE100&&IMPO16149,0,0.0
OFFICE100&&IMPO16166,1,1.0
OFFICE100&&IMPO16169,1,0.5
OFFICE100&&IMPO16171,1,1.0
OFFICE100&&IMPO16184,0,0.0
OFFICE100&&IMPO16202,1,1.0
OFFICE100&&IMPO16207,0,0.0
OFFICE100&&IMPO16208,2,1.0
OFFICE100&&IMPO16210,0,0.0
OFFICE100&&IMPO16216,0,0.0
OFFICE100&&IMPO16235,0,0.0
OFFICE100&&IMPO16271,0,0.0
OFFICE100&&IMPO16280,1,1.0
OFFICE100&&IMPO16288,0,0.0
OFFICE100&&IMPO16297,0,0.0
OFFICE100&&IMPO16298,1,1.0
OFFICE100&&IMPO16324,0,0.0
OFFICE100&&IMPO16328,0,0.0
OFFICE100&&IMPO16337,0,0.0
OFFICE100&&IMPO16347,0,0.0
OFFICE100&&IMPO16351,0,0.0
OFFICE100&&IMPO16358,0,0.0
OFFICE100&&IMPO16363,0,0.0
OFFICE100&&IMPO16369,1,1.0
OFFICE100&&IMPO16385,1,1.0
OFFICE100&&IMPO16392,0,0.0
OFFICE100&&IMPO16400,0,0.0
OFFICE100&&IMPO16416,0,0.0
OFFICE100&&IMPO16418,1,1.0
OFFICE100&&IMPO16428,0,0.0
OFFICE100&&IMPO16430,0,0.0
